F2 L' D' F' B2 U
F2 L' D' B2 F' U
F2 L' D2 F' U R2
F2 L' F' U D2 R2
F2 L' F' U' L2 U2
F2 L' F' D' B2 U
F2 L' F' D2 U R2
F U D B2 R' B
F U B2 D R' B
F U' D' L U2 B'
F D U B2 R' B
F D B2 U R' B
F D' U' L U2 B'
B2 F U D R' B
B2 F D U R' B
B2 F D U R' B
B2 F2 L' F' U R'
F2 B2 L' F' U R'
F B2 U D R' B
F B2 D U R' B
F B2 U D R' D' B
F B2 U D R' D2 B
F B2 U D R' B D
F B2 U D R' B D'
F B2 U D R' B D2
B2 F2 D L' F' U R'
F2 B2 D L' F' U R'
D2 B2 F U D R' B
D' B2 F U D R' B
D2 B2 F D U R' B
D' B2 F D U R' B
B2 F2 D' L' F' U R'
F2 B2 D' L' F' U R'
F B2 U2 F' R U' R2
R2 B2 F L R2 U R
D2 B2 F2 L' F' U R'
F B2 D L U R' B
F B2 D L' U R' B
F B2 D L2 U R' B
R2 B2 F R2 L U R
D' B2 F2 L' F' U R'
D B2 F U D R' B
F B2 D U R' D B
F B2 D U R' D' B
F B2 D U R' D2 B
F B2 D U R' B D
F B2 D U R' B D'
F B2 D U R' B D2
B2 F2 D2 L' F' U R'
F2 B2 D2 L' F' U R'
D B2 F D U R' B
F B2 D' L U R' B'
B F2 D2 L' F' U R
D B2 F2 L' F' U R'
