B L R U L2 U
B L R U2 D' B2
B L R D F2 U2
B L R D' U2 B2
B L D R F2 U2
B L D F2 U2 L'
B L D' R U2 B2
B R L U L2 U
B R L U2 D' B2
B R L D F2 U2
B R L D' U2 B2
B L D' R U2 B2 D
B L D' R U2 B2 D'
B L D' R U2 B2 D2
B L D' R D2 F2 U2
B L D' R F U2 B2
B L D' R F' U2 B2
B L D' R F2 U2 B2
B L D' R2 U2 B2 L
B L D' F2 U2 L' B2
B L D' F2 U2 B2 L'
B L D2 R U' R U'
B L F2 U L2 U L
B L F2 U2 D' L' B2
B L F2 U2 D' B2 L'
B L F2 D F2 R U2
B L F2 D' U2 L' B2
B L F2 D' U2 B2 L'
B' L' U R' D2 L2 F2
B' L' U R' D2 F2 L2
B' L' U D2 F2 L' R'
B' L' U D2 F2 R' L'
B' L' U' R B2 U2 R2
B' L' U' B2 L R U2
B' L' U' B2 R L U2
U L' U' B L R U2
U L' U' B R L U2
B' L' D2 U F2 L' R'
B' L' D2 U F2 R' L'
U' L' B' U D2 F2 L'
U' L' B' U' R B2 U2
U' L' B' U' B2 R U2
U' L' B' D2 U F2 L'
R U L' R B U F'
R U L' U F R F'
R U R L' B U F'
R U R B L' U F'
B R L U L2 U D
B R L U L2 U D'
B R L U L2 U D2
B R L U L2 D U
B R L U L2 D' U
B R L U L2 D2 U
B R L U' D2 R2 U'
B R L U2 D' B2 D
B R L U2 D' B2 D'
B R L U2 D' B2 D2
B R L U2 B D' B2
B R L U2 B' D' B2
B R L U2 B2 D' B2
B R L D F2 U2 D
B R L D F2 U2 D'
B R L D F2 U2 D2
B R L D F2 D U2
B R L D F2 D' U2
B R L D F2 D2 U2
B R L D' U2 B2 D
B R L D' U2 B2 D'
B R L D' U2 B2 D2
B R L D' F U2 B2
B R L D' F' U2 B2
B R L D' F2 U2 B2
B R L D2 U' R2 U'
B R L F U L2 U
B R L F U2 D' B2
B R L F D F2 U2
B R L F D' U2 B2
B R L F' U L2 U
B R L F' U2 D' B2
B R L F' D F2 U2
B R L F' D' U2 B2
R U D2 L' U F R
B R L F2 U L2 U
B R L F2 U2 D' B2
B R L F2 D F2 U2
B R L F2 D' U2 B2
B R U L' U D2 R2
B R U L' U' L2 U2
B R U L' D' B2 U
B R U L' D2 U R2
B R U B2 L' U R'
B R D L U L2 U
B R D L U2 D' B2
B R D L D F2 U2
B R D L D' U2 B2
B R D' L U L2 U
B R D' L U2 D' B2
B R D' L D F2 U2
B R D' L D' U2 B2
B R D2 L U L2 U
B R D2 L U2 D' B2
B R D2 L D F2 U2
B R D2 L D' U2 B2
B R F' D' L U2 B'
B R F2 L U' R U'
B2 R B' L U L2 U
B2 R B' L U2 D' B2
B2 R B' L D F2 U2
B2 R B' L D' U2 B2
B' R B2 U L' U R2
B R2 L U2 D' B2 L
B R2 L D R' F2 U2
B R2 L D F2 R' U2
B R2 L D' R' U2 B2
B R2 L D' U2 B2 L
B U L' U' L2 R U2
B U L' U' R L2 U2
L D F2 B L U2 L2
L D B L R F2 U2
L D B L F2 U2 L'
L D B R L F2 U2
L D B R F2 L U2
L D B F2 L U2 L2
R D2 U L' U F R
B D L R U L2 U
B D L R U2 D' B2
B D L R D F2 U2
B D L R D' U2 B2
B D L D R F2 U2
B D L D F2 U2 L'
B D L D' R U2 B2
B D R L U L2 U
B D R L U2 D' B2
B D R L D F2 U2
B D R L D' U2 B2
B D' L R U L2 U
B D' L R U2 D' B2
B D' L R D F2 U2
B D' L R D' U2 B2
B D' L D R F2 U2
B D' L D F2 U2 L'
B D' L D' R U2 B2
B D' R L U L2 U
B D' R L U2 D' B2
B D' R L D F2 U2
B D' R L D' U2 B2
B' D2 L' U F2 L' R'
B' D2 L' U F2 R' L'
B D2 L R U L2 U
B D2 L R U2 D' B2
B D2 L R D F2 U2
B D2 L R D' U2 B2
B D2 L D R F2 U2
B D2 L D F2 U2 L'
B D2 L D' R U2 B2
B D2 R L U L2 U
B D2 R L U2 D' B2
B D2 R L D F2 U2
B D2 R L D' U2 B2
D2 B L R U L2 U
D2 B L R U2 D' B2
D2 B L R D F2 U2
D2 B L R D' U2 B2
D' B L R U L2 U
D' B L R U2 D' B2
D' B L R D F2 U2
D' B L R D' U2 B2
L' B L R U L' U
D2 B L D R F2 U2
D' B L D R F2 U2
D2 B L D F2 U2 L'
D2 B L D' R U2 B2
D' B L D F2 U2 L'
D' B L D' R U2 B2
L2 B L D' R F' U2
D B L R U L2 U
D B L R U2 D' B2
D B L R D F2 U2
D B L R D' U2 B2
D B L D R F2 U2
D B L D F2 U2 L'
D B L D' R U2 B2
L B L R U L U
D2 B R L U L2 U
D2 B R L U2 D' B2
D2 B R L D F2 U2
D2 B R L D' U2 B2
D' B R L U L2 U
D' B R L U2 D' B2
D' B R L D F2 U2
D' B R L D' U2 B2
L' B R L U L' U
B' D2 F2 L' R' D B2
B' D2 F2 R' L' D B2
B' D2 F2 R' D L' B2
B' D2 F2 R' D B2 L'
U2 B R U L' B' U
L2 B R D L U2 B'
D B R L U L2 U
D B R L U2 D' B2
D B R L D F2 U2
D B R L D' U2 B2
L B R L U L U
U B R U L' B U
U B R U B L' U
L B R U2 D' B2 R'
L B R D L F2 U2
L B R D F2 L U2
L B R D' L U2 B2
L B R D' U2 B2 R'
F2 B L U' R U' L2
L2 B D L R U2 B'
L2 B D R L U2 B'
L2 B D' L R F' U2
L2 B D' R L F' U2
L2 B D' R F' L U2
L B D L R F2 U2
L B D L F2 U2 L'
L B D R L F2 U2
L B D R F2 L U2
L B D F2 L U2 L2
L B D' L R U2 B2
L B D' R L U2 B2
L B D' R U2 B2 R'
L' B' U R' D2 L2 F2
L' B' U R' D2 F2 L2
L' B' U D2 F2 L' R'
L' B' U D2 F2 R' L'
L' B' U' R B2 U2 R2
L' B' U' B2 L R U2
L' B' U' B2 R L U2
L' B' D2 U F2 L' R'
L' B' D2 U F2 R' L'
B F2 L U' R U' L2
L' B2 U' R B' L U2
L' B2 U' B' L R U2
L' B2 U' B' R L U2
