U2 L R U2 F' U'
U2 L R' B R2 U
U2 R L U2 F' U'
U2 R' L B R2 U
R' U2 L B R2 U
U2 D2 L R B' U
D2 U2 L R B' U
U2 D2 L B' R U
U2 D2 L B' R U
D2 U2 L B' R U
D2 U2 L B' R U
D2 U2 R L B' U
U2 D2 R L B' U
L2 F2 L' R F' U'
L2 F2 R L' F' U'
L' D2 F2 R2 L' F U'
L2 D2 F2 L' R F U'
L2 D2 F2 R L' F U'
F' U2 D2 L B' R' U
F' U2 B' R' B L U
R' F U2 L B R2 U
L2 F' R F' L' R U'
L2 F' R F' R L' U'
R F' R U2 L R' U
R F' R U2 R' L U
R F' R' U2 L R U
R F' R' U2 R L U
R F' R2 U2 L R2 U
R F' R2 U2 R2 L U
R' F' U2 L B R2 U
D2 F' U2 L B' R' U
R F' U2 L U2 L' U'
L2 F2 L R F' L2 U'
D2 F2 L' U2 L2 B' U
D2 F2 L' D' F U' B2
D2 F2 L' D2 R2 F U'
D2 F2 L' D2 F R2 U'
D2 F2 L' F U' D' B2
D2 F2 L' F U2 L2 U
D2 F2 L' F D' U' B2
D2 F2 L' F D2 R2 U'
L2 F2 L' R D F' U'
L2 F2 L' R D' F' U'
L2 F2 L' R D2 F' U'
L2 F2 L' R F' U' D
L2 F2 L' R F' U' D'
L2 F2 L' R F' U' D2
L2 F2 L' R F' D U'
L2 F2 L' R F' D' U'
L2 F2 L' R F' D2 U'
L' F2 L' F2 R F' U'
L2 F2 L2 R F' L U'
L2 F2 R L F' L2 U'
L2 F2 R L' D F' U'
L2 F2 R L' D' F' U'
L2 F2 R L' D2 F' U'
L2 F2 R L' F' U' D
L2 F2 R L' F' U' D'
L2 F2 R L' F' U' D2
L2 F2 R L' F' D U'
L2 F2 R L' F' D' U'
L2 F2 R L' F' D2 U'
L2 F2 R L2 F' L U'
L2 F2 R D L' F' U'
L2 F2 R D' L' F' U'
L2 F2 R D2 L' F' U'
R' F2 U2 L B R2 U
F2 D2 L' U2 L2 B' U
F2 D2 L' D' F U' B2
F2 D2 L' D2 R2 F U'
F2 D2 L' D2 F R2 U'
F2 D2 L' F U' D' B2
F2 D2 L' F U2 L2 U
F2 D2 L' F D' U' B2
F2 D2 L' F D2 R2 U'
L' F2 D2 L' R2 F U'
L' F2 D2 L' F R2 U'
L' F2 D2 R2 L' F U'
L2 F2 D2 L' R F U'
L2 F2 D2 R L' F U'
F' D2 U2 L B' R' U
L B R U2 F' B' U'
L B R U2 B' F' U'
U2 B' R' B L R2 U
U2 B' R' B R2 L U
R2 B2 L R' F' B2 U'
R2 B2 L R' B2 F' U'
U2 B2 R U2 F' R2 U'
R2 B2 R' L F' B2 U'
R2 B2 R' L B2 F' U'
L B2 R U2 F' B2 U'
L B2 R U2 B2 F' U'
R2 B2 R' F' L B2 U'
L B2 R' B R2 F' U
R B2 U2 F' R' B2 U'
