U2 F B U'
U2 B F U'
U2 D F B U'
U2 D B F U'
U2 D' F B U'
U2 D' B F U'
D U2 F B U'
D' U2 F B U'
D U2 B F U'
U2 D2 F B U'
D2 U2 F B U'
D' U2 B F U'
U2 D2 B F U'
D2 U2 B F U'
B' U2 F B2 U'
B2 U2 F B' U'
F' U2 F2 B U'
F2 U2 F' B U'
F' U2 B F2 U'
B' U2 B2 F U'
F2 U2 B F' U'
B2 U2 B' F U'
U2 F D B U'
U2 F D' B U'
U2 F D2 B U'
U2 F B U' D
U2 F B U' D'
U2 F B U' D2
U2 F B D U'
U2 F B D' U'
U2 F B D2 U'
U2 B D F U'
U2 B D' F U'
U2 B D2 F U'
U2 B F U' D
U2 B F U' D'
U2 B F U' D2
U2 B F D U'
U2 B F D' U'
U2 B F D2 U'
U2 F2 D2 B F' U'
U2 F2 B D F' U'
U2 F2 B D' F' U'
U2 F2 B D2 F' U'
B2 D2 U2 F B' U'
B2 D2 U2 B' F U'
F2 D2 U2 F' B U'
F2 D2 U2 B F' U'
B' D2 F2 U2 F' U'
U2 B R F R' U'
U2 B R2 F R2 U'
F' D2 B2 U2 B' U'
U2 B D F U' D
U2 B D F U' D'
U2 B D F U' D2
U2 B D F D U'
U2 B D F D' U'
U2 B D F D2 U'
U2 B D' F U' D
U2 B D' F U' D'
U2 B D' F U' D2
U2 B D' F D U'
U2 B D' F D' U'
U2 B D' F D2 U'
U2 B D2 F U' D
U2 B D2 F U' D'
U2 B D2 F U' D2
U2 B D2 F D U'
U2 B D2 F D' U'
U2 B D2 F D2 U'
U2 B F' U' D R2
U2 B F' D U' R2
U2 B F2 D F' U'
U2 B F2 D' F' U'
U2 B F2 D2 F' U'
U B F U' F' B'
U B F U' B' F'
L2 B' L2 U D L2
L2 B' L2 U2 B2 U'
L2 B' L2 D U L2
L2 B' L2 D2 F2 U
D2 B' U2 F B2 U'
D' B' U2 F B2 U'
D2 B' U2 B2 F U'
D' B' U2 B2 F U'
U2 B' D F U' L2
D B' U2 F B2 U'
D B' U2 B2 F U'
F' B' U D L2 R2
F' B' U D R2 L2
B' F' U D L2 R2
B' F' U D R2 L2
U2 B' F U' D L2
U2 B' F D U' L2
F' B' U2 F2 B2 U'
F' B' U2 B2 F2 U'
B' F' U2 F2 B2 U'
B' F' U2 B2 F2 U'
F' B' D U L2 R2
F' B' D U R2 L2
B' F' D U L2 R2
B' F' D U R2 L2
F2 B' U2 F' B2 U'
B2 F' U2 F2 B' U'
F2 B' U2 B2 F' U'
B2 F' U2 B' F2 U'
F' B' D2 F2 B2 U
B' F' D2 F2 B2 U
F' B' D2 B2 F2 U
B' F' D2 B2 F2 U
L2 B2 L2 F B U
L2 B2 L2 B F U
D2 B2 U2 F B' U'
D2 B2 U2 B' F U'
D' B2 U2 F B' U'
D' B2 U2 B' F U'
U2 B2 D F B' U'
U2 B2 D B' F U'
D B2 U2 F B' U'
F' B2 U2 F2 B' U'
B' F2 U2 F' B2 U'
F' B2 U2 B' F2 U'
D B2 U2 B' F U'
U2 B2 D' F B' U'
B' F2 U2 B2 F' U'
U2 B2 D' B' F U'
F2 B2 U2 F' B' U'
B2 F2 U2 F' B' U'
U2 B2 D2 F B' U'
F2 B2 U2 B' F' U'
B2 F2 U2 B' F' U'
U2 B2 D2 B' F U'
U2 B2 F D B' U'
U2 B2 F D' B' U'
U2 B2 F D2 B' U'
U L U D' B U' R'
U' L U' D' B U' R'
F' L U2 F2 B R U'
F' L U2 B F2 R U'
U2 L D' L' B U' R'
U' L D' U' B U' R'
U L D' U B U' R'
U2 L D' B L' U' R'
U2 L B L' D F U'
U2 L B L' D' F U'
U2 L B L' D2 F U'
U2 L B L' F U' D
U2 L B L' F U' D'
U2 L B L' F U' D2
U2 L B L' F D U'
U2 L B L' F D' U'
U2 L B L' F D2 U'
U2 L B' L' F B2 U'
U2 L B' L' B2 F U'
U L' U B U L U2
U' L' U' F B U' R
U' L' U' B F U' R
B' L' U2 B2 R' F' U'
U2 L' D L F B U'
U2 L' D L B F U'
U2 L' D' L F B U'
U2 L' D' L B F U'
U2 L' D2 L F B U'
U2 L' D2 L B F U'
U2 L' F L F B U'
U2 L' F L B F U'
U2 L' F' L F B U'
U2 L' F' L B F U'
U2 L' F2 L F B U'
U2 L' F2 L B F U'
U' L2 R2 U F' B' U
U' L2 R2 U B' F' U
U L2 R2 U' F' B' U
U L2 R2 U' B' F' U
L2 R2 F' R2 B' L2 U
R2 L2 F' R2 B' L2 U
L2 R2 F' B' L2 R2 U
L2 R2 F' B' R2 L2 U
R2 L2 F' B' L2 R2 U
R2 L2 F' B' R2 L2 U
U' L2 U B' U D L2
U' L2 U B' U2 B2 U'
U' L2 U B' D U L2
U' L2 U B' D2 F2 U
U L2 U B U' D' R2
U L2 U B U2 B2 U
U L2 U B D' U' R2
U L2 U B D2 F2 U'
U' L2 U' B U' D' R2
U' L2 U' B U2 B2 U
U' L2 U' B D' U' R2
U' L2 U' B D2 F2 U'
U L2 U' B' U D L2
U L2 U' B' U2 B2 U'
U L2 U' B' D U L2
U L2 U' B' D2 F2 U
L2 R2 B' L2 F' R2 U
R2 L2 B' L2 F' R2 U
L2 R2 B' F' L2 R2 U
L2 R2 B' F' R2 L2 U
R2 L2 B' F' L2 R2 U
R2 L2 B' F' R2 L2 U
B2 L2 D' F B' U B'
B2 L2 D' B' F U B'
B2 L2 F L2 U2 F U'
U2 L2 F L2 F B U'
U2 L2 F L2 B F U'
B' L2 F B' L2 F U
B2 L2 F D' B' U B'
B2 L2 F B L2 B2 U
B2 L2 F B' L2 U D
B2 L2 F B' L2 U D'
B2 L2 F B' L2 U D2
B2 L2 F B' L2 D U
B2 L2 F B' L2 D' U
B2 L2 F B' L2 D2 U
B2 L2 F B' U D' B2
B2 L2 F B' D' U B2
B2 L2 F B2 L2 B U
U2 L2 F' L2 F B U'
U2 L2 F' L2 B F U'
B' L2 F' B' L2 F U
B2 L2 F' B' L2 F2 U
U2 L2 F2 L2 F B U'
U2 L2 F2 L2 B F U'
B' L2 F2 B' L2 F U
B2 L2 F2 B' L2 F' U
U2 L2 B L2 U' D' R2
U2 L2 B L2 U2 B2 U
U2 L2 B L2 D' U' R2
U2 L2 B L2 D2 F2 U'
B L2 B L2 F B2 U
B L2 B L2 B2 F U
B2 L2 B F L2 B2 U
D2 L2 B' L2 U D L2
D2 L2 B' L2 U2 B2 U'
D2 L2 B' L2 D U L2
D2 L2 B' L2 D2 F2 U
D' L2 B' L2 U D L2
D' L2 B' L2 U2 B2 U'
D' L2 B' L2 D U L2
D' L2 B' L2 D2 F2 U
B' L2 B' L2 D F U
B' L2 B' L2 D' F U
B' L2 B' L2 D2 F U
B' L2 B' L2 F U D
B' L2 B' L2 F U D'
B' L2 B' L2 F U D2
B' L2 B' L2 F D U
B' L2 B' L2 F D' U
B' L2 B' L2 F D2 U
B2 L2 B' L2 U2 B' U'
D L2 B' L2 U D L2
D L2 B' L2 U2 B2 U'
D L2 B' L2 D U L2
D L2 B' L2 D2 F2 U
B L2 B' L2 U2 B U'
B' L2 B' F L2 F U
B' L2 B' F' L2 F U
B2 L2 B' D' F U B2
B' L2 B' F2 L2 F U
B2 L2 B' F L2 U D
B2 L2 B' F L2 U D'
B2 L2 B' F L2 U D2
B2 L2 B' F L2 D U
B2 L2 B' F L2 D' U
B2 L2 B' F L2 D2 U
B2 L2 B' F U D' B2
B2 L2 B' F D' U B2
D2 L2 B2 L2 F B U
B2 L2 B' F' L2 F2 U
D2 L2 B2 L2 B F U
B2 L2 B' F2 L2 F' U
D' L2 B2 L2 F B U
D' L2 B2 L2 B F U
D L2 B2 L2 F B U
D L2 B2 L2 B F U
B2 L2 B2 F L2 B U
U R U D' F U' L'
U' R U' D' F U' L'
B' R U2 F B2 L U'
B' R U2 B2 F L U'
U' R D' U' F U' L'
U2 R D' R' F U' L'
U2 R D' F R' U' L'
U R D' U F U' L'
U2 R F R' D B U'
U2 R F R' D' B U'
U2 R F R' D2 B U'
U2 R F R' B U' D
U2 R F R' B U' D'
U2 R F R' B U' D2
U2 R F R' B D U'
U2 R F R' B D' U'
U2 R F R' B D2 U'
U2 R F' R' F2 B U'
U2 R F' R' B F2 U'
U R' U F U R U2
U' R' U' F B U' L
U' R' U' B F U' L
F' R' U2 F2 L' B' U'
U2 R' D R F B U'
U2 R' D R B F U'
U2 R' D' R F B U'
U2 R' D' R B F U'
U2 R' D2 R F B U'
U2 R' D2 R B F U'
U2 R' B R F B U'
U2 R' B R B F U'
U2 R' B' R F B U'
U2 R' B' R B F U'
U2 R' B2 R F B U'
U2 R' B2 R B F U'
U' R2 L2 U F' B' U
U' R2 L2 U B' F' U
R2 U2 F U' D' L2 F2
R2 U2 F U' D' F2 L2
R2 U2 F U2 R2 F2 U
R2 U2 F U2 F2 R2 U
R2 U2 F D' U' L2 F2
R2 U2 F D' U' F2 L2
R2 U2 F D2 L2 B2 U'
R2 U2 F D2 B2 L2 U'
R' U2 F2 L' F' B' U'
U R2 L2 U' F' B' U
R' U2 F2 L' B' F' U'
U R2 L2 U' B' F' U
U' R2 U F' U D R2
U' R2 U F' U2 F2 U'
U' R2 U F' D U R2
U' R2 U F' D2 B2 U
U' R2 U' F U' D' L2
U' R2 U' F U2 F2 U
U' R2 U' F D' U' L2
U' R2 U' F D2 B2 U'
U R2 U F U' D' L2
U R2 U F U2 F2 U
U R2 U F D' U' L2
U R2 U F D2 B2 U'
L2 U2 B U' D' R2 B2
L2 U2 B U' D' B2 R2
L2 U2 B U2 L2 B2 U
L2 U2 B U2 B2 L2 U
L2 U2 B D' U' R2 B2
L2 U2 B D' U' B2 R2
L2 U2 B D2 R2 F2 U'
L2 U2 B D2 F2 R2 U'
U R2 U' F' U D R2
U R2 U' F' U2 F2 U'
U R2 U' F' D U R2
U R2 U' F' D2 B2 U
L' U2 B2 R' F' B' U'
L' U2 B2 R' B' F' U'
L' D L U2 F B U'
L' D L U2 B F U'
F2 R2 D' F' B U F'
F2 R2 D' B F' U F'
U2 R2 F R2 U' D' L2
U2 R2 F R2 U2 F2 U
U2 R2 F R2 D' U' L2
U2 R2 F R2 D2 B2 U'
F2 R2 F B R2 F2 U
D' R2 F' R2 U D R2
D' R2 F' R2 U2 F2 U'
D' R2 F' R2 D U R2
D' R2 F' R2 D2 B2 U
D2 R2 F' R2 U D R2
D2 R2 F' R2 U2 F2 U'
D2 R2 F' R2 D U R2
D2 R2 F' R2 D2 B2 U
F' R2 F' R2 D B U
F' R2 F' R2 D' B U
F' R2 F' R2 D2 B U
F' R2 F' R2 B U D
F' R2 F' R2 B U D'
F' R2 F' R2 B U D2
F' R2 F' R2 B D U
F' R2 F' R2 B D' U
F' R2 F' R2 B D2 U
F R2 F R2 F2 B U
F R2 F R2 B F2 U
R' D R U2 F B U'
R' D R U2 B F U'
F2 R2 F' R2 U2 F' U'
F' R2 F' B R2 B U
F' R2 F' B' R2 B U
F' R2 F' B2 R2 B U
F2 R2 F' D' B U F2
D R2 F' R2 U D R2
D R2 F' R2 U2 F2 U'
D R2 F' R2 D U R2
D R2 F' R2 D2 B2 U
F2 R2 F' B R2 U D
F2 R2 F' B R2 U D'
F2 R2 F' B R2 U D2
F2 R2 F' B R2 D U
F2 R2 F' B R2 D' U
F2 R2 F' B R2 D2 U
F2 R2 F' B U D' F2
F2 R2 F' B D' U F2
F2 R2 F' B' R2 B2 U
F2 R2 F' B2 R2 B' U
D' R2 F2 R2 F B U
D' R2 F2 R2 B F U
D2 R2 F2 R2 F B U
D2 R2 F2 R2 B F U
F R2 F' R2 U2 F U'
D R2 F2 R2 F B U
F2 R2 F2 B R2 F U
D R2 F2 R2 B F U
F2 R2 B R2 U2 B U'
U2 R2 B R2 F B U'
U2 R2 B R2 B F U'
F' R2 B F' R2 B U
F2 R2 B D' F' U F'
F2 R2 B F R2 F2 U
F2 R2 B F' R2 U D
F2 R2 B F' R2 U D'
F2 R2 B F' R2 U D2
F2 R2 B F' R2 D U
F2 R2 B F' R2 D' U
F2 R2 B F' R2 D2 U
F2 R2 B F' U D' F2
F2 R2 B F' D' U F2
F2 R2 B F2 R2 F U
U2 R2 B' R2 F B U'
U2 R2 B' R2 B F U'
F' R2 B' F' R2 B U
F2 R2 B' F' R2 B2 U
U2 R2 B2 R2 F B U'
U2 R2 B2 R2 B F U'
F' R2 B2 F' R2 B U
F' U L U F2 B U'
F' U L U B F2 U'
F2 R2 B2 F' R2 B' U
F2 U L U F' B U'
F2 U L U B F' U'
F' U L' U F2 B U'
F' U L' U B F2 U'
U2 D L B L' F U'
F2 U L' U F' B U'
F2 U L' U B F' U'
F' U L2 U F2 B U'
F' U L2 U B F2 U'
B2 U L2 U' F B' U
F2 U L2 U F' B U'
B2 U L2 U' B' F U
F2 U L2 U B F' U'
B' U R U F B2 U'
B' U R U B2 F U'
B2 U R U F B' U'
B2 U R U B' F U'
R2 D F' D2 B2 U F2
U2 D R F R' B U'
B' U R' U F B2 U'
B' U R' U B2 F U'
B2 U R' U F B' U'
B2 U R' U B' F U'
B' U R2 U F B2 U'
B' U R2 U B2 F U'
B2 U R2 U F B' U'
B2 U R2 U B' F U'
F2 U R2 U' F' B U
F2 U R2 U' B F' U
B' U D L2 U' B' U
F' U D R2 U' F' U
L2 D B' D2 F2 U B2
U2 D F L B L' U'
U2 D F L2 B L2 U'
D' U F B U' F' B'
D' U F B U' B' F'
D2 U F B U' F' B'
D2 U F B U' B' F'
U2 D F D B U' D
U2 D F D B U' D'
U2 D F D B U' D2
U2 D F D B D U'
U2 D F D B D' U'
U2 D F D B D2 U'
U2 D F D' B U' D
U2 D F D' B U' D'
U2 D F D' B U' D2
U2 D F D' B D U'
U2 D F D' B D' U'
U2 D F D' B D2 U'
U2 D F D2 B U' D
U2 D F D2 B U' D'
U2 D F D2 B U' D2
U2 D F D2 B D U'
U2 D F D2 B D' U'
U2 D F D2 B D2 U'
L' D' L U2 F B U'
U2 D F B' U' D L2
U2 D F B' D U' L2
L' D' L U2 B F U'
U2 D F B2 D B' U'
U2 D F B2 D' B' U'
U2 D F B2 D2 B' U'
D U F B U' F' B'
D U F B U' B' F'
U2 D F' D B U' R2
U D F B U' F' B'
U D F B U' B' F'
U2 D F' B U' D R2
U2 D F' B D U' R2
U2 D F2 D F' B U'
U2 D F2 D B F' U'
U2 D F2 D' F' B U'
U2 D F2 D' B F' U'
U2 D F2 D2 F' B U'
U2 D F2 D2 B F' U'
U2 D F2 B D F' U'
U2 D F2 B D' F' U'
U2 D F2 B D2 F' U'
B' U F B2 U' F' B2
B' U F B2 U' B2 F'
B2 U F B' U' F' B
B2 U F B' U' B F'
U2 D B R F R' U'
L D' L' U2 B U' R'
D' U B F U' F' B'
D' U B F U' B' F'
D2 U B F U' F' B'
D2 U B F U' B' F'
U2 D B R2 F R2 U'
R' D' R U2 F B U'
R' D' R U2 B F U'
B' U F' D R2 F L2
B' U F' D F L2 R2
B' U F' D F R2 L2
U2 D B D F U' D
U2 D B D F U' D'
U2 D B D F U' D2
U2 D B D F D U'
U2 D B D F D' U'
U2 D B D F D2 U'
U2 D B D' F U' D
U2 D B D' F U' D'
U2 D B D' F U' D2
U2 D B D' F D U'
U2 D B D' F D' U'
U2 D B D' F D2 U'
U2 D B D2 F U' D
U2 D B D2 F U' D'
U2 D B D2 F U' D2
U2 D B D2 F D U'
U2 D B D2 F D' U'
U2 D B D2 F D2 U'
U2 D B F' U' D R2
U2 D B F' D U' R2
U2 D B F2 D F' U'
U2 D B F2 D' F' U'
U2 D B F2 D2 F' U'
F2 U F' B U' F B'
F2 U F' B U' B' F
D U B F U' F' B'
D U B F U' B' F'
U2 D B' D F U' L2
U D B F U' F' B'
U D B F U' B' F'
F' U F2 B U' F2 B'
F' U F2 B U' B' F2
U2 D B' F U' D L2
U2 D B' F D U' L2
U2 D B2 D F B' U'
U2 D B2 D B' F U'
U2 D B2 D' F B' U'
U2 D B2 D' B' F U'
U2 D B2 D2 F B' U'
U2 D B2 D2 B' F U'
U2 D B2 F D B' U'
U2 D B2 F D' B' U'
U2 D B2 F D2 B' U'
F' U B F2 U' F2 B'
F' U B F2 U' B' F2
F2 U B F' U' F B'
F2 U B F' U' B' F
R D' R' U2 F U' L'
F' U B' D L2 B R2
F' U B' D B L2 R2
F' U B' D B R2 L2
U2 D' L B L' F U'
B2 U B' F U' F' B
B2 U B' F U' B F'
B' U B2 F U' F' B2
B' U B2 F U' B2 F'
F' U' L U' F2 B U'
F' U' L U' B F2 U'
F2 U' L U' F' B U'
F2 U' L U' B F' U'
F' U' L' U' F2 B U'
F' U' L' U' B F2 U'
U2 D' R F R' B U'
F2 U' L' U' F' B U'
F2 U' L' U' B F' U'
F' U' L2 U' F2 B U'
F' U' L2 U' B F2 U'
B2 U' L2 U F B' U
B2 U' L2 U B' F U
F2 U' L2 U' F' B U'
F2 U' L2 U' B F' U'
R2 D' F' U D F' R2
B' U' R U' F B2 U'
B U' L2 U B' U L2
B' U' R U' B2 F U'
R2 D' F' U2 F2 U' F
R2 D' F' D U F' R2
B2 U' R U' F B' U'
B2 U' R U' B' F U'
R2 D' F' D2 B2 U F'
U2 D' F L B L' U'
U2 D' F L2 B L2 U'
B' U' R' U' F B2 U'
B' U' R' U' B2 F U'
B2 U' R' U' F B' U'
B2 U' R' U' B' F U'
U2 D' F D B U' D
U2 D' F D B U' D'
U2 D' F D B U' D2
U2 D' F D B D U'
U2 D' F D B D' U'
U2 D' F D B D2 U'
U2 D' F D' B U' D
U2 D' F D' B U' D'
U2 D' F D' B U' D2
U2 D' F D' B D U'
U2 D' F D' B D' U'
U2 D' F D' B D2 U'
U2 D' F D2 B U' D
U2 D' F D2 B U' D'
U2 D' F D2 B U' D2
U2 D' F D2 B D U'
U2 D' F D2 B D' U'
U2 D' F D2 B D2 U'
U2 D' F B' U' D L2
U2 D' F B' D U' L2
U2 D' F B2 D B' U'
U2 D' F B2 D' B' U'
U2 D' F B2 D2 B' U'
B' U' R2 U' F B2 U'
B' U' R2 U' B2 F U'
B2 U' R2 U' F B' U'
B2 U' R2 U' B' F U'
F2 U' R2 U F' B U
F2 U' R2 U B F' U
U2 D' F' D B U' R2
U D' F B U' F' B'
U D' F B U' B' F'
U2 D' F' B U' D R2
U2 D' F' B D U' R2
L2 D' B' U D B' L2
L2 D' B' U2 B2 U' B
L2 D' B' D U B' L2
L2 D' B' D2 F2 U B'
U2 D' F2 D F' B U'
U2 D' F2 D B F' U'
F U' R2 U F' U R2
U2 D' F2 D' F' B U'
U2 D' F2 D' B F' U'
U2 D' F2 D2 F' B U'
U2 D' F2 D2 B F' U'
U2 D' F2 B D F' U'
U2 D' F2 B D' F' U'
U2 D' F2 B D2 F' U'
F' U' D' L2 U' B U'
B' U' D' R2 U' F U'
U2 D' B R F R' U'
L' D2 L U2 F B U'
L' D2 L U2 B F U'
U2 D' B R2 F R2 U'
U2 D' B D F U' D
U2 D' B D F U' D'
U2 D' B D F U' D2
U2 D' B D F D U'
U2 D' B D F D' U'
U2 D' B D F D2 U'
U2 D' B D' F U' D
U2 D' B D' F U' D'
U2 D' B D' F U' D2
U2 D' B D' F D U'
U2 D' B D' F D' U'
U2 D' B D' F D2 U'
U2 D' B D2 F U' D
U2 D' B D2 F U' D'
U2 D' B D2 F U' D2
U2 D' B D2 F D U'
U2 D' B D2 F D' U'
U2 D' B D2 F D2 U'
U2 D' B F' U' D R2
U2 D' B F' D U' R2
U2 D' B F2 D F' U'
U2 D' B F2 D' F' U'
U2 D' B F2 D2 F' U'
U2 D' B' D F U' L2
U D' B F U' F' B'
U D' B F U' B' F'
U2 D' B' F U' D L2
U2 D' B' F D U' L2
U2 D' B2 D F B' U'
U2 D' B2 D B' F U'
U2 D' B2 D' F B' U'
U2 D' B2 D' B' F U'
U2 D' B2 D2 F B' U'
U2 D' B2 D2 B' F U'
U2 D' B2 F D B' U'
U2 D' B2 F D' B' U'
U2 D' B2 F D2 B' U'
D' U2 L B L' F U'
R' D2 R U2 F B U'
R' D2 R U2 B F U'
D2 U2 L B L' F U'
U2 D2 L B L' F U'
D U2 L B L' F U'
D' U2 R F R' B U'
D2 U2 R F R' B U'
U2 D2 R F R' B U'
D U2 R F R' B U'
