F' L D' R F2 B
F' L D' R B F2
F' R2 U L R' B
F' R2 U R' L B
L F D' F2 R B
F' D' L R F2 B
F' D' L R B F2
F' D' R L F2 B
F' D' R L B F2
F' D' R F2 L B
F' D' R F2 L B
L F' D' R F2 B
L F' D' R B F2
F D' F2 L R B
F D' F2 R L B
F' R2 D2 U R' L B'
F' R2 F U L R' B
F' R2 F U R' L B
U' R2 F' U L R B
U' R2 F' U R L B
F' R2 F' U L R' B
F' R2 F' U R' L B
U R2 F' L' U L2 R
U R2 F' L' U R L2
F' R2 F2 U L R' B
F' R2 F2 U R' L B
L D' R F2 D' B R'
L D' F' D F' R B
L D' F2 R D' B R'
L D' F2 D' R B R'
R D2 L B R' D' F2
L D2 R B R' D F2
L D2 R B D R' F2
L D2 R B D F2 R'
R2 D2 U L B R' B2
F' D L R D2 F2 B
F' D L R D2 B F2
F' D L D2 R F2 B
F' D L D2 R B F2
F' D R L D2 F2 B
F' D R L D2 B F2
F' D R D2 L F2 B
F' D R D2 L B F2
F' D R D2 F2 L B
L F D' R F2 B R
L F D' R B F2 R
L F D' F2 R D B
L F D' F2 R D' B
L F D' F2 R D2 B
L F D' F2 R B D
L F D' F2 R B D'
L F D' F2 R B D2
L F D' F2 D R B
L F D' F2 D' R B
L F D' F2 D2 R B
L F D' F2 B R B
L F D' F2 B' R B
L F D' F2 B2 R B
L F D' B F2 R B
L F D' B' F2 R B
L F D' B2 F2 R B
L F B D' F2 R B
L F B' D' F2 R B
L F B2 D' F2 R B
U F' L D' R F2 B2
U F' L D' R B2 F2
U F' L D' B2 R F2
L' F' L2 D' R F2 B
L' F' L2 D' R B F2
U F' L' R2 U L2 R'
U F' L' R2 U R' L2
L' F' R2 U L2 R' B
L' F' R2 U R' L2 B
L' F' R2 U R' B L2
L F' R B U' R U
R' F' U R' U L R2
R' F' U R' U R2 L
U F' R2 L' U L2 R'
U F' R2 L' U R' L2
F' D B2 R' U2 R2 B
F' D B2 R' F' U2 R2
R2 F' U L R' B R2
F2 D B2 R' F' L' U2
R2 F' U R' L B R2
R2 F' U D2 L R B'
R2 F' U D2 L B' R
R2 F' U D2 R L B'
F' D' L R F2 D B
F' D' L R F2 D' B
F' D' L R F2 D2 B
F' D' L R F2 B D
F' D' L R F2 B D'
F' D' L R F2 B D2
F' D' L R B F2 D
F' D' L R B F2 D'
F' D' L R B F2 D2
R' F' U2 L R D' F2
F' D' L R2 F2 R' B
R' F' U2 R L D' F2
R' F' U2 R D' L F2
R' F' U2 R D' F2 L
R F' U L B R F
F D B2 L' R' F' U2
F' D' L B R F2 B
F' D' L B R B F2
F D B2 R' L' F' U2
F' D' L B' R F2 B
F' D' L B' R B F2
F2 D' L F R F B
F2 D' L F R B F
F' D' L B2 R F2 B
F' D' L B2 R B F2
F' D' L' R F2 L2 B
F' D' L' R F2 B L2
F' D' L' R B L2 F2
F' D' L' R B F2 L2
D' F' D L F' R B
D' F' D F' L R B
D' F' D F' R L B
F' D' L2 R B L' F2
F' D' R L F2 D B
F' D' R L F2 D' B
F' D' R L F2 D2 B
F' D' R L F2 B D
F' D' R L F2 B D'
F' D' R L F2 B D2
F' D' R L B F2 D
F' D' R L B F2 D'
F' D' R L B F2 D2
F' D' R L' F2 L2 B
F' D' R L' F2 B L2
F' D' R L' B L2 F2
F' D' R L' B F2 L2
F' D' R L2 B L' F2
L F' D R D2 F2 B
L F' D R D2 B F2
F' D' R F' L F' B
F' D' R F' L B F'
F' D' R F2 L D B
F' D' R F2 L D' B
F' D' R F2 L D2 B
F' D' R F2 L B D
F' D' R F2 L B D'
F' D' R F2 L B D2
F' D' R F2 L' B L2
F' D' R F2 L2 B L'
F' D' R F2 D L B
F' D' R F2 D' L B
F' D' R F2 D2 L B
L F' D' R F2 D B
L F' D' R F2 D' B
L F' D' R F2 D2 B
L F' D' R F2 B D
L F' D' R F2 B D'
L F' D' R F2 B D2
L F' D' R B F2 D
L F' D' R B F2 D'
L F' D' R B F2 D2
L F' D' R2 F2 R' B
R2 F' D2 U L R B'
R2 F' D2 U L B' R
R2 F' D2 U R L B'
F' D' R2 L F2 R' B
L F' D' B R F2 B
L F' D' B R B F2
L F' D' B' R F2 B
L F' D' B' R B F2
L F' D' B2 R F2 B
L F' D' B2 R B F2
F D' R F2 L B R
L F' D2 R D F2 B
L F' D2 R D B F2
L F' D2 R B D F2
F' D' R2 F2 L R' B
F' D' R2 F2 R' L B
D' F2 L R B D' R2
L F' B D' R F2 B
L F' B D' R B F2
L F' B' D' R F2 B
L F' B' D' R B F2
L F' B2 D' R F2 B
L F' B2 D' R B F2
F2 D' F R F L B
D' F2 R L B D' R2
D' F2 R D' L B R'
F D' F' L F' R B
F D' F2 L R D B
F D' F2 L R D' B
F D' F2 L R D2 B
F D' F2 L R B D
F D' F2 L R B D'
F D' F2 L R B D2
F D' F2 L D R B
F D' F2 L D' R B
F D' F2 L D2 R B
F D' F2 L B R B
F D' F2 L B' R B
F D' F2 L B2 R B
F D' F2 L' R B L2
F D' F2 L2 R B L'
F D' F2 R L D B
F D' F2 R L D' B
F D' F2 R L D2 B
F D' F2 R L B D
F D' F2 R L B D'
F D' F2 R L B D2
F D' F2 R L' B L2
F D' F2 R L2 B L'
F D' F2 R D L B
F D' F2 R D' L B
F D' F2 R D2 L B
F D' F2 D L R B
F D' F2 D R L B
F' D' B' R F2 B L
F' D' B' R B L F2
F' D' B' R B F2 L
F D' F2 D' L R B
F D' F2 D' R L B
F D' F2 D2 L R B
F D' F2 D2 R L B
F D' F2 B' R B L
F D' B' F2 R B L
D' F2 D' L R B R'
D' F2 D' R L B R'
F' D2 R D L F2 B
F' D2 R D L B F2
F' D2 R D F2 L B
L F2 D' F R F B
L F2 D' F R B F
L B F D' F2 R B
L B F' D' R F2 B
L B F' D' R B F2
B' F D' F2 R B L
L B' F D' F2 R B
B' F' D' R F2 B L
B' F' D' R B L F2
B' F' D' R B F2 L
F' B' D' R F2 B L
F' B' D' R B L F2
F' B' D' R B F2 L
L B' F' D' R F2 B
L B' F' D' R B F2
F B' D' F2 R B L
D B2 R' F' U B U
D B2 D' R' F' U2 R
L B2 F D' F2 R B
L B2 F' D' R F2 B
L B2 F' D' R B F2
