U L U F' L'
U2 F' L' D' B2
U L U L F' L'
U L U L' F' L'
U L U L2 F' L'
U L U D F' L'
U L U D' F' L'
U L U D2 F' L'
U L U F' L' D
U L U F' L' D'
U L U F' L' D2
U L U F' D L'
U L U F' D' L'
U L U F' D2 L'
U L D U F' L'
U L D' U F' L'
U L D2 U F' L'
U2 L' D' F' L' B2
U2 L' D' F' B2 L'
U2 L' D' B2 F' L'
U2 L' F' D' L' B2
U2 L' F' D' B2 L'
D2 U L U F' L'
D' U L U F' L'
U D L U F' L'
D U L U F' L'
U2 D F' L' D' B2
U D' L U F' L'
U2 D' F' L' D' B2
U D2 L U F' L'
D' U2 F' L' D' B2
U2 D2 F' L' D' B2
D2 U2 F' L' D' B2
D U2 F' L' D' B2
B U2 D L F' B'
B U2 D L B' F'
B U2 D F' L B'
B U2 F' D L B'
U2 F' L' U' L2 U
U2 F' L' D' B2 D
U2 F' L' D' B2 D'
U2 F' L' D' B2 D2
U2 F' L' B D' B2
U2 F' L' B' D' B2
U2 F' L' B2 D' B2
B D U2 L F' B'
B D U2 L B' F'
B D U2 F' L B'
U2 F' U' L U L2
U2 F' D L' D' B2
U2 F' D' L' D' B2
U2 F' D2 L' D' B2
R2 B U2 D L B'
R2 B D U2 L B'
U' B' U' F' L' B'
U' L' B' U' D' F' B2
U' L' B' U' D' B2 F'
U' L' B' U' F' D' B2
U' L' B' U2 L2 U F'
U' L' B' D' U' F' B2
U' L' B' D' U' B2 F'
U2 L' B' D' F' L' B2
U2 L' B' D' F' B2 L'
U2 L' B' D' B2 F' L'
U2 L' B' F' D' L' B2
U2 L' B' F' D' B2 L'
U2 L' B2 D' F' L' B2
U2 L' B2 D' F' B2 L'
U2 L' B2 D' B2 F' L'
U2 L' B2 F' D' L' B2
U2 L' B2 F' D' B2 L'
U2 L2 U' L' U F' L'
U' L2 U2 L' F U F2
U L2 D L' U F' L'
U L2 D' L' U F' L'
R2 U L U' B U2 L
U L2 D2 L' U F' L'
U2 L2 F' L2 D' L B'
U2 L2 F' D' L B' L2
F' L2 B L D' B2 R'
B R U2 D L F B'
B R U2 D L B' F
B R D U2 L F B'
B R D U2 L B' F
L U' L' U' B' U' F'
U' R B2 R' U' F' L'
U R' L D' F' R U
U R' L F' R U F'
B' R' U R U F' B
B' R' U R U B F'
U R' D' L F' R U
U R' D' F' L R U
U R' D' F' R L U
U R' F' L R U F'
U R' F' R L U F'
L' U2 D' F' B2 L' R'
L' U2 D' F' B2 R' L'
L' U2 D' B2 F' L' R'
L' U2 D' B2 F' R' L'
L' U2 F' D' B2 L' R'
L' U2 F' D' B2 R' L'
L U2 F2 U' R F L'
B' R2 B R U L U
D' R2 B U2 D L B'
D2 R2 B U2 D L B'
B2 R2 B R' U' R2 U'
B2 R2 B R' U2 D B2
B2 R2 B R' D U2 B2
B2 R2 B R' D' F2 U2
D' R2 B D U2 L B'
D2 R2 B D U2 L B'
D R2 B U2 D L B'
D R2 B D U2 L B'
D' U L U L F' L'
D' U L U L' F' L'
D' U L U L2 F' L'
D2 U L U L F' L'
D' U L U D F' L'
D2 U L U L' F' L'
D' U L U D' F' L'
D' U L U D2 F' L'
D2 U L U L2 F' L'
D' U L U F' L' D
D' U L U F' L' D'
D' U L U F' L' D2
D' U L U F' D L'
D' U L U F' D' L'
D' U L U F' D2 L'
D2 U L U D F' L'
D2 U L U D' F' L'
D2 U L U D2 F' L'
D2 U L U F' L' D
D2 U L U F' L' D'
D2 U L U F' L' D2
D2 U L U F' D L'
D2 U L U F' D' L'
D2 U L U F' D2 L'
D' U L D U F' L'
F' U L U2 L' B' U'
D2 U L D U F' L'
D' U L D' U F' L'
D2 U L D' U F' L'
D' U L D2 U F' L'
D2 U L D2 U F' L'
F2 U L U F' L' F
D U L U L F' L'
D U L U L' F' L'
D U L U L2 F' L'
D U L U D F' L'
D U L U D' F' L'
D U L U D2 F' L'
D U L U F' L' D
D U L U F' L' D'
D U L U F' L' D2
D U L U F' D L'
D U L U F' D' L'
D U L U F' D2 L'
F U L R' F' U F'
D U L D U F' L'
D U L D' U F' L'
F U L U F' L' F'
D U L D2 U F' L'
U D L U L F' L'
U D L U L' F' L'
U D L U L2 F' L'
U D L U D F' L'
U D L U D' F' L'
U D L U D2 F' L'
U D L U F' L' D
U D L U F' L' D'
U D L U F' L' D2
U D L U F' D L'
U D L U F' D' L'
U D L U F' D2 L'
U D L D U F' L'
U D L D' U F' L'
U D L D2 U F' L'
F U L F' U F' L'
U2 D L' D' F' L' B2
U2 D L' D' F' B2 L'
U2 D L' D' B2 F' L'
U2 D L' F' D' L' B2
U2 D L' F' D' B2 L'
F2 U R' F' L U F2
F U R' L F' U F'
R2 D B U2 D L B'
R2 D B D U2 L B'
F U R' F' L U F'
L' D' L U2 F' L' B2
L' D' L U2 F' B2 L'
L' D' L U2 B2 F' L'
U2 D F' L' U' L2 U
U2 D F' L' D' B2 D
U2 D F' L' D' B2 D'
U2 D F' L' D' B2 D2
U2 D F' L' B D' B2
U2 D F' L' B' D' B2
U2 D F' L' B2 D' B2
U2 D F' U' L U L2
U2 D F' D L' D' B2
U2 D F' D' L' D' B2
U2 D F' D2 L' D' B2
U' D B' U' F' L' B'
F U F' L U F' L'
F2 U F2 L U F' L'
U D' L U L F' L'
U D' L U L' F' L'
U D' L U L2 F' L'
U D' L U D F' L'
U D' L U D' F' L'
U D' L U D2 F' L'
U D' L U F' L' D
U D' L U F' L' D'
U D' L U F' L' D2
U D' L U F' D L'
U D' L U F' D' L'
U D' L U F' D2 L'
U D' L D U F' L'
U D' L D' U F' L'
U D' L D2 U F' L'
U2 D' L' D' F' L' B2
U2 D' L' D' F' B2 L'
U2 D' L' D' B2 F' L'
U2 D' L' F' D' L' B2
U2 D' L' F' D' B2 L'
L' D' U2 F' B2 L' R'
L' D' U2 F' B2 R' L'
F' U' L F U2 F' U'
L' D' U2 B2 F' L' R'
L' D' U2 B2 F' R' L'
L' D' F' B L B R'
L' D' B L F' B R'
L' D' B L B F' R'
L' D' B F' L B R'
U2 D' F' L' U' L2 U
U2 D' F' L' D' B2 D
U2 D' F' L' D' B2 D'
U2 D' F' L' D' B2 D2
U2 D' F' L' B D' B2
U2 D' F' L' B' D' B2
U2 D' F' L' B2 D' B2
R2 D' B U2 D L B'
R2 D' B D U2 L B'
U2 D' F' U' L U L2
U2 D' F' D L' D' B2
U2 D' F' D' L' D' B2
U2 D' F' D2 L' D' B2
U' D' B' U' F' L' B'
D' U' B' U' F' L' B'
D2 U' B' U' F' L' B'
D U' B' U' F' L' B'
D' U2 L' D' F' L' B2
D' U2 L' D' F' B2 L'
D' U2 L' D' B2 F' L'
D' U2 L' F' D' L' B2
D' U2 L' F' D' B2 L'
D2 U2 L' D' F' L' B2
D2 U2 L' D' F' B2 L'
D2 U2 L' D' B2 F' L'
U D2 L U L F' L'
U D2 L U L' F' L'
U D2 L U L2 F' L'
U D2 L U D F' L'
U D2 L U D' F' L'
D2 U2 L' F' D' L' B2
D2 U2 L' F' D' B2 L'
U D2 L U D2 F' L'
U D2 L U F' L' D
U D2 L U F' L' D'
U D2 L U F' L' D2
U D2 L U F' D L'
U D2 L U F' D' L'
U D2 L U F' D2 L'
U D2 L D U F' L'
U D2 L D' U F' L'
U D2 L D2 U F' L'
U2 D2 L' D' F' L' B2
U2 D2 L' D' F' B2 L'
U2 D2 L' D' B2 F' L'
U2 D2 L' F' D' L' B2
U2 D2 L' F' D' B2 L'
D U2 L' D' F' L' B2
D U2 L' D' F' B2 L'
D U2 L' D' B2 F' L'
D U2 L' F' D' L' B2
D U2 L' F' D' B2 L'
D' U2 F' L' U' L2 U
D' U2 F' L' D' B2 D
D' U2 F' L' D' B2 D'
D' U2 F' L' D' B2 D2
D' U2 F' L' B D' B2
D' U2 F' L' B' D' B2
D' U2 F' L' B2 D' B2
D2 U2 F' L' U' L2 U
D2 U2 F' L' D' B2 D
D2 U2 F' L' D' B2 D'
D2 U2 F' L' D' B2 D2
D2 U2 F' L' B D' B2
D2 U2 F' L' B' D' B2
D2 U2 F' L' B2 D' B2
D' U2 F' U' L U L2
D' U2 F' D L' D' B2
D2 U2 F' U' L U L2
D' U2 F' D' L' D' B2
D' U2 F' D2 L' D' B2
D2 U2 F' D L' D' B2
D2 U2 F' D' L' D' B2
U2 D2 F' L' U' L2 U
U2 D2 F' L' D' B2 D
U2 D2 F' L' D' B2 D'
U2 D2 F' L' D' B2 D2
U2 D2 F' L' B D' B2
D2 U2 F' D2 L' D' B2
U2 D2 F' L' B' D' B2
U2 D2 F' L' B2 D' B2
U2 D2 F' U' L U L2
U2 D2 F' D L' D' B2
D U2 F' L' U' L2 U
D U2 F' L' D' B2 D
D U2 F' L' D' B2 D'
D U2 F' L' D' B2 D2
D U2 F' L' B D' B2
D U2 F' L' B' D' B2
D U2 F' L' B2 D' B2
U2 D2 F' D' L' D' B2
U2 D2 F' D2 L' D' B2
D U2 F' U' L U L2
D U2 F' D L' D' B2
D U2 F' D' L' D' B2
D U2 F' D2 L' D' B2
U' D2 B' U' F' L' B'
R2 D2 B U2 D L B'
R2 D2 B D U2 L B'
B U2 D L D F' B'
B U2 D L D B' F'
B U2 D L D' F' B'
B U2 D L D' B' F'
B U2 D L D2 F' B'
B U2 D L D2 B' F'
B U2 D L F' D B'
B U2 D L F' D' B'
B U2 D L F' D2 B'
B U2 D L F' B' D
B U2 D L F' B' D'
B U2 D L F' B' D2
B U2 D L B' D F'
B U2 D L B' D' F'
B U2 D L B' D2 F'
B U2 D L B' F' D
B U2 D L B' F' D'
B U2 D L B' F' D2
B U2 D F L F2 B'
B U2 D F L B' F2
B U2 D F' L D B'
B U2 D F' L D' B'
B U2 D F' L D2 B'
B U2 D F' L B' D
B U2 D F' L B' D'
B U2 D F' L B' D2
B U2 D' F' D2 L B'
U F L R' F' U F'
U F L U F' L' F'
U F L F' U F' L'
U2 F L' F2 D' L' B2
U2 F L' F2 D' B2 L'
B' U2 F' L D' B2 L
F2 U2 F' L' F2 D' B2
B' U2 F' B2 L D' B2
B2 U2 F' B' D L B'
F U2 F' L' D' F' B2
F U2 F' L' D' B2 F'
F U2 F' L' F' D' B2
B U2 F' D L D B'
B U2 F' D L D' B'
B U2 F' D L D2 B'
B U2 F' D L B' D
B U2 F' D L B' D'
B U2 F' D L B' D2
B U2 F2 D F L B'
U F R' L F' U F'
U F R' F' L U F'
B2 U2 B' D L F' B'
B2 U2 B' D L B' F'
B2 U2 B' D F' L B'
B2 U2 B' F' D L B'
B' U2 B2 F' L D' B2
U2 F U' L U F2 L'
B D L F2 R F B'
B D L F2 R B' F
B D L F2 B' R F
B D L B' F2 R F
B D R U2 L F B'
B D R U2 L B' F
R2 F B U2 D L B'
R2 F B D U2 L B'
U2 F' L B L2 D' B2
U2 F' L B' L2 D' B2
U2 F' L B2 L2 D' B2
U2 F' L' R D' R' B2
U2 F' L' R' D' R B2
U2 F' L' R' D' B2 R
U F' L R' F' U F
U2 F' L' U D2 R2 U'
B D U2 L D F' B'
U2 F' L' U' L2 U D
U2 F' L' U' L2 U D'
U2 F' L' U' L2 U D2
B D U2 L D B' F'
U2 F' L' U' L2 D U
U2 F' L' U' L2 D' U
U2 F' L' U' L2 D2 U
B D U2 L D' F' B'
B D U2 L D' B' F'
B D U2 L D2 F' B'
B D U2 L D2 B' F'
B D U2 L F' D B'
B D U2 L F' D' B'
B D U2 L F' D2 B'
B D U2 L F' B' D
B D U2 L F' B' D'
B D U2 L F' B' D2
B D U2 L B' D F'
B D U2 L B' D' F'
B D U2 L B' D2 F'
B D U2 L B' F' D
B D U2 L B' F' D'
B D U2 L B' F' D2
U2 F' L' U2 D F2 U2
U2 F' L' D U2 F2 U2
U2 F' L' D B D2 B2
U2 F' L' D B' D2 B2
U2 F' L' D B2 D2 B2
U2 F' L' D' L B2 L'
U2 F' L' D' L2 B2 L2
U2 F' L' D' R' B2 R
U2 F' L' D' R2 B2 R2
U2 F' L' D' B D B
U2 F' L' D' B D' B
U2 F' L' D' B D2 B
U2 F' L' D' B' D B'
U2 F' L' D' B' D' B'
U2 F' L' D' B' D2 B'
U2 F' L' D2 U R2 U'
U2 F' L' D2 B D B2
U2 F' L' D2 B' D B2
U2 F' L' D2 B2 D B2
U2 F' L' F D' F' B2
U2 F' L' F D' B2 F'
B D U2 F L F2 B'
B D U2 F L B' F2
U F' L F U F' L'
U2 F' L' F' D' F B2
U2 F' L' F' D' B2 F
B D U2 F' L D B'
B D U2 F' L D' B'
B D U2 F' L D2 B'
B D U2 F' L B' D
B D U2 F' L B' D'
B D U2 F' L B' D2
U2 F' L' B U' L2 U
U2 F' L' B D' B2 D
U2 F' L' B D' B2 D'
U2 F' L' B D' B2 D2
U2 F' L' B' U' L2 U
U2 F' L' B' D' B2 D
U2 F' L' B' D' B2 D'
U2 F' L' B' D' B2 D2
U2 F' L' B2 U' L2 U
U2 F' L' B2 D' B2 D
U2 F' L' B2 D' B2 D'
U2 F' L' B2 D' B2 D2
B D F L F2 R B'
B D F L F2 B' R
B D F L B' F2 R
U2 F' L2 U' L' U L2
U2 F' L2 D L D' B2
U2 F' L2 D' L D' B2
U2 F' L2 D2 L D' B2
B D F U2 L F2 B'
B D F U2 L B' F2
B D F U2 F2 L B'
U2 F' R L' D' R' B2
U2 F' R' L' D' R B2
U2 F' R' L' D' B2 R
B D F2 U2 F L B'
U F' R' L F' U F
U2 F' U B' U' L' B'
U2 F' U B2 R' U' L'
U2 F' U' L U L2 D
U2 F' U' L U L2 D'
U2 F' U' L U L2 D2
U2 F' U' L D F2 U
U2 F' U' L F U L2
U2 F' U' L F' U L2
U2 F' U' L F2 U L2
U2 F' U' D L U L2
U2 F' U' D' L U L2
U2 F' U' D2 L U L2
U2 F' D L' U' L2 U
U2 F' D L' D' B2 D
U2 F' D L' D' B2 D'
U2 F' D L' D' B2 D2
U2 F' D L' B D' B2
U2 F' D L' B' D' B2
U2 F' D L' B2 D' B2
U2 F' D U' L U L2
U2 F' D' L' U' L2 U
U2 F' D' L' D' B2 D
U2 F' D' L' D' B2 D'
U2 F' D' L' D' B2 D2
U2 F' D' L' B D' B2
U2 F' D' L' B' D' B2
U2 F' D' L' B2 D' B2
L' F' D' B L B R'
U2 F' D' U' L U L2
U2 F' D2 L' U' L2 U
U2 F' D2 L' D' B2 D
U2 F' D2 L' D' B2 D'
U2 F' D2 L' D' B2 D2
U2 F' D2 L' B D' B2
U2 F' D2 L' B' D' B2
U2 F' D2 L' B2 D' B2
U2 F' D2 U' L U L2
B D' R F' U2 L F
U2 F' B L2 D L B'
U2 F' B D L B' L2
R2 F' B U2 D L B'
R2 F' B D U2 L B'
U2 F' B2 L' U R' U'
U2 F' B2 U R' U' L'
U F2 L U F' L' F
B D' U2 F' D2 L B'
U F2 R' F' L U F2
R2 F2 B U2 D L B'
R2 F2 B D U2 L B'
L F2 B U R F L
L2 B L D' F' B2 R'
L2 B L D' B2 F' R'
L2 B L F' D' B2 R'
R2 B R U2 D L B'
R2 B R D U2 L B'
R2 B R' U2 D L B'
R2 B R' D U2 L B'
R2 B R2 U2 D L B'
R2 B R2 D U2 L B'
L B U L D2 F' R2
L B U L F' D2 R2
D2 B U2 D L F' B'
D2 B U2 D L B' F'
D2 B U2 D F' L B'
D' B U2 D L F' B'
D' B U2 D L B' F'
D' B U2 D F' L B'
D2 B U2 F' D L B'
D' B U2 F' D L B'
L B U F2 R F L
L B U' L' U2 L2 F'
L B U' L' U2 F' L2
D2 B D U2 L F' B'
D2 B D U2 L B' F'
D2 B D U2 F' L B'
D' B D U2 L F' B'
D' B D U2 L B' F'
D' B D U2 F' L B'
R2 B U2 D L D B'
R2 B U2 D L D' B'
R2 B U2 D L D2 B'
R2 B U2 D L B' D
R2 B U2 D L B' D'
R2 B U2 D L B' D2
U2 B D L F' B' L'
U2 B D L B' F' L'
D B U2 D L F' B'
D B U2 D L B' F'
D B U2 D F' L B'
U2 B D L2 F' L' B'
D B U2 F' D L B'
U2 B D F' L B' L2
R2 B D R U2 L B'
R2 B D R' U2 L B'
R2 B D R2 U2 L B'
R2 B D U2 L D B'
R2 B D U2 L D' B'
R2 B D U2 L D2 B'
R2 B D U2 L B' D
R2 B D U2 L B' D'
R2 B D U2 L B' D2
R2 B D F U2 L B'
R2 B D F' U2 L B'
R B U2 D L F B'
D B D U2 L F' B'
R B U2 D L B' F
D B D U2 L B' F'
D B D U2 F' L B'
R2 B D F2 U2 L B'
R2 B D' R F' U2 L
R2 B D' R' U2 L B
R B D U2 L F B'
R B D U2 L B' F
U2 B F' L2 D L B'
R2 B F U2 D L B'
R2 B F D U2 L B'
U2 B F' D L B' L2
R2 B F' U2 D L B'
R2 B F' D U2 L B'
R2 B F2 U2 D L B'
R2 B F2 D U2 L B'
L B F2 U R F L
F2 B U2 D F L B'
F2 B U2 F D L B'
F2 B D U2 F L B'
B F U2 F2 D L B'
F B U2 F2 D L B'
R' B' R' B U L U
U' B' U' L' F' B' L'
U' B' U' L' B' F' L'
U' B' U' D F' L' B'
U' B' U' D' F' L' B'
U' B' U' D2 F' L' B'
U' B' U' F' L' D B'
U' B' U' F' L' D' B'
U' B' U' F' L' D2 B'
U' B' U' F' L' B' D
U' B' U' F' L' B' D'
U' B' U' F' L' B' D2
U' B' U' F' D L' B'
U' B' U' F' D' L' B'
U' B' U' F' D2 L' B'
U' B' U' F' B L' B'
U' B' U' F' B' L' B'
U' B' U' F' B2 L' B'
U' B' U' B F' L' B'
U' B' U' B' F' L' B'
U' B' U' B2 F' L' B'
U' B' D U' F' L' B'
U' B' D' U' F' L' B'
U' B' D2 U' F' L' B'
B F2 U2 D F L B'
B F2 U2 F D L B'
B F2 D U2 F L B'
U2 B2 F' L' U R' U'
U2 B2 F' U R' U' L'
