F2 R U R B
F2 L R U R B
F2 L' R U R B
F2 L2 R U R B
F2 R L U R B
F2 R L' U R B
F2 R L2 U R B
F2 R U R D B
F2 R U R D' B
F2 R U R D2 B
F2 R U R B D
F2 R U R B D'
F2 R U R B D2
F2 R U D R B
F2 R U D' R B
F2 R U D2 R B
F2 R U B R B
F2 R U B' R B
F2 R U B2 R B
F2 R D U R B
F2 R D' U R B
F2 R D2 U R B
F2 R B L U R
U F2 R U B R
F2 B L R U R
F2 B R L U R
B F2 L R U R
B F2 R L U R
B F2 L B2 R U R
B' F2 R U D R B2
B' F2 R U D B2 R
B' F2 R U2 R2 U' R'
B' F2 R D U R B2
B' F2 R D U B2 R
B' F2 R D2 L2 U R
B2 F2 R B' L U R
B2 F2 R B2 U R B
B F2 R L U R D
B F2 R L U R D'
B F2 R L U R D2
B F2 R L U D R
B F2 R L U D' R
B F2 R L U D2 R
F2 B2 R B' L U R
B F2 R L D U R
B F2 R L D' U R
B F2 R L D2 U R
B F2 R L B U R
B F2 R L B' U R
B F2 R L B2 U R
F2 B2 R B2 U R B
B F2 R D L U R
B F2 R D' L U R
B F2 R D2 L U R
B F2 R B' U R B
B' F2 D B2 L R U
B' F2 D B2 R L U
B F2 D L R B2 U
B F2 D L B2 R U
B F2 D R L B2 U
U B2 F2 R U B R
