L U R2 F' U
L R U R F' U
R L U R F' U
R2 L U F' U F
D2 L U' L B U'
D' L U' B U' F2
D L B2 U' B' U'
L R2 U F' U F
L U R2 D F' U
L U R2 D' F' U
L U R2 D2 F' U
L U R2 F' U D
L U R2 F' U D'
L U R2 F' U D2
L U R2 F' D U
L U R2 F' D' U
L U R2 F' D2 U
L U F R2 F' U
L U F' R2 F' U
L U F2 R2 F' U
L U' D' B U' F2
L U' D2 L2 B U'
L U' D2 B L2 U'
L U' B U' D' F2
L U' B U2 R2 U
L U' B D' U' F2
L U' B D2 L2 U'
U R2 F' U' L U2
U R2 F' B2 U R'
U R2 B2 F' U R'
L D B2 U' B' U'
L D' U' B U' F2
L D2 U' L2 B U'
L D2 U' B L2 U'
R2 F' U' F L U2
L B' D B2 U2 L2
L B' D' R2 U2 F2
D L B' U2 D L2 F
D L B' D U2 L2 F
D L B' D B' U2 L2
D L B' D' R2 B' U2
D L B' D' B' R2 U2
D L B2 R U' B' U'
L R' U' B U' L F
D L B2 R' U' B' U'
D L B2 R2 U' B' U'
D' L B2 U' B' U' F2
D L B2 U' D B' U'
D L B2 U' D' B' U'
D L B2 U' D2 B' U'
D L B2 U' B' U' D
D L B2 U' B' U' D'
D L B2 U' B' U' D2
D L B2 U' B' D U'
D L B2 U' B' D' U'
D L B2 U' B' D2 U'
D L B2 D U' B' U'
D L B2 D' U' B' U'
D L B2 D2 U' B' U'
R2 L' F' U' L2 U2 B'
R2 L' F' U' F L2 U2
U' L' D2 L2 B U' R2
U' L' D2 B L2 U' R2
L R2 U D F' U F
L R2 U D' F' U F
L R2 U D2 F' U F
L R2 U F' R U F
L R2 U F' R' U F
L R2 U F' R2 U F
L R2 U F' U D F
L R2 U F' U D' F
L R2 U F' U D2 F
L R2 U F' U F D
L R2 U F' U F D'
L R2 U F' U F D2
L R2 U F' D U F
L R2 U F' D' U F
L R2 U F' D2 U F
U' L' B D2 L2 U' R2
L R2 D U F' U F
D L' B2 L2 U F U
L R2 D' U F' U F
L R2 D2 U F' U F
L' R2 F' U' L2 U2 B'
L' R2 F' U' F L2 U2
L2 R2 F' U' F L' U2
R2 L2 F' U' F L' U2
B2 L2 U F R2 U R
D' L2 U' B U' F2 R
L R2 B U F' U F
L R2 B' U F' U F
L R2 B2 U F' U F
U' L2 D' B U' F2 R
L U L' R2 F' L U
B2 L2 F R2 U B R
L U L2 R2 F' L2 U
R U R F' U' L U2
R U R F' B2 U R'
R U R B2 F' U R'
L U R' D R' F' U
L U R' D' R' F' U
U' L2 B U' D' F2 R
L U R' D2 R' F' U
L U R' F R' F' U
L U R' F' R' F' U
U' L2 B D' U' F2 R
L U R' F2 R' F' U
L' U R2 D' F' B2 U
L' U R2 D' B2 F' U
L' U R2 D2 F' U R2
L' U R2 F' U D2 R2
L' U R2 F' U' L2 U2
L' U R2 F' D' B2 U
L' U R2 F' D2 U R2
L U R2 L' F' L U
L U R2 L2 F' L2 U
L U R2 D F' U D
L U R2 D F' U D'
L U R2 D F' U D2
L U R2 D F' D U
L U R2 D F' D' U
L U R2 D F' D2 U
L U R2 D' F' U D
L U R2 D' F' U D'
L U R2 D' F' U D2
L U R2 D' F' D U
L U R2 D' F' D' U
L U R2 D' F' D2 U
L U R2 D2 F' U D
L U R2 D2 F' U D'
L U R2 D2 F' U D2
L U R2 D2 F' D U
L U R2 D2 F' D' U
L U R2 D2 F' D2 U
L U R2 F U D' L2
L U R2 F D' U L2
L U R2 F2 D F U
L U R2 F2 D' F U
L U R2 F2 D2 F U
L U D' R2 F' U F'
L U F R2 D F' U
L U F R2 D' F' U
L U F R2 D2 F' U
L U F R2 F' U D
L U F R2 F' U D'
L U F R2 F' U D2
L U F R2 F' D U
L U F R2 F' D' U
L U F R2 F' D2 U
L2 U F' R2 F' U R
L U F' R2 D F' U
L U F' R2 D' F' U
L U F' R2 D2 F' U
L U F' R2 F' U D
L U F' R2 F' U D'
L U F' R2 F' U D2
L U F' R2 F' D U
L U F' R2 F' D' U
L U F' R2 F' D2 U
R2 U F' B2 U R' F
R2 U F' B2 U F R'
L2 U F2 R2 F' U R'
L U F2 R2 D F' U
L U F2 R2 D' F' U
L U F2 R2 D2 F' U
L U F2 R2 F' U D
L U F2 R2 F' U D'
L U F2 R2 F' U D2
L U F2 R2 F' D U
L U F2 R2 F' D' U
L U F2 R2 F' D2 U
R U B2 R F' U R2
R2 U B2 F' U R' F
R2 U B2 F' U F R'
L U' L U2 R2 F' U
L U' L D' B U' F2
L U' L D2 L2 B U'
L U' L D2 B L2 U'
L U' L B U' D' F2
L U' L B U2 R2 U
L U' L B D' U' F2
L U' L B D2 L2 U'
L U' L' U2 R2 F' U
L U' L' D' B U' F2
L U' L' D2 L2 B U'
L U' L' D2 B L2 U'
L U' L' B U' D' F2
L U' L' B U2 R2 U
L U' L' B D' U' F2
L U' L' B D2 L2 U'
L U' L2 U2 R2 F' U
L U' L2 D' B U' F2
L U' L2 D2 L2 B U'
L U' L2 D2 B L2 U'
L U' L2 B U' D' F2
L U' L2 B U2 R2 U
L U' L2 B D' U' F2
L U' L2 B D2 L2 U'
L U' D B U B U2
L U' D' L B U' F2
U R B2 R F' U R2
L U' D' L' B U' F2
L U' D' L2 B U' F2
L2 U' D' B U' F2 R
L' U' D2 L2 B U' R2
L U' D' B L U' F2
L U' D' B L' U' F2
L U' D' B L2 U' F2
L U' D' B U' F2 D
L U' D' B U' F2 D'
L U' D' B U' F2 D2
L U' D' B D' L2 U'
L' U' D2 B L2 U' R2
L U' D2 L' B L' U'
L U' D2 L2 D B U'
L U' D2 L2 D' B U'
L U' D2 L2 D2 B U'
L U' D2 L2 B U' D
L U' D2 L2 B U' D'
L U' D2 L2 B U' D2
L U' D2 L2 B D U'
L U' D2 L2 B D' U'
L U' D2 L2 B D2 U'
L U' D2 B L2 U' D
L U' D2 B L2 U' D'
L U' D2 B L2 U' D2
L U' D2 B L2 D U'
L U' D2 B L2 D' U'
L U' D2 B L2 D2 U'
L U' D2 B U' D F2
L U' D2 B D U' F2
L U' D2 B' L2 B2 U'
B' R' U' B2 L F U'
L' U' B D2 L2 U' R2
L U' B L U' D' F2
L U' B L U2 R2 U
L U' B L D' U' F2
L U' B L D2 L2 U'
L2 U' B U' D' F2 R
L U' B L' U' D' F2
L U' B L' U2 R2 U
L U' B L' D' U' F2
L U' B L' D2 L2 U'
L U' B L2 U' D' F2
L U' B L2 U2 R2 U
L U' B L2 D' U' F2
L U' B L2 D2 L2 U'
L2 U' B D' U' F2 R
L U' B U D B2 U2
L U' B U' D' F2 D
L U' B U' D' F2 D'
L U' B U' D' F2 D2
L U' B U' F D' F2
L U' B U' F' D' F2
L U' B U' F2 D' F2
L U' B U2 R2 U D
L U' B U2 R2 U D'
L U' B U2 R2 U D2
L U' B U2 R2 D U
L U' B U2 R2 D' U
L U' B U2 R2 D2 U
L U' B D U B2 U2
L U' B D' L U' F2
L U' B D' L' U' F2
L U' B D' L2 U' F2
L U' B D' U' F2 D
L U' B D' U' F2 D'
L U' B D' U' F2 D2
L U' B D2 L2 U' D
L U' B D2 L2 U' D'
L U' B D2 L2 U' D2
L U' B D2 L2 D U'
L U' B D2 L2 D' U'
L U' B D2 L2 D2 U'
L U' B2 D' B' U' F2
L U' B2 D2 B' L2 U'
L U2 L U' R2 F' U
L U2 L' U' R2 F' U
L U2 L2 U' R2 F' U
D' R2 L U F' U F'
L U2 D' F2 U B U'
D R2 L B2 U F' U
L U2 F U' R2 F' U
L U2 F' U' R2 F' U
L U2 F2 U' R2 F' U
U R2 U' L U F' U
B2 R2 U2 B' U' B R
U' R2 D F' U B2 R'
U R2 D F' U' L U2
U R2 D F' B2 U R'
U R2 D B2 F' U R'
R2 D L U F' U F
U R2 D' F' U' L U2
U R2 D' F' B2 U R'
F2 R2 D2 F' U B2 R'
U R2 D' B2 F' U R'
U R2 D2 F' U' L U2
U R2 D2 F' B2 U R'
L2 D L' B2 U' B' U'
U R2 D2 B2 F' U R'
U' R2 F' U D B2 R'
F' R2 F' U D2 B2 R'
F' R2 F' U' L F2 U2
F' R2 F' U' F2 L U2
U' R2 F' D U B2 R'
F2 R2 F' U' L F' U2
F' R2 F' D2 U B2 R'
F2 R2 F' U' F' L U2
U2 R2 F' B2 U R' B2
F R2 F' U B2 R' B'
F R2 F' U' L U2 B
U R2 F' U B2 R' B2
U R2 F' U' L U2 D
U R2 F' U' L U2 D'
U R2 F' U' L U2 D2
U R2 F' U' L D U2
U R2 F' U' L D' U2
U R2 F' U' L D2 U2
U R2 F' U' D L U2
U R2 F' U' D' L U2
U R2 F' U' D2 L U2
U R2 F' D U' L U2
U R2 F' D B2 U R'
U R2 F' D' U' L U2
U R2 F' D' B2 U R'
U R2 F' D2 U' L U2
F R2 F' B2 U R' B'
U R2 F' D2 B2 U R'
U R2 F' B2 U R' D
U R2 F' B2 U R' D'
U R2 F' B2 U R' D2
U R2 F' B2 U D R'
U R2 F' B2 U D' R'
U R2 F' B2 U D2 R'
U R2 F' B2 D U R'
U R2 F' B2 D' U R'
U R2 F' B2 D2 U R'
U R2 B D2 F' U R
L D R2 B2 U F' U
D R2 B2 U F' U R'
U2 R2 B2 F' U R' B2
U R2 B2 D F' U R'
U R2 B2 D' F' U R'
F R2 B2 F' U R' B'
U R2 B2 D2 F' U R'
U R2 B2 F' U R' D
U R2 B2 F' U R' D'
U R2 B2 F' U R' D2
U R2 B2 F' U D R'
U R2 B2 F' U D' R'
U R2 B2 F' U D2 R'
U R2 B2 F' D U R'
U R2 B2 F' D' U R'
U R2 B2 F' D2 U R'
L D U' B U B U2
R2 D F' U' F L U2
B2 U R2 U2 B' U' R
L' D B2 U' F2 B' U'
L' D B2 U' B' F2 U'
L D B' U2 D L2 F
L D B' D U2 L2 F
L D B' D B' U2 L2
L D B' D' R2 B' U2
L D B' D' B' R2 U2
L D B2 R U' B' U'
L D B2 R' U' B' U'
L D B2 R2 U' B' U'
L D B2 U' D B' U'
L D B2 U' D' B' U'
L D B2 U' D2 B' U'
L D B2 U' B' U' D
L D B2 U' B' U' D'
L D B2 U' B' U' D2
L D B2 U' B' D U'
L D B2 U' B' D' U'
L D B2 U' B' D2 U'
R2 D' L U F' U F
L D B2 D U' B' U'
L D B2 D' U' B' U'
L D B2 D2 U' B' U'
L2 D' L' U' B U' F2
U' D B U B U2 R'
L D' R2 U F' U F'
U' D' L2 B U' F2 R
D' U' L2 B U' F2 R
D2 U' L2 F2 B U' R
D2 U' L2 B U L' U2
L D' U R2 F' U F'
D2 U' L2 B F2 U' R
L2 D' U' B U' F2 R
L D' U' L B U' F2
L D' U' L' B U' F2
L D' U' L2 B U' F2
L D' U' B L U' F2
L D' U' B L' U' F2
L D' U' B L2 U' F2
L D' U' B U' F2 D
L D' U' B U' F2 D'
L D' U' B U' F2 D2
L D' U' B D' L2 U'
L D' U2 F2 U B U'
R2 D' F' U' F L U2
L D' B U2 F2 D' L2
L D' B' U' B2 U' F2
L D' B' U2 F2 D L2
D U' B U B U2 R'
R2 D2 L U F' U F
L D' B2 U' B' U' F2
L2 D2 L' U' L' B U'
L2 D2 L' U' B L' U'
U' D2 L2 F2 B U' R
U' D2 L2 B U L' U2
U' D2 L2 B F2 U' R
L' D2 U' L2 B U' R2
L' D2 U' B L2 U' R2
L D2 U' L' B L' U'
L D2 U' L2 D B U'
L D2 U' L2 D' B U'
L D2 U' L2 D2 B U'
L D2 U' L2 B U' D
L D2 U' L2 B U' D'
L D2 U' L2 B U' D2
L D2 U' L2 B D U'
L D2 U' L2 B D' U'
L D2 U' L2 B D2 U'
L D2 U' B L2 U' D
L D2 U' B L2 U' D'
L D2 U' B L2 U' D2
L D2 U' B L2 D U'
L D2 U' B L2 D' U'
L D2 U' B L2 D2 U'
L D2 U' B U' D F2
L D2 U' B D U' F2
L D2 U' B' L2 B2 U'
R2 D2 F' U' F L U2
L D2 B U' L2 U' L2
B U2 R2 B U R' B'
L D2 B' U' L2 B2 U'
L D2 B' U' B2 L2 U'
L D2 B' U2 D L2 F2
L D2 B' U2 D F2 L2
L D2 B' D U2 L2 F2
L D2 B' D U2 F2 L2
L D2 B' D' R2 B2 U2
L D2 B' D' B2 R2 U2
L D2 B2 U' B' L2 U'
B' U2 F D' R F2 L'
B U2 B R2 U R B'
B U2 B R2 U B' R
U F R2 F' U' L U2
U F R2 F' B2 U R'
U F R2 B2 F' U R'
L F U R2 F' U B
B' D B' U2 L2 R' F
B' D B' U2 L2 F R'
B' D B' U2 R' L2 F
B2 D B2 L U' B U'
U F' R2 F' U' L U2
U F' R2 F' B2 U R'
U F' R2 B2 F' U R'
R2 F' U' D F L U2
R2 F' U' D' F L U2
R2 F' U' D2 F L U2
R2 F' U' F L U2 D
R2 F' U' F L U2 D'
R2 F' U' F L U2 D2
R2 F' U' F L D U2
R2 F' U' F L D' U2
R2 F' U' F L D2 U2
R2 F' U' F D L U2
R2 F' U' F D' L U2
R2 F' U' F D2 L U2
R2 F' U' F' L F2 U2
R2 F' U' F2 L F' U2
R2 F' D U' F L U2
R2 F' D' U' F L U2
R2 F' D2 U' F L U2
B' D' R2 U2 F R F
B' D' R2 B L U2 F2
B' D' R2 B' U2 R' F2
B' D' R2 B' U2 F2 R'
R2 F' B2 L2 U R' B'
R2 F' B2 U' F U2 R'
B' D' B L R2 U2 F2
B' D' B R2 L U2 F2
B' D' B' R2 U2 R F2
U F2 R2 F' U' L U2
U F2 R2 F' B2 U R'
U F2 R2 B2 F' U R'
R2 F2 D2 F U B2 R'
B D2 F' L2 U' R B'
B D2 F' L2 U' B' R
F2 D2 B L2 U' B R'
U' B U2 R2 B U R'
L B U R2 U D2 L2
L B U R2 U' R2 U2
L B U R2 D' F2 U
L B U R2 D2 U L2
U' B U2 B R2 U R
L B U' D2 L2 U' L2
L B U2 D' F2 D' L2
U' B D2 L2 F' U' R
L B U2 F2 D' L2 F2
L B U2 F2 D' F2 L2
U' B D2 F' L2 U' R
L B D B2 U' B2 U'
L B D B2 U2 D L2
L B D B2 D U2 L2
L B D B2 D' R2 U2
L B D' U2 F2 D' L2
L B D2 U' L2 U' L2
L2 B' L' D B2 U2 L2
L2 B' L' D' R2 U2 F2
L' B' L2 D B2 U2 L2
L' B' L2 D' R2 U2 F2
B F U2 R2 U B R'
F B U2 R2 U B R'
L B' R' U' B2 L U'
R2 B' U F' U F R
L B' U R2 U D L2
L B' U R2 U2 B2 U'
L B' U R2 D U L2
L B' U R2 D2 F2 U
R B' U R F' B U
R B' U R B F' U
L2 B' D L' B2 U2 L'
D B' U2 D L2 F R
L B' U' B2 U' D' F2
L B' U' B2 U2 R2 U
L B' U' B2 D' U' F2
L B' U' B2 D2 L2 U'
L B' U2 D L2 D2 F2
L B' U2 D' F2 D2 L2
L2 B' D B2 L' U2 L'
L2 B' D' L' R2 U2 F2
D B' D U2 L2 F R
L2 B' D' R2 L' U2 F2
L2 B' D' R2 U2 F2 R
D B' D B' U2 L2 R'
D B' D B' U2 R' L2
L B' D R B2 U2 L2
L B' D R' B2 U2 L2
L B' D R2 B2 U2 L2
L B' D U2 L2 D2 F2
D B' D' R2 B' U2 R'
L B' D B' U2 L2 F
L B' D B2 R U2 L2
L B' D B2 R' U2 L2
L B' D B2 R2 U2 L2
L B' D B2 U2 L2 D
L B' D B2 U2 L2 D'
L B' D B2 U2 L2 D2
L B' D B2 D2 R2 U2
D B' D' B' R2 U2 R
L B' D' R U2 F2 L'
L B' D' R2 U2 F2 D
L B' D' R2 U2 F2 D'
L B' D' R2 U2 F2 D2
L B' D' R2 D2 B2 U2
L B' D' R2 B U2 F2
L B' D' R2 B' U2 F2
L B' D' R2 B2 U2 F2
L B' D' U2 F2 D2 L2
L B' D' B R2 U2 F2
L B' D' B' R2 U2 F2
L B' D' B2 R2 U2 F2
L' B2 L2 U R2 F U
L' B2 L2 U F R2 U
D B2 L2 U F U R'
D B2 R U' B' U' R2
D B2 R2 U' B' U' R
U B2 R2 U2 B' U' R
R2 B2 U F' U R' F
R2 B2 U F' U F R'
L B2 U R2 U2 B' U'
R B2 U R F' U R2
L B2 U' D' B' U' F2
L B2 U' D2 B' L2 U'
D B2 U2 R' U B' U'
L B2 U' B' U' D' F2
L B2 U' B' U2 R2 U
L B2 U' B' D' U' F2
L B2 U' B' D2 L2 U'
L B2 D B2 U' B U'
L B2 D' U' B' U' F2
L B2 D2 U' B' L2 U'
R2 B2 F' L2 U R' B'
R2 B2 F' U' F U2 R'
