F2 L2 D' R F' B
F2 L2 D' R B F'
L' U2 D L' F B'
L' U2 D L' B' F
L' D U2 L' F B'
L' D U2 L' B' F
L' D U2 L' B' F D2
L2 D U2 L F B' U2
L2 D U2 L B' F U2
L' D U2 B L' F B'
L' D U2 B L' B' F
L' D U2 B' L' F B'
L' D U2 B' L' B' F
L' D U2 B2 L' F B'
L' D U2 B2 L' B' F
L' D B U2 L' F B'
L' D B U2 L' B' F
L' D B' U2 L' F B'
L' D B' U2 L' B' F
L' D B2 U2 L' F B'
L' D B2 U2 L' B' F
L' D' R U2 L' F' B
L' D' R U2 L' B F'
L' D' R U2 B L' F'
L2 D' R F' B2 R' B'
L2 D' R B D2 F' R
L2 D' R B2 F' R' B'
L2 D' R2 B2 R' F' B
L2 D' R2 B2 R' B F'
L' D' F2 R U2 F' B
L' D' F2 R U2 B F'
L2 D' B R F' B R'
L2 D' B R B F' R'
L2 D' B2 R F' B R2
L2 D' B2 R B F' R2
B D F2 R' U R2 B
F2 D' R D L2 F' B
F2 D' R D L2 B F'
F2 D' R D F' L2 B
F2 D' R D F' B L2
F2 D' R D B L2 F'
F2 D' R D B F' L2
F2 D' R F' D L2 B
F2 D' R F' D B L2
R' F2 L2 D' R F' B'
R' F2 L2 D' R B' F'
R' F2 L2 D' B' R F'
D' F2 R D L2 F' B
D' F2 R D L2 B F'
D' F2 R D F' L2 B
D' F2 R D F' B L2
D' F2 R D B L2 F'
D' F2 R D B F' L2
D' F2 R F' D L2 B
D' F2 R F' D B L2
R F2 L2 D' B R F'
R F2 L2 B R D' F2
L' F2 D' R U2 F' B
L' F2 D' R U2 B F'
R F2 B L2 R D' F2
R F2 B R L2 D' F2
L2 B R B D' R' F2
L2 B R B D' F2 R'
L' B U R' U L' B'
F2 B L2 R D' F2 B
F2 B L2 R D' B F2
F2 B L2 R B D' F2
F2 B R L2 D' F2 B
F2 B R L2 D' B F2
F2 B R L2 B D' F2
F2 B R B L2 D' F2
F2 B R' U L2 R2 B
F2 B R' U R2 L2 B
F2 B R' U R2 B L2
R B F2 L2 R D' F2
R B F2 R L2 D' F2
R B' L U' L B2 R'
L' B' U2 L' D F2 B'
L' B' U2 L' D B' F2
L' B' U2 L' B' D F2
B F2 L2 R D' F2 B
B F2 L2 R D' B F2
B F2 L2 R B D' F2
B F2 R L2 D' F2 B
B F2 R L2 D' B F2
B F2 R L2 B D' F2
B F2 R B L2 D' F2
B F2 R' U L2 R2 B
B F2 R' U R2 L2 B
B F2 R' U R2 B L2
