B2 L R2 U' B2 L
B2 L U R U2 B2
U2 R U R2 U R2
F2 R D' L' F2 R
U' R' U D2 L2 R
U' R' U D2 R L2
U' R' U' R2 U2 R'
U' R' D2 U L2 R
U' R' D2 U R L2
B2 R2 L U' B2 L
B U R B U2 B2
U' F2 R' U L' R
U' F2 R' U R L'
U2 R' D2 F' U L2 B'
F2 R' D2 B2 U L' B2
F2 R' D2 B2 U B2 L'
U2 R' F U' R2 U2 B
U2 R' F U' F' R2 U2
L' U2 R U R2 U R2
U2 R' F' U D2 L2 B'
U2 R' F' U' R2 F U2
U2 R' F' U' F R2 U2
L2 U2 R U R2 U R2
U2 R' F' D2 U L2 B'
U' R' F2 U' L' R2 U2
U' R' F2 U' R2 L' U2
L U2 R U R2 U R2
U' R' F2 D' F2 U R
U2 R' F2 U D2 L2 B2
U2 R' F2 U D2 B2 L2
U2 R' F2 U' R2 F2 U2
U2 R' F2 U' F2 R2 U2
U2 R' F2 D' L2 F2 U
U2 R' F2 D' F2 L2 U
U2 R' F2 D2 U L2 B2
U2 R' F2 D2 U B2 L2
R2 U2 R' U R2 U R2
U' R' B U D2 L2 R
U' R' B U D2 R L2
U' R' B U' R2 U2 R'
U' R' B D2 U L2 R
U' R' B D2 U R L2
U' R' B' U D2 L2 R
U' R' B' U D2 R L2
U' R' B' U' R2 U2 R'
U' R' B' D2 U L2 R
U' R' B' D2 U R L2
U' R' B2 U D2 L2 R
U' R' B2 U D2 R L2
U' R' B2 U' R2 U2 R'
U' R' B2 D2 U L2 R
U' R' B2 D2 U R L2
B2 R2 L U R' U2 B2
B2 R2 L U' L B2 L
B2 R2 L U' L' B2 L
B2 R2 L U' L2 B2 L
B2 R2 L U' B2 L D
B2 R2 L U' B2 L D'
B2 R2 L U' B2 L D2
B2 R2 L U' B2 D L
B2 R2 L U' B2 D' L
B2 R2 L U' B2 D2 L
B2 R2 L B' U' B' L
F2 R2 L' U F2 L' U'
B R2 U R' U2 F' B'
B R2 U R' U2 B' F'
B R2 U' B2 L F B
B R2 U' B2 L B F
U' R2 D B2 R U L
R' D R B2 L U' B2
B2 R2 B' U' B' L F
U' R2 B2 R U L R
U' R2 B2 R U R L
B2 U R U' L U' B2
U2 D R U R2 U R2
U' D R' U D2 L2 R
U' D R' U D2 R L2
B U R U2 B' D2 F2
U' D R' U' R2 U2 R'
B U R D B U2 B2
B U R D' B U2 B2
B U R D2 B U2 B2
B U R F B U2 B2
U' D R' D2 U L2 R
U' D R' D2 U R L2
B U R F' B U2 B2
B U R F2 B U2 B2
B U R B U2 B2 D
B U R B U2 B2 D'
B U R B U2 B2 D2
B U R B D2 F2 U2
B U R B F U2 B2
B U R B F' U2 B2
B U R B F2 U2 B2
R' D B2 U' B2 D2 F2
B U D R B U2 B2
B U D' R B U2 B2
R D B2 U2 B2 D' R2
U' D F2 R' U L' R
U' D F2 R' U R L'
B U D2 R B U2 B2
F' U F U2 R' F' U
B U B R B U2 B
R D' R' F2 L' D R2
R D' R' F2 D L' R2
R D' R' F2 D R2 L'
B U B' R B U2 B'
F2 U B2 L F2 U' L2
U2 D' R U R2 U R2
U' D' R' U D2 L2 R
U' D' R' U D2 R L2
D' U' R' U D2 L2 R
D' U' R' U D2 R L2
U' D' R' U' R2 U2 R'
D' U' R' U' R2 U2 R'
D2 U' R' U D2 L2 R
D2 U' R' U D2 R L2
D2 U' R' U' R2 U2 R'
B U' L F2 L' F' B'
B U' L F2 L' B' F'
U' D' R' D2 U L2 R
U' D' R' D2 U R L2
D' U' R' D2 U L2 R
D' U' R' D2 U R L2
D2 U' R' D2 U L2 R
D2 U' R' D2 U R L2
B2 U' L' B2 D F2 L'
D U' R' U D2 L2 R
D U' R' U D2 R L2
D U' R' U' R2 U2 R'
D U' R' D2 U L2 R
D U' R' D2 U R L2
R' D' F2 D2 B2 U B2
B U' R U2 R' F' B'
B U' R U2 R' B' F'
F2 U' R' U L' D R2
F2 U' R' U D L' R2
F2 U' R' U D R2 L'
F' U' R' F' U D R2
F' U' R' F' U2 F2 U'
F' U' R' F' D U R2
F2 U' R' D U L' R2
F2 U' R' D U R2 L'
F' U' R' F' D2 B2 U
F2 U' R' D2 B2 U L'
R D' F2 D R2 D2 L2
U' D' F2 R' U L' R
U' D' F2 R' U R L'
D' U' F2 R' U L' R
D' U' F2 R' U R L'
D2 U' F2 R' U L' R
D2 U' F2 R' U R L'
B' U' D F2 L' F B
B' U' D F2 L' B F
B' U' D F2 B L' F
F2 U' D R' U L' R'
F2 U' D R' U R' L'
B' U' D B F2 L' F
D U' F2 R' U L' R
D U' F2 R' U R L'
F2 U' D2 R' B2 U L'
B U' F L F L' B'
B U' F D2 B' L F
B U' F B' L F L'
B2 U' F2 L' B2 D F2
B' U' F2 D L' F B
B' U' F2 D L' B F
B' U' F2 D B L' F
D' U2 R U R2 U R2
B U' F2 B' L F L2
D2 U2 R U R2 U R2
U2 D2 R U R2 U R2
U' D2 R' U D2 L2 R
U' D2 R' U D2 R L2
U' D2 R' U' R2 U2 R'
B U' B' L F2 L' F'
U' D2 R' D2 U L2 R
U' D2 R' D2 U R L2
D U2 R U R2 U R2
B U' B' L2 F2 L' F
B U' B' U2 R B U2
B U' B' F L F L'
B U' B' F2 L F L2
U' D2 F2 R' U L' R
U' D2 F2 R' U R L'
R' D2 B' U' B L2 F
F2 D L' R D' R F2
F2 D L' R2 U' R U
F2 D L' U' R' U R'
F2 D R L' D' R F2
F2 D R D' L' R F2
F2 D R D' R L' F2
F2 D R2 L' U' R U
F2 D R2 U' R U L'
B' D U' F2 L' F B
B' D U' F2 L' B F
B' D U' F2 B L' F
B' D U' B F2 L' F
B D U R B U2 B2
F2 D U' R' U L' R'
F2 D U' R' U R' L'
B2 D' L R2 U R' U2
B2 D' L R2 B2 U' L
F2 D' L' R D' F2 R
F2 D' L' F2 R D' F2
F2 D' R L' D' F2 R
B2 D' R2 L U R' U2
B2 D' R2 L B2 U' L
B D' U R B U2 B2
U' F2 L' U' L R' U
U' F2 L' U' R' L U
R2 F2 L D R2 F2 L'
D2 F2 R D' L' F2 R
D' F2 R D' L' F2 R
L' F2 R D' L' F2 R
U' F2 R' U L' R D
U' F2 R' U L' R D'
U' F2 R' U L' R D2
U' F2 R' U L' D R
U' F2 R' U L' D' R
U' F2 R' U L' D2 R
U' F2 R' U R L' D
U' F2 R' U R L' D'
U' F2 R' U R L' D2
U' F2 R' U R D L'
U' F2 R' U R D' L'
U' F2 R' U R D2 L'
U' F2 R' U D L' R
U' F2 R' U D R L'
U' F2 R' U D' L' R
U' F2 R' U D' R L'
U' F2 R' U D2 L' R
U' F2 R' U D2 R L'
U' F2 R' D U L' R
U' F2 R' D U R L'
U' F2 R' D' U L' R
U' F2 R' D' U R L'
L2 F2 R D' L' F2 R
U' F2 R' D2 U L' R
U' F2 R' D2 U R L'
U' F2 R' B U L' R
U' F2 R' B U R L'
U' F2 R' B' U L' R
U' F2 R' B' U R L'
U' F2 R' B2 U L' R
U' F2 R' B2 U R L'
D F2 R D' L' F2 R
U2 F2 R' U L' D2 B2
U2 F2 R' U D2 L' B2
U2 F2 R' U D2 B2 L'
U2 F2 R' U' F2 R U2
U2 F2 R' D' L2 U L
U2 F2 R' D2 U L' B2
U2 F2 R' D2 U B2 L'
L F2 R D' L' F2 R
B2 D2 L U R F2 U2
B2 D2 L U F2 U2 L'
U' F2 D R' U L' R
U' F2 D R' U R L'
F2 D2 L' R D' R2 F2
F2 D2 L' R D' F2 R2
F2 D2 L' U' R' B2 U
U' F2 D' R' U L' R
U' F2 D' R' U R L'
U F2 U2 R' U L' R
U F2 U2 R' U R L'
U2 F2 D' L2 R' U L
U' F2 D2 R' U L' R
U' F2 D2 R' U R L'
U2 F2 D' R' L2 U L
F2 D2 R L' D' R2 F2
F2 D2 R L' D' F2 R2
F2 D2 R D' L' R2 F2
F2 D2 R D' L' F2 R2
F2 D2 R D' R2 L' F2
R F2 D R2 D2 L2 F2
R F2 D R2 D2 F2 L2
R' F2 D2 B2 U L2 B2
R' F2 D2 B2 U B2 L2
U2 F2 D2 R' U L' B2
U2 F2 D2 R' U B2 L'
R F2 D B2 U2 R2 B2
R F2 D B2 U2 B2 R2
F2 D2 R' B2 U L' B2
F2 D2 R' B2 U B2 L'
B D2 U R B U2 B2
F2 D2 U' R' B2 U L'
D2 B U R B U2 B2
D' B U R B U2 B2
L' B U R B U2 B2
L2 B U R B U2 B2
R' B U' R2 U2 R2 B'
R' B U' R2 U2 B' R2
D B U R B U2 B2
L B U R B U2 B2
R' B' U R2 F' U2 F
R' B' U' R2 U2 R2 B
R' B' U' R2 F' U2 R2
R' B' U' D2 B L2 F
R' B' U' B D2 L2 F
R' B' D2 U' B L2 F
D2 B2 L R2 U' B2 L
D2 B2 L U R U2 B2
D' B2 L R2 U' B2 L
F2 B' D L' F B R2
F2 B' D L' B R2 F
F2 B' D L' B F R2
D' B2 L U R U2 B2
L' B2 L R2 U' B2 L
L' B2 L U R U2 B2
F2 B' D B L' R2 F
F2 B' D B L' F R2
L2 B2 L R2 U' B2 L
F2 B' D B R2 L' F
L2 B2 L U R U2 B2
D B2 L R2 U' B2 L
D B2 L U R U2 B2
L B2 L R2 U' B2 L
L B2 L U R U2 B2
U B2 L U L' R U2
U B2 L U R L' U2
U B2 L F2 U' L' R
U B2 L F2 U' R L'
B2 F2 L F2 U' L2 B2
B2 F2 L F2 U' B2 L2
F2 B2 L F2 U' L2 B2
F2 B2 L F2 U' B2 L2
U2 B2 R U B2 R' U
D2 B2 R2 L U' B2 L
B2 F2 L' B2 D R2 F2
B2 F2 L' B2 D F2 R2
D' B2 R2 L U' B2 L
F2 B2 L' B2 D R2 F2
F2 B2 L' B2 D F2 R2
L' B2 R2 L U' B2 L
U B2 R U' L R' U'
U B2 R U' R' L U'
L2 B2 R2 L U' B2 L
D B2 R2 L U' B2 L
R' B2 U' R2 U2 R2 B2
R' B2 U' R2 U2 B2 R2
L B2 R2 L U' B2 L
R' B2 U' B2 D2 L2 F2
R' B2 U' B2 D2 F2 L2
R2 B2 U2 R U L B2
B' F2 D L' F B R2
B' F2 D L' B R2 F
B' F2 D L' B F R2
R B2 U2 B2 D' R2 F2
R B2 U2 B2 D' F2 R2
B' F2 D B L' R2 F
B' F2 D B L' F R2
B' F2 D B R2 L' F
