B R' F' U B
B L R' F' U B
B L' R' F' U B
B L2 R' F' U B
B R' L F' U B
B R' L' F' U B
B R' L2 F' U B
B R' D F' U B
B R' D' F' U B
B R' D2 F' U B
B R' F' L U B
B R' F' L' U B
B R' F' L2 U B
B R' F' U D B
B R' F' U D' B
B R' F' U D2 B
B R' F' U B D
B R' F' U B D'
B R' F' U B D2
B R' F' D U B
B R' F' D' U B
B R' F' D2 U B
L' B R' F' U B
U' B R' U L B
U2 B R' U B L
L2 B R' F' U B
L B R' F' U B
F' B R' F' U B
F2 B R' F' U B
B F R' F' U B
F B R' F' U B
B F' R' F' U B
B F2 R' F' U B
U' B L2 R' U B L'
L2 B L' R' F' U B
L B L R' F' U B
L' B L2 R' F' U B
L2 B L2 R' F' U B
L B L' R' F' U B
U' B R' L' U L2 B
U' B R' L' U B L2
U' B R' L2 U L' B
U' B R' L2 U B L'
U' B R' U L D B
U' B R' U L D' B
U' B R' U L D2 B
U' B R' U L B D
U' B R' U L B D'
U' B R' U L B D2
U' B R' U L' B L2
U' B R' U L2 B L'
U' B R' U D L B
U' B R' U D' L B
U' B R' U D2 L B
U' B R' D U L B
L B L2 R' F' U B
U' B R' D' U L B
L' B R' L F' U B
U' B R' D2 U L B
L' B R' L' F' U B
U' B R' F U L B
L' B R' L2 F' U B
U' B R' F' U L B
U' B R' F2 U L B
L' B R' D F' U B
L' B R' D' F' U B
L' B R' D2 F' U B
L' B R' F' L U B
L' B R' F' L' U B
L' B R' F' L2 U B
U2 B R' L F U B
L' B R' F' U D B
L' B R' F' U D' B
L' B R' F' U D2 B
L' B R' F' U B D
L' B R' F' U B D'
L' B R' F' U B D2
L' B R' F' D U B
L2 B R' L F' U B
L' B R' F' D' U B
L' B R' F' D2 U B
L2 B R' L' F' U B
L2 B R' L2 F' U B
U2 B R' U L B L
U2 B R' U L' B L
U2 B R' U L2 B L
U2 B R' U D B L
U2 B R' U D' B L
U2 B R' U D2 B L
U2 B R' U B L D
U2 B R' U B L D'
U2 B R' U B L D2
U2 B R' U B D L
U2 B R' U B D' L
U2 B R' U B D2 L
U2 B R' D U B L
L2 B R' D F' U B
U2 B R' D' U B L
L2 B R' D' F' U B
U2 B R' D2 U B L
L2 B R' D2 F' U B
U2 B R' F U B L
L2 B R' F' L U B
L2 B R' F' L' U B
L2 B R' F' L2 U B
U2 B R' F' U B L
L2 B R' F' U D B
L2 B R' F' U D' B
L2 B R' F' U D2 B
L2 B R' F' U B D
L2 B R' F' U B D'
L2 B R' F' U B D2
L2 B R' F' D U B
L2 B R' F' D' U B
L2 B R' F' D2 U B
U2 B R' F2 U B L
L B R' L F' U B
L B R' L' F' U B
L B R' L2 F' U B
L B R' D F' U B
L B R' D' F' U B
L B R' D2 F' U B
L B R' F' L U B
L B R' F' L' U B
L B R' F' L2 U B
L B R' F' U D B
L B R' F' U D' B
L B R' F' U D2 B
L B R' F' U B D
L B R' F' U B D'
L B R' F' U B D2
L B R' F' D U B
L B R' F' D' U B
U B R' F' U L' B
L B R' F' D2 U B
U B R' F' U B L'
F' B L R' F' U B
F2 B L R' F' U B
F' B L' R' F' U B
B F L R' F' U B
F2 B L' R' F' U B
F B L R' F' U B
F' B L2 R' F' U B
B F L' R' F' U B
F2 B L2 R' F' U B
F B L' R' F' U B
B F L2 R' F' U B
U' B D2 R' U L B'
F B L2 R' F' U B
F' B R' L F' U B
F' B R' L' F' U B
F' B R' L2 F' U B
U' B F R' U L B
F2 B R' L F' U B
F2 B R' L' F' U B
F' B R' D F' U B
F2 B R' L2 F' U B
F' B R' D' F' U B
F' B R' D2 F' U B
F' B R' F' L U B
F' B R' F' L' U B
F' B R' F' L2 U B
F' B R' F' U D B
F' B R' F' U D' B
F' B R' F' U D2 B
F' B R' F' U B D
F' B R' F' U B D'
F' B R' F' U B D2
F' B R' F' D U B
F' B R' F' D' U B
F' B R' F' D2 U B
F2 B R' D F' U B
L' B F R' F' U B
F2 B R' D' F' U B
F2 B R' D2 F' U B
F2 B R' F' L U B
F2 B R' F' L' U B
F2 B R' F' L2 U B
F2 B R' F' U D B
F2 B R' F' U D' B
F2 B R' F' U D2 B
F2 B R' F' U B D
F2 B R' F' U B D'
F2 B R' F' U B D2
F2 B R' F' D U B
F2 B R' F' D' U B
F2 B R' F' D2 U B
U' B F' R' U L B
B F R' L F' U B
B F R' L' F' U B
B F R' L2 F' U B
U2 B F R' U B L
L2 B F R' F' U B
B F R' D F' U B
L' B F' R' F' U B
B F R' D' F' U B
F B R' L F' U B
B F R' D2 F' U B
F B R' L' F' U B
B F R' F' L U B
F B R' L2 F' U B
B F R' F' L' U B
B F R' F' L2 U B
B F R' F' U D B
B F R' F' U D' B
B F R' F' U D2 B
B F R' F' U B D
B F R' F' U B D'
B F R' F' U B D2
B F R' F' D U B
B F R' F' D' U B
B F R' F' D2 U B
U' B F2 R' U L B
F B R' D F' U B
F B R' D' F' U B
F B R' D2 F' U B
U2 B F' R' U B L
L2 B F' R' F' U B
F B R' F' L U B
F B R' F' L' U B
F B R' F' L2 U B
F B R' F' U D B
F B R' F' U D' B
F B R' F' U D2 B
F B R' F' U B D
F B R' F' U B D'
F B R' F' U B D2
F B R' F' D U B
F B R' F' D' U B
F B R' F' D2 U B
L' B F2 R' F' U B
L B F R' F' U B
U2 B F2 R' U B L
L2 B F2 R' F' U B
U B F' R' U L' B
U B F' R' U B L'
L B F' R' F' U B
L B F2 R' F' U B
B F' L R' F' U B
B F' L' R' F' U B
B F' L2 R' F' U B
B F' R' L F' U B
B F' R' L' F' U B
B F' R' L2 F' U B
B F' R' D F' U B
B F' R' D' F' U B
B F' R' D2 F' U B
B F' R' F' L U B
B F' R' F' L' U B
B F' R' F' L2 U B
B F' R' F' U D B
B F' R' F' U D' B
B F' R' F' U D2 B
B F' R' F' U B D
B F' R' F' U B D'
B F' R' F' U B D2
B F' R' F' D U B
B F' R' F' D' U B
B F' R' F' D2 U B
B F2 L R' F' U B
B F2 L' R' F' U B
B F2 L2 R' F' U B
B F2 R' L F' U B
B F2 R' L' F' U B
B F2 R' L2 F' U B
B F2 R' D F' U B
B F2 R' D' F' U B
B F2 R' D2 F' U B
B F2 R' F' L U B
B F2 R' F' L' U B
B F2 R' F' L2 U B
B F2 R' F' U D B
B F2 R' F' U D' B
B F2 R' F' U D2 B
B F2 R' F' U B D
B F2 R' F' U B D'
B F2 R' F' U B D2
B F2 R' F' D U B
B F2 R' F' D' U B
B F2 R' F' D2 U B
