D2 L' U' F B' R'
D2 L' U' B' R' F
D2 L' U' B' F R'
L U F U2 R F'
L' U' R F' B' R'
L' U' R B' F' R'
L' U' R2 B' R' F'
L' U' B' R F' R2
D' F L' U' B' R'
L' U' R2 B' R' D' F'
L' U' R2 B' R' D2 F'
L' U' R2 B' R' F' D
L' U' R2 B' R' F' D'
L' U' R2 B' R' F' D2
L' U' R2 B' D R' F'
L' U' R2 B' D' R' F'
L' U' R2 B' D2 R' F'
L' U' R2 B' F R' F'
L' U' R2 B' F' R' F'
L' U' R2 B' F2 R' F'
U2 R B2 U F' B' R'
U2 R B2 U B' F' R'
L' U' F R F' B' R'
L' U' F R B' F' R'
D2 R' L' F' U' F2 B'
D2 R' L' F' U' B' F2
L' U' F R2 B' R' F'
L' U' F B' R F' R2
L' U' F' R F' B' R'
L' U' F' R B' F' R'
L' U' F' R2 B' R' F'
L' U' F' B' R F' R2
L' U' F2 R F' B' R'
L' U' F2 R B' F' R'
L' U' F2 R2 B' R' F'
R U' F' U' L' B U
R U' F' U' B L' U
L' U' F2 B' R F' R2
L' U' B R F' B2 R'
L' U' B R B2 F' R'
L' U' B R2 B2 R' F'
U2 R' U' F' L' B U2
U2 R' U' F' B L' U2
U2 R' U' B F' L' U2
L' U' B' R F R2 F2
L' U' B' R F' R2 D
L' U' B' R F' R2 D'
L' U' B' R F' R2 D2
L' U' B' R F2 R2 F
L' U' B' R' U2 B U2
L' U' B' F R F' R2
L' U' B' F' R F' R2
L' U' B' F2 R F' R2
D' R' F L' F2 U' B'
D2 R' F' L' U' F B'
D2 R' F' L' U' B' F
D' R' F' U2 R U B
L' U2 R U F' B' R'
L' U2 R U B' F' R'
L' D' F2 U' B' R' F'
D' F L' R' F' U' B'
D' F L' U' R B' R'
D' F L' U' R' B' R'
D' F L' U' R2 B' R'
D' F L' U' D B' R'
D' F L' U' D' B' R'
D' F L' U' D2 B' R'
D' F L' U' B' R' D
D' F L' U' B' R' D'
D' F L' U' B' R' D2
D' F L' U' B' D R'
D' F L' U' B' D' R'
D' F L' U' B' D2 R'
D2 F L' U' F B' R'
D2 F L' U' B' R' F
D2 F L' U' B' F R'
D' F L' D U' B' R'
D' F L' D' U' B' R'
D' F L' D2 U' B' R'
D' F L' F U' B' R'
D' F L' F' U' B' R'
D' F L' F2 U' B' R'
D' F R' L' F' U' B'
L' F U' R F' B' R'
L' F U' R B' F' R'
L' F U' R2 B' R' F'
L' F U' B' R F' R2
D' F D L' U' B' R'
D' F D' L' U' B' R'
D' F D2 L' U' B' R'
R' F' L U F B U2
R' F' L U B F U2
R' F' L' R2 U' F' B'
R' F' L' R2 U' B' F'
R' F' L' U B U2 B2
R' F' L' U' B' D2 F2
D2 F' L' U' F B' R'
D2 F' L' U' B' R' F
D2 F' L' U' B' F R'
R' F' R2 L' U' F' B'
R' F' R2 L' U' B' F'
R' F' U B U L U
L' F' U' R F' B' R'
L' F' U' R B' F' R'
L' F' U' R2 B' R' F'
L' F' U' B' R F' R2
D2 F2 L' U' F B' R'
D2 F2 L' U' B' R' F
D2 F2 L' U' B' F R'
D' F2 L' U' B' R' F'
F' D' F L' U' B' R'
F2 D' F L' U' B' R'
F D' F L' U' B' R'
D' F2 R' F' L' U' B'
L' F2 U' R F' B' R'
L' F2 U' R B' F' R'
L' F2 U' R2 B' R' F'
L' F2 U' B' R F' R2
F' D2 L' U' F B' R'
F' D2 L' U' B' R' F
F' D2 L' U' B' F R'
F2 D2 L' U' F B' R'
F2 D2 L' U' B' R' F
F2 D2 L' U' B' F R'
F D2 L' U' F B' R'
F D2 L' U' B' R' F
F D2 L' U' B' F R'
