B2 L F L' R U'
B2 L F R L' U'
L F L' R B2 U'
L F L' B2 R U'
L F R L' B2 U'
L F R B2 L' U'
L F B2 L' R U'
L F B2 R L' U'
L B2 F L' R U'
L B2 F R L' U'
L R' B2 F R L' U'
F' L' B' R U2 B' U'
F L' B2 R2 F' R' U'
L R2 F L' R B2 U'
L R2 F L' B2 R U'
L R2 F R L' B2 U'
L R2 F R B2 L' U'
L R2 F B2 L' R U'
L R2 F B2 R L' U'
L R2 B2 F L' R U'
L R2 B2 F R L' U'
B2 L2 F L' R F U'
B2 L2 F R L' F U'
B2 R L F L' R U'
B2 R L F R L' U'
F R L F L2 B2 U'
F R L F B2 L2 U'
F' R L' D B' U L2
F' R L' D2 F2 B' U
F' R L' D2 B' F2 U
F R L B2 F L2 U'
F' R L' B' U2 B' U'
L U F L' B2 U' B
F R L' B2 U2 B U
L U F B2 L' U' B'
F' R D L' B' U L'
L U B2 F L' U' B'
F' R D2 L' F2 B' U
F' R D2 L' B' F2 U
F R B2 L F L2 U'
F R B2 L' U2 B' U
B2 R' L F L' R U'
B2 R' L F R L' U'
F R' L' B2 R2 F' U'
B2 R2 L F L' R U'
B2 R2 L F R L' U'
B R2 F' L' R B' U
B R2 F' L' B' R U
B R2 F' R L' B' U
L D F R U' L2 F'
L D F R U' F' L2
U' D L2 F R F' B
U' D L2 F R B F'
U' D F L2 R F' B
U' D F L2 R B F'
U' D F R L2 F' B
U' D F R L2 B F'
U' D F R F' L2 B
U' D F R F' B L2
U' D F R B L2 F'
U' D F R B F' L2
D U' L2 F R F' B
D U' L2 F R B F'
D U' F L2 R F' B
D U' F L2 R B F'
D U' F R L2 F' B
D U' F R L2 B F'
D U' F R F' L2 B
D U' F R F' B L2
D U' F R B L2 F'
D U' F R B F' L2
B2 U' D F R F' B
B2 U' D F R B F'
L2 F L' R F B2 U'
L2 F L' R B2 F U'
L F L R B2 L2 U'
L2 F L' B2 R F U'
L F L B2 L2 R U'
L F L B2 R L2 U'
L F L' R U' D L2
L F L' R D U' L2
L F L' R B2 U' D
L F L' R B2 U' D'
L F L' R B2 U' D2
L F L' R B2 D U'
L F L' R B2 D' U'
L F L' R B2 D2 U'
L F L' R' B2 R2 U'
L F L' D R U' L2
U F L' B2 U' B R'
L F L' B' R B' U'
L F L' B2 R U' D
L F L' B2 R U' D'
L F L' B2 R U' D2
L F L' B2 R D U'
L F L' B2 R D' U'
L F L' B2 R D2 U'
L F L' B2 D R U'
L F L' B2 D' R U'
L F L' B2 D2 R U'
L2 F R L' F B2 U'
L2 F R L' B2 F U'
L2 F R B2 L' F U'
L F R L B2 L2 U'
L F R L' U' D L2
L F R L' D U' L2
L F R L' B2 U' D
L F R L' B2 U' D'
L F R L' B2 U' D2
L F R L' B2 D U'
L F R L' B2 D' U'
L F R L' B2 D2 U'
L F R D L' U' L'
L F R B L' B U'
L F R B2 L' U' D
L F R B2 L' U' D'
L F R B2 L' U' D2
L F R B2 L' D U'
L F R B2 L' D' U'
L F R B2 L' D2 U'
L F R B2 D L' U'
L F R B2 D' L' U'
L F R B2 D2 L' U'
L F R' L' B2 R2 U'
L F R' B2 L' R2 U'
L F R' B2 R2 L' U'
B2 D L F R U' F'
F' D L' R B' U L'
F' D L' B' R U L'
F' D R L' B' U L'
L F D L' R U' L'
L F D R L' U' L'
L F B L' B R U'
L2 F B2 L' R F U'
L2 F B2 R L' F U'
L F B' R B' L' U'
B2 D U' F R F' B
B2 D U' F R B F'
L F B2 L' R U' D
L F B2 L' R U' D'
L F B2 L' R U' D2
L F B2 L' R D U'
L F B2 L' R D' U'
L F B2 L' R D2 U'
L F B2 L' D R U'
L F B2 L' D' R U'
L F B2 L' D2 R U'
L F B2 R L' U' D
L F B2 R L' U' D'
L F B2 R L' U' D2
L F B2 R L' D U'
L F B2 R L' D' U'
L F B2 R L' D2 U'
L F B2 R D L' U'
L F B2 R D' L' U'
L F B2 R D2 L' U'
L F B2 D L' R U'
L F B2 D R L' U'
L F B2 D' L' R U'
L F B2 D' R L' U'
L F B2 D2 L' R U'
L F B2 D2 R L' U'
F' D2 L' R F2 B' U
F' D2 L' R B' F2 U
F' D2 L' B' R F2 U
F' D2 R L' F2 B' U
F' D2 R L' B' F2 U
B' D2 B' L F R U'
F D2 F2 L' R B' U
F D2 F2 L' B' R U
F D2 F2 R L' B' U
B2 F L R F L2 U'
B2 F L' R U2 B' U
B2 F R L F L2 U'
B2 F R L' U2 B' U
L B F L' B R U'
B2 F' U2 L' R B U
B2 F' U2 R L' B U
B2 F' U2 R B L' U
L B' F R B' L' U'
R' B2 L F L' R U'
R' B2 L F R L' U'
R2 B2 L F L' R U'
R2 B2 L F R L' U'
L2 B2 L' F L' R U'
L2 B2 L' F R L' U'
R B2 L F L' R U'
R B2 L F R L' U'
F B2 L R F L2 U'
F B2 L' R U2 B' U
L B2 R F L' R U'
L B2 R F R L' U'
L B2 R' F L' R U'
L B2 R' F R L' U'
F B2 R L F L2 U'
F B2 R L' U2 B' U
L B2 R2 F L' R U'
L B2 R2 F R L' U'
F' B2 U2 L' R B U
F' B2 U2 R L' B U
F' B2 U2 R B L' U
L B2 D F R U' F'
L2 B2 F L' R F U'
L2 B2 F R L' F U'
L B2 F L' R U' D
L B2 F L' R U' D'
L B2 F L' R U' D2
L B2 F L' R D U'
L B2 F L' R D' U'
L B2 F L' R D2 U'
L B2 F L' D R U'
L B2 F L' D' R U'
L B2 F L' D2 R U'
L B2 F R L' U' D
L B2 F R L' U' D'
L B2 F R L' U' D2
L B2 F R L' D U'
L B2 F R L' D' U'
L B2 F R L' D2 U'
L B2 F R D L' U'
L B2 F R D' L' U'
L B2 F R D2 L' U'
L B2 F D L' R U'
L B2 F D R L' U'
L B2 F D' L' R U'
L B2 F D' R L' U'
L B2 F D2 L' R U'
L B2 F D2 R L' U'
