D' L B' R2 F' U
D L2 F2 R F' U'
U2 D' L R2 B' U
U2 D' L B' R2 U
U2 D' R2 L B' U
D' U2 L R2 B' U
D' U2 L B' R2 U
D' U2 R2 L B' U
U2 D L B2 R' B U
F U L' B2 U L2 U
F U L' B2 U2 D' B2
F U L' B2 D F2 U2
F U L' B2 D' U2 B2
L2 D F2 L2 R F' U'
L2 D F2 R L2 F' U'
L2 D F2 R F' L2 U'
R' D' L B' R2 F' U
R2 D' L B' R2 F' U
R D' L B' R2 F' U
D' U' L R2 B' U L'
U' D' L R2 B' U L'
U2 D' L R B' R U
U2 D' L R2 D B' U
U2 D' L R2 D' B' U
U2 D' L R2 D2 B' U
U2 D' L R2 B' U D
U2 D' L R2 B' U D'
U2 D' L R2 B' U D2
U2 D' L R2 B' D U
U2 D' L R2 B' D' U
U2 D' L R2 B' D2 U
D' U' L B' R2 U L'
U' D' L B' R2 U L'
U2 D' L D' B' U F2
U2 D' L B R2 B2 U
U2 D' L B' R2 U D
U2 D' L B' R2 U D'
U2 D' L B' R2 U D2
U2 D' L B' R2 D U
U2 D' L B' R2 D' U
U2 D' L B' R2 D2 U
U2 D' L B' U D' F2
U2 D' L B' D' U F2
F' U B2 U' R' U' R2
F' U B2 U2 R D B2
R' D' U2 L R2 B' U
R' D' U2 L B' R2 U
R' D' U2 R2 L B' U
F U B2 L' U' R' U'
R2 D' U2 L R2 B' U
R2 D' U2 L B' R2 U
U2 D' R L B' R U
R2 D' U2 R2 L B' U
R D' U2 L R2 B' U
R D' U2 L B' R2 U
R D' U2 R2 L B' U
U' D' R2 L B' U L'
D' U' R2 L B' U L'
U2 D' R2 L D B' U
U2 D' R2 L D' B' U
U2 D' R2 L D2 B' U
U2 D' R2 L B' U D
U2 D' R2 L B' U D'
U2 D' R2 L B' U D2
U2 D' R2 L B' D U
U2 D' R2 L B' D' U
U2 D' R2 L B' D2 U
B2 U' R' F' B2 U' R
B2 U' R' B2 F' U' R
D2 U' F2 B D' R' B
D2 U' B F2 D' R' B
D' U2 L R B' R U
D' U2 L R2 D B' U
D' U2 L R2 D' B' U
D' U2 L R2 D2 B' U
D' U2 L R2 B' U D
D' U2 L R2 B' U D'
D' U2 L R2 B' U D2
D' U2 L R2 B' D U
D' U2 L R2 B' D' U
D' U2 L R2 B' D2 U
D' U2 L D' B' U F2
D' U2 L B R2 B2 U
B2 U' F' R' B2 U' R2
D' U2 L B' R2 U D
D' U2 L B' R2 U D'
D' U2 L B' R2 U D2
D' U2 L B' R2 D U
D' U2 L B' R2 D' U
D' U2 L B' R2 D2 U
D' U2 L B' U D' F2
D' U2 L B' D' U F2
D2 U2 L B U R' F2
D2 U2 L B U F2 R'
U2 D2 L B U R' F2
U2 D2 L B U F2 R'
D U2 L B2 R' B U
D' U2 R L B' R U
D' U2 R2 L D B' U
D' U2 R2 L D' B' U
D' U2 R2 L D2 B' U
D' U2 R2 L B' U D
D' U2 R2 L B' U D'
D' U2 R2 L B' U D2
D' U2 R2 L B' D U
D' U2 R2 L B' D' U
D' U2 R2 L B' D2 U
F' U2 L U R D2 F2
F' U2 L U D2 R F2
F' U2 L U' B2 U2 R
F' U2 L D' R2 U R'
F' U2 L D2 U R F2
F U2 L U D2 R2 F2
F U2 L U D2 F2 R2
F U2 L U' L2 B2 U2
F U2 L U' B2 L2 U2
F U2 L D' R2 B2 U
F U2 L D' B2 R2 U
F U2 L D2 U R2 F2
F U2 L D2 U F2 R2
U' D2 F2 B D' R' B
U' D2 B F2 D' R' B
F' U2 D' L R2 U R'
F' U2 D' R2 L U R'
D' F L B' R2 F' U
F' U2 D2 L U R F2
U F L' B2 U L2 U
U F L' B2 U2 D' B2
U F L' B2 D F2 U2
U F L' B2 D' U2 B2
D F L2 F2 R F' U'
L2 F U L' B2 U2 B
L2 F U B2 L' U2 B'
D' F U2 L R2 B' U
L F U L' B2 U2 B2
D' F U2 L B' R2 U
L2 F U' D2 F2 R B
D' F U2 R2 L B' U
L F U B2 L' U2 B2
L F U' L' B2 R' U2
L F U' B2 L' U2 L
F' D L2 U2 L' U R
F2 D L2 F U' R B
L' F D2 R2 U' F2 R
L2 F D2 U' F2 R B
D' F' L B' R2 F' U
U F B2 L' U' R' U'
D F' L2 F2 R F' U'
D' F' U2 L R2 B' U
D' F' U2 L B' R2 U
D' F' U2 R2 L B' U
L F' U B2 U2 R B2
L F' U B2 U2 B2 R
L' F' D2 R2 U' R' F2
L' F' D2 R2 U' F2 R'
D' F2 L B' R2 F' U
F' D' U2 L R2 U R'
F' D' U2 R2 L U R'
U F' B2 U' R' U' R2
U F' B2 U2 R D B2
D F2 L2 F2 R F' U'
D' F2 U2 L R2 B' U
D' F2 U2 L B' R2 U
D' F2 U2 R2 L B' U
F' D2 U2 L U R F2
U F2 B2 U' R' F' U'
B2 F L' U' R' B2 U'
B2 F' U' R' B2 U' R2
B2 F' U2 R D L2 B2
B2 F' U2 R D B2 L2
F B2 L' U' R' B2 U'
D B2 R' B2 L2 F U'
U B2 U' R' F' U' R
U B2 U' F' R' U' R2
F' B2 U' R' B2 U' R2
B2 F2 U' R' F' B2 U'
B2 F2 U' R' B2 F' U'
F2 B2 U' R' F' B2 U'
F2 B2 U' R' B2 F' U'
F' B2 U2 R D L2 B2
F' B2 U2 R D B2 L2
U B2 F L' U' R' U'
U B2 F' U' R' U' R2
U B2 F' U2 R D B2
U B2 F2 U' R' F' U'
