F' U R F B
F' U R B F
B L F' U R F
U' L' F' U R B'
U' L' F' U B' R
F' U R D F B
F' U R D B F
F' U R D' F B
F' U R D' B F
F' U R D2 F B
F' U R D2 B F
F' U R F D B
F' U R F D' B
F' U R F D2 B
F' U R F B D
F' U R F B D'
F' U R F B D2
F' U R B D F
F' U R B D' F
F' U R B D2 F
F' U R B F D
F' U R B F D'
F' U R B F D2
F' U R2 F R' B
F' U D R F B
F' U D R B F
F' U D' R F B
F' U D' R B F
F' U D2 R F B
F' U D2 R B F
F' U B R F B
F' U B R B F
F' U B' R F B
F' U B' R B F
F' U B2 R F B
F' U B2 R B F
B U' L F' U R
B U' F' L U R
F' D U R F B
F' D U R B F
U' F' L' U R B'
U' F' L' U B' R
L' F' U R F B
L' F' U R B F
L2 F' U R F B
L2 F' U R B F
L F' U R F B
L F' U R B F
F' D' U R F B
F' D' U R B F
F' D2 U R F B
F' D2 U R B F
F' U R2 F R' B D2
F' U R2 F' R' F2 B
F' U R2 F' R' B F2
D2 U R2 B U' R' B
F' U D R D F B
F' U D R D B F
F' U D R D' F B
F' U D R D' B F
F' U D R D2 F B
F' U D R D2 B F
F' U D R F D B
F' U D R F D' B
F' U D R F D2 B
F' U D R F B D
F' U D R F B D'
F' U D R F B D2
F' U D R B D F
F' U D R B D' F
F' U D R B D2 F
F' U D R B F D
F' U D R B F D'
F' U D R B F D2
F' U D R2 F R' B
F' U D B R F B
F' U D B R B F
F' U D B' R F B
F' U D B' R B F
F' U D B2 R F B
F' U D B2 R B F
F' U D' R D F B
F' U D' R D B F
F' U D' R D' F B
F' U D' R D' B F
F' U D' R D2 F B
F' U D' R D2 B F
F' U D' R F D B
F' U D' R F D' B
F' U D' R F D2 B
F' U D' R F B D
F' U D' R F B D'
F' U D' R F B D2
F' U D' R B D F
F' U D' R B D' F
F' U D' R B D2 F
F' U D' R B F D
F' U D' R B F D'
F' U D' R B F D2
F' U D' R2 F R' B
F' U D' B R F B
F' U D' B R B F
F' U D' B' R F B
F' U D' B' R B F
F' U D' B2 R F B
F' U D' B2 R B F
F' U D2 R D F B
F' U D2 R D B F
F' U D2 R D' F B
F' U D2 R D' B F
F' U D2 R D2 F B
F' U D2 R D2 B F
F' U D2 R F D B
F' U D2 R F D' B
F' U D2 R F D2 B
F' U D2 R F B D
F' U D2 R F B D'
F' U D2 R F B D2
F' U D2 R B D F
F' U D2 R B D' F
F' U D2 R B D2 F
F' U D2 R B F D
F' U D2 R B F D'
F' U D2 R B F D2
F' U D2 R2 F R' B
F' U D2 B R F B
F' U D2 B R B F
F' U D2 B' R F B
F' U D2 B' R B F
F' U D2 B2 R F B
F' U D2 B2 R B F
F' U F R D2 B R'
F' U F D2 R B R'
F' U B R D F B
F' U B R D B F
F' U B R D' F B
F' U B R D' B F
F' U B R D2 F B
F' U B R D2 B F
F' U B R F D B
F' U B R F D' B
F' U B R F D2 B
F' U B R F B D
F' U B R F B D'
F' U B R F B D2
F' U B R B D F
F' U B R B D' F
F' U B R B D2 F
F' U B R B F D
F' U B R B F D'
F' U B R B F D2
F' U B R2 F R' B
F' U B D R F B
F' U B D R B F
F' U B D' R F B
F' U B D' R B F
F' U B D2 R F B
F' U B D2 R B F
F' U B' R D F B
F' U B' R D B F
F' U B' R D' F B
F' U B' R D' B F
F' U B' R D2 F B
F' U B' R D2 B F
F' U B' R F D B
F' U B' R F D' B
F' U B' R F D2 B
F' U B' R F B D
F' U B' R F B D'
F' U B' R F B D2
F' U B' R B D F
F' U B' R B D' F
F' U B' R B D2 F
F' U B' R B F D
F' U B' R B F D'
F' U B' R B F D2
F' U B' R2 F R' B
F' U B' D R F B
F' U B' D R B F
F' U B' D' R F B
F' U B' D' R B F
F' U B' D2 R F B
F' U B' D2 R B F
F' U B2 R D F B
F' U B2 R D B F
F' U B2 R D' F B
F' U B2 R D' B F
F' U B2 R D2 F B
F' U B2 R D2 B F
F' U B2 R F D B
F' U B2 R F D' B
F' U B2 R F D2 B
F' U B2 R F B D
F' U B2 R F B D'
F' U B2 R F B D2
F' U B2 R B D F
F' U B2 R B D' F
F' U B2 R B D2 F
F' U B2 R B F D
F' U B2 R B F D'
F' U B2 R B F D2
F' U B2 R2 F R' B
F' U B2 D R F B
F' U B2 D R B F
F' U B2 D' R F B
F' U B2 D' R B F
F' U B2 D2 R F B
F' U B2 D2 R B F
B U' L F' U R D
B U' L F' U R D'
B U' L F' U R D2
B U' L F' U D R
B U' L F' U D' R
B U' L F' U D2 R
B U' L F' D U R
B U' L F' D' U R
B U' L F' D2 U R
B U' L F' B U R
B U' L F' B' U R
B U' L F' B2 U R
B U' L B F' U R
B U' L B' F' U R
B U' L B2 F' U R
B U' L' F' L2 U R
B U' D' L F' B' U
B U' D' L B' F' U
B U' D' F' L B' U
B' U' F' U R D B2
B' U' F' U2 R' U' R2
B' U' F' B U R B
B' U' F' B2 L U R
B2 U' F' B' L U R
B U' F' L U R D
B U' F' L U R D'
B U' F' L U R D2
B U' F' L U D R
B U' F' L U D' R
B U' F' L U D2 R
B U' F' L D U R
B U' F' L D' U R
B U' F' L D2 U R
F' U' F2 L' U2 F' B'
F' U' F2 L' U2 B' F'
B U' F' L B U R
B U' F' L B' U R
B U' F' L B2 U R
B2 U' F' B2 U R B
B U' F' D L U R
B U' F' D' L U R
B U' F' D2 L U R
B U' F' B' U R B
F' U' B U2 R F B
F' U' B U2 R B F
B' U' B F' U R B
B2 U' B' L F' U R
F' U' B' U2 R F B
F' U' B' U2 R B F
B' U' B2 L F' U R
B2 U' B' F' L U R
F' U' B2 U2 R F B
F' U' B2 U2 R B F
U D2 R U' B L R'
U D2 R U' B R' L
B' U' B2 F' L U R
B U' B' F' U R B
B2 U' B2 F' U R B
U D2 R2 B U' R' B
U2 F L' U F2 L' U
U2 F U F2 L' U R
F2 D R2 F U R B
F' D U R D F B
F' D U R D B F
F' D U R D' F B
F' D U R D' B F
F' D U R D2 F B
F' D U R D2 B F
F' D U R F D B
F' D U R F D' B
F' D U R F D2 B
F' D U R F B D
F' D U R F B D'
F' D U R F B D2
F' D U R B D F
F' D U R B D' F
F' D U R B D2 F
F' D U R B F D
F' D U R B F D'
F' D U R B F D2
F' D U R2 F R' B
F' D U B R F B
F' D U B R B F
F' D U B' R F B
F' D U B' R B F
F' D U B2 R F B
F' D U B2 R B F
U' F' L' U R D B'
U' F' L' U R D' B'
U' F' L' U R D2 B'
U' F' L' U R B' D
U' F' L' U R B' D'
U' F' L' U R B' D2
U' F' L' U R' B' R2
U' F' L' U D R B'
U' F' L' U D B' R
U' F' L' U D' R B'
U' F' L' U D' B' R
U' F' L' U D2 R B'
U' F' L' U D2 B' R
U' F' L' U B R B2
U' F' L' U B' R D
U' F' L' U B' R D'
U' F' L' U B' R D2
U' F' L' U B' D R
U' F' L' U B' D' R
U' F' L' U B' D2 R
U' F' L' D U R B'
U' F' L' D U B' R
U' F' L' D' U R B'
U' F' L' D' U B' R
U' F' L' D2 U R B'
U' F' L' D2 U B' R
U' F' L' B U R B2
U' F' L' B U B2 R
U' F' L' B2 U B R
D2 F' U R F B R'
D2 F' U R B R' F
D2 F' U R B F R'
L' F' U R D F B
L' F' U R D B F
L' F' U R D' F B
L' F' U R D' B F
L' F' U R D2 F B
L' F' U R D2 B F
L' F' U R F D B
L' F' U R F D' B
L' F' U R F D2 B
L' F' U R F B D
L' F' U R F B D'
L' F' U R F B D2
L' F' U R B D F
L' F' U R B D' F
L' F' U R B D2 F
L' F' U R B F D
L' F' U R B F D'
L' F' U R B F D2
L' F' U R2 F R' B
D F' R2 U F R B
D2 F' U F R B R'
L' F' U D R F B
L' F' U D R B F
U' F' U B' R D B2
L' F' U D' R F B
L' F' U D' R B F
L' F' U D2 R F B
L' F' U D2 R B F
U2 F' U L' U L R
U2 F' U L' U R L
L' F' U B R F B
L' F' U B R B F
L2 F' U R D F B
L2 F' U R D B F
L2 F' U R D' F B
L2 F' U R D' B F
L2 F' U R D2 F B
L2 F' U R D2 B F
L2 F' U R F D B
L2 F' U R F D' B
L2 F' U R F D2 B
L2 F' U R F B D
L2 F' U R F B D'
L2 F' U R F B D2
L2 F' U R B D F
L2 F' U R B D' F
L2 F' U R B D2 F
L2 F' U R B F D
L2 F' U R B F D'
L2 F' U R B F D2
L' F' U B' R F B
L' F' U B' R B F
L' F' U B2 R F B
L' F' U B2 R B F
L2 F' U R2 F R' B
L2 F' U D R F B
L2 F' U D R B F
L2 F' U D' R F B
L2 F' U D' R B F
L2 F' U D2 R F B
L2 F' U D2 R B F
L2 F' U B R F B
L2 F' U B R B F
L2 F' U B' R F B
L2 F' U B' R B F
L2 F' U B2 R F B
L2 F' U B2 R B F
U' F' U2 R' U' R2 B
U' F' U2 R2 U' R' B
L F' U R D F B
L F' U R D B F
L F' U R D' F B
L F' U R D' B F
L F' U R D2 F B
L F' U R D2 B F
L F' U R F D B
L F' U R F D' B
L F' U R F D2 B
L F' U R F B D
L F' U R F B D'
L F' U R F B D2
L F' U R B D F
L F' U R B D' F
L F' U R B D2 F
L F' U R B F D
L F' U R B F D'
L F' U R B F D2
L F' U R2 F R' B
L F' U D R F B
L F' U D R B F
L F' U D' R F B
L F' U D' R B F
L F' U D2 R F B
L F' U D2 R B F
L F' U B R F B
L F' U B R B F
U' F' D L' U R B'
U' F' D L' U B' R
L F' U B' R F B
L F' U B' R B F
L F' U B2 R F B
L F' U B2 R B F
B D' L F' B' U F
L' F' D U R F B
L' F' D U R B F
U' F' D' L' U R B'
U' F' D' L' U B' R
B D' L B' F' U F
L2 F' D U R F B
L2 F' D U R B F
L' F' D' U R F B
L' F' D' U R B F
U' F' D2 L' U R B'
U' F' D2 L' U B' R
L2 F' D' U R F B
L2 F' D' U R B F
L F' D U R F B
L F' D U R B F
L' F' D2 U R F B
L' F' D2 U R B F
U' F' B L' U R B'
U' F' B L' U B' R
L2 F' D2 U R F B
L2 F' D2 U R B F
L F' D' U R F B
L F' D' U R B F
U' F' B' L' U R B'
U' F' B' L' U B' R
L F' D2 U R F B
L F' D2 U R B F
U' F' B2 L' U R B'
U' F' B2 L' U B' R
F' D' U R D F B
F' D' U R D B F
F' D' U R D' F B
F' D' U R D' B F
F' D' U R D2 F B
F' D' U R D2 B F
F' D' U R F D B
F' D' U R F D' B
F' D' U R F D2 B
F' D' U R F B D
F' D' U R F B D'
F' D' U R F B D2
F' D' U R B D F
F' D' U R B D' F
F' D' U R B D2 F
F' D' U R B F D
F' D' U R B F D'
F' D' U R B F D2
F' D' U R2 F R' B
F' D' U B R F B
F' D' U B R B F
F' D' U B' R F B
F' D' U B' R B F
F' D' U B2 R F B
F' D' U B2 R B F
B D' U' L F' B' U
B D' U' L B' F' U
B D' U' F' L B' U
U2 F2 U F L' B' U
F' D2 U R D F B
F' D2 U R D B F
F' D2 U R D' F B
F' D2 U R D' B F
F' D2 U R D2 F B
F' D2 U R D2 B F
F' D2 U R F D B
F' D2 U R F D' B
F' D2 U R F D2 B
F' D2 U R F B D
F' D2 U R F B D'
F' D2 U R F B D2
F' D2 U R B D F
F' D2 U R B D' F
F' D2 U R B D2 F
F' D2 U R B F D
F' D2 U R B F D'
F' D2 U R B F D2
F' D2 U R2 F R' B
F' D2 U B R F B
F' D2 U B R B F
F' D2 U B' R F B
F' D2 U B' R B F
F' D2 U B2 R F B
F' D2 U B2 R B F
D2 B L F' U R' F
D2 B L F' U F R'
D' B L F' B' U F
L' B L F' U R F
D' B L B' F' U F
U' B L' F' U R B'
U' B L' F' U B' R
L2 B L F' U R F
L B L F' U R F
D2 B U' L F' U R'
D' B U' L F' B' U
D' B U' L B' F' U
L' B U' L F' U R
D2 B U' F' L U R'
D' B U' F' L B' U
L' B U' F' L U R
L2 B U' L F' U R
F' B L U D2 R F'
F' B L D2 U R F'
L2 B U' F' L U R
L B U' L F' U R
L B U' F' L U R
U' B F' L' U R B'
U' B F' L' U B' R
U' B' L' F' U R B'
U' B' L' F' U B' R
B F' L U D2 R F'
B F' L D2 U R F'
B' F' R' U F R2 B
F' B' R' U F R2 B
B' F' U R D F B2
B' F' U R D B2 F
B' F' U R F D B2
F' B' U R D F B2
F' B' U R D B2 F
F' B' U R F D B2
U' B' F' L' U R B'
U' B' F' L' U B' R
B' F' U2 R' U' R2 F
B' F' U2 R' U' F R2
F' B' U2 R' U' R2 F
F' B' U2 R' U' F R2
U' B2 L' F' U R B'
U' B2 L' F' U B' R
U' B2 F' L' U R B'
U' B2 F' L' U B' R
