U2 L2 R2 U R2 B'
U2 L2 R2 U B' R2
D2 L2 U L2 F U2
D2 L2 U' D2 R2 B'
D2 L2 U' D2 B' R2
D2 L2 U' B' D2 R2
D2 L2 D F2 U' B'
D2 L2 D2 U' R2 B'
D2 L2 D2 U' B' R2
U2 R2 L2 U R2 B'
U2 R2 L2 U B' R2
U R2 U D2 L2 B'
U2 R2 U' F U2 R2
U R2 U' R2 F U2
U R2 U' F R2 U2
U R2 D2 U L2 B'
F U R2 U D2 L2
F U R2 U D2 L2
F U R2 U' R2 U2
F U R2 D' F2 U
F U R2 D2 U L2
D2 U' L2 U' B' L2
U' D' F2 D R2 B
D' U' F2 D R2 B
F U' D2 L2 U' L2
U' D2 L2 U' B' L2
F2 U2 R2 U B R2
F U2 D' F2 D' L2
F U2 F2 D' L2 F2
F U2 F2 D' F2 L2
D2 F U' L2 U' L2
U F U R2 U R2
D F B2 U' B2 U'
D F B2 U2 D L2
D F B2 D U2 L2
D F B2 D' R2 U2
B2 D F B2 U2 L2
B2 D B2 U2 L2 B'
B2 D B2 F U2 L2
F D B2 U' B2 U'
F D B2 U2 D L2
F D B2 D U2 L2
F D B2 D' R2 U2
B2 D' R2 F U2 F
B2 D' F R2 U2 F
F D' U2 F2 D' L2
U2 F2 D' F2 L2 B'
F D2 U' L2 U' L2
B' F U R2 F' U
B2 F D B2 U2 L2
B2 F D' R2 U2 F2
F B' U R2 F' U
D B2 U2 D L2 B'
D B2 D U2 L2 B'
D B2 D F U2 L2
D B2 D' R2 F U2
D B2 D' F R2 U2
D B2 F U' B2 U'
D B2 F U2 D L2
D B2 F D U2 L2
F B2 D B2 U2 L2
D B2 F D' R2 U2
F B2 D' R2 U2 F2
D R' B2 F D' R2 U2
L2 U2 D' B2 U F2 B
L2 U2 D' B2 U B F2
D2 R2 L2 U L2 F U2
D2 R2 L2 U' D2 R2 B'
D2 R2 L2 U' D2 B' R2
D2 R2 L2 U' B' D2 R2
D2 R2 L2 D F2 U' B'
D2 R2 L2 D2 U' R2 B'
D2 R2 L2 D2 U' B' R2
U2 R2 L2 U R B' R
U2 R2 L2 U R2 D B'
U2 R2 L2 U R2 D' B'
U2 R2 L2 U R2 D2 B'
U2 R2 L2 U R2 B' D
U2 R2 L2 U R2 B' D'
U2 R2 L2 U R2 B' D2
U2 R2 L2 U B R2 B2
U2 R2 L2 U B' R2 D
U2 R2 L2 U B' R2 D'
U2 R2 L2 U B' R2 D2
U2 R2 L2 D B2 U B
U2 R2 L2 B U R2 B2
U2 R2 L2 B U B2 R2
U R2 L2 U D2 B' L2
U R2 L2 U B' D2 L2
U R2 L2 U' R2 U2 B'
U2 R2 L2 B2 U B R2
U2 R2 U L2 R2 B' L2
U R2 L2 D' F2 U B'
U2 R2 U L2 B' L2 R2
U2 R2 U L2 B' R2 L2
U R2 L2 D2 U B' L2
U2 R2 U R2 L2 B' L2
U2 R2 U R2 U2 F U2
D2 R2 U' L2 U' B' L2
U2 R2 U F2 R2 F2 B
U2 R2 U F2 R2 B F2
U R2 U L2 D2 B' L2
U R2 U L2 B' D2 L2
U2 R2 U' L2 U2 R2 B'
U2 R2 U' L2 U2 B' R2
U R2 U D2 L2 D B'
U R2 U D2 L2 D' B'
U R2 U D2 L2 D2 B'
U R2 U D2 L2 B' D
U R2 U D2 L2 B' D'
U R2 U D2 L2 B' D2
U R2 U D2 B L2 B'
U R2 U D2 B' L2 B'
U R2 U D2 B2 L2 B'
D' R2 U' F2 D R2 B
U2 R2 U' D2 L2 U2 B'
U2 R2 U' D2 F L2 U2
U R2 U B D2 L2 B'
U2 R2 U' F L U2 R2
U2 R2 U' F L' U2 R2
U2 R2 U' F L2 U2 R2
U2 R2 U' F U2 R2 D
U2 R2 U' F U2 R2 D'
U2 R2 U' F U2 R2 D2
U R2 U B' D2 L2 B'
U2 R2 U' F D2 L2 U2
U R2 U B2 D2 L2 B'
U2 R2 U' F2 U2 R2 B
U R2 U' R' F R' U2
U R2 U' R2 D F U2
U R2 U' R2 D' F U2
U R2 U' R2 D2 F U2
U R2 U' R2 F U2 D
U R2 U' R2 F U2 D'
U R2 U' R2 F U2 D2
U R2 U' R2 F D U2
U R2 U' R2 F D' U2
U R2 U' R2 F D2 U2
U R2 U' D2 F U2 L2
U R2 U' F R2 U2 D
U R2 U' F R2 U2 D'
U R2 U' F R2 U2 D2
U R2 U' F R2 D U2
U R2 U' F R2 D' U2
U R2 U' F R2 D2 U2
U R2 U' F U2 D2 L2
U R2 U' F D2 U2 L2
U R2 U' F' R2 F2 U2
U R2 U' F2 R2 U2 B
U2 R2 U2 F2 U' R2 B
U2 R2 D L2 B2 U B
U2 R2 D B2 L2 U B'
U2 R2 D B2 U' F U2
U R2 D' L2 F2 U B'
U2 R2 D2 U' L2 U2 B'
U2 R2 D2 U' F L2 U2
U R2 D' F2 U' F' U2
U R2 D2 L U L B'
D2 R2 F U' L2 U' L2
B' R2 F U F2 U F2
U R2 D2 U L2 D B'
U R2 D2 U L2 D' B'
U R2 D2 U L2 D2 B'
U R2 D2 U L2 B' D
U R2 D2 U L2 B' D'
U R2 D2 U L2 B' D2
U R2 D2 U B L2 B'
U R2 D2 U B' L2 B'
U R2 D2 U B2 L2 B'
U R2 D2 U' F U2 L2
D R2 F B2 U' B2 U'
D R2 F B2 U2 D L2
D R2 F B2 D U2 L2
D R2 F B2 D' R2 U2
U R2 F' U D2 L2 B2
U R2 F' U D2 B2 L2
U R2 F' U' R2 F2 U2
U R2 F' U' F2 R2 U2
U R2 F' D' L2 F2 U
U R2 F' D' F2 L2 U
U R2 F' D2 U L2 B2
U R2 F' D2 U B2 L2
U2 R2 B L2 U R2 B'
U2 R2 B L2 U B' R2
U R2 F2 U' R2 U2 B
U R2 F2 U' F' R2 U2
U2 R2 B U' F U2 R2
U2 R2 B' L2 U R2 B'
U2 R2 B' L2 U B' R2
U2 R2 B' U' F U2 R2
U2 R2 B2 L2 U R2 B'
U2 R2 B2 L2 U B' R2
U2 R2 B2 U' F U2 R2
D R2 B2 U2 D L2 B'
D R2 B2 D U2 L2 B'
D R2 B2 D F U2 L2
D R2 B2 D' R2 F U2
D R2 B2 D' F R2 U2
D R2 B2 F U' B2 U'
D R2 B2 F U2 D L2
D R2 B2 F D U2 L2
D R2 B2 F D' R2 U2
B' U L2 R2 F' U B'
U' D L2 U' B' L2 F
B U L2 R2 F U B'
B U L2 F R2 U B'
L2 D F2 U B2 U2 B
L2 D F2 U' D2 F2 B'
L2 D F2 U' D2 B' F2
L2 D F2 D2 U' F2 B'
L2 D F2 D2 U' B' F2
B' U R2 L2 F' U B'
F' U R2 U D2 L2 B2
F' U R2 U D2 B2 L2
F' U R2 U' R2 F2 U2
F' U R2 U' F2 R2 U2
B2 U R2 U D L2 B'
F' U R2 D' L2 F2 U
F' U R2 D' F2 L2 U
F2 U R2 U D2 L2 B
F2 U R2 U D2 B L2
F2 U R2 U B D2 L2
F' U R2 D2 U L2 B2
F' U R2 D2 U B2 L2
F2 U R2 U' R2 F' U2
B2 U R2 D U L2 B'
B' U R2 F' U D2 B2
B' U R2 F' U' F2 U2
B' U R2 F' D' L2 U
B' U R2 F' D2 U B2
F2 U R2 D' F2 U B
F2 U R2 D2 U L2 B
F2 U R2 D2 U B L2
F U R' F2 R' U L'
B U R2 L2 F U B'
F U R2 U L D2 L2
F U R2 U L' D2 L2
F U R2 U L2 D2 L2
F U R2 U D2 L2 D
F U R2 U D2 L2 D'
F U R2 U D2 L2 D2
F U R2 U' R2 U2 D
F U R2 U' R2 U2 D'
F U R2 U' R2 U2 D2
F U R2 U' R2 D U2
F U R2 U' R2 D' U2
F U R2 U' R2 D2 U2
F U R2 U2 D B2 U'
F U R2 D U2 B2 U'
F U R2 D' F2 U D
F U R2 D' F2 U D'
F U R2 D' F2 U D2
F U R2 D' F2 D U
F U R2 D' F2 D' U
F U R2 D' F2 D2 U
F U R2 D2 U L2 D
F U R2 D2 U L2 D'
F U R2 D2 U L2 D2
F U R2 D2 F U L2
F U R2 D2 F' U L2
F U R2 D2 F2 U L2
F U R2 F U D2 L2
F U R2 F U' R2 U2
F U R2 F D' F2 U
F U R2 F D2 U L2
F U R2 F' U D2 L2
F U R2 F' U' R2 U2
F U R2 F' D' F2 U
F U R2 F' D2 U L2
F U R2 F2 U D2 L2
F U R2 F2 U' R2 U2
F U R2 F2 D' F2 U
F U R2 F2 D2 U L2
D U F B2 U B2 U
D U F B2 U2 D' R2
D U F B2 D L2 U2
D U F B2 D' U2 R2
U D F B2 U B2 U
U D F B2 U2 D' R2
U D F B2 D L2 U2
U D F B2 D' U2 R2
F U D' R' U F2 L'
F U F R2 U D2 L2
F U F R2 U' R2 U2
F U F R2 D' F2 U
F U F R2 D2 U L2
F2 U F' U R2 U R2
B' U F2 R2 F' U B
F' U F2 U R2 U R2
F U F' R2 U D2 L2
F U F' R2 U' R2 U2
F U F' R2 D' F2 U
F U F' R2 D2 U L2
F U F2 R2 U D2 L2
F U F2 R2 U' R2 U2
F U F2 R2 D' F2 U
F U F2 R2 D2 U L2
D U B2 D L2 U2 B'
D U B2 D F L2 U2
D U B2 D' F U2 R2
D U B2 F U B2 U
D U B2 F U2 D' R2
D U B2 F D L2 U2
D U B2 F D' U2 R2
U D B2 D L2 U2 B'
U D B2 D F L2 U2
U D B2 D' F U2 R2
U D B2 F U B2 U
U D B2 F U2 D' R2
U D B2 F D L2 U2
U D B2 F D' U2 R2
D2 U' L2 R U' B' L2
D2 U' L2 R' U' B' L2
D2 U' L2 R2 U' B' L2
U' D' L2 U' F2 B' L2
D' U' L2 U' F2 B' L2
U' D' L2 U' B' L2 F2
D' U' L2 U' B' L2 F2
U' D' L2 U' B' F2 L2
D' U' L2 U' B' F2 L2
D2 U' L2 U' B L2 B2
D2 U' L2 U' B' L2 D
D2 U' L2 U' B' L2 D'
D2 U' L2 U' B' L2 D2
D2 U' L2 U' B2 L2 B
D2 U' L2 D' B2 U' B
D2 U' L2 B U' L2 B2
D2 U' L2 B U' B2 L2
D2 U' L2 B2 U' L2 B
D2 U' L2 B2 U' B L2
L2 D' U' F2 D' R2 B'
L2 D' U' F2 D' B' R2
D2 U' R L2 U' B' L2
U2 D' L2 F2 D' B' L2
D U' L2 U' B' L2 F
U2 D' L2 F2 B' D' L2
U2 D' L2 B' F2 D' L2
U' D' R F2 D R2 B
D' U' R F2 D R2 B
L2 D' U2 B2 U F2 B
L2 D' U2 B2 U B F2
D2 U' R' L2 U' B' L2
F U' L U' L' D' F2
F U' L U' D' L' F2
F U' L U2 R2 U L'
F U' L D' U' L' F2
F U' L D2 L2 U' L
U' D' R' F2 D R2 B
D' U' R' F2 D R2 B
D2 U' R2 L2 U' B' L2
F U' L' U' L D' F2
F U' L' U' D' L F2
F U' L' U' D' F2 L
F U' L' U2 R2 U L
F U' L' D' U' L F2
F U' L' D' U' F2 L
F U' L' D2 L2 U' L'
D' U' R2 F2 D R2 B
U' D' R2 F2 D R2 B
U2 D' R2 U F2 R2 B
F U' L2 U' L2 D' F2
F U' L2 U2 R2 U L2
F U' L2 D' B2 U' F2
U' D' F2 R2 D B R2
D' U' F2 R2 D B R2
U' D' F2 R2 B D R2
D' U' F2 R2 B D R2
D' U' F2 D R2 D B
D' U' F2 D R2 D' B
D' U' F2 D R2 D2 B
D' U' F2 D R2 B D
D' U' F2 D R2 B D'
D' U' F2 D R2 B D2
U' D' F2 D R2 D B
U' D' F2 D R2 D' B
U' D' F2 D R2 D2 B
U' D' F2 D R2 B D
U' D' F2 D R2 B D'
U' D' F2 D R2 B D2
D' U' F2 D B R2 B
U' D' F2 D B R2 B
D' U' F2 D B' R2 B
U' D' F2 D B' R2 B
D' U' F2 D B2 R2 B
U' D' F2 D B2 R2 B
D2 U' F2 D R2 F2 B
D2 U' F2 D R2 B F2
D' U' F2 B D R2 B
U' D' F2 B D R2 B
D' U' F2 B' D R2 B
U' D' F2 B' D R2 B
D' U' F2 B2 D R2 B
U' D' F2 B2 D R2 B
D2 U' B L2 U' B' L2
U' D' B F2 D R2 B
D' U' B F2 D R2 B
D2 U' B' L2 U' B' L2
B' U' D2 L2 B U' B2
F' U' D2 L2 U' L2 B2
F' U' D2 L2 U' B2 L2
U' D' B' F2 D R2 B
D' U' B' F2 D R2 B
B' U' D2 B L2 U' B'
F U' D' L U' L' F2
F U' D' L' U' L F2
F U' D' L' U' F2 L
F U' D' L2 U' L2 F2
F U' D' L2 U' F2 L2
D2 U' B2 L2 U' B' L2
D' U' B2 F2 D R2 B
U' D' B2 F2 D R2 B
L' D2 L2 U L' F U2
F U' D2 L2 U' L2 D
F U' D2 L2 U' L2 D'
F U' D2 L2 U' L2 D2
F U' D2 L2 D' B2 U'
F U' D2 L2 B U' L2
F U' D2 L2 B' U' L2
F U' D2 L2 B2 U' L2
B U' D2 B' L2 U' B'
F U' D2 B L2 U' L2
L2 D2 L2 U F U2 R2
F U' D2 B' L2 U' L2
F U' D2 B2 L2 U' L2
L2 D2 L2 F2 U' R2 B
L D2 L2 U' B2 R' B
U' D2 L2 R U' B' L2
U' D2 L2 R' U' B' L2
U' D2 L2 R2 U' B' L2
U' D2 L2 U' B L2 B2
U' D2 L2 U' B' L2 D
U' D2 L2 U' B' L2 D'
U' D2 L2 U' B' L2 D2
U' D2 L2 U' B2 L2 B
U' D2 L2 D' B2 U' B
D' U2 L2 F2 D' B' L2
D' U2 L2 F2 B' D' L2
U' D2 L2 B U' L2 B2
U' D2 L2 B U' B2 L2
D' U2 L2 B' F2 D' L2
U' D2 L2 B2 U' L2 B
U' D2 L2 B2 U' B L2
B' U' B D2 L2 U' B'
U' D2 R L2 U' B' L2
U' D2 R' L2 U' B' L2
F U' B D2 L2 U' L2
U' D2 R2 L2 U' B' L2
B U' B' D2 L2 U' B'
D' U2 R2 U F2 R2 B
B2 U' B2 D2 L2 U' B'
F U' B' D2 L2 U' L2
L2 D2 U' R2 D F2 B'
L2 D2 U' R2 D B' F2
L2 D2 U' R2 B' D F2
F2 U2 L R2 U B R2
L2 D2 U' B' R2 D F2
F U' B2 D2 L2 U' L2
F2 U2 L' R2 U B R2
F U2 L D' F2 D' L2
F U2 L F2 D' L2 F2
F U2 L F2 D' F2 L2
F2 U2 L2 R2 U B R2
B2 U2 L2 D B' L2 F
F U2 L' D' F2 D' L2
F U2 L' F2 D' L2 F2
F U2 L' F2 D' F2 L2
U' D2 F2 D R2 F2 B
U' D2 F2 D R2 B F2
U' D2 B L2 U' B' L2
F U2 L2 D' F2 D' L2
F U2 L2 F2 D' L2 F2
F U2 L2 F2 D' F2 L2
U' D2 B' L2 U' B' L2
F' U2 R2 U R2 D2 B2
F2 U2 R2 L U B R2
F' U2 R2 U' F2 U2 R2
F2 U2 R2 L' U B R2
F2 U2 R2 L2 U B R2
F2 U2 R2 U B R2 D
F2 U2 R2 U B R2 D'
F2 U2 R2 U B R2 D2
F2 U2 R2 U B' R2 B2
F2 U2 R2 U B2 R2 B'
F2 U2 R2 D B2 U B'
U' D2 B2 L2 U' B' L2
F2 U2 R2 B' U R2 B2
F2 U2 R2 B' U B2 R2
F2 U2 R2 B2 U R2 B'
F2 U2 R2 B2 U B' R2
B2 U2 D L2 D2 F2 B'
B2 U2 D L2 D2 B' F2
F U2 R2 U R2 D B2
B2 U2 D B' L2 F B'
B2 U2 D B' L2 B' F
F U2 R2 D B2 U B2
F U2 R2 B U R2 B'
F U2 R2 B U B' R2
F U2 R2 B' U B R2
F U2 R2 B2 U R2 B2
F U2 R2 B2 U B2 R2
F' U2 D' F2 D' L2 B2
F' U2 D' F2 D' B2 L2
F2 U2 D' F2 D' L2 B'
F U2 D' L F2 D' L2
F U2 D' L' F2 D' L2
F U2 D' L2 F2 D' L2
U F L U R2 U R2
F U2 D' F2 L D' L2
F U2 D' F2 L' D' L2
F U2 D' F2 L2 D' L2
F U2 D' F2 U' F2 U
F U2 D' F2 D' L2 D
F U2 D' F2 D' L2 D'
F U2 D' F2 D' L2 D2
U F L' U R2 U R2
