F' U B' R U2 B2
F' U' B D2 F2 L'
L2 F L' D B R2
L2 F L' B D R2
L2 F D L' B R2
L2 F D B L' R2
L2 F D B R2 L'
L2 F B L' D R2
L2 F B D L' R2
L2 F B D R2 L'
L2 F' U' F2 L' B
L2 F' U' F2 B L'
L2 F' U' B F2 L'
L2 B F L' D R2
L2 B F D L' R2
L2 B F D R2 L'
L2 F' B' U' B2 F2 L'
R2 F' B' R U B2 U
R2 F' B' R U2 D' R2
R2 F' B' R D L2 U2
R2 F' B' R D' U2 R2
F' D' U B' R U2 B2
R2 F' B' D L2 R U2
R2 F' B' D R L2 U2
R2 F' B' D' R U2 R
L2 F' B2 U' F2 B' L'
L2 F' B2 U' B' F2 L'
F' D' U' B D2 F2 L'
F D' B L' D2 F2 R
F D' B D2 L' R2 F2
F D' B D2 L' F2 R2
F D' B D2 R2 L' F2
F D' B' L2 U2 L B2
F' D2 U B' R U2 B2
F' D2 U' B D2 F2 L'
L' B L' F L' D R2
L' B L' F D L' R2
L' B L' F D R2 L'
L B L F L' D R2
L B L F D L' R2
L B L F D R2 L'
L2 B U F' U' F2 L'
R2 B U' F' R B2 U2
R2 B U' F' B2 R U2
R2 B U' B2 F' R U2
B F L' D R2 D F2
B F L' D2 F2 D' R2
F B L' D R2 D F2
F B L' D2 F2 D' R2
L' B F L' D R2 F
L' B F L' D F R2
L2 B F L' R D R2
L2 B F L' R' D R2
L2 B F L' R2 D R2
L2 B F L' U F2 U'
L2 B F L' D R2 D
L2 B F L' D R2 D'
L2 B F L' D R2 D2
L2 B F L2 D L R2
L2 B F L2 D R2 L
L2 B F R L' D R2
L2 B F R D L' R2
L2 B F R D R2 L'
L2 B F R' L' D R2
L2 B F R' D L' R2
L2 B F R' D R2 L'
L2 B F R2 L' D R2
L2 B F R2 D L' R2
L2 B F R2 D R2 L'
L2 B F D L' R2 D
L2 B F D L' R2 D'
L2 B F D L' R2 D2
L2 B F D R2 L' D
L2 B F D R2 L' D'
L2 B F D R2 L' D2
L2 B F D R2 D L'
L2 B F D R2 D' L'
L2 B F D R2 D2 L'
L2 B F D2 L' D' R2
B' F U2 L' B2 D R2
B' F U2 B2 L' D R2
B' F U2 B2 D L' R2
B' F U2 B2 D R2 L'
B2 F D R2 B' L' F'
B F D R2 D L' F2
F B D R2 D L' F2
B F D' L' D' F2 R
F' B D2 F2 L' D R2
F' B D2 F2 D L' R2
F' B D2 F2 D R2 L'
F B D' L' D' F2 R
B F D2 L' F2 D' R2
F B D2 L' F2 D' R2
D2 B' U' F' U' L B2
B' F' R U2 B2 D' R2
F' B' R U2 B2 D' R2
B2 F' U B R U2 B2
L2 B' F L' B2 D R2
B2 F' U' B' D2 F2 L'
L2 B' F' U' F2 L' B2
L2 B' F' U' F2 B2 L'
L2 B' F' U' B2 F2 L'
R2 B' F' R U B2 U
R2 B' F' R U2 D' R2
R2 B' F' R D L2 U2
R2 B' F' R D' U2 R2
R2 B' F' D L2 R U2
R2 B' F' D R L2 U2
R2 B' F' D' R U2 R
F B' U2 L' B2 D R2
F B' U2 B2 L' D R2
F B' U2 B2 D L' R2
F B' U2 B2 D R2 L'
B F' D2 F2 L' D R2
B F' D2 F2 D L' R2
B F' D2 F2 D R2 L'
F' B2 U B R U2 B2
F' B2 U' B' D2 F2 L'
L2 B2 F D R2 B' L'
L2 B2 F D B' L' R2
L2 B2 F D B' R2 L'
F B2 D R2 B' L' F'
L2 B2 F' U' F2 B' L'
L2 B2 F' U' B' F2 L'
