F' L' R U R2 U
F' L' R U2 D' F2
F' L' R D B2 U2
F' L' R D' U2 F2
F' R L' U R2 U
F' R L' U2 D' F2
F' R L' D B2 U2
F' R L' D' U2 F2
F' R U2 D' F2 R
F' R D L' B2 U2
F' R D B2 L' U2
F' R D' L' U2 F2
F' R D' U2 F2 R
F' R B2 D' L' U2 F2
F' R B2 D' U2 F2 R
F R' U L' R2 D2 B2
F R' U R2 L' D2 B2
F R' U R2 D2 L' B2
F R' U R2 D2 B2 L'
F R' U' F2 R U2 R
F' U R' U' L' R2 U2
F' U R' U' R2 L' U2
F' U R' D' F2 U R
R' D' L' F L' U R
F' U F2 R' U L' R2
F' U F2 R' U R2 L'
R2 F L' D B R F'
R2 F L' B D R F'
R F L' D' R F2 B
R F L' D' R B F2
F' U2 F2 L' R D' F2
F' U2 F2 R L' D' F2
F' U2 F2 R D' L' F2
R' F U L' R' B R2
R' F U R' L' B R2
R' F U R' B L' R2
R' F U R' B R2 L'
R F R2 U L' R' B
R F R2 U R' L' B
R F R2 U R' B L'
F' D L' R U R2 U
F' D L' R U2 D' F2
F' D L' R D B2 U2
F' D L' R D' U2 F2
R2 F D L' B R F'
F' D R L' U R2 U
F' D R L' U2 D' F2
F' D R L' D B2 U2
F' D R L' D' U2 F2
R2 F D B L' R F'
R2 F D B R L' F'
F' D R U2 D' F2 R
F' D R D L' B2 U2
F' D R D B2 L' U2
F' D R D' L' U2 F2
F' D R D' U2 F2 R
R2 F D' L' B R F
R2 F D' B L' R F
R2 F D' B R L' F
R F D' L' R F2 B
R F D' L' R B F2
R F D' R L' F2 B
R F D' R L' B F2
R F D' R B L' F2
R2 F B L' D R F'
R2 F B R D' L' F
R2 F B D L' R F'
R2 F B D R L' F'
R2 F B D' L' R F
R2 F B D' R L' F
D' F' L' U R' F U
L' F' L' R U R2 U
L' F' L' R U2 D' F2
D' F' L' U F R' U
L' F' L' R D B2 U2
L' F' L' R D' U2 F2
L2 F' L' R U R2 U
L2 F' L' R U2 D' F2
L2 F' L' R D B2 U2
L2 F' L' R D' U2 F2
L F' L' R U R2 U
L F' L' R U2 D' F2
L F' L' R D B2 U2
L F' L' R D' U2 F2
U' F' R U B R2 U
L' F' R L' U R2 U
L' F' R L' U2 D' F2
L' F' R L' D B2 U2
L' F' R L' D' U2 F2
L' F' R U2 D' F2 R
L' F' R D L' B2 U2
L' F' R D B2 L' U2
L' F' R D' L' U2 F2
L' F' R D' U2 F2 R
L2 F' R L' U R2 U
L2 F' R L' U2 D' F2
L2 F' R L' D B2 U2
L2 F' R L' D' U2 F2
L2 F' R U2 D' F2 R
L2 F' R D L' B2 U2
L2 F' R D B2 L' U2
L2 F' R D' L' U2 F2
L2 F' R D' U2 F2 R
L F' R L' U R2 U
L F' R L' U2 D' F2
L F' R L' D B2 U2
L F' R L' D' U2 F2
L F' R U2 D' F2 R
L F' R D L' B2 U2
L F' R D B2 L' U2
L F' R D' L' U2 F2
L F' R D' U2 F2 R
R' F' U' L' R F' U2
R' F' U' R L' F' U2
F' D' L' R U R2 U
F' D' L' R U2 D' F2
F' D' L' R D B2 U2
F' D' L' R D' U2 F2
F' D' R L' U R2 U
F' D' R L' U2 D' F2
F' D' R L' D B2 U2
F' D' R L' D' U2 F2
F' D' R U2 D' F2 R
F' D' R D L' B2 U2
F' D' R D B2 L' U2
F' D' R D' L' U2 F2
F' D' R D' U2 F2 R
F D' L2 R' U L R2
F D' L2 R' U R2 L
F D' R D' L' F2 B2
F D' R D' L' B2 F2
F D' R D' B2 L' F2
R F' D' F2 L' R B
R F' D' F2 R L' B
R F' D' F2 R B L'
F D' R' L2 U L R2
F D' R' L2 U R2 L
F' D2 L' R U R2 U
F' D2 L' R U2 D' F2
F' D2 L' R D B2 U2
F' D2 L' R D' U2 F2
F D2 L' R B2 D' F2
F' D2 R L' U R2 U
F' D2 R L' U2 D' F2
F' D2 R L' D B2 U2
F' D2 R L' D' U2 F2
F' D2 R U2 D' F2 R
F' D2 R D L' B2 U2
F' D2 R D B2 L' U2
F' D2 R D' L' U2 F2
F' D2 R D' U2 F2 R
F D2 R L' B2 D' F2
F D2 R B2 L' D' F2
F D2 R B2 D' L' F2
F D2 R' U L' R2 B2
F D2 R' U L' B2 R2
F D2 R' U R2 L' B2
F D2 R' U R2 B2 L'
F D2 R' U B2 L' R2
F D2 R' U B2 R2 L'
F D2 B2 L' R D F2
F D2 B2 L' D R F2
F D2 B2 R L' D F2
R2 B F L' D R F'
R2 B F R D' L' F
R2 B F D L' R F'
R2 B F D R L' F'
R2 B F D' L' R F
R2 B F D' R L' F
B' F' L' D' R U2 F'
B2 F' L' R U' L2 U'
B2 F' L' R U2 D F2
B2 F' L' R D U2 F2
B2 F' L' R D' B2 U2
F' B' L' D' R U2 F'
B2 F' L' U2 D F2 L'
B2 F' L' D R U2 F2
B2 F' L' D U2 F2 L'
B2 F' L' D' R B2 U2
B2 F' L' D' B2 R U2
B' F' R D L' U2 F
B2 F' R L' U' L2 U'
B2 F' R L' U2 D F2
B2 F' R L' D U2 F2
B2 F' R L' D' B2 U2
F' B' R D L' U2 F
B' F' D L' R U2 F
B' F' D R L' U2 F
F' B' D L' R U2 F
F' B' D R L' U2 F
B' F' D' L' R U2 F'
B' F' D' R L' U2 F'
F' B' D' L' R U2 F'
F' B' D' R L' U2 F'
F' B2 L' R U' L2 U'
F' B2 L' R U2 D F2
F' B2 L' R D U2 F2
F' B2 L' R D' B2 U2
F' B2 L' U2 D F2 L'
F' B2 L' D R U2 F2
F' B2 L' D U2 F2 L'
F' B2 L' D' R B2 U2
F' B2 L' D' B2 R U2
F' B2 R L' U' L2 U'
F' B2 R L' U2 D F2
F' B2 R L' D U2 F2
F' B2 R L' D' B2 U2
