B L D' F U2 L'
B D' L F U2 L'
D' B L F U2 L'
D B L R' F U2
D B L F R' U2
D B R' L F U2
D B D' L R' F U2
D B D' L F R' U2
D B D' R' L F U2
D' B F L U2 L2 B'
D' B F L F U2 L2
D B D2 L R' F U2
D B D2 L F R' U2
L B D' F L U2 L2
D B D2 R' L F U2
D' B F' L R F U2
D' B F' R L F U2
D B F L R' F U2
D B F L F R' U2
D' B F2 L F R U2
D B F R' L F U2
D B F' L R' F U2
D B F' L F R' U2
D B F' R' L F U2
D B F2 L R' F U2
D B F2 L F R' U2
D B F2 R' L F U2
D B' L' R' B' L2 F
F' B D' L F U2 L'
F2 B D' L F U2 L'
B F D' L F U2 L'
F B D' L F U2 L'
D B' R' L' B' L2 F
B F' L D' F U2 L'
B F' D' L F U2 L'
B F2 L D' F U2 L'
B F2 D' L F U2 L'
