U L' R' F' U
U R' L' F' U
U L R' F' L2 U
U L' R' D F' U
U L' R' D' F' U
U L' R' D2 F' U
U L' R' F' U D
U L' R' F' U D'
U L' R' F' U D2
U L' R' F' D U
U L' R' F' D' U
U L' R' F' D2 U
U L' D R' F' U
U L' D' R' F' U
U L' D2 R' F' U
U L' F R' F' U
U L' F' R' F' U
U L' F2 R' F' U
U L2 R' F' L U
U R' L F' L2 U
U R' L' D F' U
U R' L' D' F' U
U R' L' D2 F' U
U R' L' F' U D
U R' L' F' U D'
U R' L' F' U D2
U R' L' F' D U
U R' L' F' D' U
U R' L' F' D2 U
U R' L2 F' L U
U R' D L' F' U
U R' D' L' F' U
U R' D2 L' F' U
D2 U L' R' F' U
D' U L' R' F' U
U D L' R' F' U
D U L' R' F' U
D2 U R' L' F' U
D' U R' L' F' U
U D R' L' F' U
D U R' L' F' U
U D' L' R' F' U
U D' R' L' F' U
U D2 L' R' F' U
U D2 R' L' F' U
U F R' F' L' U
U L' D' R' F' D' U
U L' D' R' F' D2 U
U L' D' F R' F' U
U L' D' F' R' F' U
U L' D' F2 R' F' U
U L' D2 R' D F' U
U L' D2 R' D' F' U
U L' D2 R' D2 F' U
U L' D2 R' F' U D
U L' D2 R' F' U D'
U L' D2 R' F' U D2
U L' D2 R' F' D U
U L' D2 R' F' D' U
U L' D2 R' F' D2 U
U L' D2 F R' F' U
U L' D2 F' R' F' U
U L' D2 F2 R' F' U
U L' F R' D F' U
U L' F R' D' F' U
U L' F R' D2 F' U
U L' F R' F' U D
U L' F R' F' U D'
U L' F R' F' U D2
U L' F R' F' D U
U L' F R' F' D' U
U L' F R' F' D2 U
U L' F D R' F' U
U L' F D' R' F' U
U L' F D2 R' F' U
U2 L' F' R' U L' R
U2 L' F' R' U R L'
U L' F' R' D F' U
U L' F' R' D' F' U
U L' F' R' D2 F' U
U L' F' R' F' U D
U L' F' R' F' U D'
U L' F' R' F' U D2
U L' F' R' F' D U
U L' F' R' F' D' U
U L' F' R' F' D2 U
U L' F' D R' F' U
U L' F' D' R' F' U
U L' F' D2 R' F' U
U L' F2 R' D F' U
U L' F2 R' D' F' U
U L' F2 R' D2 F' U
U L' F2 R' F' U D
U L' F2 R' F' U D'
U L' F2 R' F' U D2
U L' F2 R' F' D U
U L' F2 R' F' D' U
U L' F2 R' F' D2 U
U L' F2 D R' F' U
U L' F2 D' R' F' U
U L' F2 D2 R' F' U
B' L' B2 U L R' F'
B' L' B2 U R' L F'
B' L' B2 U R' F' L
U L2 R' D L F' U
U L2 R' D F' L U
U L2 R' D' L F' U
U L2 R' D' F' L U
U L2 R' D2 L F' U
U L2 R' D2 F' L U
U L2 R' F L F2 U
U L2 R' F' L U D
U L2 R' F' L U D'
U L2 R' F' L U D2
U L2 R' F' L D U
U L2 R' F' L D' U
U L2 R' F' L D2 U
U L2 R' F' D L U
U L2 R' F' D' L U
U L2 R' F' D2 L U
U2 L2 U' L R' F' U
U2 L2 U' R' L F' U
U2 L2 U' R' F' L U
U L2 D L R' F' U
U L2 D R' L F' U
U L2 D R' F' L U
U L2 D' L R' F' U
U L2 D' R' L F' U
U L2 D' R' F' L U
R' U L' R' F' U F
U L2 D2 L R' F' U
R2 U L' R U2 B U'
U L2 D2 R' L F' U
R' U L' F U F' L'
R2 U L' R' F' R2 U
U L2 D2 R' F' L U
R U L' R' F' R' U
U L2 F L R' F' U
U L2 F R' L F' U
U L2 F R' F' L U
U L2 F' L R' F' U
R2 U R L' U2 B U'
U L2 F' R' L F' U
U L2 F' R' F' L U
R' U R' L' F' U F
U L2 F2 L R' F' U
U L2 F2 R' L F' U
U L2 F2 R' F' L U
R2 U R' L' F' R2 U
R U R' L' F' R' U
R U R2 D2 L' F U
U' L2 B2 L R' B' U'
U' L2 B2 R' L B' U'
R' U F U F' L' B'
U R L' F R2 F' U
U R L' F' R2 F' U
U R L' F2 R2 F' U
L' U' L U R' F U
L' U' L U F R' U
U R F R2 F' L' U
U R' L D' F' U B2
U R' L F L2 F2 U
U R' L F' L2 U D
U R' L F' L2 U D'
U R' L F' L2 U D2
U R' L F' L2 D U
U R' L F' L2 D' U
U R' L F' L2 D2 U
U R' L F' U D' B2
U R' L F' D' U B2
U R' L' D F' U D
U R' L' D F' U D'
U R' L' D F' U D2
U R' L' D F' D U
U R' L' D F' D' U
U R' L' D F' D2 U
U R' L' D' F' U D
U R' L' D' F' U D'
U R' L' D' F' U D2
U R' L' D' F' D U
U R' L' D' F' D' U
U R' L' D' F' D2 U
U R' L' D2 F' U D
U R' L' D2 F' U D'
U R' L' D2 F' U D2
U R' L' D2 F' D U
U R' L' D2 F' D' U
U R' L' D2 F' D2 U
U R' L' F U D' L2
U R' L' F D' U L2
U R' L' F2 D F U
U R' L' F2 D' F U
U R' L' F2 D2 F U
U R' L2 D L F' U
U R' L2 D F' L U
U R' L2 D' L F' U
U R' L2 D' F' L U
U R' L2 D2 L F' U
B' R' U D L' U F
U R' L2 D2 F' L U
U R' L2 F L F2 U
U R' L2 F' L U D
U R' L2 F' L U D'
U R' L2 F' L U D2
U R' L2 F' L D U
U R' L2 F' L D' U
U R' L2 F' L D2 U
U R' L2 F' D L U
U R' L2 F' D' L U
U R' L2 F' D2 L U
B' R' D U L' U F
U R' D L F' L2 U
U R' D L' D F' U
U R' D L' D' F' U
U R' D L' D2 F' U
U R' D L' F' U D
U R' D L' F' U D'
U R' D L' F' U D2
U R' D L' F' D U
U R' D L' F' D' U
U R' D L' F' D2 U
U R' D L2 F' L U
U R' D' L F' L2 U
U R' D' L' D F' U
U R' D' L' D' F' U
U R' D' L' D2 F' U
U R' D' L' F' U D
U R' D' L' F' U D'
U R' D' L' F' U D2
U R' D' L' F' D U
U R' D' L' F' D' U
U R' D' L' F' D2 U
U R' D' L2 F' L U
U R' D2 L F' L2 U
U R' D2 L' D F' U
U R' D2 L' D' F' U
U R' D2 L' D2 F' U
U R' D2 L' F' U D
U R' D2 L' F' U D'
U R' D2 L' F' U D2
U R' D2 L' F' D U
U R' D2 L' F' D' U
U R' D2 L' F' D2 U
U R' D2 L2 F' L U
U R' F' D' L U B'
B' R' B U L' R' U
B' R' B U R' L' U
U R' B' L' F' B U
U R' B' L' B F' U
U R' B2 L' F' B2 U
U R' B2 L' B2 F' U
U R2 D2 L' R F U
U R2 D2 R L' F U
D' U L R' F' L2 U
D2 U L R' F' L2 U
D U L R' F' L2 U
D' U L' R' D F' U
D' U L' R' D' F' U
D' U L' R' D2 F' U
D' U L' R' F' U D
D' U L' R' F' U D'
D' U L' R' F' U D2
D' U L' R' F' D U
D' U L' R' F' D' U
D' U L' R' F' D2 U
D2 U L' R' D F' U
D2 U L' R' D' F' U
D2 U L' R' D2 F' U
D2 U L' R' F' U D
D2 U L' R' F' U D'
D2 U L' R' F' U D2
D2 U L' R' F' D U
D2 U L' R' F' D' U
D2 U L' R' F' D2 U
D' U L' D R' F' U
D2 U L' D R' F' U
U D L R' F' L2 U
D' U L' D' R' F' U
D2 U L' D' R' F' U
D' U L' D2 R' F' U
D2 U L' D2 R' F' U
D' U L' F R' F' U
D2 U L' F R' F' U
D' U L' F' R' F' U
D2 U L' F' R' F' U
D' U L' F2 R' F' U
D2 U L' F2 R' F' U
B U L' R' U L2 F'
B U L' R' U F' L2
D U L' R' D F' U
D U L' R' D' F' U
D U L' R' D2 F' U
D U L' R' F' U D
D U L' R' F' U D'
D U L' R' F' U D2
D U L' R' F' D U
D U L' R' F' D' U
D U L' R' F' D2 U
D' U L2 R' F' L U
D2 U L2 R' F' L U
F U L' R' F' U B'
D U L' D R' F' U
D U L' D' R' F' U
U D L' R' D F' U
U D L' R' D' F' U
U D L' R' D2 F' U
U D L' R' F' U D
U D L' R' F' U D'
U D L' R' F' U D2
U D L' R' F' D U
U D L' R' F' D' U
U D L' R' F' D2 U
D U L' D2 R' F' U
D U L' F R' F' U
D U L' F' R' F' U
D U L' F2 R' F' U
U D L' D R' F' U
U D L' D' R' F' U
U D L' D2 R' F' U
U D L' F R' F' U
D U L2 R' F' L U
U D L' F' R' F' U
U D L' F2 R' F' U
U D L2 R' F' L U
D' U R' L F' L2 U
D' U R' L' D F' U
D' U R' L' D' F' U
D' U R' L' D2 F' U
D2 U R' L F' L2 U
D' U R' L' F' U D
D' U R' L' F' U D'
D' U R' L' F' U D2
D' U R' L' F' D U
D' U R' L' F' D' U
D' U R' L' F' D2 U
D2 U R' L' D F' U
D2 U R' L' D' F' U
D2 U R' L' D2 F' U
D2 U R' L' F' U D
D2 U R' L' F' U D'
D2 U R' L' F' U D2
D2 U R' L' F' D U
D2 U R' L' F' D' U
D2 U R' L' F' D2 U
D' U R' L2 F' L U
D2 U R' L2 F' L U
D' U R' D L' F' U
D2 U R' D L' F' U
D' U R' D' L' F' U
D2 U R' D' L' F' U
D' U R' D2 L' F' U
D2 U R' D2 L' F' U
F' U R' F L' F2 U
F2 U R' U2 R2 B U'
F' U R' F' U2 R U'
F2 U R' D F' U B2
F2 U R' D2 L2 F' U
F2 U R' D2 F' L2 U
D U R' L F' L2 U
B U R' L' U L2 F'
B U R' L' U F' L2
D U R' L' D F' U
D U R' L' D' F' U
D U R' L' D2 F' U
D U R' L' F' U D
D U R' L' F' U D'
D U R' L' F' U D2
D U R' L' F' D U
D U R' L' F' D' U
D U R' L' F' D2 U
D U R' L2 F' L U
F2 U R' F' U D B2
F2 U R' F' U2 R2 U'
F2 U R' F' D U B2
F2 U R' F' D2 L2 U
D U R' D L' F' U
F U R' L' F' U B'
U D R' L F' L2 U
D U R' D' L' F' U
U D R' L' D F' U
U D R' L' D' F' U
U D R' L' D2 F' U
U D R' L' F' U D
U D R' L' F' U D'
U D R' L' F' U D2
U D R' L' F' D U
U D R' L' F' D' U
U D R' L' F' D2 U
D U R' D2 L' F' U
U D R' L2 F' L U
U D R' D L' F' U
U D R' D' L' F' U
U D R' D2 L' F' U
F U R' F' L' U B'
D' U F R' F' L' U
D2 U F R' F' L' U
F' U D R' F' U B
D U F R' F' L' U
U D F R' F' L' U
F' U F L' R' F' U
F' U F R' L' F' U
F2 U F' R' F' L' U
F' U F2 R' F' L' U
F2 U F2 L' R' F' U
F2 U F2 R' L' F' U
U D' L R' F' L2 U
U D' L' R' D F' U
U D' L' R' D' F' U
U D' L' R' D2 F' U
U D' L' R' F' U D
U D' L' R' F' U D'
U D' L' R' F' U D2
U D' L' R' F' D U
U D' L' R' F' D' U
U D' L' R' F' D2 U
U D' L' D R' F' U
U D' L' D' R' F' U
U D' L' D2 R' F' U
U D' L' F R' F' U
U D' L' F' R' F' U
U D' L' F2 R' F' U
U D' L2 R' F' L U
U D' R' L F' L2 U
U D' R' L' D F' U
U D' R' L' D' F' U
U D' R' L' D2 F' U
U D' R' L' F' U D
U D' R' L' F' U D'
U D' R' L' F' U D2
U D' R' L' F' D U
U D' R' L' F' D' U
U D' R' L' F' D2 U
U D' R' L2 F' L U
U D' R' D L' F' U
U D' R' D' L' F' U
U D' R' D2 L' F' U
U D' F R' F' L' U
U D2 L R' F' L2 U
U D2 L' R' D F' U
U D2 L' R' D' F' U
U D2 L' R' D2 F' U
U D2 L' R' F' U D
U D2 L' R' F' U D'
U D2 L' R' F' U D2
U D2 L' R' F' D U
U D2 L' R' F' D' U
U D2 L' R' F' D2 U
U D2 L' D R' F' U
U D2 L' D' R' F' U
U D2 L' D2 R' F' U
U D2 L' F R' F' U
U D2 L' F' R' F' U
U D2 L' F2 R' F' U
U D2 L2 R' F' L U
U D2 R' L F' L2 U
U D2 R' L' D F' U
U D2 R' L' D' F' U
U D2 R' L' D2 F' U
U D2 R' L' F' U D
U D2 R' L' F' U D'
U D2 R' L' F' U D2
U D2 R' L' F' D U
U D2 R' L' F' D' U
U D2 R' L' F' D2 U
U D2 R' L2 F' L U
U D2 R' D L' F' U
U D2 R' D' L' F' U
U D2 R' D2 L' F' U
U D2 F R' F' L' U
U F L R' F' L' U
U F L' R' F' L' U
U F L2 R' F' L' U
U F R' L F' L' U
U F R' L' F' L' U
U F R' L2 F' L' U
U F R' D F' L' U
U F R' D' F' L' U
U F R' D2 F' L' U
U F R' F' L' U D
U F R' F' L' U D'
U F R' F' L' U D2
U F R' F' L' D U
U F R' F' L' D' U
U F R' F' L' D2 U
U F R' F' D L' U
U F R' F' D' L' U
U F R' F' D2 L' U
U F D R' F' L' U
B' D R' U L' U F
U F D' R' F' L' U
U F D2 R' F' L' U
F' D U R' F' U B
U F' R' F L' F2 U
U F' R' F' U2 R U'
U F' D R' F' U B
B' D' R' B U L' U
U F2 R' U2 R2 B U'
U F2 R' D F' U B2
U F2 R' D2 L2 F' U
U F2 R' D2 F' L2 U
U F2 R' F' U D B2
U F2 R' F' U2 R2 U'
U F2 R' F' D U B2
U F2 R' F' D2 L2 U
R2 F2 U' L' R B' U'
R2 F2 U' L' B' R U'
R2 F2 U' R L' B' U'
R' B L' U' L U2 L
R' B L' B2 U L2 R'
R' B L' B2 U R' L2
R B L D' F2 R B2
R B L D' F2 B2 R
R B L D' B2 F2 R
R2 B U L' R U L2
R2 B U R L' U L2
R B U L' R2 U L2
R B U R2 L' U L2
R B U2 L D' F2 B2
R B U2 L D' B2 F2
R' B' L' U' L R' U2
R' B' L' U' R' L U2
R' B' L' B2 U L R'
R' B' L' B2 U R' L
U B' L' B R' F' U
R' B' R' U L' R U
R' B' R' U R L' U
R2 B' R' U L' R2 U
R2 B' R' U R2 L' U
R B' R' U L' R' U
R B' R' U R' L' U
U' B2 L U2 F L2 U
