B U' B R U
U' B2 R U B'
U' L B2 R U B'
B2 L' R U L B'
U' L' B2 R U B'
B2 L2 R U L2 B'
U' L2 B2 R U B'
B2 R L' U L B'
B2 R L2 U L2 B'
D2 U F2 L' U' B
R' D' R B R F2
R' D' F2 R B R
B' U' R B' U B'
B U' D B R U
B U' D' B R U
B U' D2 B R U
B' U' B' R U B'
B U' B R U D
B U' B R U D'
B U' B R U D2
B U' B R U D2
B U' B R D U
B U' B R D' U
B U' B R D2 U
B U' B D R U
B U' B D R U
B U' B D' R U
B U' B D2 R U
B U' B' R B2 U
B U' B2 R B' U
U D2 F2 L' U' B
B D U' B R U
D2 F2 L' U' L B
B D' U' B R U
B D' U' B R U
B D2 U' B R U
D' B R' D' R' F2
D' B R' D' F2 R'
D' B R2 U' R' U
D2 B U F2 L' U'
D' B U' R U R
U' B' R B' U B'
U' B2 R U D B'
U' B2 R U D' B'
U' B2 R U D2 B'
U' B2 R U B' D
U' B2 R U B' D'
U' B2 R U B' D2
U' B2 R D U B'
U' B2 R D' U B'
U' B2 R D2 U B'
L2 B2 R U B' L2
L B2 R U B' L'
U' B2 D R U B'
U' B2 D' R U B'
U' B2 D2 R U B'
B' U2 R B' U B' L
U D2 F2 L' U' D B
U D2 F2 L' U' D' B
U D2 F2 L' U' D2 B
U D2 F2 L' U' B D
U D2 F2 L' U' B D'
U D2 F2 L' U' B D2
U D2 F2 L' D U' B
U D2 F2 L' D' U' B
U D2 F2 L' D2 U' B
U D2 F2 D L' U' B
U D2 F2 D' L' U' B
U D2 F2 D2 L' U' B
B U2 B U R U R'
D2 F U F L' U' B
B U2 B' U R B2 U
B U2 B' U B2 R U
B U2 B2 U R B' U
B U2 B2 U B' R U
B2 D L' R U L B'
B2 D L2 R U L2 B'
R' F D' R B R F2
R' F D' F2 R B R
B2 D R L' U L B'
B2 D R L2 U L2 B'
B' D R B' L2 U L2
D' F B R D R F'
D2 F B U F L' U'
B' D U' R B' L2 U
B' D U' B' L2 R U
B' D U' B' R L2 U
B D U' B R U D
B D U' B R U D'
B D U' B R U D2
B D U' B R D U
B D U' B R D' U
B D U' B R D2 U
B D U' B D R U
B D U' B D' R U
B D U' B D2 R U
B D U' B' R B2 U
B D U' B2 R B' U
B' D B' L2 R U L2
B' D B' R L2 U L2
B2 D B' U' B R U
F D B R D2 F' R2
F D B R F' D2 R2
F D B R' D2 R2 F'
B2 D' L' R U L B'
F2 D' L' U' L B R2
B2 D' L2 R U L2 B'
R' F' D' R B R F2
R' F' D' F2 R B R
F D' L' F L B R2
B2 D' R L' U L B'
B2 D' R L2 U L2 B'
F2 D' U L' U' B R2
L' F2 L D' B R2 F'
D2 F2 L' U' L D B
D2 F2 L' U' L D' B
D2 F2 L' U' L D2 B
D2 F2 L' U' L B D
D2 F2 L' U' L B D'
D2 F2 L' U' L B D2
D2 F2 L' U' L' B L2
D2 F2 L' U' L2 B L'
D' F2 L' U' L B R2
D2 F2 L' U' D L B
D2 F2 L' U' D' L B
D2 F2 L' U' D2 L B
D2 F2 L' D U' L B
D2 F2 L' D' U' L B
D2 F2 L' D2 U' L B
B D' U' B R U D
B D' U' B R U D'
B D' U' B R U D2
B D' U' B R D U
B D' U' B R D' U
B D' U' B R D2 U
B D' U' B D R U
B D' U' B D' R U
B D' U' B D2 R U
B D' U' B' R B2 U
B D' U' B2 R B' U
U F2 L' U' D' B R2
U F2 L' U2 B2 U B'
U F2 L' D' U' B R2
U F2 L' D2 F2 U' B
R2 F2 R D' F2 R2 B
F2 D' B R2 U L' U'
F2 D' B U L' U' R2
D' F2 U L' U' B R2
F D' B L' R2 F L
F D' B L' F L R2
F D' B L' F R2 L
B2 D' B' U' B R U
F D' B R D2 R F'
F D' B R2 L' F L
B2 D2 L' R U L B'
D2 F2 D L' U' L B
F2 D2 L' F2 U' L B
B2 D2 L2 R U L2 B'
D2 F2 D' L' U' L B
R' F2 D' R B R F2
R' F2 D' F2 R B R
B2 D2 R L' U L B'
B2 D2 R L2 U L2 B'
D2 F2 D2 L' U' L B
U F2 D' L' U' B R2
D' F2 B R2 U L' U'
D' F2 B U L' U' R2
D2 F2 B' L' U' L B2
U F2 D2 L' F2 U' B
D2 F2 B2 L' U' L B'
F2 D2 U L' F2 U' B
U' B L B R U B'
U' B L' B R U B'
B D2 U' B R U D
B D2 U' B R U D'
B D2 U' B R U D2
B D2 U' B R D U
B D2 U' B R D' U
B D2 U' B R D2 U
B D2 U' B D R U
B D2 U' B D' R U
B D2 U' B D2 R U
B D2 U' B' R B2 U
B D2 U' B2 R B' U
U' B L2 B R U B'
L2 B L2 U' B R U
D2 B R U F2 U' F2
L B L' U' B R U
D2 B R D R2 D' F2
D' B R' U' R2 U R
D2 B R' D R2 D2 F2
D' B R' D R' D2 F2
D2 B R' D' F2 D2 R2
D' B R' D' R F2 R2
D' B R' D' R' F2 D
D' B R' D' R' F2 D'
D' B R' D' R' F2 D2
D' B R' D' F R' F
D' B R' D' F2 R' D
D' B R' D' F2 R' D'
D' B R' D' F2 R' D2
D' B R' D' F2 D R'
D' B R' D' F2 D' R'
D' B R' D' F2 D2 R'
D' B R' D2 R' D F2
D' B R' F D' R' F2
D' B R' F D' F2 R'
D' B R' F' D' R' F2
D' B R' F' D' F2 R'
D' B R' F2 D' R' F2
D' B R' F2 D' F2 R'
D B R D2 R2 D' F2
D' B R2 U' R' U D
D' B R2 U' R' U D'
D' B R2 U' R' U D2
D' B R2 U' R' D U
D' B R2 U' R' D' U
D' B R2 U' R' D2 U
D' B R2 U' D R' U
D' B R2 U' D' R' U
D' B R2 U' D2 R' U
D' B R2 D U' R' U
F2 D2 B U L' F2 U'
D' B R2 D' U' R' U
D' B R2 D2 U' R' U
D' B R2 F U' R' U
D' B R2 F' U' R' U
D' B R2 F2 U' R' U
D B R' D' F2 D' R2
D2 B U L F2 L' U'
D B R' D2 R2 D F2
D2 B U L' F2 L' U'
D2 B U L2 F2 L' U'
B2 D2 B' U' B R U
D' B U D' F2 L' U'
D2 B U F2 L' U' D
D2 B U F2 L' U' D'
D2 B U F2 L' U' D2
D2 B U F2 L' D U'
D2 B U F2 L' D' U'
D2 B U F2 L' D2 U'
D2 B U F2 D L' U'
D2 B U F2 D' L' U'
D2 B U F2 D2 L' U'
D' B U F2 L' U' R2
D2 B U' R U D R2
D2 B U' R U2 F2 U'
D2 B U' R D U R2
D2 B U' R D2 B2 U
D' B U' R U R D
D' B U' R U R D'
D' B U' R U R D2
D' B U' R U D R
D' B U' R U D' R
D' B U' R U D2 R
D' B U' R D U R
D' B U' R D' U R
D' B U' R D2 U R
D' B U' R B U R
D' B U' R B' U R
D' B U' R B2 U R
D2 B U' D R U R
D' B U' D R B2 U
D' B U' D B2 R U
D2 B U' D2 R B2 U
D2 B U' D2 B2 R U
R' B U' B L R2 U
R' B U' B R2 L U
D' B U' B R U R
D' B U' B' R U R
D B U D F2 L' U'
D' B U' B2 R U R
L2 B U' B R U L2
D B U' R U D2 R2
D B U' R U' L2 U2
D B U' R D' B2 U
D B U' R D2 U R2
D B U' D' R B2 U
D B U' D' B2 R U
D B U' D2 R U R
D2 B D R' D' R' F2
D2 B D R' D' F2 R'
D2 B D R2 U' R' U
D' B D R' D' R2 F2
D' B D R' D' F2 R2
D2 B D U' R U R
U' B D B R U B'
D' B D U' R B2 U
D' B D U' B2 R U
D B U2 L2 U R U
L B U' B R U L'
D' B D' U F2 L' U'
U' B D' B R U B'
D B D U F2 L' U'
D2 B D2 R' D' R2 F2
D2 B D2 R' D' F2 R2
D2 B D2 U' R B2 U
D2 B D2 U' B2 R U
U' B D2 B R U B'
D B D' R' D' R2 F2
D B D' R' D' F2 R2
D B D' U' R B2 U
D B D' U' B2 R U
D' B F R D R F'
D2 B F U F L' U'
D B D2 R' D' R' F2
D B D2 R' D' F2 R'
D B D2 R2 U' R' U
D B D2 U' R U R
F2 B R2 U L' F' U'
D' B F2 R2 U L' U'
D' B F2 U L' U' R2
F2 B U L' U2 B U
F' B U' B R' U F'
F2 B U' B U2 L' U'
B F U' D2 B R' U
F B U' D2 B R' U
U' B' R D B' L2 U
U' B' R B' U D B'
U' B' R B' U D' B'
U' B' R B' U D2 B'
U' B' R B' U B' D
U' B' R B' U B' D'
U' B' R B' U B' D2
U' B' R B' D U B'
U' B' R B' D' U B'
U' B' R B' D2 U B'
B F D R D' F' R
F B D R D' F' R
U' B' R' B' R2 U B'
L2 B' R B' U B' L2
U2 B' R B' U B' L
D' B' R2 U' R' U B2
B F D2 U' B R' U
D' B' R2 B2 U L U'
L B' R B' U B' L'
F B D2 U' B R' U
B2 F' L' U L F B'
D2 B' U F2 L' U' B2
B2 F' L' U L B' F
U2 B' U R B' U B'
D' B' U' R U R B2
D' B' U' R U B2 R
U2 B' U B' R U B'
U' B' D R B' L2 U
U' B' D B' L2 R U
U' B' D B' R L2 U
R B' D B' L U L'
D2 B' F2 L' U' L B2
B F' U' B R' U F'
U' B2 L2 R U' F U2
U' B2 R L2 U' F U2
U' B2 R U R' B' R
U' B2 R U R2 B' R2
U' B2 R U D B' D
U' B2 R U D B' D'
U' B2 R U D B' D2
U' B2 R U D' B' D
U' B2 R U D' B' D'
U' B2 R U D' B' D2
U' B2 R U D2 B' D
U' B2 R U D2 B' D'
U' B2 R U D2 B' D2
U' B2 R U B2 D B
U' B2 R U B2 D' B
U' B2 R U B2 D2 B
U' B2 R U' F U2 B'
U' B2 R U' F' U2 B'
U' B2 R U' F2 U2 B'
U' B2 R U2 R U' B'
U' B2 R U2 R' U' B'
U' B2 R U2 R2 U' B'
U' B2 R D U B' D
U' B2 R D U B' D'
U' B2 R D U B' D2
U' B2 R D' U B' D
U' B2 R D' U B' D'
U' B2 R D' U B' D2
U' B2 R D2 U B' D
U' B2 R D2 U B' D'
U' B2 R D2 U B' D2
L' B2 R U D2 B' L2
L' B2 R U B' D2 L2
L' B2 R U' R2 U2 B'
L' B2 R D' F2 U B'
L' B2 R D2 U B' L2
U' B2 R' U D' F2 B'
U' B2 R' U D' B' F2
U' B2 R' U B' D' F2
F' B2 L' U L F B'
F' B2 L' U L B' F
R B2 L' U D2 L B'
L2 B2 R U B L2 B2
L2 B2 R U B' L2 D
L2 B2 R U B' L2 D'
L2 B2 R U B' L2 D2
L2 B2 R U B2 L2 B
U' B2 R' D' U F2 B'
U' B2 R' D' U B' F2
U2 B2 R U B2 L B
U2 B2 R U' R' U2 B'
L2 B2 R D F2 U B'
R B2 L' D2 U L B'
L2 B2 R F U B' L2
L2 B2 R F' U B' L2
D' B2 R' D' R' F2 B'
D' B2 R' D' R' B' F2
L2 B2 R F2 U B' L2
D' B2 R' D' F2 R' B'
U' B2 R2 D R' U B'
U' B2 R2 D' R' U B'
U' B2 R2 D2 R' U B'
D' B2 R2 U' R' U B'
L B2 R U D B' L'
L B2 R U D' B' L'
L B2 R U D2 B' L'
L B2 R U B L' B2
L B2 R U B' L' D
L B2 R U B' L' D'
L B2 R U B' L' D2
L B2 R U B' D L'
L B2 R U B' D' L'
L B2 R U B' D2 L'
L B2 R U B2 L' B
U B2 R U D B' L2
L B2 R D U B' L'
U B2 R U2 B2 U' B
U B2 R D U B' L2
L B2 R D' U B' L'
L B2 R D2 U B' L'
U B2 R D2 F2 U B'
U' B2 U B' U' R U
U2 B2 U R U R' B'
D' B2 U' R U R B'
D' B2 U' R U B' R
U' B2 D R U D B'
U' B2 D R U D' B'
U' B2 D R U D2 B'
U' B2 D R U B' D
U' B2 D R U B' D'
U' B2 D R U B' D2
U' B2 D R D U B'
U' B2 D R D' U B'
U' B2 D R D2 U B'
B F2 R2 U L' F' U'
U' B2 D' R U D B'
U' B2 D' R U D' B'
U' B2 D' R U D2 B'
U' B2 D' R U B' D
U' B2 D' R U B' D'
U' B2 D' R U B' D2
U' B2 D' R D U B'
U' B2 D' R D' U B'
U' B2 D' R D2 U B'
B F2 U L' U2 B U
L2 B2 D R F2 U B'
U' B2 D2 R U D B'
U' B2 D2 R U D' B'
U' B2 D2 R U D2 B'
U' B2 D2 R U B' D
U' B2 D2 R U B' D'
U' B2 D2 R U B' D2
U' B2 D2 R D U B'
U' B2 D2 R D' U B'
U' B2 D2 R D2 U B'
L B2 D R U B' L'
U B2 D R U B' L2
B F2 U' B U2 L' U'
L B2 D' R U B' L'
R B2 D' F L' U L
L B2 D2 R U B' L'
U B2 D2 R F2 U B'
D2 B2 F2 L' U' L B'
R B2 D2 L U B' L'
