B L D2 F2 D R2
U' L2 D F L' B
U' L2 D F B L'
U' L2 D B F L'
U' L2 B D F L'
B' R' U2 B2 D' R2
B2 R2 U' F' B' L
B2 R2 U' B' L F'
B2 R2 U' B' F' L
B2 U B R' U2 B2
B2 U B U2 B2 L
B2 U' B' L D2 F2
B2 U' B' D2 L F2
B2 U' B' D2 F2 L
B' U2 B2 L D' R2
B' U2 B2 D' L R2
B' U2 B2 D' R2 L
B D2 L F2 D R2
B D2 F2 L D R2
B D2 F2 D L R2
B D2 F2 D R2 L
L2 B' U' F B2 L
L2 B' U' B2 F L
L2 B2 U' F B' L
L2 B2 U' B' F L
L2 F B L U F' U'
L2 F B U F' U' L
L F B L F D R2
U' F' L2 D F L' B
U' F' L2 D F B L'
U' F' L2 D B F L'
U' F' L2 B D F L'
U2 F' L2 U F L B
F2 D B L R2 D2 F2
F2 D B R2 L D2 F2
F2 D B R2 D2 L F2
F2 D B R2 D2 F2 L
B D F2 D L R2 F2
B D F2 D L F2 R2
B D F2 D R2 L F2
B D F2 D R2 F2 L
B D F2 D F2 L R2
B D F2 D F2 R2 L
F2 D B' R' U2 R' B2
F2 D B' U2 B2 L R2
F2 D B' U2 B2 R2 L
U2 F' U L2 F L B
F2 D B2 R2 F' B' L
F2 D B2 R2 B' L F'
F2 D B2 R2 B' F' L
U2 F' U B L' D2 F2
U2 F' U B D2 L' F2
B D B2 L2 U' B2 L
U2 F' U' B' U2 L' B2
U2 F' U' B' U2 B2 L'
B D' L U' R2 U R2
B D' L D' F2 D R2
B' D' R' U' R' U' R
R2 F' B' R' U' F U'
B D' U' R2 U L R2
B D' U' R2 U R2 L
U' F2 L2 D F L' B
U' F2 L2 D F B L'
U' F2 L2 D B F L'
U' F2 L2 B D F L'
U2 F2 L2 U F L' B
U2 F2 L2 U F B L'
U2 F2 L2 U B F L'
F2 D' B D2 L R2 F2
F2 D' B D2 L F2 R2
F2 D' B D2 R2 L F2
F2 D' B D2 R2 F2 L
F2 D' B D2 F2 L R2
F2 D' B D2 F2 R2 L
F2 D' B' L2 R' U2 B2
F2 D' B' L2 U2 B2 L
F2 D' B' R' L2 U2 B2
U2 F2 U L2 F L' B
U2 F2 U L2 F B L'
U2 F2 U L2 B F L'
B D2 L R F2 D R2
B D2 L R' F2 D R2
B D2 L R2 F2 D R2
B D2 L F2 R D R2
B D2 L F2 R' D R2
B D2 L F2 R2 D R2
B D2 L F2 U F2 U'
B D2 L F2 D R2 D
B D2 L F2 D R2 D'
B D2 L F2 D R2 D2
L2 F2 D F' B L R2
L2 F2 D F' B R2 L
L2 F2 D B L F' R2
B D2 L' F2 L2 D R2
L2 F2 D B F' L R2
L2 F2 D B F' R2 L
L F2 D B L R2 F
L F2 D B L F R2
L F2 D B R2 L F
B D2 R L F2 D R2
B' D2 R' F2 U' F2 U'
B' D2 R' F2 U2 D R2
B' D2 R' F2 D U2 R2
B' D2 R' F2 D' L2 U2
B D2 R F2 L D R2
B D2 R F2 D L R2
B D2 R F2 D R2 L
L2 F2 B L D F' R2
B D2 R' L F2 D R2
L2 F2 B D L F' R2
L2 F2 B D F' L R2
L2 F2 B D F' R2 L
B D2 R' F2 L D R2
B D2 R' F2 D L R2
B D2 R' F2 D R2 L
B D2 R2 L F2 D R2
L F2 B L D R2 F
L F2 B L D F R2
B D2 R2 F2 L D R2
B D2 R2 F2 D L R2
B D2 R2 F2 D R2 L
L F2 B D L R2 F
L F2 B D L F R2
L F2 B D R2 L F
D2 B L D2 F2 D R2
D' B L D2 F2 D R2
D B L D2 F2 D R2
L B L F U F' U'
L B L F2 D F' R2
B' D2 F2 R' U' F2 U'
B' D2 F2 R' U2 D R2
B' D2 F2 R' D U2 R2
B' D2 F2 R' D' L2 U2
B D2 F' L D F' R
B' D2 F2 D R' U2 R'
B' D2 F2 D' L2 R' U2
B' D2 F2 D' R' L2 U2
B D2 F2 L R D R2
B D2 F2 L R' D R2
B D2 F2 L R2 D R2
B D2 F2 L U F2 U'
B D2 F2 L D R2 D
B D2 F2 L D R2 D'
B D2 F2 L D R2 D2
B D2 F2 L2 D L' R2
B D2 F2 L2 D R2 L'
B D2 F2 R L D R2
B D2 F2 R D L R2
B D2 F2 R D R2 L
B D2 F2 R' L D R2
B D2 F2 R' D L R2
B D2 F2 R' D R2 L
B D2 F2 R2 L D R2
B D2 F2 R2 D L R2
B D2 F2 R2 D R2 L
B D2 F2 U F2 U' L
B D2 F2 D L R2 D
B D2 F2 D L R2 D'
B D2 F2 D L R2 D2
B D2 F2 D R2 L D
B D2 F2 D R2 L D'
B D2 F2 D R2 L D2
B D2 F2 D R2 D L
B D2 F2 D R2 D' L
B D2 F2 D R2 D2 L
B D2 F2 D2 L D' R2
B D2 B U' F2 B' L
B D2 B U' B' L F2
B D2 B U' B' F2 L
R2 B U F' B2 R' U2
R2 B U B2 F' R' U2
B D2 B2 U' F2 B2 L
B D2 B2 U' B2 L F2
B D2 B2 U' B2 F2 L
F2 B L D R2 D F2
F2 B L D2 F2 D' R2
R B U B2 R' U2 B
R B U' D2 L F2 B'
R B U' D2 L B' F2
R B U' D2 F2 L B'
D2 B D2 L F2 D R2
D' B D2 L F2 D R2
D2 B D2 F2 L D R2
D2 B D2 F2 D L R2
D2 B D2 F2 D R2 L
D' B D2 F2 L D R2
D' B D2 F2 D L R2
D' B D2 F2 D R2 L
D B D2 L F2 D R2
L2 B F L U F' U'
D B D2 F2 L D R2
D B D2 F2 D L R2
D B D2 F2 D R2 L
L2 B F U F' U' L
R B D2 U' L F2 B'
R B D2 U' L B' F2
R B D2 U' F2 L B'
L B F L F D R2
L2 B F2 L D F' R2
B' F U' F' U' B2 L
L2 B F2 D L F' R2
L2 B F2 D F' L R2
L2 B F2 D F' R2 L
L B F2 L D R2 F
L B F2 L D F R2
L' B' L' U' F B2 L
L' B' L' U' B2 F L
L B F2 D L R2 F
L B F2 D L F R2
L B F2 D R2 L F
L B' L U' F B2 L
L B' L U' B2 F L
F2 B D R2 D L F2
F2 B D R2 D F2 L
D2 B' R' U2 B2 D' R2
D' B' R' U2 B2 D' R2
R' B' R' F' U' F U'
F2 B D2 L F2 D' R2
F2 B D2 F2 L D' R2
F2 B D2 F2 D' L R2
F2 B D2 F2 D' R2 L
U B' R U' B U' B
D B' R' U2 B2 D' R2
U B' R' U F' U B2
L2 B' U R' U2 F B2
L2 B' U R' U2 B2 F
L' B' U' L' F B2 L
L' B' U' L' B2 F L
L' B' U' L2 B2 L F
U2 B' U B U B L
L2 B' U' L' B2 L F
L' B' U' B2 L' F L2
L2 B' U' F L B2 L
L2 B' U' F L' B2 L
L2 B' U' F L2 B2 L
L2 B' U' F B2 L D
L2 B' U' F B2 L D'
L2 B' U' F B2 L D2
L2 B' U' F B2 D L
L2 B' U' F B2 D' L
L2 B' U' F B2 D2 L
L2 B' U' F' B2 L F2
L2 B' U' F2 B2 L F'
L2 B' U' B2 D F L
L2 B' U' B2 D' F L
L2 B' U' B2 D2 F L
L2 B' U' B2 F L D
L2 B' U' B2 F L D'
L2 B' U' B2 F L D2
L2 B' U' B2 F D L
L2 B' U' B2 F D' L
L2 B' U' B2 F D2 L
L2 B' U' B2 F' L F2
L2 B' U' B2 F2 L F'
D2 B' U2 B2 L D' R2
D2 B' U2 B2 D' L R2
D2 B' U2 B2 D' R2 L
U B' U F' U L' B2
U B' U F' U B2 L'
D' B' U2 B2 L D' R2
D' B' U2 B2 D' L R2
D' B' U2 B2 D' R2 L
B' F' R' U' F U' B2
F' B' R' U' F U' B2
F2 B' R' U' F2 U' B2
F2 B' R' U2 B2 D R2
U B' U' B U' L B
D B' U2 B2 L D' R2
D B' U2 B2 D' L R2
D B' U2 B2 D' R2 L
B' F' U' F U' B2 L
F' B' U' F U' B2 L
F2 B' U' F2 U' B2 L
R2 B' F' R' U' F U'
F2 B' U2 B2 L D R2
F2 B' U2 B2 D L R2
F2 B' U2 B2 D R2 L
F B' U' F' U' B2 L
L2 B2 R U' F B' L
L2 B2 R U' B' F L
B F2 L D R2 D F2
B F2 L D2 F2 D' R2
L2 B2 R' U' F B' L
L2 B2 R' U' B' F L
D2 B2 R2 U' F' B' L
D2 B2 R2 U' B' L F'
D2 B2 R2 U' B' F' L
D' B2 R2 U' F' B' L
D' B2 R2 U' B' L F'
D' B2 R2 U' B' F' L
L2 B2 R2 U' F B' L
L2 B2 R2 U' B' F L
B' F2 R' U' F2 U' B2
B' F2 R' U2 B2 D R2
D2 B2 U B R' U2 B2
D2 B2 U B U2 B2 L
D B2 R2 U' F' B' L
D B2 R2 U' B' L F'
D B2 R2 U' B' F' L
D' B2 U B R' U2 B2
D' B2 U B U2 B2 L
D2 B2 U' B' L D2 F2
D2 B2 U' B' D2 L F2
D2 B2 U' B' D2 F2 L
D' B2 U' B' L D2 F2
D' B2 U' B' D2 L F2
D' B2 U' B' D2 F2 L
L' B2 U' B' L' F L2
R2 B2 U F' B R' U2
R2 B2 U B F' R' U2
L2 B2 U' D2 F B' L'
L2 B2 U' D2 B' F L'
D B2 U B R' U2 B2
D B2 U B U2 B2 L
L2 B2 U' F B' L D
L2 B2 U' F B' L D'
L2 B2 U' F B' L D2
L2 B2 U' F B' D L
L2 B2 U' F B' D' L
L2 B2 U' F B' D2 L
L2 B2 U' F' B' L F2
L2 B2 U' F2 B' L F'
L2 B2 U' B' D F L
L2 B2 U' B' D' F L
L2 B2 U' B' D2 F L
L2 B2 U' B' F L D
L2 B2 U' B' F L D'
L2 B2 U' B' F L D2
L2 B2 U' B' F D L
L2 B2 U' B' F D' L
L2 B2 U' B' F D2 L
L2 B2 U' B' F' L F2
L2 B2 U' B' F2 L F'
D B2 U' B' L D2 F2
D B2 U' B' D2 L F2
D B2 U' B' D2 F2 L
R B2 U B R' U2 B
B' F2 U' F2 U' B2 L
B' F2 U2 B2 L D R2
B' F2 U2 B2 D L R2
B' F2 U2 B2 D R2 L
U2 B2 D' R2 F' B' L'
U2 B2 D' R2 B' F' L'
L2 B2 D2 U' F B' L'
L2 B2 D2 U' B' F L'
B F2 D R2 D L F2
B F2 D R2 D F2 L
B F2 D2 L F2 D' R2
B F2 D2 F2 L D' R2
B F2 D2 F2 D' L R2
B F2 D2 F2 D' R2 L
