R' L U R' U F'
R' L U' L U' F
R' L B U' L U'
R' L B' U R' U
L R' U R' U F'
L R' U' L U' F
L R' B U' L U'
L R' B' U R' U
B2 R2 U2 D' L R F'
B2 R2 U2 D' R L F'
B2 R2 U2 D' R F' L
R' D L U R' U F'
R' D L U' L U' F
B2 R2 D' U2 L R F'
B2 R2 D' U2 R L F'
B2 R2 D' U2 R F' L
R' D L B U' L U'
R' D L B' U R' U
L D R' U R' U F'
L D R' U' L U' F
L D R' B U' L U'
L D R' B' U R' U
F2 U L R' F2 U2 F
F2 U L F2 R' U2 F'
F U L F' R' U2 F'
F2 U R' L F2 U2 F
F' U R' F L U2 F2
R' D' L U R' U F'
R' D' L U' L U' F
R' D' L B U' L U'
R' D' L B' U R' U
F' U F L R' U2 F'
F2 U D2 B2 L R' F'
F2 U D2 B2 R' L F'
F2 U D2 B2 R' F' L
F' U F R' L U2 F'
F U F' L R' U2 F'
F2 U F2 L R' U2 F'
F U F' R' L U2 F'
F2 U F2 R' L U2 F'
L D' R' U R' U F'
L D' R' U' L U' F
L D' R' B U' L U'
L D' R' B' U R' U
F2 U' L R' F2 U2 F'
F U' L F' R' U2 F2
F2 U' R' L F2 U2 F'
F' U' R' F L U2 F
F2 U' R' F2 L U2 F
R' D2 L U R' U F'
R' D2 L U' L U' F
R' D2 L B U' L U'
R' D2 L B' U R' U
F' U' F L R' U2 F
F2 U' D2 B2 L R' F
F2 U' D2 B2 L F R'
F2 U' D2 B2 R' L F
F' U' F R' L U2 F
F2 U' F2 L R' U2 F
F U' F' L R' U2 F
F2 U' F2 R' L U2 F
F U' F' R' L U2 F
L D2 R' U R' U F'
L D2 R' U' L U' F
L D2 R' B U' L U'
L D2 R' B' U R' U
B2 U2 L R2 D' R F'
B2 U2 L D' R F' R2
B2 U2 L2 R' D L' F
B2 U2 L2 D L' R' F
B2 U2 L2 D L' F R'
B2 U2 L2 D R' L' F
B2 U2 R' L2 D L' F
B2 U2 R' D L' F L2
B2 U2 R2 L D' R F'
B2 U2 R2 D' L R F'
B2 U2 R2 D' R L F'
B2 U2 R2 D' R F' L
B2 U2 D L' R' F L2
B2 U2 D L' F L2 R'
B2 U2 D L' F R' L2
B2 U2 D R' L' F L2
B2 U2 D' L R F' R2
B2 U2 D' R L F' R2
B2 U2 D' R F' L R2
B2 U2 D' R F' R2 L
B2 D L' U2 R' F L2
B2 D L' U2 F L2 R'
B2 D L' U2 F R' L2
B2 D L2 U2 L' R' F'
B2 D L2 U2 R' L' F'
B2 D U2 L' R' F L2
B2 D U2 L' F L2 R'
B2 D U2 L' F R' L2
B2 D U2 R' L' F L2
B2 D B2 L R' B' U2
B2 D B2 R' L B' U2
B2 D' R U2 L F' R2
B2 D' R U2 F' L R2
B2 D' R U2 F' R2 L
B2 D' R2 U2 L R F
B2 D' R2 U2 R L F
B2 D' U2 L R F' R2
B2 D' U2 R L F' R2
B2 D' U2 R F' L R2
B2 D' U2 R F' R2 L
B2 D' B2 L R' B U2
B2 D' B2 R' L B U2
F2 D2 U B2 L R' F'
F2 D2 U B2 R' L F'
F2 D2 U B2 R' F' L
F2 D2 U' B2 L R' F
F2 D2 U' B2 L F R'
F2 D2 U' B2 R' L F
L' B L2 U' L' B' U'
L B U' L U2 F U
L B U' L' B' L2 U'
L B U2 F' L' D F2
R' B' U R B R2 U
R' B' U R' U2 F' U'
R B' R2 U R B U
R' B' U2 F R D' F2
U' B2 L' U' L2 R' F
U' B2 L' U' L2 F R'
U' B2 L' U' R' L2 F
U' B2 L2 U' L' R' F
U' B2 L2 U' L' F R'
U' B2 L2 U' R' L' F
L' B2 L2 U2 D L' F
L' B2 L2 D U2 L' F
U B2 R U L R2 F'
U B2 R U R2 L F'
U B2 R U R2 F' L
U2 B2 U L R' F B2
U2 B2 U L R' B2 F
U2 B2 U L F R' B2
U2 B2 U R' L F B2
U2 B2 U R' L B2 F
U B2 R2 U L R F'
U B2 R2 U R L F'
U B2 R2 U R F' L
U2 B2 U' L R' F' B2
U2 B2 U' L R' B2 F'
U2 B2 U' R' L F' B2
U2 B2 U' R' L B2 F'
R B2 R2 U2 D' R F'
U2 B2 U' R' F' L B2
R' B2 U2 R2 D' R F'
R B2 R2 D' U2 R F'
R' B2 U2 D' R F' R2
R' B2 D L' U2 R' F
R' B2 D L' U2 F R'
R' B2 D L2 U2 R' F'
R' B2 D B2 L B' U2
L2 B2 D L' U2 F L2
R' B2 D' U2 R F' R2
L B2 U2 L2 D L' F
L B2 U2 D L' F L2
R2 B2 D' R U2 F' R2
L B2 D U2 L' F L2
L B2 D' R U2 L F'
L B2 D' R U2 F' L
L B2 D' R2 U2 L F
L B2 D' B2 R' B U2
