F' L R2 U R' B'
F' R2 L U R' B'
F' R2 U D2 R' B
F' R2 D2 U R' B
L F' R2 U R' B'
F2 R2 F L U R B'
F2 R2 F L U B' R
F R2 F2 L U R B'
F R2 F2 L U B' R
F' R2 B2 U' L U2 B'
R2 D2 U2 B U' R' B
L' F L' U R2 F2 U
L' F L' U F2 R2 U
L' F L' U2 D' L2 F2
L' F L' U2 D' F2 L2
L' F L' D R2 B2 U2
L' F L' D B2 R2 U2
L' F L' D' U2 L2 F2
L' F L' D' U2 F2 L2
L' F U R2 F2 U R
L' F U F2 R2 U R'
L F R2 F2 U R B'
L F R2 F2 U B' R
L' F U2 D' F2 L2 R
L' F U2 D' F2 R L2
L' F D L' R2 B2 U2
L' F D L' B2 R2 U2
L' F D R2 L' B2 U2
L' F D R2 B2 L' U2
L' F D B2 L' R2 U2
L' F D B2 R2 L' U2
L' F D' L' U2 L' F2
L' F D' U2 F2 L2 R
L' F D' U2 F2 R L2
L F D' F2 R B' L2
L F D' F2 B' L2 R
L F D' F2 B' R L2
L F D' B' F2 L2 R
L F D' B' F2 R L2
U' F' L R2 U R' B'
D' F' L B' L U F'
U2 F' L R2 U R' B'
L F B' D' F2 L2 R
L F B' D' F2 R L2
L2 F' L' R2 U R' B'
U F' L R2 U R' B'
U' F' R2 L U R' B'
U' F' R2 U D2 R' B
U' F' R2 D2 U R' B
L' F' R2 U R' D2 B2
L' F' R2 U D2 R' B2
L' F' R2 U' F2 U2 R'
L' F' R2 D' L2 U R'
L' F' R2 D2 U R' B2
U2 F' R2 L U R' B'
L2 F' R2 L' U R' B'
U2 F' R2 U D2 R' B
U2 F' R2 D2 U R' B
U F' R2 L U R' B'
U F' R2 U D2 R' B
L F' R2 U R B' R2
L F' R2 U R' D B'
L F' R2 U R' D' B'
L F' R2 U R' D2 B'
L F' R2 U R' B' D
L F' R2 U R' B' D'
L F' R2 U R' B' D2
L F' R2 U R2 B' R
L F' R2 U D R' B'
L F' R2 U D' R' B'
L F' R2 U D2 R' B'
L F' R2 D U R' B'
U F' R2 D2 U R' B
L F' R2 D' U R' B'
L F' R2 D2 U R' B'
L F' U D' R F2 B'
L F' U D' R B' F2
L F' U D' B' R F2
L F' U B' D' R F2
L' F' D' L2 U R F2
L F' D' U R F2 B'
L F' D' U R B' F2
L F' D' U B' R F2
D' F' B' L B' U F'
L F' B R2 U R' B2
F' D' B' L U R F2
L' F2 R2 F U B R
F' D' B2 U R F2 B
F' D' B2 U R B F2
L F2 R2 F U R B'
L F2 R2 F U B' R
F D2 L2 B2 U' R' B
F' B L R2 U R' B'
F' B R2 L U R' B'
F' B R2 U D2 R' B
F' B R2 D2 U R' B
D' B' L F' B' U F'
L B F' R2 U R' B2
D' B' L B' F' U F'
B' F' L R2 U R' B'
F' B' L R2 U R' B'
B2 F' L R2 U R' B'
B F' L R2 U R' B'
B' F' R2 L U R' B'
L B' U' F' R2 U R'
B' F' R2 U D2 R' B
F' B' R2 L U R' B'
B' F' R2 D2 U R' B
B2 F' R2 L U R' B'
F' B' R2 U D2 R' B
B2 F' R2 U D2 R' B
F' B' R2 D2 U R' B
B2 F' R2 D2 U R' B
B F' R2 L U R' B'
B F' R2 U D2 R' B
B F' R2 D2 U R' B
D' B' F' L B' U F'
L B' F D' F2 L2 R
L B' F D' F2 R L2
F' B2 L R2 U R' B'
F' B2 R2 L U R' B'
F' B2 R2 U D2 R' B
F' B2 R2 D2 U R' B
