U L' R B' L' U
U L' B' L' R U
U L' B' R L' U
L' U L' R B' U
L' U L' B' R U
L' U R L' B' U
U R L' B' L' U
U' R B L2 F U
U2 B' R' D' F2 B2
U2 B' R' D' B2 F2
R F U D' B2 L R
R F U D' B2 R L
D' F U2 B2 D R F'
D2 F D R F' B2 L
D2 F D R B2 L F'
D2 F D R B2 F' L
D2 F D U2 R F' B2
D2 F D U2 R B2 F'
D2 F D U2 B2 R F'
D2 F D' F2 L' U2 F
R F D' U B2 L R
R F D' U B2 R L
F D R D2 F' B2 L
F D R D2 B2 L F'
F D R D2 B2 F' L
R F B2 L2 U L' R
R F B2 L2 U R L'
L2 F' L' U L U F
F D U2 R D2 F' B2
F D U2 R D2 B2 F'
D F' L' F' U' L' U'
F' D F2 U2 D R F'
R F' L2 U' L R' U2
F' D F2 D U2 R F'
R F' L2 U' R' L U2
R F' L2 B2 U L R'
R F' L2 B2 U R' L
F D F2 U2 F2 R F'
F D F2 D2 L' U2 F
F D' L B' U2 R B'
F D' L B' U2 B' R
F D' L' R F B2 L
F D' L' R B2 F L
F D' L' U2 R F B2
F D' L' U2 R B2 F
F D' L' U2 B2 R F
F D' L2 R B2 L F
F D' R L' F B2 L
F D' R L' B2 F L
F D' R L2 B2 L F
F D' R B2 L' F L2
F2 D' U' L' F U' B2
U' F2 L' U2 L' B' U
F D' U2 B2 D2 R F'
F D' F2 L' U2 F B2
F D' F2 L' U2 B2 F
D F2 U' L' F' U' R
D F2 U' D' L' F U'
D F2 U2 F' D R F'
D F2 D' U' L' F U'
U' B L2 R F B U
U' B L2 R B F U
U' B R L2 F B U
U' B R L2 B F U
U B L' R B' L' U
U B L' B' L' R U
U B L' B' R L' U
U B R L' B' L' U
U2 B R' D' F2 B2 R'
U2 B R' D' B2 R' F2
U2 B R' D' B2 F2 R'
L' B U L' R B' U
L' B U L' B' R U
L' B U R L' B' U
U2 B D' B2 R' D' F2
U2 B' L2 R U L2 R2
U2 B' L2 R U R2 L2
U B' L' R B' L' U
U2 B' R L2 U L2 R2
U2 B' R L2 U R2 L2
U B' L' B' L' R U
U B' L' B' R L' U
U2 B' R' U' L2 R2 U
U2 B' R' U' R2 L2 U
U B' R L' B' L' U
U2 B' R' D' F2 B2 D
U2 B' R' D' F2 B2 D'
U2 B' R' D' F2 B2 D2
U2 B' R' D' B2 F2 D
U2 B' R' D' B2 F2 D'
U2 B' R' D' B2 F2 D2
U2 B' R' F D' F2 B2
U2 B' R' F D' B2 F2
U2 B' R' F' D' F2 B2
U2 B' R' F' D' B2 F2
U2 B' R' F2 D' F2 B2
U2 B' R' F2 D' B2 F2
U2 B' R' B D' F2 B2
U2 B' R' B D' B2 F2
U2 B' R' B' D' F2 B2
U2 B' R' B' D' B2 F2
U2 B' R' B2 D' F2 B2
U2 B' R' B2 D' B2 F2
L' B' U L' R B' U
D' B' U R U B' R'
L' B' U L' B' R U
L' B' U R L' B' U
U2 B' U' L2 R U R2
U2 B' U' R L2 U R2
D' B' U2 B' R' D' F2
U2 B' D' R' B2 D' F2
U B2 L' R B' L' U
U B2 L' B' L' R U
U B2 L' B' R L' U
U B2 R L' B' L' U
L' B2 U L' R B' U
L' B2 U L' B' R U
L' B2 U R L' B' U
R B2 F L2 U L' R
R B2 F L2 U R L'
