L U2 F U R2
L' B' L2 U' R2
F L U2 F U R2
F' L U2 F U R2
F2 L U2 F U R2
D L U2 F B2 U
D L U2 B2 F U
D' L F2 U2 F' U
D' L' F2 B' L2 U'
F' L' B' L2 U' R2
F2 L' B' L2 U' R2
D' L' B' L2 F2 U'
D L' B' L2 F U'
F L' B' L2 U' R2
B L' B' L U' R2
D' L' B' F2 L2 U'
L U' R2 U' F U
L U2 D F B2 U
L U2 D B2 F U
L U2 F U R2 D
L U2 F U R2 D'
L U2 F U R2 D2
L U2 F D B2 U
L U2 F B U R2
L U2 F B' U R2
L U2 F B2 U R2
L U2 B F U R2
L U2 B' F U R2
L U2 B2 F U R2
U' R2 F' L' D F2
L D U2 F B2 U
L D U2 B2 F U
U2 D B2 R' F' U
L D' F2 U2 F' U
B2 U2 R' F' U R'
D U2 B2 R' F' U
L F U' R2 D2 L2
L' F B' L2 U' R2
U' F' L' R2 D F2
U' F' R2 L' D F2
L F' U' R2 D' L2
L F' U2 F2 U R2
L' F' B' L2 U' R2
L F' D' F2 U' L2
D' F2 L U2 F U
D' F2 L' B' L2 U'
L F2 U2 F' U R2
L' F2 B' L2 U' R2
L' B L2 B2 U' R2
L B U2 F U R2
L' B' L2 U' R2 D
L' B' L2 U' R2 D'
L' B' L2 U' R2 D2
L' B' L2 D' F2 U'
L' B' L2 F U' R2
L' B' L2 F' U' R2
L' B' L2 F2 U' R2
L' B' U' R2 D F2
L' B' F L2 U' R2
L B' U2 F U R2
L' B' F' L2 U' R2
L' B' F2 L2 U' R2
L' B2 L2 B U' R2
U2 B2 R' F' U R'
L B2 U2 F U R2
F2 D L U2 B2 F U
L F U D2 L2 U2 L2
F U2 B2 R' F' U R'
L F U' L R2 D2 L2
L F U' L' R2 D2 L2
L F U' L2 R2 D2 L2
L F U' R2 L D2 L2
L F U' R2 L' D2 L2
L F U' R2 L2 D2 L2
L F U' R2 U2 R2 U2
L F U' R2 D2 L2 D
L F U' R2 D2 L2 D'
L F U' R2 D2 L2 D2
F D L U2 F B2 U
F D L U2 B2 F U
F' D L' B' L2 F U'
F2 D L' B' L2 F U'
D F U2 B2 R' F' U
U2 F D B2 R' F' U
F D L' B' L2 F U'
L' F B L2 B2 U' R2
L F D' F2 U' D' L2
L F D' F2 U2 F2 U
L F D' F2 D' U' L2
L F D' F2 D2 B2 U'
L' F B' L2 U' R2 D
L' F B' L2 U' R2 D'
L' F B' L2 U' R2 D2
L' F B' L2 D' F2 U'
L' F B' L2 F U' R2
L' F B' L2 F' U' R2
L' F B' L2 F2 U' R2
L F D2 U L2 U2 L2
L' F B' U' R2 D F2
L' F B2 L2 B U' R2
L F B U' R2 D2 L2
U2 F B2 R' F' U R'
D' F' L F' U' D' L2
D' F' L F' U2 F2 U
D' F' L F' D' U' L2
D' F' L F' D2 B2 U'
L F B' U' R2 D2 L2
U' F' L' R D R F2
U' F' L' R' D R' F2
U' F' L' R' D F2 R'
U' F' L' R2 U L2 U'
U' F' L' R2 D F2 D
U' F' L' R2 D F2 D'
U' F' L' R2 D F2 D2
U' F' L' R2 F D F2
U' F' L' R2 F' D F2
U' F' L' R2 F2 D F2
U' F' L' U L2 U' R2
U' F' L' D F2 D' R2
U' F' L' F R2 D F2
B2 D U2 R' F' B2 U
B2 D U2 R' B2 F' U
U' F' L' F' R2 D F2
U' F' L' F2 R2 D F2
L F B2 U' R2 D2 L2
F' D U2 B2 R' F' U
D F' L U2 F B2 U
D' F' L' F' B' L2 U'
D F' L U2 B2 F U
D' F' L' B' L2 F' U'
D' F' L' B' F' L2 U'
F2 D U2 B2 R' F' U
L' F' L2 U2 F U R2
U' F' R L' D R F2
F D U2 B2 R' F' U
D F' L' B' L2 F U'
U' F' R' L' D R' F2
U' F' R' L' D F2 R'
U' F' R2 L' U L2 U'
U' F' R2 L' D F2 D
U' F' R2 L' D F2 D'
U' F' R2 L' D F2 D2
U' F' R2 L' F D F2
U' F' R2 L' F' D F2
U' F' R2 L' F2 D F2
U' F' R2 U L U' L2
U' F' R2 D L' D F2
U' F' R2 D' L' D F2
U' F' R2 D2 L' D F2
U' F' U L U' L2 R2
U' F' U L U' R2 L2
F' D' L F2 U2 F' U
F2 D' L F2 U2 F' U
L F' U' L R2 D' L2
L F' U' L' R2 D' L2
L F' U' L2 R2 D' L2
L F' U' R D' L2 R
L F' U' R D' R L2
L F' U' R' D' L2 R'
L F' U' R' D' R' L2
L F' U' R2 L D' L2
L F' U' R2 L' D' L2
L F' U' R2 L2 D' L2
L F' U' R2 U' F2 U
L F' U' R2 D' L2 D
L F' U' R2 D' L2 D'
L F' U' R2 D' L2 D2
L F' U' D' L2 D R2
F' D' L' F2 B' L2 U'
F' D' L' B' L2 F2 U'
F' D' L' B' F2 L2 U'
U' F' D' L' D R2 F2
U' F' D' L' D F2 R2
F2 D' L' F2 B' L2 U'
F2 D' L' B' L2 F2 U'
F2 D' L' B' F2 L2 U'
F D' L F2 U2 F' U
D F' U2 B2 R' F' U
L F' U2 F2 U R2 D
L F' U2 F2 U R2 D'
L F' U2 F2 U R2 D2
U2 F' D B2 R' F' U
L F' U2 F2 D B2 U
L F' U2 F2 B U R2
L F' U2 F2 B' U R2
L F' U2 F2 B2 U R2
L F' U2 B F2 U R2
U' F' D2 L' D F2 R
L F' U2 B' F2 U R2
L F' U2 B2 F2 U R2
F D' L' F2 B' L2 U'
F D' L' B' L2 F2 U'
F D' L' B' F2 L2 U'
L' F' B L2 B2 U' R2
L F' D' U' L2 D R2
L F' D' F2 U' L2 D
L F' D' F2 U' L2 D'
L F' D' F2 U' L2 D2
L F' D' F2 D' B2 U'
L F' D' F2 B U' L2
L F' D' F2 B' U' L2
L F' D' F2 B2 U' L2
L F' D' B F2 U' L2
L F' D' B' F2 U' L2
L F' D' B2 F2 U' L2
L' F' B' L2 U' R2 D
L' F' B' L2 U' R2 D'
L' F' B' L2 U' R2 D2
L' F' B' L2 D' F2 U'
L' F' B' L2 F U' R2
L' F' B' L2 F' U' R2
L' F' B' L2 F2 U' R2
L' F' B' U' R2 D F2
L F' D2 B2 U L2 U2
L F' D2 B2 U' D2 R2
L F' D2 B2 D F2 U'
L F' D2 B2 D2 U' R2
L' F' B2 L2 B U' R2
L F' B U' R2 D' L2
L F' B U2 F2 U R2
L F' B D' F2 U' L2
U2 F' B2 R' F' U R'
D' F2 L U2 D F U
D' F2 L U2 D' F U
D' F2 L U2 D2 F U
D' F2 L U2 F U D
D' F2 L U2 F U D'
D' F2 L U2 F U D2
D' F2 L U2 F D U
D' F2 L U2 F D' U
D' F2 L U2 F D2 U
D' F2 L D U2 F U
D' F2 L D' U2 F U
D' F2 L D2 U2 F U
D' F2 L B U2 F U
L F' B' U' R2 D' L2
D' F2 L B' U2 F U
L F' B' U2 F2 U R2
D' F2 L B2 U2 F U
L F' B' D' F2 U' L2
D' F2 L' D B' U' F2
L F' B2 U' R2 D' L2
D F2 L U2 F B2 U
L F' B2 U2 F2 U R2
D F2 L U2 B2 F U
D' F2 L' B L2 B2 U'
D' F2 L' B' L2 U' D
D' F2 L' B' L2 U' D'
