U' L U' D R' B
U' L U' D R' B
U' L D U' R' B
U' L F' R U' R2
L' U2 D R' F2 B
L' U2 D R' B F2
L' U2 D F2 R' B
L' D R' F2 L' B
L' D R' F2 B L'
L' D R' B F2 L'
L' D U2 R' F2 B
L' D U2 R' B F2
L' D U2 F2 R' B
U' D L U' R' B
U' D' L U' R' B'
D' U' L U' R' B'
D U' L U' R' B
F' U' L R U' R2
F' U' R L U' R2
L' D' B2 L U2 B'
U' F' L R U' R2
U' F' R L U' R2
L' D R' B L2 F2 L'
L' D R' B F2 L' D
L' D R' B F2 L' D'
L' D R' B F2 L' D2
L' D R' B F2 D L'
L' D R' B F2 D' L'
L' D R' B F2 D2 L'
L' D R' B' F2 L' B2
U' D L R U' R2 B
L2 D U' L' U' R' B
U' D L U' R' D B
U' D L U' R' D' B
U' D L U' R' D2 B
U' D L U' R' B D
U' D L U' R' B D'
U' D L U' R' B D2
L' D U2 R' F2 D B
L' D U2 R' F2 D' B
L' D U2 R' F2 D2 B
L' D U2 R' F2 B D
L' D U2 R' F2 B D'
L' D U2 R' F2 B D2
L' D U2 R' B F2 D
L' D U2 R' B F2 D'
L' D U2 R' B F2 D2
U' D L F U' R' B
L' D U2 F R' F B
L' D U2 F R' B F
U' D L F' U' R' B
U2 D L U' L' R' B
U2 D L U' R' L' B
U2 D L U' R' B L'
U' D L F2 U' R' B
L' D U2 F2 R' D B
L' D U2 F2 R' D' B
L' D U2 F2 R' D2 B
L' D U2 F2 R' B D
L' D U2 F2 R' B D'
L' D U2 F2 R' B D2
L' D F U2 R' F B
L' D F U2 R' B F
L' D F U2 F R' B
F U L' U R' D F2
F U L' U D R' F2
F U L' U D F2 R'
F U L' U2 L2 U' R'
F U L' D U R' F2
F U L' D U F2 R'
L' D F' U2 F' R' B
F U L' D2 R2 U R
U' D R L U' R2 B
U2 D R' U L U' B
U' D F L U' R' B
U' D F' L U' R' B
R D B2 R' U L B
U' D F2 L U' R' B
L' D' L B2 L U2 B
L' D' L' F B2 L U2
L' D' L' B2 F L U2
L' D' L2 B2 L F U2
D' U' L R U' R2 B'
D' U' L R U' B' R2
U' D' L R U' R2 B'
U' D' L R U' B' R2
D' U' L R2 U' R B'
D' U' L R2 U' B' R
U' D' L R2 U' R B'
U' D' L R2 U' B' R
D' U' L U' R B' R2
D' U' L U' R' D B'
D' U' L U' R' D' B'
D' U' L U' R' D2 B'
D' U' L U' R' B' D
D' U' L U' R' B' D'
D' U' L U' R' B' D2
D' U' L U' R2 B' R
D' U' L U' D R' B'
D' U' L U' D' R' B'
U' D' L U' R B' R2
D' U' L U' D2 R' B'
U' D' L U' R' D B'
U' D' L U' R' D' B'
U' D' L U' R' D2 B'
U' D' L U' R' B' D
U' D' L U' R' B' D'
U' D' L U' R' B' D2
U' D' L U' R2 B' R
U' D' L U' D R' B'
U' D' L U' D' R' B'
U' D' L U' D2 R' B'
D2 U' L U' D' R' B
D' U' L D U' R' B'
U' D' L D U' R' B'
D' U' L D' U' R' B'
U' D' L D' U' R' B'
D' U' L D2 U' R' B'
D2 U' L D' U' R' B
U' D' L D2 U' R' B'
D' U' L F U' R' B'
U' D' L F U' R' B'
D' U' L F' U' R' B'
U' D' L F' U' R' B'
D' U' L F2 U' R' B'
U' D' L F2 U' R' B'
U2 D' L U' R' B' L'
D U' L R U' R2 B
D U' L U' R' D B
D U' L U' R' D' B
D U' L U' R' D2 B
D U' L U' R' B D
D U' L U' R' B D'
D U' L U' R' B D2
D U' L F U' R' B
D U' L F' U' R' B
D U' L F2 U' R' B
F' U' L R U' R2 D
F' U' L R U' R2 D'
F' U' L R U' R2 D2
F' U' L R D' F2 U'
F' U' L R F U' R2
F' U' L R F' U' R2
F' U' L R F2 U' R2
F' U' L U' R' D B2
U' D' R L U' R2 B'
U' D' R L U' B' R2
D' U' R L U' R2 B'
D' U' R L U' B' R2
F2 U' L R U' B R2
F' U' L D R U' R2
F' U' L D' R U' R2
F' U' L D2 R U' R2
D U' R L U' R2 B
F U' L U' R' D' B2
F U' L U' D' R' B2
F U' L U2 L2 U R'
F U' L D' U' R' B2
L' D' F B2 L U2 B'
F U' L D2 R2 U' R
U2 D' R' U L U' B'
U' D' R2 L U' R B'
U' D' R2 L U' B' R
D' U' R2 L U' R B'
D' U' R2 L U' B' R
L' D' F' B2 L U2 B'
F' U' R L U' R2 D
F' U' R L U' R2 D'
F' U' R L U' R2 D2
F' U' R L D' F2 U'
F' U' R L F U' R2
F' U' R L F' U' R2
F' U' R L F2 U' R2
D' U' F L U' R' B'
U' D' F L U' R' B'
F2 U' R L U' B R2
F' U' R D' L F2 U'
F' U' R D' F2 L U'
F' U' R F L U' R2
F' U' R F' L U' R2
F' U' R F2 L U' R2
L' D' F2 B2 L U2 B'
U' D' F' L U' R' B'
D' U' F' L U' R' B'
D U' F L U' R' B
U' D' F2 L U' R' B'
D' U' F2 L U' R' B'
D U' F' L U' R' B
L' D' B2 L U2 D B'
L' D' B2 L U2 D' B'
L' D' B2 L U2 D2 B'
L' D' B2 L U2 B' D
L' D' B2 L U2 B' D'
L' D' B2 L U2 B' D2
L' D' B2 L D U2 B'
L' D' B2 L D' U2 B'
L' D' B2 L D2 U2 B'
L' D' B2 L F U2 B'
L' D' B2 L F' U2 B'
L' D' B2 L F2 U2 B'
F' U' D L R U' R2
L' D' B2 L' F L2 U2
F' U' D R L U' R2
D U' F2 L U' R' B
L' D' B2 F L U2 B'
L' D' B2 F' L U2 B'
F' U' D' L R U' R2
L' D' B2 F2 L U2 B'
F' U' D' R L U' R2
F' U' D2 L R U' R2
F' U' D2 R L U' R2
D' U2 L U' R' B' L'
U' D2 L U' D' R' B
U' D2 L D' U' R' B
D U2 L U' L' R' B
D U2 L U' R' L' B
D U2 L U' R' B L'
F U' F2 L R U' R2
F U' F2 R L U' R2
D' U2 R' U L U' B'
F' U2 L R U' L' R2
F' U2 L R U' R2 L'
D U2 R' U L U' B
F2 U2 L U' L' R' B'
F2 U2 L U' R' L' B'
F' U2 R L U' L' R2
F' U2 R L U' R2 L'
F' U2 R' U L R2 U'
F' U2 R' U R2 L U'
U' F L U' R' D' B2
U' F L U' D' R' B2
U' F L U2 L2 U R'
U' F L D' U' R' B2
U' F L D2 R2 U' R
D' F U' L U' R' B'
B2 D L U R' U B
D F U' L U' R' B
B D L B' U2 R' B
L F U2 L' U L R'
L F U2 L' U R' L
U' F' L R U' R2 D
U' F' L R U' R2 D'
U' F' L R U' R2 D2
U' F' L R D' F2 U'
U' F' L R F U' R2
U' F' L R F' U' R2
U' F' L R F2 U' R2
U' F' L U' R' D B2
F' D U' L R U' R2
U' F' L D R U' R2
U' F' L D' R U' R2
F' D U' R L U' R2
U' F' L D2 R U' R2
U2 F' L R U' L' R2
U2 F' L R U' R2 L'
U' F' R L U' R2 D
U' F' R L U' R2 D'
U' F' R L U' R2 D2
U' F' R L D' F2 U'
U' F' R L F U' R2
U' F' R L F' U' R2
U' F' R L F2 U' R2
U' F' R D' L F2 U'
U' F' R D' F2 L U'
U' F' R F L U' R2
U' F' R F' L U' R2
U' F' R F2 L U' R2
U2 F' R L U' L' R2
U2 F' R L U' R2 L'
L' F' R' D F2 L' B2
L' F' R' D F2 B2 L'
L' F' R' D B2 F2 L'
U2 F' R' U L R2 U'
U2 F' R' U R2 L U'
L F' R U R' U2 R'
L F' R B2 U' L R2
L F' R B2 U' R2 L
U2 F' U L R U' R2
U2 F' U R L U' R2
D' F' U' L U' R' B'
L' F' U' L2 R U' R2
L' F' U' R L2 U' R2
B2 D' L U R' U B'
D F' U' L U' R' B
L' F' U2 R' D F2 B2
L' F' U2 R' D B2 F2
U' F' D L R U' R2
U' F' D R L U' R2
U' F' D' L R U' R2
U' F' D' R L U' R2
U' F' D2 L R U' R2
U' F' D2 R L U' R2
U' F2 L R2 U' R B
U' F2 L U' R B R2
F' D' U' L R U' R2
F' D' U' R L U' R2
U' F2 L F R U' R2
U' F2 R2 L U' R B
R' F2 U L U' L2 B'
D' F2 U' L U' R' B'
D F2 U' L U' R' B
F' D2 U' L R U' R2
F' D2 U' R L U' R2
B2 F L U L2 R' U
B2 F L U R' L2 U
D' B2 L U R' U B'
D B2 L U R' U B
F B2 L U L2 R' U
F B2 L U R' L2 U
L' B2 D' L B2 U2 B
