B L R U' L2 R2
B L R U' R2 L2
B L' R' D F2 B2
B L' R' D B2 F2
B R L U' L2 R2
B R L U' R2 L2
B R' L' D F2 B2
B R' L' D B2 F2
R B L U' L2 R'
R B L U' R' L2
U2 R B U' R' L' F'
B2 R B' L U' L2 R'
B2 R B' L U' R' L2
B R' L' U L2 R2 U'
B R' L' U R2 L2 U'
B R' L' D F2 B2 D
B R' L' D F2 B2 D'
B R' L' D F2 B2 D2
B R' L' D B2 F2 D
B R' L' D B2 F2 D'
B R' L' D B2 F2 D2
B R' L' F D F2 B2
B R' L' F D B2 F2
B R' L' F' D F2 B2
B R' L' F' D B2 F2
B R' L' F2 D F2 B2
B R' L' F2 D B2 F2
B R' L' B D F2 B2
B R' L' B D B2 F2
B R' L' B' D F2 B2
B R' L' B' D B2 F2
B R' L' B2 D F2 B2
B R' L' B2 D B2 F2
B' R' U D B2 L' R'
B' R' U D B2 R' L'
B R' U L R2 U' L2
B R' U R2 L U' L2
B' R' D U B2 L' R'
B' R' D U B2 R' L'
B R' D L' B2 D F2
B R' B D L' F B2
B R' B D L' B2 F
B R' B D B2 L' F
R D L2 U' L F R
B U L R U' L2 R2
B U L R U' R2 L2
B U L' R' D F2 B2
B U L' R' D B2 F2
B U R L U' L2 R2
B U R L U' R2 L2
B U R' L' D F2 B2
B U R' L' D B2 F2
L2 D' R F' U' L F
B U' L R U' L2 R2
B U' L R U' R2 L2
B U' L' R' D F2 B2
B U' L' R' D B2 F2
B U' R L U' L2 R2
B U' R L U' R2 L2
B U' R' L' D F2 B2
B U' R' L' D B2 F2
B U2 L R U' L2 R2
B U2 L R U' R2 L2
B U2 L' R' D F2 B2
B U2 L' R' D B2 F2
B U2 R L U' L2 R2
B U2 R L U' R2 L2
B U2 R' L' D F2 B2
B U2 R' L' D B2 F2
B D L R U' L2 R2
B D L R U' R2 L2
B D L' R' D F2 B2
B D L' R' D B2 F2
B D R L U' L2 R2
B D R L U' R2 L2
B D R' L' D F2 B2
B D R' L' D B2 F2
B D' L R U' L2 R2
B D' L R U' R2 L2
B D' L' R' D F2 B2
B D' L' R' D B2 F2
B D' R L U' L2 R2
B D' R L U' R2 L2
B D' R' L' D F2 B2
B D' R' L' D B2 F2
R F2 U R B U2 R'
B D2 L R U' L2 R2
B D2 L R U' R2 L2
B D2 L' R' D F2 B2
B D2 L' R' D B2 F2
B D2 R L U' L2 R2
B D2 R L U' R2 L2
B D2 R' L' D F2 B2
B D2 R' L' D B2 F2
R' B L R2 U' L2 R
R' B L R2 U' R L2
D' B L R F' U' L2
L' B L R U' L' R2
L' B L R U' R2 L'
R' B L' D R' F2 B2
R' B L' D R' B2 F2
R' B L' D F2 R' B2
L B L R U' L R2
L B L R U' R2 L
R B L U' L2 R' D
R B L U' L2 R' D'
R B L U' L2 R' D2
R B L U' L2 D R'
R B L U' L2 D' R'
R B L U' L2 D2 R'
R B L U' R' L2 D
R B L U' R' L2 D'
R B L U' R' L2 D2
D' B R L F' U' L2
R B L F U' L2 R'
R B L F U' R' L2
U B L' R' D F' B2
U B L' R' D B2 F'
L' B R L U' L' R2
L' B R L U' R2 L'
R B L F' U' L2 R'
R B L F' U' R' L2
U B L' R' F' D B2
R B L F2 U' L2 R'
R B L F2 U' R' L2
L' B R' U L R2 U'
L' B R' U R2 L U'
R' B R2 L U' L2 R
R' B R2 L U' R L2
L B R L U' L R2
L B R L U' R2 L
U B R U' L' R2 F'
U B R U' R2 L' F'
L' B U L R U' R2
U B R' L' D F' B2
U B R' L' D B2 F'
U B R' L' F' D B2
L' B U R L U' R2
U B R' D L' F' B2
U B R' D L' B2 F'
U B R' D B2 L' F'
R B U' L' R' D F2
R B U' L' D R' F2
R B U' L' D F2 R'
R B U' R' L' D F2
R B D L U' L2 R'
R B D L U' R' L2
R B D' L U' L2 R'
R B D' L U' R' L2
R B D2 L U' L2 R'
R B D2 L U' R' L2
