U2 L2 B U F
U2 L' B L' U F
U2 L2 R' U F R
D2 L2 R2 F' U' F2
U2 L2 D B U F
B L2 D' R2 F U
U2 L2 D' B U F
B L2 D' F R2 U
U2 L2 D2 B U F
B L2 D2 F U F
B L2 F U D2 F2
B L2 F U' B2 U2
B L2 F D' R2 U
B L2 F D2 U F2
U' L2 B U F L2
U2 L2 B R U F
U2 L2 B R' U F
U2 L2 B R2 U F
U2 L2 B U D F
U2 L2 B U D F
U2 L2 B U D' F
U2 L2 B U D2 F
U2 L2 B U F D
U2 L2 B U F D'
U2 L2 B U F D2
U2 L2 B D U F
U2 L2 B D' U F
U2 L2 B D2 U F
U2 R' L2 U F R
L' U2 L' B U F
L' U2 B L' U F
D2 R2 L2 F' U' F2
D2 R2 F' L2 U' F
D2 R2 F' U B' U2
B' U B2 L2 F U
F' U2 L2 B U F
F2 U2 L2 B U F
F U2 L2 B U F
R2 F' U2 L2 U F
U2 B L2 U D2 F2
U2 B L2 U' B2 U2
U2 B L2 D' R2 U
U2 B L2 D2 U F2
L2 B U2 B' U' F
U2 B D' R2 U B2
U B' U L2 B2 U
U B' U B2 L2 U
U B' U2 D' R2 B2
U B' U2 D' B2 R2
U B' D L2 F2 U2
U B' D F2 L2 U2
U B' D' U2 R2 B2
U B' D' U2 B2 R2
U2 L2 B2 R' B' U F
U2 L2 B2 R2 B' U F
R U D F2 B' L U2
R U D B' L F2 U2
U2 L2 B2 D B' U F
R' U D' B' U2 B' R'
R U D B' F2 L U2
U2 L2 B2 D' B' U F
U2 L2 B2 D2 B' U F
B R L2 D' R2 F U
B R L2 D' F R2 U
B R L2 D2 F U F
B R L2 F U D2 F2
B R L2 F U' B2 U2
B R L2 F D' R2 U
B R L2 F D2 U F2
U' R D' B2 R2 F' R
L2 U' R2 F D R2 B
R U' D' B2 R2 F' R
U' R' L2 U F L2 R
U' R' L2 U F R L2
U2 R' L2 U R F R
U2 R' L2 U R' F R
U2 R' L2 U R2 F R
U2 R' L2 U D F R
U2 R' L2 U D' F R
U2 R' L2 U D2 F R
U2 R' L2 U F R D
U2 R' L2 U F R D'
U2 R' L2 U F R D2
U2 R' L2 U F D R
U2 R' L2 U F D' R
U2 R' L2 U F D2 R
U2 R' L2 D U F R
L2 U' F B' D' R2 B
U2 R' L2 D' U F R
U2 R' L2 D2 U F R
B R' L2 D' R2 F U
B R' L2 D' F R2 U
B R' L2 D2 F U F
U2 R' L2 B U F R
B R' L2 F U D2 F2
B R' L2 F U' B2 U2
B R' L2 F D' R2 U
B R' L2 F D2 U F2
U2 R' L2 B' U F R
U2 R' L2 B2 U F R
D' R' U B' U2 B' R'
L' U' B L' U F L
L2 U' B' D' F R2 B
L2 U' B' F D' R2 B
L' U2 L' R' U F R
L' U2 L' D B U F
L' U2 L' D' B U F
L' U2 L' D2 B U F
L U2 L B R' U F'
R' U2 L' B' L' U F
L' U2 L' B R U F
L' U2 L' B R' U F
L' U2 L' B R2 U F
L' U2 L' B U D F
L' U2 L' B U D' F
L' U2 L' B U D2 F
L' U2 L' B U F D
L' U2 L' B U F D'
L' U2 L' B U F D2
L' U2 L' B D U F
L' U2 L' B D' U F
L' U2 L' B D2 U F
R2 U2 L2 R U F R
R2 U2 L2 R2 B U F
R2 U2 L2 U F D R2
R2 U2 L2 U2 F' U' F2
R U2 L2 R' B U F
R U2 L2 R2 U F R
R2 U2 R L2 U F R
L' U2 R' L' U F R
R U2 R' L2 B U F
R2 U2 R2 L2 B U F
R U2 R2 L2 U F R
L' U2 D' L' B R' U
L' U2 D' B L' R' U
L' U2 D' B R' L' U
D2 R2 L F' L U' F
D2 R2 L' F' L' U' F
D2 R2 L2 U' F D R2
D2 R2 L2 D F' U' F2
D2 R2 L2 D' F' U' F2
D2 R2 L2 D2 F' U' F2
D2 R2 L2 F' L U' F2
D2 R2 L2 F' L' U' F2
D2 R2 L2 F' L2 U' F2
U2 R2 L2 U F D R2
D2 R2 L2 F' U' F2 D
D2 R2 L2 F' U' F2 D'
D2 R2 L2 F' U' F2 D2
D' R2 L2 F' U' F2 B2
D' R2 L2 F' U' B2 F2
D2 R2 L2 F' D' L2 U'
U2 R2 L2 U2 F' U' F2
B R2 L2 D' R2 F U
B R2 L2 D' F R2 U
B' R2 U L2 F' B2 U
B R2 L2 D2 F U F
B' R2 U L2 B2 F' U
B R2 L2 F U D2 F2
B R2 L2 F U' B2 U2
B R2 L2 F D' R2 U
B R2 L2 F D2 U F2
B' R2 U F' L2 B2 U
B' R2 U F' B2 L2 U
D2 R2 U B' U' F' U'
B' R2 U B2 L2 F' U
B' R2 U B2 F' L2 U
L' U2 B L' R U F
L' U2 B L' R' U F
L' U2 B L' R2 U F
L' U2 B L' U D F
L' U2 B L' U D' F
L' U2 B L' U D2 F
L' U2 B L' U F D
L' U2 B L' U F D'
L' U2 B L' U F D2
L' U2 B L' D U F
L' U2 B L' D' U F
L' U2 B L' D2 U F
L' U2 B R L' U F
L' U2 B R' L' U F
L' U2 B R2 L' U F
L' U2 B' L' B2 U F
D2 R2 D L2 F' U' F2
D2 R2 D F' L2 U' F
D2 R2 D F' U B' U2
D2 R2 D' L2 F' U' F2
D2 R2 D' F' L2 U' F
D2 R2 D' F' U B' U2
D2 R2 D2 L2 F' U' F2
D2 R2 D2 F' L2 U' F
D2 R2 D2 F' U B' U2
D2 R2 F L2 F2 U' F'
D' R2 F' L2 U' F B2
D' R2 F' L2 U' B2 F
D2 R2 F' L2 U' D F
D2 R2 F' L2 U' D' F
D2 R2 F' L2 U' D2 F
D2 R2 F' L2 U' F D
D2 R2 F' L2 U' F D'
D2 R2 F' L2 U' F D2
D2 R2 F' L2 D U' F
D2 R2 F' L2 D' U' F
D2 R2 F' L2 D2 U' F
D2 R2 F' U D B' U2
D' R2 F' U B' U2 B'
D2 R2 F' U D' B' U2
D2 R2 F' U D2 B' U2
D2 R2 F' U B' U2 D
D2 R2 F' U B' U2 D'
D2 R2 F' U B' U2 D2
D2 R2 F' U B' D U2
D2 R2 F' U B' D' U2
D2 R2 F' U B' D2 U2
D2 R2 F' U' L2 F L2
D2 R2 F' D L2 U' F
D2 R2 F' D U B' U2
F' R2 F' U2 L2 U F
D2 R2 F' D' L2 U' F
D2 R2 F' D' U B' U2
D2 R2 F' D2 L2 U' F
D2 R2 F' D2 U B' U2
F2 R2 F' U2 L2 U F
D R2 F' U F' B' U2
D R2 F' U B' F' U2
F R2 F' U2 L2 U F
B2 R2 B' L2 F U F2
R D U F2 B' L U2
R D U B' L F2 U2
R D U B' F2 L U2
B' U L2 B2 U2 B' U'
R2 D F' U F' B' U2
R2 D F' U B' F' U2
L2 D B U2 B' U' F
B' U F B2 L2 F U
D U F2 B' U B2 U
D U F2 B' U2 D' R2
D U F2 B' D L2 U2
D U F2 B' D' U2 R2
U2 D B U D2 F2 B2
U2 D B U D2 B2 F2
U2 D B U' F2 B2 U2
U2 D B U' B2 F2 U2
U2 D B D' L2 R2 U
U2 D B D' R2 L2 U
U D F2 B' U B2 U
U D F2 B' U2 D' R2
U D F2 B' D L2 U2
U D F2 B' D' U2 R2
U2 D B D2 U F2 B2
U2 D B D2 U B2 F2
D' U B' U B2 U B
B' U F' B2 L2 F U
R2 D' L2 F' U' F2 B2
R2 D' L2 F' U' B2 F2
D' U B' U2 D' R2 B'
D' U B' U2 D' B' R2
D' U B' D L2 F U2
D2 U B' D L2 U2 B2
D' U B' D' U2 R2 B'
D' U B' D' U2 B' R2
D2 U B' D' F2 U2 R2
B' U F2 B2 L2 F U
D U B' F2 U B2 U
D U B' F2 U2 D' R2
D U B' F2 D L2 U2
D U B' F2 D' U2 R2
U D B' F2 U B2 U
U D B' F2 U2 D' R2
U D B' F2 D L2 U2
U D B' F2 D' U2 R2
F' U B' U L2 B2 U
F' U B' U B2 L2 U
F' U B' U2 D' R2 B2
F' U B' U2 D' B2 R2
F' U B' D L2 F2 U2
F' U B' D F2 L2 U2
F' U B' D' U2 R2 B2
F' U B' D' U2 B2 R2
F2 U B' U L2 B2 U
F2 U B' U B2 L2 U
F2 U B' U2 D' R2 B2
F2 U B' U2 D' B2 R2
R' D' U B' U2 B' R'
F2 U B' D L2 F2 U2
F2 U B' D F2 L2 U2
F2 U B' D' U2 R2 B2
F2 U B' D' U2 B2 R2
B' U B2 L2 D F U
B' U B2 L2 D' F U
B' U B2 L2 D2 F U
B' U B2 L2 F U D
B' U B2 L2 F U D'
B' U B2 L2 F U D2
B' U B2 L2 F D U
B' U B2 L2 F D' U
B' U B2 L2 F D2 U
F U B' U L2 B2 U
B' U B2 F L2 F U
F U B' U B2 L2 U
B' U B2 F' L2 F U
B' U B2 F2 L2 F U
F U B' U2 D' R2 B2
F U B' U2 D' B2 R2
F U B' D L2 F2 U2
F U B' D F2 L2 U2
F U B' D' U2 R2 B2
F U B' D' U2 B2 R2
L' D' U2 L' B R' U
L' D' U2 B L' R' U
L' D' U2 B R' L' U
U2 D' L2 B U F B
U2 D' L2 B U B F
R D' U' B2 R2 F' R
R2 D' F' L2 U' F B2
R2 D' F' L2 U' B2 F
F' U' L2 B U F L2
F2 U' L2 B U F L2
R2 D' F' U B' U2 B'
F U' L2 B U F L2
L2 D' B U2 B' U' F
B' U' D' B U' B R2
U2 D' B U D2 F2 B
U2 D' B U D2 B F2
U2 D' B U' B2 U2 B'
U2 D' B D2 U F2 B
U2 D' B D2 U B F2
U' D' B' D' B' R2 F'
D' U' B' D' B' R2 F'
B' U' D2 F2 B R2 U'
B' U' D2 B R2 F2 U'
B' U' D2 B F2 R2 U'
U D' B' U B2 U B
U D' B' U2 D' R2 B'
U D' B' U2 D' B' R2
U D' B' D L2 F U2
U D' B' D' U2 R2 B'
U D' B' D' U2 B' R2
R2 D2 L2 F' R2 U' F2
R D2 L2 R2 U' F R
D' U2 L2 B U F B
D' U2 L2 B U B F
B' U' B U2 L2 B U
B' U' B U2 B L2 U
B' U' B D2 R2 F' U'
R D2 R2 L2 U' F R
F' U2 L' B L' U F
F' U2 L2 R' U F R
F2 U2 L' B L' U F
F2 U2 L2 R' U F R
F' U2 L2 D B U F
F' U2 L2 D' B U F
F' U2 L2 D2 B U F
F2 U2 L2 D B U F
F2 U2 L2 D' B U F
F' U2 L2 B R U F
F' U2 L2 B R' U F
F' U2 L2 B R2 U F
F' U2 L2 B U D F
F' U2 L2 B U D' F
F' U2 L2 B U D2 F
F' U2 L2 B U F D
F' U2 L2 B U F D'
F' U2 L2 B U F D2
F2 U2 L2 D2 B U F
F' U2 L2 B D U F
F' U2 L2 B D' U F
F' U2 L2 B D2 U F
R2 D2 F' L2 R2 U' F
F2 U2 L2 B R U F
F2 U2 L2 B R' U F
F2 U2 L2 B R2 U F
F2 U2 L2 B U D F
F2 U2 L2 B U D' F
F2 U2 L2 B U D2 F
F2 U2 L2 B U F D
F2 U2 L2 B U F D'
F2 U2 L2 B U F D2
F2 U2 L2 B D U F
F2 U2 L2 B D' U F
F2 U2 L2 B D2 U F
R2 D2 F' R2 L2 U' F
R2 D2 F' R2 U B' U2
F U2 L' B L' U F
F U2 L2 R' U F R
F U2 L2 D B U F
F U2 L2 D' B U F
F U2 L2 D2 B U F
D' U2 B U D2 F2 B
D' U2 B U D2 B F2
F' U2 R' L2 U F R
F U2 L2 B R U F
F U2 L2 B R' U F
F U2 L2 B R2 U F
D' U2 B U' B2 U2 B'
F U2 L2 B U D F
F U2 L2 B U D' F
F U2 L2 B U D2 F
F U2 L2 B U F D
F U2 L2 B U F D'
F U2 L2 B U F D2
F U2 L2 B D U F
F U2 L2 B D' U F
F U2 L2 B D2 U F
F2 U2 R' L2 U F R
D' U2 B D2 U F2 B
D' U2 B D2 U B F2
D2 U2 B D2 L2 U F2
L2 D2 B U2 B' U' F
U2 D2 B D2 L2 U F2
D U2 B U D2 F2 B2
D U2 B U D2 B2 F2
F U2 R' L2 U F R
D U2 B U' F2 B2 U2
D U2 B U' B2 F2 U2
D U2 B D' L2 R2 U
D U2 B D' R2 L2 U
D U2 B D2 U F2 B2
D U2 B D2 U B2 F2
U D2 B' D L2 U2 B2
U D2 B' D' F2 U2 R2
D2 F L2 R2 F' U' F2
B U2 D2 R2 B' U' F2
U' F L2 B U F L2
B U2 D2 B' R2 U' F2
U2 F L2 F' B U F2
U2 F L2 B F' U F2
F' U2 B L2 U D2 F2
F' U2 B L2 U' B2 U2
F' U2 B L2 D' R2 U
F' U2 B L2 D2 U F2
F2 U2 B L2 U D2 F2
F2 U2 B L2 U' B2 U2
D2 F R2 L2 F' U' F2
F2 U2 B L2 D' R2 U
F2 U2 B L2 D2 U F2
F' U2 B D' R2 U B2
D2 F R2 F' L2 U' F
D2 F R2 F' U B' U2
F2 U2 B D' R2 U B2
F U2 B L2 U D2 F2
F U2 B L2 U' B2 U2
F U2 B L2 D' R2 U
F U2 B L2 D2 U F2
B' U2 B2 L2 F U F'
F U2 B D' R2 U B2
U' F U' L2 B U F
B U2 B' U2 L2 U F
U F U L2 B U F
B' D L2 F2 U' B U'
U F B' U L2 B2 U
U F B' U B2 L2 U
U F B' U2 D' R2 B2
U F B' U2 D' B2 R2
U F B' D L2 F2 U2
U F B' D F2 L2 U2
U F B' D' U2 R2 B2
U F B' D' U2 B2 R2
D2 F' L2 R2 F' U' F2
R2 F' L' U2 L' U F
U' F' L2 B U F L2
B' D F2 L2 U' B U'
R2 F' R U2 L2 U F
D2 F' R2 L2 F' U' F2
R2 F' R' U2 L2 U F
D2 F' R2 F' L2 U' F
D2 F' R2 F' U B' U2
R2 F' R2 U2 L2 U F
U' F' U' L2 B U F
R2 F' U D F2 B' U2
R2 F' U D B' F2 U2
R2 F' U D' B' U2 B'
R2 F' U B' U L2 U
R2 F' U B' U2 D' B2
R2 F' U B' D F2 U2
R2 F' U B' D' U2 B2
U F' U L2 B U F
R2 F' U2 L2 R U F
R2 F' U2 L2 R' U F
R2 F' U2 L2 R2 U F
R2 F' U2 L2 U D F
R2 F' U2 L2 U D' F
R2 F' U2 L2 U D2 F
R2 F' U2 L2 U F D
R2 F' U2 L2 U F D'
R2 F' U2 L2 U F D2
R2 F' U2 L2 D U F
R2 F' U2 L2 D' U F
R2 F' U2 L2 D2 U F
R2 F' U2 R L2 U F
R2 F' U2 R' L2 U F
R2 F' U2 R2 L2 U F
R2 F' D U F2 B' U2
R2 F' D U B' F2 U2
B D' L2 R2 F U B2
R2 F' D' L2 U' F B2
R2 F' D' L2 U' B2 F
B D' L2 F R2 U B2
R2 F' D' U B' U2 B'
R2 F' D2 L2 R2 U' F
R2 F' D2 R2 L2 U' F
R2 F' D2 R2 U B' U2
L2 F' B U2 B' U' F2
B D' R2 L2 F U B2
B D' R2 U2 B' U' B'
B D' R2 D L2 F U
B' D' U' B U' B R2
U F' B' U L2 B2 U
U F' B' U B2 L2 U
U F' B' U2 D' R2 B2
U F' B' U2 D' B2 R2
U F' B' D L2 F2 U2
U F' B' D F2 L2 U2
U F' B' D' U2 R2 B2
U F' B' D' U2 B2 R2
D2 F2 L2 R2 F' U' F2
U' F2 L2 B U F L2
U2 F2 L2 F2 B U F'
U2 F2 L2 B F2 U F'
D2 F2 R2 L2 F' U' F2
D2 F2 R2 F' L2 U' F
D2 F2 R2 F' U B' U2
U' F2 U' L2 B U F
U F2 U L2 B U F
R2 F2 U2 L2 B' U F
F' D2 L2 R2 F' U' F2
F2 D2 L2 R2 F' U' F2
F D2 L2 R2 F' U' F2
F' D2 R2 L2 F' U' F2
F2 D2 R2 L2 F' U' F2
F' D2 R2 F' L2 U' F
L2 F2 B U2 B' U' F'
F' D2 R2 F' U B' U2
F2 D2 R2 F' L2 U' F
F2 D2 R2 F' U B' U2
F D2 R2 L2 F' U' F2
B' D2 U' F2 B R2 U'
B' D2 U' B R2 F2 U'
B' D2 U' B F2 R2 U'
F D2 R2 F' L2 U' F
F D2 R2 F' U B' U2
U F2 B' U L2 B2 U
U F2 B' U B2 L2 U
U F2 B' U2 D' R2 B2
U F2 B' U2 D' B2 R2
U F2 B' D L2 F2 U2
U F2 B' D F2 L2 U2
U F2 B' D' U2 R2 B2
U F2 B' D' U2 B2 R2
U2 B L D' L R2 U
U2 B L D' R2 L U
U2 B L D2 L U F2
L' B L' U D F L'
L' B L' D U F L'
U' B L2 U L2 D2 F2
U' B L2 U' B2 U2 L2
U2 B L' D' L' R2 U
U2 B L' D' R2 L' U
U2 B L' D2 L' U F2
B D2 U2 R2 B' U' F2
L' B L2 F L U F
B D2 U2 B' R2 U' F2
U2 B L2 R U D2 F2
U2 B L2 R U' B2 U2
U2 B L2 R D' R2 U
U2 B L2 R D2 U F2
U2 B L2 R' U D2 F2
U2 B L2 R' U' B2 U2
U2 B L2 R' D' R2 U
U2 B L2 R' D2 U F2
U2 B L2 R2 U D2 F2
U2 B L2 R2 U' B2 U2
U2 B L2 R2 D' R2 U
U2 B L2 R2 D2 U F2
U2 B L2 U D2 F2 D
U2 B L2 U D2 F2 D'
U2 B L2 U D2 F2 D2
U2 B L2 U F D2 F2
U2 B L2 U F' D2 F2
U2 B L2 U F2 D2 F2
U2 B L2 U' B2 U2 D
U2 B L2 U' B2 U2 D'
U2 B L2 U' B2 U2 D2
U2 B L2 U' B2 D U2
U2 B L2 U' B2 D' U2
U2 B L2 U' B2 D2 U2
U2 B L2 U2 D L2 U'
U2 B L2 D U2 L2 U'
U2 B L2 D' R2 U D
U2 B L2 D' R2 U D'
U2 B L2 D' R2 U D2
