B' L U' R' F
B' L U' F R'
B' L U' R F R2
B' L U' R' D F
B' L U' R' D' F
B' L U' R' D2 F
B' L U' R' F D
B' L U' R' F D'
B' L U' R' F D2
B' L U' D R' F
B' L U' D F R'
B' L U' D' R' F
B' L U' D' F R'
B' L U' D2 R' F
B' L U' D2 F R'
B' L U' F R' D
B' L U' F R' D'
B' L U' F R' D2
B' L U' F D R'
B' L U' F D' R'
B' L U' F D2 R'
B' L U' F' R' F2
B' L D U' R' F
B' L D U' F R'
B' L D' U' R' F
B' L D' U' F R'
B' L D2 U' R' F
B' L D2 U' F R'
B' L F' U' R' F2
B' L F' U' F2 R'
B' L F2 U' F' R'
B2 L B U' R' F
B2 L B U' F R'
B' U' F R' D' F2
B' U2 R U R2 F'
B' U2 R2 U R F'
B' D L U' R' F
B' D L U' F R'
B' D' L U' R' F
B' D' L U' F R'
B' D2 L U' R' F
B' D2 L U' F R'
B' F L U' R' F
B' F L U' F R'
D2 B' L U' R' F
D2 B' L U' F R'
D' B' L U' R' F
D' B' L U' F R'
D B' L U' R' F
D B' L U' F R'
F' B' L U' R' F
F' B' L U' F R'
B' F' L U' R' F
B' F' L U' F R'
F2 B' L U' R' F
F2 B' L U' F R'
F B' L U' R' F
F B' L U' F R'
B' F2 L U' R' F
B' F2 L U' F R'
B' L D U' F R' D2
B' L D U' F D R'
B' L D U' F D' R'
B' L D U' F D2 R'
B' L D U' F' R' F2
B' L D F' U' R' F2
B' L D F' U' F2 R'
B' L D F2 U' F' R'
B' L D' U' R F R2
B' L D' U' R' D F
B' L D' U' R' D' F
B' L D' U' R' D2 F
B' L D' U' R' F D
B' L D' U' R' F D'
B' L D' U' R' F D2
B' L D' U' F R' D
B' L D' U' F R' D'
B' L D' U' F R' D2
B' L D' U' F D R'
B' L D' U' F D' R'
B' L D' U' F D2 R'
B' L D' U' F' R' F2
B' L D' F' U' R' F2
B' L D' F' U' F2 R'
B' L D' F2 U' F' R'
B' L D2 U' R F R2
B' L D2 U' R' D F
B' L D2 U' R' D' F
B' L D2 U' R' D2 F
B' L D2 U' R' F D
B' L D2 U' R' F D'
B' L D2 U' R' F D2
B' L D2 U' F R' D
B' L D2 U' F R' D'
B' L D2 U' F R' D2
B' L D2 U' F D R'
B' L D2 U' F D' R'
B' L D2 U' F D2 R'
B' L D2 U' F' R' F2
B' L D2 F' U' R' F2
B' L D2 F' U' F2 R'
B' L D2 F2 U' F' R'
B' L F' L U' R' F2
B' L F' L U' F2 R'
B' L F' L' U' R' F2
B' L F' L' U' F2 R'
B' L F' L2 U' R' F2
B' L F' L2 U' F2 R'
B' L F' U' R F2 R2
B' L F' U' R' F2 D
B' L F' U' R' F2 D'
B' L F' U' R' F2 D2
B' L F' U' F R' F
B' L F' U' F2 R' D
B' L F' U' F2 R' D'
B' L F' U' F2 R' D2
B' L F' U' F2 D R'
B' L F' U' F2 D' R'
B' L F' U' F2 D2 R'
B' L F' D' L2 U' R'
B2 L F' B U' R' F2
B2 L F' B U' F2 R'
B' L F2 L U' F' R'
B' L F2 L' U' F' R'
B' L F2 L2 U' F' R'
B' L F2 U' D F' R'
B' L F2 U' D' F' R'
B' L F2 U' D2 F' R'
B' L F2 U' F R' F2
B' L F2 U' F' R' D
B' L F2 U' F' R' D'
B' L F2 U' F' R' D2
B' L F2 U' F' D R'
B' L F2 U' F' D' R'
B' L F2 U' F' D2 R'
B' L F2 U' F2 R' F
B' L F2 D U' F' R'
B' L F2 D' U' F' R'
B' L F2 D2 U' F' R'
B2 L F2 B U' F' R'
B2 L B U' R F R2
B2 L B U' R' D F
B2 L B U' R' D' F
B2 L B U' R' D2 F
B2 L B U' R' F D
B2 L B U' R' F D'
B2 L B U' R' F D2
B2 L B U' D R' F
B2 L B U' D F R'
B2 L B U' D' R' F
B2 L B U' D' F R'
B2 L B U' D2 R' F
B2 L B U' D2 F R'
B2 L B U' F R' D
B2 L B U' F R' D'
B2 L B U' F R' D2
B2 L B U' F D R'
B2 L B U' F D' R'
B2 L B U' F D2 R'
B2 L B U' F' R' F2
B2 L B D U' R' F
B2 L B D U' F R'
B2 L B D' U' R' F
B2 L B D' U' F R'
B2 L B D2 U' R' F
B2 L B D2 U' F R'
B2 L B F' U' R' F2
B2 L B F' U' F2 R'
B2 L B F2 U' F' R'
B' L' U L U2 R' F'
B' L' U L2 U2 R' F
B' L' U L2 U2 F R'
B' L' U B2 L B U2
B' L' U' L2 R' F L2
B' L' U' L2 F L2 R'
B' L' U' L2 F R' L2
B' L' U' R' L2 F L2
B' L' U' R' U2 B' U2
B' L' D L2 U' R' F
B' L' D L2 U' F R'
B L' D F2 U' L2 F
B' L' D' L2 U' R' F
B' L' D' L2 U' F R'
B' L' D2 L2 U' R' F
B' L' D2 L2 U' F R'
B' L' F L2 U' R' F
B' L' F L2 U' F R'
B' L' F' L2 U' R' F
B' L' F' L2 U' F R'
B' L' F2 L2 U' R' F
B' L' F2 L2 U' F R'
B2 L' B U B2 L U2
B2 L' B U' R' D2 F2
B2 L' B U' D2 R' F2
B2 L' B U' D2 F2 R'
B2 L' B D L2 U' R'
B2 L' B D2 U' R' F2
B2 L' B D2 U' F2 R'
B L' B2 U L2 B U2
B L' B2 U B L2 U2
B L' B2 U' D2 R2 F'
B L' B2 D2 U' R2 F'
B' L2 U L' U2 R' F
B' L2 U L' U2 F R'
B' L2 U L2 U2 R' F'
B' L2 U B2 L B' U2
B' L2 U' L' R' F L
B' L2 U' L' F L R'
B' L2 U' L' F R' L
B' L2 U' R' L' F L
B' L2 U' R2 D2 R F'
B' L2 U' D2 R F' R2
B' L2 D F L' U' R'
B' L2 D F2 U' R' F'
B' L2 D2 U' R F' R2
B' L2 F L' U' R' F
B' L2 F L' U' F R'
B' L2 F' L' U' R' F
B' L2 F' L' U' F R'
B' L2 F2 L' U' R' F
B' L2 F2 L' U' F R'
B2 L2 B L' U' R' F
B2 L2 B L' U' F R'
B L2 B2 U L' U2 F
U2 R' U2 B' U' F' R'
L U2 R' F' U F2 R
L2 U2 D2 F U R F'
L2 U2 F U D2 R F'
L2 U2 F D2 U R F'
L U2 F2 U F' L' R
L U2 F2 U F' R L'
L2 D' L2 B' L U' R'
B' U B U' L F U'
B' U B2 D L B' U2
B' U' R' U L U' F
B' U' R' U' R' U F'
B' U' R' F U' R U
B' U' R' F' U L' U'
B' U' D F R' D' F2
B' U' D' F R' D' F2
B' U' D2 F R' D' F2
B' U' F R' U' R2 U
B' U' F R' D' F2 D
B' U' F R' D' F2 D'
B' U' F R' D' F2 D2
B' U' F R' F D' F2
B' U' F R' F' D' F2
B' U' F R' F2 D' F2
B' U' F U' R U R2
B' U' F D R' D' F2
B' U' F D' R' D' F2
B' U' F D2 R' D' F2
B' U' F' R' U L' U'
B' U' F' U L' U' R'
B' U' F2 R2 D R F'
B' U' F2 D R F' R2
B2 U' B U' R' F' B'
B2 U' B U' R' B' F'
B U' B2 U' R' F' B2
B U' B2 U' R' B2 F'
L2 D2 U2 F U R F'
B' U2 R U R2 D F'
B' U2 R U R2 D' F'
B' U2 R U R2 D2 F'
B' U2 R U R2 F' D
B' U2 R U R2 F' D'
B' U2 R U R2 F' D2
B' U2 R U F R2 F'
B' U2 R U F' R2 F'
B' U2 R U F2 R2 F'
B' U2 R U' B U2 R2
B' U2 R2 U R D F'
B' U2 R2 U R D' F'
B' U2 R2 U R D2 F'
B' U2 R2 U R F' D
B' U2 R2 U R F' D'
B' U2 R2 U R F' D2
B' U2 R2 B U R F'
B' U2 R2 B' U R F'
B' U2 R2 B2 U R F'
B' U2 D R U R2 F'
B' U2 D R2 U R F'
B' U2 D' R U R2 F'
B' U2 D' R2 U R F'
B' U2 D2 R U R2 F'
B' U2 D2 R2 U R F'
B' D L U' R F R2
B' D L U' R' D F
B' D L U' R' D' F
B' D L U' R' D2 F
B' D L U' R' F D
B' D L U' R' F D'
B' D L U' R' F D2
B' D L U' D R' F
B' D L U' D F R'
B' D L U' D' R' F
B' D L U' D' F R'
B' D L U' D2 R' F
B' D L U' D2 F R'
B' D L U' F R' D
B' D L U' F R' D'
B' D L U' F R' D2
B' D L U' F D R'
B' D L U' F D' R'
B' D L U' F D2 R'
B' D L U' F' R' F2
B' D L D U' R' F
B' D L D U' F R'
B' D L D' U' R' F
B' D L D' U' F R'
B' D L D2 U' R' F
B' D L D2 U' F R'
B' D L F' U' R' F2
B' D L F' U' F2 R'
B' D L F2 U' F' R'
D' F B' L U' R' F
D' F B' L U' F R'
D2 F B' L U' R' F
D2 F B' L U' F R'
D F B' L U' R' F
D F B' L U' F R'
B' D U' F R' D' F2
B' D U2 R U R2 F'
B' D U2 R2 U R F'
B' D F L U' R' F
B' D F L U' F R'
B' D F' L U' R' F
B' D F' L U' F R'
B' D F2 L U' R' F
B' D F2 L U' F R'
L F' L' B' U' R' F2
L F' L' B' U' F2 R'
F' D B' L U' R' F
F' D B' L U' F R'
F2 D B' L U' R' F
F2 D B' L U' F R'
U' F' U B' L' U' R'
F D B' L U' R' F
F D B' L U' F R'
B' D' L U' R F R2
B' D' L U' R' D F
B' D' L U' R' D' F
B' D' L U' R' D2 F
B' D' L U' R' F D
B' D' L U' R' F D'
B' D' L U' R' F D2
B' D' L U' D R' F
B' D' L U' D F R'
B' D' L U' D' R' F
B' D' L U' D' F R'
B' D' L U' D2 R' F
B' D' L U' D2 F R'
B' D' L U' F R' D
B' D' L U' F R' D'
B' D' L U' F R' D2
B' D' L U' F D R'
B' D' L U' F D' R'
B' D' L U' F D2 R'
B' D' L U' F' R' F2
B' D' L D U' R' F
B' D' L D U' F R'
B' D' L D' U' R' F
B' D' L D' U' F R'
B' D' L D2 U' R' F
B' D' L D2 U' F R'
B' D' L F' U' R' F2
B' D' L F' U' F2 R'
B' D' L F2 U' F' R'
D2 F' B' L U' R' F
D2 F' B' L U' F R'
D' F' B' L U' R' F
D' F' B' L U' F R'
D F' B' L U' R' F
D F' B' L U' F R'
B' D' U' F R' D' F2
B' D' U2 R U R2 F'
B' D' U2 R2 U R F'
B' D' F L U' R' F
B' D' F L U' F R'
B' D' F' L U' R' F
B' D' F' L U' F R'
B' D' F2 L U' R' F
B' D' F2 L U' F R'
L F2 L' B' U' F' R'
F' D' B' L U' R' F
F' D' B' L U' F R'
F2 D' B' L U' R' F
F2 D' B' L U' F R'
F D' B' L U' R' F
F D' B' L U' F R'
B' D2 L U' R F R2
B' D2 L U' R' D F
B' D2 L U' R' D' F
B' D2 L U' R' D2 F
B' D2 L U' R' F D
B' D2 L U' R' F D'
B' D2 L U' R' F D2
B' D2 L U' D R' F
B' D2 L U' D F R'
B' D2 L U' D' R' F
B' D2 L U' D' F R'
B' D2 L U' D2 R' F
B' D2 L U' D2 F R'
B' D2 L U' F R' D
B' D2 L U' F R' D'
B' D2 L U' F R' D2
B' D2 L U' F D R'
B' D2 L U' F D' R'
B' D2 L U' F D2 R'
B' D2 L U' F' R' F2
B' D2 L D U' R' F
B' D2 L D U' F R'
B' D2 L D' U' R' F
B' D2 L D' U' F R'
B' D2 L D2 U' R' F
B' D2 L D2 U' F R'
B' D2 L F' U' R' F2
B' D2 L F' U' F2 R'
B' D2 L F2 U' F' R'
D2 F2 B' L U' R' F
D2 F2 B' L U' F R'
D' F2 B' L U' R' F
D' F2 B' L U' F R'
D F2 B' L U' R' F
D F2 B' L U' F R'
B' D2 U' F R' D' F2
B' D2 U2 R U R2 F'
L F2 B' U' F' L' R'
L F2 B' U' F' R' L'
B' D2 U2 R2 U R F'
B' D2 F L U' R' F
B' D2 F L U' F R'
B' D2 F' L U' R' F
B' D2 F' L U' F R'
B' D2 F2 L U' R' F
B' D2 F2 L U' F R'
F' D2 B' L U' R' F
F' D2 B' L U' F R'
F2 D2 B' L U' R' F
F2 D2 B' L U' F R'
F D2 B' L U' R' F
F D2 B' L U' F R'
B' F L U' R F R2
B' F L U' R' D F
B' F L U' R' D' F
B' F L U' R' D2 F
B' F L U' R' F D
B' F L U' R' F D'
B' F L U' R' F D2
B' F L U' D R' F
B' F L U' D F R'
B' F L U' D' R' F
B' F L U' D' F R'
B' F L U' D2 R' F
B' F L U' D2 F R'
B' F L U' F R' D
B' F L U' F R' D'
B' F L U' F R' D2
B' F L U' F D R'
B' F L U' F D' R'
B' F L U' F D2 R'
B' F L U' F' R' F2
B' F L D U' R' F
B' F L D U' F R'
B' F L D' U' R' F
B' F L D' U' F R'
B' F L D2 U' R' F
B' F L D2 U' F R'
B' F L F' U' R' F2
B' F L F' U' F2 R'
B' F L F2 U' F' R'
B2 F L B U' R' F
B2 F L B U' F R'
R' B' L R U' R2 F
R' B' L R U' F R2
D2 B' L U' R F R2
D2 B' L U' R' D F
D2 B' L U' R' D' F
D2 B' L U' R' D2 F
D2 B' L U' R' F D
D2 B' L U' R' F D'
D2 B' L U' R' F D2
D2 B' L U' D R' F
D2 B' L U' D F R'
D2 B' L U' D' R' F
D2 B' L U' D' F R'
D2 B' L U' D2 R' F
D2 B' L U' D2 F R'
D2 B' L U' F R' D
D2 B' L U' F R' D'
D2 B' L U' F R' D2
D2 B' L U' F D R'
D2 B' L U' F D' R'
D2 B' L U' F D2 R'
D2 B' L U' F' R' F2
D' B' L U' R F R2
D' B' L U' R' D F
D' B' L U' R' D' F
D' B' L U' R' D2 F
D' B' L U' R' F D
D' B' L U' R' F D'
D' B' L U' R' F D2
D' B' L U' D R' F
D' B' L U' D F R'
D' B' L U' D' R' F
D' B' L U' D' F R'
D' B' L U' D2 R' F
D' B' L U' D2 F R'
D' B' L U' F R' D
D' B' L U' F R' D'
D' B' L U' F R' D2
D' B' L U' F D R'
D' B' L U' F D' R'
D' B' L U' F D2 R'
D' B' L U' F' R' F2
D2 B' L D U' R' F
D2 B' L D U' F R'
D2 B' L D' U' R' F
D2 B' L D' U' F R'
D' B' L D U' R' F
D' B' L D U' F R'
B' F U' F R' D' F2
D2 B' L D2 U' R' F
D2 B' L D2 U' F R'
D' B' L D' U' R' F
D' B' L D' U' F R'
D' B' L D2 U' R' F
D' B' L D2 U' F R'
D2 B' L F' U' R' F2
D2 B' L F' U' F2 R'
D2 B' L F2 U' F' R'
D' B' L F' U' R' F2
D' B' L F' U' F2 R'
D' B' L F2 U' F' R'
B' F U2 R U R2 F'
B' F U2 R2 U R F'
R2 B' L R2 U' R F
D B' L U' R F R2
D B' L U' R' D F
D B' L U' R' D' F
D B' L U' R' D2 F
D B' L U' R' F D
D B' L U' R' F D'
D B' L U' R' F D2
D B' L U' D R' F
D B' L U' D F R'
D B' L U' D' R' F
D B' L U' D' F R'
D B' L U' D2 R' F
D B' L U' D2 F R'
D B' L U' F R' D
D B' L U' F R' D'
D B' L U' F R' D2
D B' L U' F D R'
D B' L U' F D' R'
D B' L U' F D2 R'
D B' L U' F' R' F2
B' F D L U' R' F
B' F D L U' F R'
D B' L D U' R' F
D B' L D U' F R'
D B' L D' U' R' F
D B' L D' U' F R'
D B' L D2 U' R' F
D B' L D2 U' F R'
D B' L F' U' R' F2
D B' L F' U' F2 R'
D B' L F2 U' F' R'
B' F D' L U' R' F
B' F D' L U' F R'
R' B' R L U' R2 F
R' B' R L U' F R2
B' F D2 L U' R' F
B' F D2 L U' F R'
B' F' L U' R F R2
B' F' L U' R' D F
B' F' L U' R' D' F
B' F' L U' R' D2 F
B' F' L U' R' F D
B' F' L U' R' F D'
B' F' L U' R' F D2
B' F' L U' D R' F
B' F' L U' D F R'
B' F' L U' D' R' F
B' F' L U' D' F R'
B' F' L U' D2 R' F
B' F' L U' D2 F R'
B' F' L U' F R' D
B' F' L U' F R' D'
B' F' L U' F R' D2
B' F' L U' F D R'
B' F' L U' F D' R'
B' F' L U' F D2 R'
B' F' L U' F' R' F2
B' F' L D U' R' F
B' F' L D U' F R'
B' F' L D' U' R' F
B' F' L D' U' F R'
B' F' L D2 U' R' F
B' F' L D2 U' F R'
F' B' L U' R F R2
F' B' L U' R' D F
F' B' L U' R' D' F
F' B' L U' R' D2 F
F' B' L U' R' F D
F' B' L U' R' F D'
F' B' L U' R' F D2
F' B' L U' D R' F
F' B' L U' D F R'
F' B' L U' D' R' F
F' B' L U' D' F R'
F' B' L U' D2 R' F
F' B' L U' D2 F R'
F' B' L U' F R' D
F' B' L U' F R' D'
F' B' L U' F R' D2
F' B' L U' F D R'
F' B' L U' F D' R'
F' B' L U' F D2 R'
B' F' L F' U' R' F2
F' B' L U' F' R' F2
B' F' L F' U' F2 R'
B' F' L F2 U' F' R'
F' B' L D U' R' F
F' B' L D U' F R'
F' B' L D' U' R' F
F' B' L D' U' F R'
F' B' L D2 U' R' F
F' B' L D2 U' F R'
F2 B' L U' R F R2
F2 B' L U' R' D F
F2 B' L U' R' D' F
F2 B' L U' R' D2 F
F2 B' L U' R' F D
F2 B' L U' R' F D'
F2 B' L U' R' F D2
F2 B' L U' D R' F
F2 B' L U' D F R'
F2 B' L U' D' R' F
F2 B' L U' D' F R'
F2 B' L U' D2 R' F
F2 B' L U' D2 F R'
F2 B' L U' F R' D
F2 B' L U' F R' D'
F2 B' L U' F R' D2
F2 B' L U' F D R'
F2 B' L U' F D' R'
F2 B' L U' F D2 R'
F2 B' L U' F' R' F2
F' B' L F' U' R' F2
F' B' L F' U' F2 R'
F2 B' L D U' R' F
F2 B' L D U' F R'
F' B' L F2 U' F' R'
F2 B' L D' U' R' F
F2 B' L D' U' F R'
F2 B' L D2 U' R' F
F2 B' L D2 U' F R'
F2 B' L F' U' R' F2
F2 B' L F' U' F2 R'
B2 F' L B U' R' F
B2 F' L B U' F R'
R2 B' R2 L U' R F
F2 B' L F2 U' F' R'
F B' L U' R F R2
F B' L U' R' D F
F B' L U' R' D' F
F B' L U' R' D2 F
F B' L U' R' F D
F B' L U' R' F D'
F B' L U' R' F D2
F B' L U' D R' F
F B' L U' D F R'
F B' L U' D' R' F
F B' L U' D' F R'
F B' L U' D2 R' F
F B' L U' D2 F R'
F B' L U' F R' D
F B' L U' F R' D'
F B' L U' F R' D2
F B' L U' F D R'
F B' L U' F D' R'
F B' L U' F D2 R'
F B' L U' F' R' F2
F B' L D U' R' F
F B' L D U' F R'
F B' L D' U' R' F
F B' L D' U' F R'
D2 B' U' F R' D' F2
F B' L D2 U' R' F
F B' L D2 U' F R'
D' B' U' F R' D' F2
F B' L F' U' R' F2
F B' L F' U' F2 R'
F B' L F2 U' F' R'
D2 B' U2 R U R2 F'
D2 B' U2 R2 U R F'
D' B' U2 R U R2 F'
D' B' U2 R2 U R F'
D2 B' D L U' R' F
D2 B' D L U' F R'
D' B' D L U' R' F
D' B' D L U' F R'
D B' U' F R' D' F2
L B' U' R' F' L' F2
D B' U2 R U R2 F'
L B' U' F R' D2 L2
L B' U' F' L' R' F2
L B' U' F' L' F2 R'
L B' U' F' R' L' F2
D B' U2 R2 U R F'
D2 B' D' L U' R' F
D2 B' D' L U' F R'
D' B' D' L U' R' F
D' B' D' L U' F R'
D B' D L U' R' F
D B' D L U' F R'
D2 B' D2 L U' R' F
D2 B' D2 L U' F R'
D' B' D2 L U' R' F
D' B' D2 L U' F R'
D B' D' L U' R' F
D B' D' L U' F R'
D2 B' F L U' R' F
D2 B' F L U' F R'
D' B' F L U' R' F
D' B' F L U' F R'
B' F' U' F R' D' F2
D B' D2 L U' R' F
D B' D2 L U' F R'
D2 B' F' L U' R' F
D2 B' F' L U' F R'
F' B' U' F R' D' F2
D' B' F' L U' R' F
D' B' F' L U' F R'
B' F' U2 R U R2 F'
B' F' U2 R2 U R F'
F2 B' U' F R' D' F2
F' B' U2 R U R2 F'
D B' F L U' R' F
D B' F L U' F R'
D2 B' F2 L U' R' F
D2 B' F2 L U' F R'
F' B' U2 R2 U R F'
D' B' F2 L U' R' F
D' B' F2 L U' F R'
F2 B' U2 R U R2 F'
B' F' D L U' R' F
B' F' D L U' F R'
F2 B' U2 R2 U R F'
F' B' D L U' R' F
F' B' D L U' F R'
D B' F' L U' R' F
D B' F' L U' F R'
F2 B' D L U' R' F
F2 B' D L U' F R'
F B' U' F R' D' F2
B' F' D' L U' R' F
B' F' D' L U' F R'
D2 B2 L B U' R' F
D2 B2 L B U' F R'
D B' F2 L U' R' F
D B' F2 L U' F R'
F B' U2 R U R2 F'
F' B' D' L U' R' F
F' B' D' L U' F R'
D' B2 L B U' R' F
D' B2 L B U' F R'
F B' U2 R2 U R F'
F2 B' D' L U' R' F
F2 B' D' L U' F R'
B' F' D2 L U' R' F
B' F' D2 L U' F R'
F B' D L U' R' F
F B' D L U' F R'
F' B' D2 L U' R' F
F' B' D2 L U' F R'
L B' F2 U' F' L' R'
L B' F2 U' F' R' L'
F2 B' D2 L U' R' F
F2 B' D2 L U' F R'
D B2 L B U' R' F
D B2 L B U' F R'
B' F2 L U' R F R2
B' F2 L U' R' D F
B' F2 L U' R' D' F
B' F2 L U' R' D2 F
B' F2 L U' R' F D
B' F2 L U' R' F D'
B' F2 L U' R' F D2
B' F2 L U' D R' F
B' F2 L U' D F R'
B' F2 L U' D' R' F
B' F2 L U' D' F R'
B' F2 L U' D2 R' F
B' F2 L U' D2 F R'
B' F2 L U' F R' D
B' F2 L U' F R' D'
B' F2 L U' F R' D2
B' F2 L U' F D R'
B' F2 L U' F D' R'
B' F2 L U' F D2 R'
B' F2 L U' F' R' F2
F B' D' L U' R' F
F B' D' L U' F R'
B' F2 L D U' R' F
B' F2 L D U' F R'
B' F2 L D' U' R' F
B' F2 L D' U' F R'
B' F2 L D2 U' R' F
B' F2 L D2 U' F R'
B' F2 L F' U' R' F2
B' F2 L F' U' F2 R'
B' F2 L F2 U' F' R'
F B' D2 L U' R' F
F B' D2 L U' F R'
F' B2 L B U' R' F
F' B2 L B U' F R'
B2 F2 L B U' R' F
B2 F2 L B U' F R'
F2 B2 L B U' R' F
F2 B2 L B U' F R'
F B2 L B U' R' F
F B2 L B U' F R'
B' F2 U' F R' D' F2
B' F2 U2 R U R2 F'
B' F2 U2 R2 U R F'
B' F2 D L U' R' F
B' F2 D L U' F R'
B' F2 D' L U' R' F
B' F2 D' L U' F R'
B' F2 D2 L U' R' F
B' F2 D2 L U' F R'
