U L' R U2 B
U R L' U2 B
F2 U' L' R B'
F2 U' L' B' R
F2 U' R L' B'
U L' D2 R F U2 B
U L' D2 R F' U2 B
U L' D2 R F2 U2 B
U L' D2 R' F' R2 U2
U L' D2 F2 U2 L' B'
U L' F R' F' R U2
U L' F' R U2 B L
U L' F' R' F' U2 L'
U' L' F2 U2 B' L' F2
U L' F2 R U2 L' B
U L' F2 R U2 B L'
U L' F2 U2 L' D B'
U L' F2 U2 L' D' B'
U L' F2 U2 L' D2 B'
U L' F2 U2 L' B' D
U L' F2 U2 L' B' D'
U L' F2 U2 L' B' D2
U L' F2 U2 D L' B'
U L' F2 U2 D' L' B'
U L' F2 U2 D2 L' B'
U L' F2 U2 B L' B'
U L' F2 U2 B' L' B'
U L' F2 U2 B2 L' B'
U L' F2 D U2 L' B'
U L' F2 D' U2 L' B'
U L' F2 D2 U2 L' B'
U L' B R B' U2 B2
U' L' B' U2 R U2 R'
U L' B2 R B2 U2 B'
U L2 R U2 B2 R' B'
U L2 R D L U2 B
U L2 R D' L U2 B
U L2 R D2 L U2 B
U L2 R F L U2 B
U L2 R F' L U2 B
U L2 R F2 L U2 B
U L2 R' F' L R2 U2
U L2 R' F' R2 L U2
U' L2 R2 B2 L R' B'
U' L2 R2 B2 R' L B'
U2 L2 U' L R U2 B
U2 L2 U' R L U2 B
U' L2 U2 L R U2 B'
U' L2 U2 R L U2 B'
U L2 D L R U2 B
U L2 D R L U2 B
U L2 D' L R U2 B
U L2 D' R L U2 B
R2 U L R' F' L2 U2
R' U L' R' F' R' U2
U L2 D2 L R U2 B
U L2 D2 R L U2 B
R2 U L' R' D F' U2
R2 U L' R' D' F' U2
R2 U L' R' D2 F' U2
R2 U L' R' F' U2 D
R2 U L' R' F' U2 D'
R2 U L' R' F' U2 D2
R2 U L' R' F' D U2
R2 U L' R' F' D' U2
R2 U L' R' F' D2 U2
R2 U L' D R' F' U2
R2 U L' D' R' F' U2
R2 U L' D2 R' F' U2
R2 U L' F R' F' U2
R2 U L' F' R' F' U2
R2 U L' F2 R' F' U2
R2 U L2 R' F' L U2
R' U R' L' F' R' U2
R2 U R' L F' L2 U2
R2 U R' L' D F' U2
R2 U R' L' D' F' U2
R2 U R' L' D2 F' U2
R2 U R' L' F' U2 D
R2 U R' L' F' U2 D'
R2 U R' L' F' U2 D2
R2 U R' L' F' D U2
R2 U R' L' F' D' U2
R2 U R' L' F' D2 U2
R2 U R' L2 F' L U2
R2 U R' D L' F' U2
R2 U R' D' L' F' U2
R2 U R' D2 L' F' U2
R' U R2 D2 L' F U2
R2 U D L' R' F' U2
R2 U D R' L' F' U2
R2 U D' L' R' F' U2
R2 U D' R' L' F' U2
R' U D2 L' U2 L' B'
U' R L F L2 U2 F'
R2 U D2 L' R' F' U2
R2 U D2 R' L' F' U2
B' R L' U' L R2 U'
U R L U2 D2 B R2
B' R L' U' R2 L U'
U R L U2 B D2 R2
U R L D2 U2 B R2
U R L F L2 U2 B
U R L F' L2 U2 B
U R L F2 L2 U2 B
U' R L' F U2 F' B'
U' R L' F U2 B' F'
U' R L' F' U2 F B'
U' R L' F' U2 B' F
U' R L' F2 U2 F2 B'
U' R L' F2 U2 B' F2
U R L' U L U B
U R L' U L' U B
U R L' U L2 U B
U R L' U2 L B L'
U R L' U2 L2 B L2
U R L' U2 D B D
U R L' U2 D B D'
U R L' U2 D B D2
U R L' U2 D' B D
U R L' U2 D' B D'
U R L' U2 D' B D2
U R L' U2 D2 B D
U R L' U2 D2 B D'
U R L' U2 D2 B D2
R2 U F R' F' L' U2
U R L' U2 B2 D B'
U R L' U2 B2 D' B'
U R L' U2 B2 D2 B'
U R L' D U2 B D
U R L' D U2 B D'
U R L' D U2 B D2
U R L' D F U2 B
U R L' D F' U2 B
U R L' D F2 U2 B
U R L' D' U2 B D
U R L' D' U2 B D'
U R L' D' U2 B D2
U R L' D' F U2 B
U R L' D' F' U2 B
U R L' D' F2 U2 B
U R L' D2 U2 B D
U R L' D2 U2 B D'
U R L' D2 U2 B D2
U R L' D2 F U2 B
U R L' D2 F' U2 B
U R L' D2 F2 U2 B
U R L' F U2 D B
U R L' F U2 D' B
U R L' F U2 D2 B
U R L' F U2 B D
U R L' F U2 B D'
U R L' F U2 B D2
U R L' F D U2 B
U R L' F D' U2 B
U R L' F D2 U2 B
U R L' F' U2 D B
U R L' F' U2 D' B
U R L' F' U2 D2 B
U R L' F' U2 B D
U R L' F' U2 B D'
U R L' F' U2 B D2
U R L' F' D U2 B
U R L' F' D' U2 B
U R L' F' D2 U2 B
U R L' F2 U2 D B
U R L' F2 U2 D' B
U R L' F2 U2 D2 B
U R L' F2 U2 B D
U R L' F2 U2 B D'
U R L' F2 U2 B D2
U R L' F2 D U2 B
U R L' F2 D' U2 B
U R L' F2 D2 U2 B
U R L2 U2 B2 R' B'
U R L2 D L U2 B
U R L2 D' L U2 B
U R L2 D2 L U2 B
R2 U F' R' F' U2 R
U R L2 F L U2 B
U R L2 F' L U2 B
U R L2 F2 L U2 B
R' U F2 R2 U2 R' B
R2 U F2 R' U2 R2 B
R2 U F2 R' F' U2 R2
U R U' F2 U' B R
U R U2 F2 B R F2
U R U2 B U2 L' U2
U R U2 B F2 R F2
U R D L' U2 D B
U R D L' U2 D' B
U R D L' U2 D2 B
U R D L' U2 B D
U R D L' U2 B D'
U R D L' U2 B D2
U R D L' D U2 B
U R D L' D' U2 B
U R D L' D2 U2 B
U R D L' F U2 B
U R D L' F' U2 B
U R D L' F2 U2 B
U R D F2 U2 B R
L' U' L U R F U2
U R D' L' U2 D B
U R D' L' U2 D' B
U R D' L' U2 D2 B
U R D' L' U2 B D
U R D' L' U2 B D'
U R D' L' U2 B D2
U R D' L' D U2 B
U R D' L' D' U2 B
U R D' L' D2 U2 B
U R D' L' F U2 B
U R D' L' F' U2 B
R' U' L D2 L2 R2 B'
R' U' L D2 L2 B' R2
U R D' L' F2 U2 B
R' U' L D2 R2 L2 B'
U R D' F2 U2 B R
U R D2 L' U2 D B
U R D2 L' U2 D' B
U R D2 L' U2 D2 B
U R D2 L' U2 B D
U R D2 L' U2 B D'
U R D2 L' U2 B D2
U R D2 L' D U2 B
U R D2 L' D' U2 B
U R D2 L' D2 U2 B
U R D2 L' F U2 B
U R D2 L' F' U2 B
U R D2 L' F2 U2 B
U R D2 F2 U2 B R
F R F U' L' R B'
F R F U' L' B' R
F R F U' R L' B'
U R F U2 B' R' B2
F' R F' U' L' R B'
F' R F' U' L' B' R
F' R F' U' R L' B'
R2 U' L2 B2 L R' B'
R2 U' L2 B2 R' L B'
U R F' U2 D2 B R'
U' R F2 U2 R F2 B
U' R F2 U2 R B F2
U R F' D2 U2 B R'
U R F2 L U2 B R
U R F2 L' U2 B R
U R F2 L2 U2 B R
U R F2 U2 D B R
U R F2 U2 D' B R
U R F2 U2 D2 B R
U R F2 U2 B R D
U R F2 U2 B R D'
U R F2 U2 B R D2
U R F2 U2 B D R
U R F2 U2 B D' R
U R F2 U2 B D2 R
U R F2 U2 B' R B2
U R F2 U2 B2 R B'
U R F2 D U2 B R
U R F2 D' U2 B R
U R F2 D2 U2 B R
F2 R B' R' U' L' R
F2 R B' R' U' R L'
U R B' L' B U2 B
U' R' L D2 L2 R2 B'
U' R' L D2 L2 B' R2
U' R' L D2 R2 L2 B'
U R' L F' L2 R2 U2
U R' L F' R2 L2 U2
U R' L' D2 F' U2 L2
U R' L' F R2 F2 U2
U R' L' F' R2 U2 D
U R' L' F' R2 U2 D'
U R' L' F' R2 U2 D2
U R' L' F' R2 D U2
U R' L' F' R2 D' U2
U R' L' F' R2 D2 U2
U R' L' F' U2 D2 L2
U R' L' F' D2 U2 L2
U R' L' F2 R2 F U2
B' R' U L' R2 U2 D
B' R' U L' R2 U2 D'
B' R' U L' R2 U2 D2
B' R' U L' R2 D U2
B' R' U L' R2 D' U2
B' R' U L' R2 D2 U2
B' R' U L' U2 D2 L2
B' R' U L' D2 U2 L2
B' R' U R2 L' U2 D
B' R' U R2 L' U2 D'
B' R' U R2 L' U2 D2
B' R' U R2 L' D U2
B' R' U R2 L' D' U2
B' R' U R2 L' D2 U2
B' R' U R2 D L' U2
B' R' U R2 D' L' U2
B' R' U R2 D2 L' U2
R' U' F2 R F2 L' B'
B' R' U D2 L' U2 L'
U R' L2 F' L R2 U2
U R' L2 F' R2 L U2
B' R' U' L D2 L2 R2
B' R' U' L D2 R2 L2
F2 R' U' L' R B' R
F2 R' U' L' R2 D B'
F2 R' U' L' R2 D' B'
F2 R' U' L' R2 D2 B'
F2 R' U' L' R2 B' D
F2 R' U' L' R2 B' D'
F2 R' U' L' R2 B' D2
F2 R' U' L' B R2 B2
F2 R' U' L' B' R2 D
F2 R' U' L' B' R2 D'
F2 R' U' L' B' R2 D2
F2 R' U' R L' B' R
F2 R' U' R2 L' D B'
F2 R' U' R2 L' D' B'
F2 R' U' R2 L' D2 B'
F2 R' U' R2 L' B' D
F2 R' U' R2 L' B' D'
F2 R' U' R2 L' B' D2
F2 R' U' R2 D L' B'
F2 R' U' R2 D' L' B'
F2 R' U' R2 D2 L' B'
F2 R' U' R2 B L' B'
F2 R' U' R2 B' L' B'
F2 R' U' R2 B2 L' B'
B' R' U' F2 R F2 L'
F2 R' U' B L' R2 B'
F2 R' U' B L' B' R2
F2 R' U' B R2 L' B'
F2 R' U' B' L' R2 B'
F2 R' U' B' L' B' R2
F2 R' U' B' R2 L' B'
F2 R' U' B2 L' R2 B'
F2 R' U' B2 L' B' R2
F2 R' U' B2 R2 L' B'
B' R' U2 D' F2 U R
B' R' D F2 B2 U' R
B' R' D B2 U L' U2
B' R' D B2 F2 U' R
B' R' D' U2 F2 U R
B' R' D2 U L' U2 L'
B' R' D2 F2 U' L2 R
B' R' D2 F2 U' R L2
F R' F U' L' R B'
F R' F U' L' B' R
F R' F U' R L' B'
F' R' F' U' L' R B'
F' R' F' U' L' B' R
F' R' F' U' R L' B'
U' R' F2 R F2 L' B'
B' R' F2 U R2 U2 R'
B' R' F2 U' D2 L2 R
B' R' F2 U' D2 R L2
B' R' F2 D B2 U' R
B' R' F2 D2 U' L2 R
B' R' F2 D2 U' R L2
U R' F2 R2 F U2 R'
B' R' B U L' R2 U2
B' R' B U R2 L' U2
B' R' B' U L' R2 U2
B' R' B' U R2 L' U2
F2 R' B' R' U' L' R'
F2 R' B' R' U' R' L'
B' R' B2 U L' R2 U2
B' R' B2 U R2 L' U2
U R2 L' F R' U2 B
U R2 L' F' R' U2 B
U' R2 L2 B2 L R' B'
U R2 L' F2 R' U2 B
U' R2 L2 B2 R' L B'
D2 R2 U L' R' F' U2
D' R2 U L' R' F' U2
D2 R2 U R' L' F' U2
D' R2 U R' L' F' U2
D R2 U L' R' F' U2
D R2 U R' L' F' U2
F2 R2 U' L' R B' R2
F2 R2 U' L' R' D B'
F2 R2 U' L' R' D' B'
F2 R2 U' L' R' D2 B'
F2 R2 U' L' R' B' D
F2 R2 U' L' R' B' D'
F2 R2 U' L' R' B' D2
F2 R2 U' L' R2 B' R
F2 R2 U' L' D R' B'
F2 R2 U' L' D' R' B'
F2 R2 U' L' D2 R' B'
F2 R2 U' R L' B' R2
F2 R2 U' R' L' D B'
F2 R2 U' R' L' D' B'
F2 R2 U' R' L' D2 B'
F2 R2 U' R' L' B' D
F2 R2 U' R' L' B' D'
F2 R2 U' R' L' B' D2
F2 R2 U' R' D L' B'
F2 R2 U' R' D' L' B'
F2 R2 U' R' D2 L' B'
F2 R2 U' R' B L' B'
F2 R2 U' R' B' L' B'
F2 R2 U' R' B2 L' B'
F2 R2 U' R2 L' B' R
F2 R2 U' D L' R' B'
F2 R2 U' D R' L' B'
F2 R2 U' D' L' R' B'
F2 R2 U' D' R' L' B'
F2 R2 U' D2 L' R' B'
F2 R2 U' D2 R' L' B'
F2 R2 U' B L' B' R'
U' R2 U2 L' R' F' U2
U' R2 U2 R' L' F' U2
F2 R2 D U' L' R' B'
F2 R2 D U' R' L' B'
F2 R2 D' U' L' R' B'
F2 R2 D' U' R' L' B'
F2 R2 D2 U' L' R' B'
F2 R2 D2 U' R' L' B'
U R2 D2 L' R' F U2
U R2 D2 L' F R' U2
U R2 D2 R' L' F U2
L D L' F2 U' L' B'
F' R2 F' U' L' R B'
F' R2 F' U' L' B' R
F' R2 F' U' R L' B'
F R2 F U' L' R B'
F R2 F U' L' B' R
F R2 F U' R L' B'
U R2 F2 R' U2 B R2
R2 D U L' R' F' U2
R2 D U R' L' F' U2
F2 U L R B L2 F
D' U L' R U2 D B
D' U L' R U2 D' B
D' U L' R U2 D2 B
D' U L' R U2 B D
D' U L' R U2 B D'
D' U L' R U2 B D2
D' U L' R D U2 B
D' U L' R D' U2 B
D' U L' R D2 U2 B
D' U L' R F U2 B
D' U L' R F' U2 B
D2 U L' R U2 D B
D2 U L' R U2 D' B
D2 U L' R U2 D2 B
D2 U L' R U2 B D
D2 U L' R U2 B D'
D2 U L' R U2 B D2
D' U L' R F2 U2 B
D2 U L' R D U2 B
D2 U L' R D' U2 B
D2 U L' R D2 U2 B
D2 U L' R F U2 B
D2 U L' R F' U2 B
D2 U L' R F2 U2 B
D' U L' R' F' R2 U2
B' U L' R U' R2 U'
B' U L' R U2 D B2
B' U L' R D U2 B2
D2 U L' R' F' R2 U2
B' U L' R D' F2 U2
D' U L' D R U2 B
D2 U L' D R U2 B
D' U L' D' R U2 B
D2 U L' D' R U2 B
D' U L' D2 R U2 B
D2 U L' D2 R U2 B
D' U L' F2 U2 L' B'
D2 U L' F2 U2 L' B'
B2 U L' D' R F' U2
B U L' R U L2 U
B U L' R U2 D' B2
B U L' R D F2 U2
B U L' R D' U2 B2
D U L' R U2 D B
D U L' R U2 D' B
D U L' R U2 D2 B
D U L' R U2 B D
D U L' R U2 B D'
D U L' R U2 B D2
D U L' R D U2 B
D U L' R D' U2 B
D U L' R D2 U2 B
D U L' R F U2 B
D U L' R F' U2 B
D U L' R F2 U2 B
D U L' R' F' R2 U2
B U L' D R F2 U2
D U L' D R U2 B
B U L' D F2 U2 L'
U D L' R U2 D B
U D L' R U2 D' B
U D L' R U2 D2 B
U D L' R U2 B D
U D L' R U2 B D'
U D L' R U2 B D2
U D L' R D U2 B
U D L' R D' U2 B
U D L' R D2 U2 B
U D L' R F U2 B
B U L' D' R U2 B2
D U L' D' R U2 B
U D L' R F' U2 B
U D L' R F2 U2 B
U D L' R' F' R2 U2
D U L' D2 R U2 B
D U L' F2 U2 L' B'
U D L' D R U2 B
U D L' D' R U2 B
U D L' D2 R U2 B
D' U R L' U2 D B
D' U R L' U2 D' B
D' U R L' U2 D2 B
D' U R L' U2 B D
D' U R L' U2 B D'
D' U R L' U2 B D2
D' U R L' D U2 B
D' U R L' D' U2 B
D' U R L' D2 U2 B
D' U R L' F U2 B
D' U R L' F' U2 B
D' U R L' F2 U2 B
D2 U R L' U2 D B
D2 U R L' U2 D' B
D2 U R L' U2 D2 B
D2 U R L' U2 B D
D2 U R L' U2 B D'
D2 U R L' U2 B D2
D2 U R L' D U2 B
D2 U R L' D' U2 B
D2 U R L' D2 U2 B
D2 U R L' F U2 B
U D L' F2 U2 L' B'
D2 U R L' F' U2 B
D2 U R L' F2 U2 B
B' U R L' U' R2 U'
B' U R L' U2 D B2
B' U R L' D U2 B2
B' U R L' D' F2 U2
D' U R D L' U2 B
D2 U R D L' U2 B
D' U R D' L' U2 B
F2 U R L B L2 F
B' U R D L' U2 B2
D2 U R D' L' U2 B
D' U R D2 L' U2 B
B' U R D' L' F2 U2
D2 U R D2 L' U2 B
B' U R D' F2 U2 R
B2 U R D L' F U2
D' U R F2 U2 B R
D2 U R F2 U2 B R
B U R L' U L2 U
B U R L' U2 D' B2
B U R L' D F2 U2
B U R L' D' U2 B2
D U R L' U2 D B
D U R L' U2 D' B
D U R L' U2 D2 B
D U R L' U2 B D
D U R L' U2 B D'
D U R L' U2 B D2
D U R L' D U2 B
D U R L' D' U2 B
D U R L' D2 U2 B
D U R L' F U2 B
D U R L' F' U2 B
D U R L' F2 U2 B
D' U R' L' F' R2 U2
D2 U R' L' F' R2 U2
F2 U R B L2 F L
D U R D L' U2 B
D U R D' L' U2 B
U D R L' U2 D B
U D R L' U2 D' B
U D R L' U2 D2 B
U D R L' U2 B D
U D R L' U2 B D'
U D R L' U2 B D2
U D R L' D U2 B
U D R L' D' U2 B
U D R L' D2 U2 B
U D R L' F U2 B
U D R L' F' U2 B
D U R D2 L' U2 B
U D R L' F2 U2 B
D U R F2 U2 B R
F2 U R' U2 L' R2 B
F2 U R' U2 R2 L' B
F2 U R' U2 R2 B L'
U D R D L' U2 B
U D R D' L' U2 B
U D R D2 L' U2 B
D U R' L' F' R2 U2
U D R F2 U2 B R
U D R' L' F' R2 U2
F2 U R2 U2 L' R' B
F2 U R2 U2 R' L' B
F2 U R2 U2 R' B L'
B2 U D L' R F U2
B2 U D R L' F U2
B2 U D' L' R F' U2
B2 U D' R L' F' U2
U' D F2 L' R F2 B'
U' D F2 L' R B' F2
U' D F2 L' B' R F2
U' D F2 R L' F2 B'
U' D F2 R L' B' F2
D' U F2 U2 L' R B'
D' U F2 U2 L' B' R
D' U F2 U2 R L' B'
D2 U F2 U2 L' R B'
D2 U F2 U2 L' B' R
D2 U F2 U2 R L' B'
D U F2 U2 L' R B'
D U F2 U2 L' B' R
D U F2 U2 R L' B'
U D F2 U2 L' R B'
U D F2 U2 L' B' R
U D F2 U2 R L' B'
F2 U F2 L' R U2 B
F2 U F2 R L' U2 B
R2 D' U L' R' F' U2
R2 D' U R' L' F' U2
U D' L' R U2 D B
U D' L' R U2 D' B
U D' L' R U2 D2 B
U D' L' R U2 B D
U D' L' R U2 B D'
U D' L' R U2 B D2
U D' L' R D U2 B
U D' L' R D' U2 B
U D' L' R D2 U2 B
U D' L' R F U2 B
U D' L' R F' U2 B
U D' L' R F2 U2 B
U D' L' R' F' R2 U2
U D' L' D R U2 B
U D' L' D' R U2 B
U D' L' D2 R U2 B
F2 U' L R B L2 B'
F2 U' L R B' L2 B'
F2 U' L R B2 L2 B'
U D' L' F2 U2 L' B'
F2 U' L B L2 R B'
F2 U' L B L2 B' R
F2 U' L B R L2 B'
F2 U' L B' L2 R B'
F2 U' L B' L2 B' R
F2 U' L B' R L2 B'
F2 U' L B2 L2 R B'
F2 U' L B2 L2 B' R
F2 U' L B2 R L2 B'
F2 U' L' R D B' D
F2 U' L' R D B' D'
F2 U' L' R D B' D2
F2 U' L' R D' B' D
F2 U' L' R D' B' D'
F2 U' L' R D' B' D2
F2 U' L' R D2 B' D
F2 U' L' R D2 B' D'
F2 U' L' R D2 B' D2
F2 U' L' R B2 D B
F2 U' L' R B2 D' B
F2 U' L' R B2 D2 B
F2 U' L' R' B R2 B2
F2 U' L' R' B' R2 D
F2 U' L' R' B' R2 D'
F2 U' L' R' B' R2 D2
F2 U' L' R2 D R' B'
F2 U' L' R2 D' R' B'
F2 U' L' R2 D2 R' B'
F2 U' L' D R D B'
F2 U' L' D R D' B'
F2 U' L' D R D2 B'
F2 U' L' D R B' D
F2 U' L' D R B' D'
F2 U' L' D R B' D2
F2 U' L' D R' B' R2
F2 U' L' D B R B2
F2 U' L' D B' R D
F2 U' L' D B' R D'
F2 U' L' D B' R D2
F2 U' L' D B' D R
F2 U' L' D B' D' R
F2 U' L' D B' D2 R
F2 U' L' D' R D B'
F2 U' L' D' R D' B'
F2 U' L' D' R D2 B'
F2 U' L' D' R B' D
F2 U' L' D' R B' D'
F2 U' L' D' R B' D2
F2 U' L' D' R' B' R2
F2 U' L' D' B R B2
F2 U' L' D' B' R D
F2 U' L' D' B' R D'
F2 U' L' D' B' R D2
F2 U' L' D' B' D R
F2 U' L' D' B' D' R
F2 U' L' D' B' D2 R
F2 U' L' D2 R D B'
F2 U' L' D2 R D' B'
F2 U' L' D2 R D2 B'
F2 U' L' D2 R B' D
F2 U' L' D2 R B' D'
F2 U' L' D2 R B' D2
U D' R L' U2 D B
U D' R L' U2 D' B
U D' R L' U2 D2 B
U D' R L' U2 B D
U D' R L' U2 B D'
U D' R L' U2 B D2
F2 U' L' D2 R' B' R2
U D' R L' D U2 B
U D' R L' D' U2 B
U D' R L' D2 U2 B
U D' R L' F U2 B
U D' R L' F' U2 B
U D' R L' F2 U2 B
F2 U' L' D2 B R B2
F2 U' L' D2 B' R D
F2 U' L' D2 B' R D'
F2 U' L' D2 B' R D2
F2 U' L' D2 B' D R
