B2 L R2 U' B
B2 L U F' U2
B2 R2 L U' B
B2 L R2 U' D B
B2 L R2 U' D' B
B2 L R2 U' D2 B
B2 L R2 U' B D
B2 L R2 U' B D'
B2 L R2 U' B D2
B2 L R2 D U' B
B2 L R2 D' U' B
B2 L R2 D2 U' B
B2 L U D F' U2
B2 L U D' F' U2
B2 L U D2 F' U2
B2 L U F' U2 D
B2 L U F' U2 D'
B2 L U F' U2 D2
B2 L U F' D U2
B2 L U F' D' U2
B2 L U F' D2 U2
B2 L U' R2 B R2
B2 L D R2 U' B
B2 L D U F' U2
B2 L D' R2 U' B
B2 L D' U F' U2
B2 L D2 R2 U' B
B2 L D2 U F' U2
B2 R' D2 L U' B'
B2 R2 L U' D B
B2 R2 L U' D' B
B2 R2 L U' D2 B
B2 R2 L U' B D
B2 R2 L U' B D'
B2 R2 L U' B D2
B2 R2 L D U' B
B2 R2 L D' U' B
B2 R2 L D2 U' B
B2 R2 D L U' B
B2 R2 D' L U' B
B2 R2 D2 L U' B
B' R2 B' L U' B2
B2 U F' U' L U'
B2 U F' U' L U'
F' U' F B2 L U'
F' U' B2 F L U'
B2 D L R2 U' B
B2 D L U F' U2
B2 D R2 L U' B
B2 D' L R2 U' B
B2 D' L U F' U2
U F' U' B2 L U'
B2 D' R2 L U' B
B2 D2 L R2 U' B
B2 D2 L U F' U2
B2 D2 R2 L U' B
L' B2 L R2 U' B
L' B2 L U F' U2
L2 B2 L R2 U' B
L2 B2 L U F' U2
L B2 L R2 U' B
L B2 L U F' U2
L' B2 R2 L U' B
L2 B2 R2 L U' B
L B2 R2 L U' B
R2 B2 U2 R U B'
B2 L D2 U F' D U2
B2 L D2 U F' D' U2
B2 L D2 U F' D2 U2
B2 L D2 U' R2 B R2
B2 L F D F' R2 U'
B2 L F D2 F' U' B2
F2 L F2 B2 L U' B'
R2 L B2 U2 R U B'
B L B L R2 U' B
B L B L U F' U2
B2 L B R2 B' U' B2
B L B R2 L U' B
F2 L B2 L F2 U' B'
B2 L B2 R2 B2 U' B'
F2 L B2 F2 L U' B'
B2 L' R2 U' D F2 B
B2 L' R2 U' D B F2
B2 L' R2 U' B D F2
B2 L' R2 D U' F2 B
B2 L' R2 D U' B F2
B2 L' U D F' U2 F'
B2 L' U D' F' B2 U2
B2 L' U D' B2 F' U2
B2 L' U F' U' L2 U'
B2 L' U F' U2 D F2
B2 L' U F' D U2 F2
B2 L' U F' D' B2 U2
B2 L' U2 D2 R2 U B
B2 L' D R2 U' F2 B
B2 L' D R2 U' B F2
B2 L' D U F' U2 F'
B2 L' D' U F' B2 U2
B2 L' D' U B2 F' U2
B2 L' D2 U2 R2 U B
R2 L' B2 U2 R U B'
B2 L' F2 L2 F2 U' B'
B L' B L R2 U' B
B L' B L U F' U2
B L' B R2 L U' B
B2 L2 R2 D L' U' B
B2 L2 R2 D' L' U' B
B2 L2 R2 D2 L' U' B
B2 L2 D L' R2 U' B
B2 L2 D L' U F' U2
B2 L2 D R2 L' U' B
L' R2 B2 U2 R U B'
B2 L2 D' L' R2 U' B
B2 L2 D' L' U F' U2
L2 R2 B2 U2 R U B'
R2 L2 B2 U2 R U B'
L R2 B2 U2 R U B'
B2 L2 D' R2 L' U' B
B2 L2 D2 L' R2 U' B
B2 L2 D2 L' U F' U2
B2 L2 D2 R2 L' U' B
F2 L2 F2 B2 L U' B
B L2 B L R2 U' B
B L2 B L U F' U2
B L2 B R2 L U' B
F2 L2 B2 L F2 U' B
F2 L2 B2 F2 L U' B
B2 R L U2 L' U B'
B2 R L D R U' B
B2 R L D' R U' B
B2 R L D2 R U' B
L' U F' U' B2 L U'
L2 U F' U' B2 L U'
L U F' U' B2 L U'
B2 R D L R U' B
B2 R D R L U' B
B2 R D' L R U' B
B2 R D' R L U' B
B2 R D2 L R U' B
B2 R D2 R L U' B
B' R B' L R U' B
B' R B' R L U' B
B2 R' L U' R' B R
F2 R' U D L2 R2 B'
F2 R' U D L2 B' R2
F2 R' U D R2 L2 B'
D' R' U' R' U2 B R
U2 R' U2 R' B2 U' B'
F' R' U2 F B2 U' B2
F' R' U2 B2 F U' B2
U2 R' U2 B2 R' U' B
F2 R' D U L2 R2 B'
F2 R' D U L2 B' R2
F2 R' D U R2 L2 B'
B2 R' D2 L R U' B'
B2 R' D2 L R' U' B'
B2 R' D2 L R2 U' B'
B2 R' D2 L U' D B'
B2 R' D2 L U' D' B'
B2 R' D2 L U' D2 B'
B2 R' D2 L U' B' D
B2 R' D2 L U' B' D'
B2 R' D2 L U' B' D2
B2 R' D2 L D U' B'
B2 R' D2 L D' U' B'
B2 R' D2 L D2 U' B'
U2 R' D2 L F2 U B'
B2 R' D2 R L U' B'
B2 R' D2 R' L U' B'
B2 R' D2 R2 L U' B'
U2 R' D2 F2 L U B'
B' R' B' L R' U' B
B' R' B' R' L U' B
B' R' B' D2 L U' B'
B2 R2 L U F U2 B
B2 R2 L U F' U2 B
B2 R2 L U F2 U2 B
B2 R2 L U' L B L'
B2 R2 L U' L2 B L2
B2 R2 L U' D B D
B2 R2 L U' D B D'
B2 R2 L U' D B D2
B2 R2 L U' D' B D
B2 R2 L U' D' B D'
B2 R2 L U' D' B D2
B2 R2 L U' D2 B D
B2 R2 L U' D2 B D'
B2 R2 L U' D2 B D2
B2 R2 L U' B2 D B'
B2 R2 L U' B2 D' B'
B2 R2 L U' B2 D2 B'
B2 R2 L U2 L U B
B2 R2 L U2 L' U B
B2 R2 L U2 L2 U B
B2 R2 L D U' B D
B2 R2 L D U' B D'
B2 R2 L D U' B D2
B2 R2 L D' U' B D
B2 R2 L D' U' B D'
B2 R2 L D' U' B D2
B2 R2 L D2 U' B D
B2 R2 L D2 U' B D'
B2 R2 L D2 U' B D2
B2 R2 L' U' D F2 B
B2 R2 L' U' D B F2
B2 R2 L' U' B D F2
B2 R2 L' D U' F2 B
B2 R2 L' D U' B F2
B2 R2 L2 D L' U' B
B2 R2 L2 D' L' U' B
B2 R2 L2 D2 L' U' B
B2 R2 D L U' D B
B2 R2 D L U' D' B
B2 R2 D L U' D2 B
B2 R2 D L U' B D
B2 R2 D L U' B D'
B2 R2 D L U' B D2
B2 R2 D L D U' B
B2 R2 D L D' U' B
B2 R2 D L D2 U' B
B2 R2 D' L U' D B
B2 R2 D' L U' D' B
B2 R2 D' L U' D2 B
B2 R2 D' L U' B D
B2 R2 D' L U' B D'
B2 R2 D' L U' B D2
B2 R2 D' L D U' B
B2 R2 D' L D' U' B
B2 R2 D' L D2 U' B
B2 R2 D2 L U' D B
B2 R2 D2 L U' D' B
B2 R2 D2 L U' D2 B
B2 R2 D2 L U' B D
B2 R2 D2 L U' B D'
B2 R2 D2 L U' B D2
B2 R2 D2 L D U' B
B2 R2 D2 L D' U' B
B2 R2 D2 L D2 U' B
B2 R2 F L F' U' B
B2 R2 F2 L F2 U' B
B' R2 B' L R U' B2
B' R2 B' L R' U' B2
B' R2 B' L R2 U' B2
B' R2 B' L U' B2 D
B' R2 B' L U' B2 D'
B' R2 B' L U' B2 D2
B' R2 B' L D' R2 U'
B' R2 B' R L U' B2
B' R2 B' R' L U' B2
B' R2 B' R2 L U' B2
B' R2 B' D' L R2 U'
B' R2 B' D' R2 L U'
F' U R' U2 F B2 U'
F' U R' U2 B2 F U'
B2 U D F' U' L U'
D' U F' R2 U R U
D2 U F' U F' R' U
B2 U D' F' U' L U'
D U F' U R' U L2
B2 U D2 F' U' L U'
U D F' U R' U L2
U2 D F2 R' U L2 B'
B' U F' U' B' L U'
B2 U F' U' L U' D
B2 U F' U' L U' D'
B2 U F' U' L U' D2
B2 U F' U' L D U'
B2 U F' U' L D' U'
B2 U F' U' L D2 U'
B2 U F' U' D L U'
B2 U F' U' D' L U'
B2 U F' U' D2 L U'
B2 U F' D U' L U'
B2 U F' D' U' L U'
B2 U F' D2 U' L U'
B2 U F' B2 U R' U
B U F' U' B L U'
R D' R U' F2 L' B
R D' R U' F2 B L'
R D' R U' B F2 L'
B2 U B2 F' U R' U
F' U' L' B2 L F U'
U2 D' R' U' R' U2 B
U D' F' R2 U R U
F' U' F L B2 L U'
F' U' F L' B2 L U'
F' U' F L2 B2 L U'
F' U' F B2 L U' D
F' U' F B2 L U' D'
F' U' F B2 L U' D2
F' U' F B2 L D U'
F' U' F B2 L D' U'
F' U' F B2 L D2 U'
F' U' F B2 D L U'
F' U' F B2 D' L U'
F' U' F B2 D2 L U'
F' U' F' B2 L F2 U'
F' U' F2 B2 L F' U'
D' U2 R' U' R' U2 B
F' U' B2 D F L U'
F' U' B2 D' F L U'
F' U' B2 D2 F L U'
F' U' B2 F L U' D
F' U' B2 F L U' D'
F' U' B2 F L U' D2
F' U' B2 F L D U'
F' U' B2 F L D' U'
F' U' B2 F L D2 U'
F' U' B2 F D L U'
F' U' B2 F D' L U'
F' U' B2 F D2 L U'
F' U' B2 F' L F2 U'
F' U' B2 F2 L F' U'
B2 U2 L U' F' U2 F
B2 U2 L' D2 R2 U B
D2 U2 F2 L2 R' U B'
D2 U2 F2 R' L2 U B'
D2 U2 F2 R' U' F U2
U2 D2 F2 L2 R' U B'
U2 D2 F2 R' L2 U B'
U2 D2 F2 R' U' F U2
U D2 F' U F' R' U
D U2 F2 R' U L2 B'
B2 U2 R2 U2 L U' B
F' U2 F B2 L U' B2
U2 F R' D2 F2 U B2
F' U2 B2 F L U' B2
B2 D L R2 U' D B
B2 D L R2 U' D' B
B2 D L R2 U' D2 B
B2 D L R2 U' B D
B2 D L R2 U' B D'
B2 D L R2 U' B D2
B2 D L R2 D U' B
B2 D L R2 D' U' B
B2 D L R2 D2 U' B
B2 D L U D F' U2
B2 D L U D' F' U2
B2 D L U D2 F' U2
B2 D L U F' U2 D
B2 D L U F' U2 D'
B2 D L U F' U2 D2
B2 D L U F' D U2
B2 D L U F' D' U2
B2 D L U F' D2 U2
B2 D L U' R2 B R2
B2 D L D R2 U' B
B2 D L D U F' U2
B2 D L D' R2 U' B
B2 D L D' U F' U2
B2 D L D2 R2 U' B
B2 D L D2 U F' U2
U2 F D2 R' F2 U B2
F2 D R' U L2 R' B'
F2 D R' U R' L2 B'
B2 D R' D2 L U' B'
U2 F D2 F2 R' U B2
B2 D R2 L U' D B
B2 D R2 L U' D' B
B2 D R2 L U' D2 B
B2 D R2 L U' B D
B2 D R2 L U' B D'
B2 D R2 L U' B D2
B2 D R2 L D U' B
B2 D R2 L D' U' B
B2 D R2 L D2 U' B
B2 D R2 D L U' B
B2 D R2 D' L U' B
B2 D R2 D2 L U' B
B2 D U F' U' L U'
U2 F' R' U2 B2 U' B2
U F' R D B2 U2 L2
U F' R D' R2 U2 F2
B D B L R2 U' B
B D B L U F' U2
B D B R2 L U' B
L' F' U' F B2 L U'
B2 D' L R2 U' D B
B2 D' L R2 U' D' B
B2 D' L R2 U' D2 B
B2 D' L R2 U' B D
B2 D' L R2 U' B D'
B2 D' L R2 U' B D2
B2 D' L R2 D U' B
B2 D' L R2 D' U' B
B2 D' L R2 D2 U' B
B2 D' L U D F' U2
B2 D' L U D' F' U2
B2 D' L U D2 F' U2
B2 D' L U F' U2 D
B2 D' L U F' U2 D'
B2 D' L U F' U2 D2
B2 D' L U F' D U2
B2 D' L U F' D' U2
B2 D' L U F' D2 U2
L' F' U' B2 F L U'
U F' U R' U D L2
U F' U R' U2 B2 U'
U F' U R' D U L2
U F' U R' D2 F2 U
B2 D' L U' R2 B R2
U F' U D R' U L2
B2 D' L D R2 U' B
B2 D' L D U F' U2
B2 D' L D' R2 U' B
B2 D' L D' U F' U2
L2 F' U' F B2 L U'
U F' U D2 R' F2 U
U F' U D2 F2 R' U
B2 D' L D2 R2 U' B
B2 D' L D2 U F' U2
L2 F' U' B2 F L U'
U F' U' L B2 L U'
U F' U' L' B2 L U'
U F' U' L2 B2 L U'
L F' U' F B2 L U'
U2 F' U2 B2 L U' B2
U F' U' B2 L U' D
U F' U' B2 L U' D'
U F' U' B2 L U' D2
U F' U' B2 L D U'
U F' U' B2 L D' U'
U F' U' B2 L D2 U'
U F' U' B2 D L U'
U F' U' B2 D' L U'
U F' U' B2 D2 L U'
L F' U' B2 F L U'
U F' D U R' U L2
U F' D' R2 U R U
B2 D' R' D2 L U' B'
B2 D' R2 L U' D B
B2 D' R2 L U' D' B
B2 D' R2 L U' D2 B
B2 D' R2 L U' B D
B2 D' R2 L U' B D'
B2 D' R2 L U' B D2
B2 D' R2 L D U' B
B2 D' R2 L D' U' B
B2 D' R2 L D2 U' B
B2 D' R2 D L U' B
U F' D2 U R' F2 U
U F' D2 U F2 R' U
B2 D' R2 D' L U' B
B2 D' R2 D2 L U' B
B2 D' U F' U' L U'
U F' B' U' B' L U'
U F' B2 U' L U' L'
R2 F2 L' F2 B2 U' B'
R2 F2 L' B2 F2 U' B'
U2 F2 R' U D L2 B'
U2 F2 R' D U L2 B'
B D' B L R2 U' B
B D' B L U F' U2
B D' B R2 L U' B
B2 D2 L R2 U' D B
B2 D2 L R2 U' D' B
B2 D2 L R2 U' D2 B
B2 D2 L R2 U' B D
B2 D2 L R2 U' B D'
B2 D2 L R2 U' B D2
B2 D2 L R2 D U' B
B2 D2 L R2 D' U' B
B2 D2 L R2 D2 U' B
B2 D2 L U D F' U2
B2 D2 L U D' F' U2
B2 D2 L U D2 F' U2
B2 D2 L U F' U2 D
B2 D2 L U F' U2 D'
B2 D2 L U F' U2 D2
B2 D2 L U F' D U2
B2 D2 L U F' D' U2
B2 D2 L U F' D2 U2
B2 D2 L U' R2 B R2
B2 D2 L D R2 U' B
B2 D2 L D U F' U2
B2 D2 L D' R2 U' B
B2 D2 L D' U F' U2
B2 D2 L D2 R2 U' B
B2 D2 L D2 U F' U2
U2 F2 D R' U L2 B'
B2 D2 R' D2 L U' B'
B2 D2 R2 L U' D B
B2 D2 R2 L U' D' B
B2 D2 R2 L U' D2 B
B2 D2 R2 L U' B D
B2 D2 R2 L U' B D'
B2 D2 R2 L U' B D2
B2 D2 R2 L D U' B
B2 D2 R2 L D' U' B
B2 D2 R2 L D2 U' B
B2 D2 R2 D L U' B
B2 D2 R2 D' L U' B
B2 D2 R2 D2 L U' B
B2 D2 U F' U' L U'
B D2 B L R2 U' B
B D2 B L U F' U2
B D2 B R2 L U' B
B2 F L D F' R2 U'
B2 F L D2 F' U' B2
B2 F L F' R2 U' B
B2 F L F' U F' U2
B2 F D L F' R2 U'
B2 F D F' L R2 U'
B2 F D F' R2 L U'
B2 F D2 L F' U' B2
B2 F D2 F' L U' B2
L' B' R2 B' L U' B2
L2 B' R2 B' L U' B2
L B' R2 B' L U' B2
B' F' U' F B' L U'
B' F' U' B' F L U'
F' B' U' F B' L U'
B2 F' U' F L U' L'
F' B' U' B' F L U'
U' B2 L R2 U' B R2
D' B2 L U R2 U2 B
D' B2 L U F' R2 U2
L' B2 L R2 U' D B
L' B2 L R2 U' D' B
L' B2 L R2 U' D2 B
L' B2 L R2 U' B D
L' B2 L R2 U' B D'
L' B2 L R2 U' B D2
L' B2 L R2 D U' B
L' B2 L R2 D' U' B
L' B2 L R2 D2 U' B
L' B2 L U D F' U2
L' B2 L U D' F' U2
L' B2 L U D2 F' U2
L' B2 L U F' U2 D
L' B2 L U F' U2 D'
L' B2 L U F' U2 D2
L' B2 L U F' D U2
L' B2 L U F' D' U2
L' B2 L U F' D2 U2
L' B2 L U' R2 B R2
L' B2 L D R2 U' B
L' B2 L D U F' U2
L' B2 L D' R2 U' B
L' B2 L D' U F' U2
L' B2 L D2 R2 U' B
L' B2 L D2 U F' U2
L2 B2 L R2 U' D B
L2 B2 L R2 U' D' B
L2 B2 L R2 U' D2 B
L2 B2 L R2 U' B D
L2 B2 L R2 U' B D'
L2 B2 L R2 U' B D2
L2 B2 L R2 D U' B
L2 B2 L R2 D' U' B
L2 B2 L R2 D2 U' B
L2 B2 L U D F' U2
L2 B2 L U D' F' U2
L2 B2 L U D2 F' U2
L2 B2 L U F' U2 D
L2 B2 L U F' U2 D'
L2 B2 L U F' U2 D2
L2 B2 L U F' D U2
L2 B2 L U F' D' U2
L2 B2 L U F' D2 U2
L2 B2 L U' R2 B R2
U2 B2 L U' D' R2 B
U B' F' U' B' L U'
L2 B2 L D R2 U' B
L2 B2 L D U F' U2
L2 B2 L D' R2 U' B
L2 B2 L D' U F' U2
U2 B2 L D' U' R2 B
L2 B2 L D2 R2 U' B
L2 B2 L D2 U F' U2
D B2 L R2 U' L B
R2 B2 L U2 R U B
D B2 L U F' U2 L
L B2 L R2 U' D B
L B2 L R2 U' D' B
L B2 L R2 U' D2 B
L B2 L R2 U' B D
L B2 L R2 U' B D'
L B2 L R2 U' B D2
L B2 L R2 D U' B
L B2 L R2 D' U' B
L B2 L R2 D2 U' B
L B2 L U D F' U2
L B2 L U D' F' U2
L B2 L U D2 F' U2
L B2 L U F' U2 D
L B2 L U F' U2 D'
L B2 L U F' U2 D2
L B2 L U F' D U2
L B2 L U F' D' U2
L B2 L U F' D2 U2
U B2 L U L' F' U2
L B2 L U' R2 B R2
L B2 L D R2 U' B
L B2 L D U F' U2
L B2 L D' R2 U' B
L B2 L D' U F' U2
L B2 L D2 R2 U' B
L B2 L D2 U F' U2
U' B2 R2 L U' B R2
L' B2 R' D2 L U' B'
F B2 L D F' R2 U'
F B2 L D2 F' U' B2
L' B2 R2 L U' D B
L' B2 R2 L U' D' B
L' B2 R2 L U' D2 B
L' B2 R2 L U' B D
L' B2 R2 L U' B D'
L' B2 R2 L U' B D2
L' B2 R2 L D U' B
L' B2 R2 L D' U' B
L' B2 R2 L D2 U' B
F B2 L F' R2 U' B
F B2 L F' U F' U2
L2 B2 R' D2 L U' B'
L' B2 R2 D L U' B
L' B2 R2 D' L U' B
L' B2 R2 D2 L U' B
R2 B2 R' U' D' F2 B'
R2 B2 R' U' D' B' F2
R2 B2 R' U' B' D' F2
R2 B2 R' U2 R2 U B'
L2 B2 R2 L U' D B
L2 B2 R2 L U' D' B
L2 B2 R2 L U' D2 B
L2 B2 R2 L U' B D
L2 B2 R2 L U' B D'
L2 B2 R2 L U' B D2
L2 B2 R2 L D U' B
L2 B2 R2 L D' U' B
L2 B2 R2 L D2 U' B
R2 B2 R' D' U' F2 B'
R2 B2 R' D' U' B' F2
L2 B2 R2 D L U' B
L2 B2 R2 D' L U' B
L2 B2 R2 D2 L U' B
D B2 R2 L U' L B
R2 B2 R2 U2 R' U B'
L B2 R' D2 L U' B'
L' B2 U F' U' L U'
L B2 R2 L U' D B
L B2 R2 L U' D' B
L B2 R2 L U' D2 B
L B2 R2 L U' B D
L B2 R2 L U' B D'
L B2 R2 L U' B D2
L B2 R2 L D U' B
L B2 R2 L D' U' B
L B2 R2 L D2 U' B
L2 B2 U F' U' L U'
L B2 R2 D L U' B
L B2 R2 D' L U' B
L B2 R2 D2 L U' B
L B2 U F' U' L U'
L' B2 D L R2 U' B
L' B2 D L U F' U2
R2 B2 U' B' U' R U
L' B2 D R2 L U' B
R2 B2 U2 R U D B'
R2 B2 U2 R U D' B'
R2 B2 U2 R U D2 B'
R2 B2 U2 R U B' D
R2 B2 U2 R U B' D'
R2 B2 U2 R U B' D2
R2 B2 U2 R D U B'
R2 B2 U2 R D' U B'
R2 B2 U2 R D2 U B'
L2 B2 D L R2 U' B
L2 B2 D L U F' U2
R2 B2 U2 D R U B'
R2 B2 U2 D' R U B'
R2 B2 U2 D2 R U B'
L' B2 D' L R2 U' B
L2 B2 D R2 L U' B
L' B2 D' L U F' U2
F' B2 U' F L U' L'
L' B2 D' R2 L U' B
L2 B2 D' L R2 U' B
L2 B2 D' L U F' U2
U2 B2 D' L U' R2 B
R B2 U2 L' R2 U B'
R2 B2 D U2 R U B'
L' B2 D2 L R2 U' B
L' B2 D2 L U F' U2
L2 B2 D' R2 L U' B
R B2 U2 R2 L' U B'
L B2 D L R2 U' B
L B2 D L U F' U2
L' B2 D2 R2 L U' B
L B2 D R2 L U' B
L2 B2 D2 L R2 U' B
L2 B2 D2 L U F' U2
R2 B2 D' U2 R U B'
L2 B2 D2 R2 L U' B
L B2 D' L R2 U' B
L B2 D' L U F' U2
L B2 D' R2 L U' B
R2 B2 D2 U2 R U B'
R B2 D' R U' F2 B
R B2 D' R U' B F2
L B2 D2 L R2 U' B
L B2 D2 L U F' U2
L B2 D2 R2 L U' B
F B2 D L F' R2 U'
R B2 D2 L2 R U' B
R B2 D2 R L2 U' B
F B2 D F' L R2 U'
F B2 D F' R2 L U'
F B2 D2 L F' U' B2
U B2 F' U' L U' L'
F B2 D2 F' L U' B2
