F2 U' L' U' R'
F2 L U' L2 U' R'
F2 L U2 R' D F2
F2 L U2 D R' F2
F2 L U2 D F2 R'
F2 L D U2 R' F2
F2 L D U2 F2 R'
F2 L D' B2 L U2
B2 L F2 U' L' U'
F2 L2 U' L U' R'
U R U R2 D2 B2
D2 R U B2 L R2
D2 R U B2 R2 L
U R U' F2 U2 R2
R U' R' F2 U2 R'
R U' F2 R' U2 R'
D' R' D' F2 L' B2
D' R' D' F2 B2 L'
D' R' D' B2 F2 L'
U2 R' D' F2 D' B2
U2 R' D' F2 D' B2
U2 R' D2 B2 D F2
D2 R' B2 D' F2 L'
D' U L2 R U R2
D2 U R U R2 B2
D2 U R U B2 R2
D' U R L2 U R2
U D' L2 R U R2
F2 U' L' U' R' D
F2 U' L' U' R' D'
F2 U' L' U' R' D2
F2 U' L' U' R' D2
F2 U' L' U' D R'
F2 U' L' U' D' R'
F2 U' L' U' D2 R'
F2 U' L' D U' R'
F2 U' L' D' U' R'
F2 U' L' D2 U' R'
U D' R L2 U R2
F2 U' L' F U' R'
F2 U' L' F' U' R'
F2 U' L' F2 U' R'
U2 D' R' D' F2 B2
U2 D' R' D' B2 F2
R' D' F2 D' L' B2
R' D' F2 D' B2 L'
F2 U' D L' U' R'
F2 U' D' L' U' R'
F2 U' D2 L' U' R'
F2 U' F U' R' F'
U D2 R U R2 B2
U D2 R U B2 R2
D' U2 R' D' F2 B2
D' U2 R' D' B2 F2
D2 U2 R' B2 D' F2
U2 D2 R' B2 D' F2
F2 U2 R' U L' U'
R' D2 B2 D F2 L'
F2 U2 F2 R' D' F2
F2 D U' L' U' R'
F2 D' U' L' U' R'
L' F2 U' L' U' R'
L2 F2 U' L' U' R'
L F2 U' L' U' R'
F2 D2 U' L' U' R'
B2 F2 L U' L2 U'
B2 F2 L U2 D F2
F2 B2 L U' L2 U'
B2 F2 L D U2 F2
F2 B2 L U2 D F2
B2 F2 L D' B2 U2
F2 B2 L D U2 F2
F2 B2 L D' B2 U2
R U' R' D2 U2 R' B2
R U' R' F2 L U2 R'
R U' R' F2 L' U2 R'
R U' R' F2 L2 U2 R'
R U' R' F2 U2 R' D
R U' R' F2 U2 R' D'
R U' R' F2 U2 R' D2
R U' R' F2 U2 D R'
R U' R' F2 U2 D' R'
R U' R' F2 U2 D2 R'
R U' R' F2 D U2 R'
R U' R' F2 D' U2 R'
R U' R' F2 D2 U2 R'
U R B U R2 D2 B2
D2 R B' U R2 B' L
U R B U' F2 U2 R2
D2 R B' U B' L R2
D2 R B' U B' R2 L
D2 R B2 L R2 D' F2
D' R B2 L2 U L' R2
D' R B2 L2 U R2 L'
D2 R B2 R2 L D' F2
R' U' D' L2 U F2 L'
D2 R B2 R2 D' L F2
D2 R B2 R2 D' F2 L
U R B' U R2 D2 B2
U R B' U' F2 U2 R2
U R B2 U R2 D2 B2
U R B2 U' F2 U2 R2
D2 R' L B2 D' F2 L'
R U' D2 L2 R' U2 B2
R U' D2 L2 U2 B2 L
R U' D2 R' L2 U2 B2
D2 R' L' B2 D' F2 L'
R U' F R' F U2 R'
D2 R' L2 B2 D' F2 L'
R U' F' R' U2 R' B
U2 R' U D2 L2 U' B2
D2 R' U' R2 U B2 L
R U' F2 L R' U2 R'
R U' F2 L' R' U2 R'
R U' F2 L2 R' U2 R'
R U' F2 R' L U2 R'
R U' F2 R' L' U2 R'
R U' F2 R' L2 U2 R'
R U' F2 R' U2 R' D
R U' F2 R' U2 R' D'
R U' F2 R' U2 R' D2
R U' F2 R' U2 D R'
R U' F2 R' U2 D' R'
R U' F2 R' U2 D2 R'
R U' F2 R' D U2 R'
R U' F2 R' D' U2 R'
R U' F2 R' D2 U2 R'
U2 R' U' R2 U D2 B2
U2 R' U' R2 U' F2 U2
U2 R' U' R2 D' L2 U
U2 R' U' R2 D2 U B2
U2 R' U' D' L2 U F2
R U' F2 D2 L2 R' U2
R U' F2 D2 R' L2 U2
U2 R' U2 F2 U R2 U
U2 R' U2 F2 U2 D' F2
U2 R' U2 F2 D B2 U2
U2 R' U2 F2 D' U2 F2
D' R' D' L F2 L' B2
D' R' D' L F2 B2 L'
D' R' D' L B2 F2 L'
D' R' D' L' F2 L' B2
D' R' D' L' F2 B2 L'
D' R' D' L' B2 F2 L'
D' R' D' L2 F2 L' B2
D' R' D' L2 F2 B2 L'
D' R' D' L2 B2 F2 L'
D2 R' D' F2 L' D B2
D' R' D' F2 L B2 L2
D' R' D' F2 L' B2 D
D' R' D' F2 L' B2 D'
D' R' D' F2 L' B2 D2
D2 R' D' F2 D L' B2
D2 R' D' F2 D B2 L'
D' R' D' F2 B L' B
D' R' D' F2 B2 L' D
D' R' D' F2 B2 L' D'
D' R' D' F2 B2 L' D2
D' R' D' F2 B2 D L'
D' R' D' F2 B2 D' L'
D' R' D' F2 B2 D2 L'
D' R' D' B F2 L' B
D' R' D' B2 L F2 L'
U2 R' D' U' L2 U F2
D' R' D' B2 L' F2 L'
D' R' D' B2 L2 F2 L'
D' R' D' B2 F2 L' D
D' R' D' B2 F2 L' D'
D' R' D' B2 F2 L' D2
D' R' D' B2 F2 D L'
D' R' D' B2 F2 D' L'
D' R' D' B2 F2 D2 L'
U2 R' D' F D' F B2
U2 R' D' F D' B2 F
U2 R' D' F' D' F' B2
U2 R' D' F' D' B2 F'
U2 R' D' F2 U' L2 U
U2 R' D' F2 D' B2 D
U2 R' D' F2 D' B2 D'
U2 R' D' F2 D' B2 D2
U2 R' D' F2 B D' B2
U2 R' D' F2 B' D' B2
U2 R' D' F2 B2 D' B2
U2 R' D' B F2 D' B2
U2 R' D' B' F2 D' B2
U2 R' D' B2 F2 D' B2
U R' D' F2 D' L2 B2
U R' D' F2 D' B2 L2
U2 R' D2 U L2 U' B2
U' R' D2 B2 D L2 F2
U' R' D2 B2 D F2 L2
U2 R' D2 F B2 D F2
U2 R' D2 F' B2 D F2
U2 R' D2 F2 B2 D F2
U2 R' D2 B D F2 B
U2 R' D2 B D B F2
U2 R' D2 B' D F2 B'
U2 R' D2 B' D B' F2
U2 R' D2 B2 U L2 U'
U2 R' D2 B2 D F2 D
U2 R' D2 B2 D F2 D'
U2 R' D2 B2 D F2 D2
U2 R' D2 B2 F D F2
U2 R' D2 B2 F' D F2
U2 R' D2 B2 F2 D F2
U2 R' F' U' R2 U B
D2 R' F2 L' B2 D' F2
R' U2 R F2 U' L' U'
D' R' F2 D' L' F2 B2
D' R' F2 D' L' B2 F2
D' R' F2 D' B2 L' F2
D2 R' F2 B2 L' D' F2
D2 R' F2 B2 D' L' F2
L' U2 R' D' F2 D' B2
L' U2 R' D2 B2 D F2
U2 R' F2 D' F2 D2 B2
L2 U2 R' D' F2 D' B2
L2 U2 R' D2 B2 D F2
D2 R' B D' F2 L' B
D2 R' B D' F2 B L'
D2 R' B D' B F2 L'
D' R' B D' F2 L' B2
D' R' B D' F2 B2 L'
D' R' B D' B2 F2 L'
L U2 R' D' F2 D' B2
L U2 R' D2 B2 D F2
U2 R' B D' F2 D' B2
U2 R' B D2 B2 D F2
D2 R' B' D' F2 B' L'
D2 R' B' D' B' F2 L'
D' R' B' D' F2 L' B2
D' R' B' D' F2 B2 L'
D' R' B' D' B2 F2 L'
D2 R' B2 L D' F2 L'
D2 R' B2 L' D' F2 L'
D2 R' B2 L2 D' F2 L'
U2 R' B' D' F2 D' B2
U2 R' B' D2 B2 D F2
D2 R' B2 D' L F2 L'
D2 R' B2 D' L' F2 L'
D2 R' B2 D' L2 F2 L'
D2 R' B2 D' F2 L' D
D2 R' B2 D' F2 L' D'
D2 R' B2 D' F2 L' D2
D2 R' B2 D' F2 D L'
D2 R' B2 D' F2 D' L'
D2 R' B2 D' F2 D2 L'
L' U2 D' R' D' F2 B2
L' U2 D' R' D' B2 F2
D' R' B2 D' F2 L' B2
D' R' B2 D' F2 B2 L'
D' R' B2 D' B2 F2 L'
D2 R' B2 F2 L' D' F2
D2 R' B2 F2 D' L' F2
L2 U2 D' R' D' F2 B2
L2 U2 D' R' D' B2 F2
U2 R' B2 D' F2 D' B2
U2 R' B2 D2 B2 D F2
L' U2 D2 R' B2 D' F2
L U2 D' R' D' F2 B2
L U2 D' R' D' B2 F2
L2 U2 D2 R' B2 D' F2
L U2 D2 R' B2 D' F2
R' U2 F2 U R2 U L'
R' U2 F2 U2 L' D' F2
R' U2 F2 U2 D' L' F2
R' U2 F2 D B2 U2 L'
R' U2 F2 D' U2 L' F2
D R2 U' R D' F2 L'
U2 R2 D' R D' F2 B2
U2 R2 D' R D' B2 F2
D R2 D B2 L U' R
U R2 D' L2 R' U R2
U R2 D' R' L2 U R2
U2 R2 D2 R B2 D' F2
U R2 D2 R' U R2 B2
U R2 D2 R' U B2 R2
D2 U L R U R2 B2
D2 U L R U B2 R2
D2 U L' R U R2 B2
D2 U L' R U B2 R2
D' U L2 R U R2 D
D' U L2 R U R2 D'
D' U L2 R U R2 D2
D' U L2 R D B2 U
D2 U L2 R U R2 B2
D2 U L2 R U B2 R2
D' U L2 R B U R2
D' U L2 R B' U R2
D' U L2 R B2 U R2
D' U L2 U R' D' F2
D' U L2 D R U R2
D' U L2 D' R U R2
D' U L2 D2 R U R2
D2 U R L U R2 B2
D2 U R L U B2 R2
D2 U R L' U R2 B2
D2 U R L' U B2 R2
D' U R L2 U R2 D
D' U R L2 U R2 D'
D' U R L2 U R2 D2
D' U R L2 D B2 U
D' U R L2 B U R2
D' U R L2 B' U R2
D2 U R L2 U R2 B2
D' U R L2 B2 U R2
D2 U R L2 U B2 R2
D' U R U R2 D' B2
D2 U R U R B2 R
D2 U R U R2 B2 D
D2 U R U R2 B2 D'
D2 U R U R2 B2 D2
D2 U R U B' R2 B'
D2 U R U B2 R2 D
D2 U R U B2 R2 D'
D2 U R U B2 R2 D2
D2 U R D L2 B2 U
D2 U R D B2 L2 U
B2 U R U D2 B2 R'
B2 U R U' L F2 U2
B2 U R U' F2 L U2
F2 U R U2 L' U' R2
D' U R B L2 U R2
D' U R B' L2 U R2
D2 U R B U B R2
B2 U R D2 U B2 R'
D' U R B2 L2 U R2
D2 U R B' U R2 B'
D2 U R B' U B' R2
D U R U2 R U' R
B U R D' L2 B U
B U R D' B L2 U
B U R D2 B U B
U D R U2 R U' R
B U R B U D2 B2
B U R B U' F2 U2
B U R B D' L2 U
B U R B D2 U B2
U' D R2 U' R D' F2
U' D R2 U2 R' U R2
F2 U R2 U2 L' U' R
R2 D B2 L R2 U' R'
R2 D B2 R2 L U' R'
R' D' L F2 L' D' B2
B U D' L2 R B U
R D B2 U L D B2
B U D' R L2 B U
R D B2 U D L B2
B U D' R B L2 U
U' D F2 L' R2 U' R
R D B2 U2 R2 U' L
B2 U D2 R U B2 R'
R D B2 D U L B2
U' D F2 R2 L' U' R
R D B2 D2 L2 U L'
B U D2 R B U B
R2 D' L2 R' F2 U R2
F2 U F2 R F2 U R2
R D' L2 D2 B2 U L
R2 D' R D' L2 F2 B2
R2 D' R D' L2 B2 F2
R2 D' R D' F2 L2 B2
R2 D' R D' F2 B2 L2
R2 D' R D' B2 L2 F2
R2 D' R D' B2 F2 L2
L' D' R' D' F2 L' B2
L' D' R' D' F2 B2 L'
L' D' R' D' B2 F2 L'
R2 D' R' L2 F2 U R2
L2 D' R' D' F2 L' B2
L2 D' R' D' F2 B2 L'
L2 D' R' D' B2 F2 L'
R2 D' R' F2 L2 U R2
L D' R' D' F2 L' B2
L D' R' D' F2 B2 L'
L D' R' D' B2 F2 L'
L' D' U L2 R U R2
L' D' U R L2 U R2
L2 D' U L2 R U R2
R' D' U' L2 U F2 L'
L2 D' U R L2 U R2
U2 D' L2 R U L2 R2
U2 D' L2 R U R2 L2
L D' U L2 R U R2
L D' U R L2 U R2
L' D' U2 R' D' F2 B2
L' D' U2 R' D' B2 F2
F2 U' L U' R' D F2
F2 U' L U' D R' F2
F2 U' L U' D F2 R'
F2 U' L D U' R' F2
F2 U' L D U' F2 R'
U D' L2 R U R2 D
U D' L2 R U R2 D'
U D' L2 R U R2 D2
U D' L2 R D B2 U
U D' L2 R B U R2
U D' L2 R B' U R2
U D' L2 R B2 U R2
F2 U' L F L2 U' R'
L2 D' U2 R' D' F2 B2
L2 D' U2 R' D' B2 F2
F2 U' L F' L2 U' R'
U D' L2 U R' D' F2
F2 U' L F2 L2 U' R'
U2 D' R L2 U L2 R2
U2 D' R L2 U R2 L2
U D' L2 D R U R2
U D' L2 D' R U R2
U D' L2 D2 R U R2
F2 U' L' U L U2 R'
F2 U' L' U L' U2 R'
F2 U' L' U L2 U2 R'
F2 U' L' U' R2 D R
F2 U' L' U' R2 D' R
F2 U' L' U' R2 D2 R
F2 U' L' U' D R' D
F2 U' L' U' D R' D'
F2 U' L' U' D R' D2
F2 U' L' U' D' R' D
F2 U' L' U' D' R' D'
F2 U' L' U' D' R' D2
F2 U' L' U' D2 R' D
F2 U' L' U' D2 R' D'
F2 U' L' U' D2 R' D2
F2 U' L' U' F' R' F
F2 U' L' U' F2 R' F2
F2 U' L' D U' R' D
F2 U' L' D U' R' D'
F2 U' L' D U' R' D2
F2 U' L' D F U' R'
F2 U' L' D F' U' R'
F2 U' L' D F2 U' R'
F2 U' L' D' U' R' D
F2 U' L' D' U' R' D'
F2 U' L' D' U' R' D2
F2 U' L' D' F U' R'
F2 U' L' D' F' U' R'
F2 U' L' D' F2 U' R'
L D' U2 R' D' F2 B2
L D' U2 R' D' B2 F2
F2 U' L' D2 U' R' D
F2 U' L' D2 U' R' D'
F2 U' L' D2 U' R' D2
F2 U' L' D2 F U' R'
F2 U' L' D2 F' U' R'
F2 U' L' D2 F2 U' R'
U D' R L2 U R2 D
U D' R L2 U R2 D'
U D' R L2 U R2 D2
U D' R L2 D B2 U
F2 U' L' F U' R' D
F2 U' L' F U' R' D'
F2 U' L' F U' R' D2
F2 U' L' F U' D R'
F2 U' L' F U' D' R'
F2 U' L' F U' D2 R'
U D' R L2 B U R2
U D' R L2 B' U R2
F2 U' L' F D U' R'
U D' R L2 B2 U R2
F2 U' L' F D' U' R'
F2 U' L' F D2 U' R'
U D' R U R2 D' B2
F2 U' L' F' U' R' D
F2 U' L' F' U' R' D'
F2 U' L' F' U' R' D2
F2 U' L' F' U' D R'
F2 U' L' F' U' D' R'
F2 U' L' F' U' D2 R'
F2 U' L' F' D U' R'
F2 U' L' F' D' U' R'
F2 U' L' F' D2 U' R'
F2 U' L' F2 U' R' D
F2 U' L' F2 U' R' D'
F2 U' L' F2 U' R' D2
F2 U' L' F2 U' D R'
F2 U' L' F2 U' D' R'
F2 U' L' F2 U' D2 R'
