U R2 F' L'
U L R2 F' L'
U L' R2 F' L'
U L2 R2 F' L'
U R2 L F' L'
U R2 L' F' L'
U R2 L2 F' L'
U R2 D F' L'
U R2 D' F' L'
U R2 D2 F' L'
U R2 F' L' D
U R2 F' L' D'
U R2 F' L' D2
U R2 F' D L'
U R2 F' D' L'
U R2 F' D2 L'
F U R2 F' L'
F' U R2 F' L'
F2 U R2 F' L'
U F' L' R2 F'
U F' R2 L' F'
U' B U2 L R2
U' B U2 R2 L
U L R2 D2 F' D2 L'
U L R2 F L F2 L'
U L R2 F L' F2 L'
U L R2 F L2 F2 L'
U L R2 F' L2 D L
U L R2 F' L2 D' L
U L R2 F' L2 D2 L
U L R2 F' D L' D
U L R2 F' D L' D'
U L R2 F' D L' D2
U L R2 F' D' L' D
U L R2 F' D' L' D'
U L R2 F' D' L' D2
U L R2 F' D2 L' D
U L R2 F' D2 L' D'
U L R2 F' D2 L' D2
U L R2 F' B' L' B
U L R2 F' B2 L' B2
U L R2 B' F' L' B
U L R2 B2 F' L' B2
U2 L U' R2 F' D' L2
U' L U2 L R2 F' L'
U' L U2 L' R2 F' L'
U' L U2 L2 R2 F' L'
U' L U2 R2 L F' L'
U' L U2 R2 L' F' L'
U' L U2 R2 L2 F' L'
U' L U2 R2 D F' L'
U' L U2 R2 D' F' L'
U' L U2 R2 D2 F' L'
U' L U2 R2 F' L' D
U' L U2 R2 F' L' D'
U' L U2 R2 F' L' D2
U' L U2 R2 F' D L'
U' L U2 R2 F' D' L'
U' L U2 R2 F' D2 L'
U2 L U2 F U R2 F'
U' L U2 F' L' R2 F'
U' L U2 F' R2 L' F'
U L U2 B U2 L R2
U L U2 B U2 R2 L
U' L D2 L2 B U2 L
U' L D2 B L2 U2 L'
U' L F R2 F' B L
U' L F R2 B L F'
U' L F R2 B F' L
U L F' L R2 F' L2
U L F' L' R2 D F'
U L F' L' R2 D' F'
U L F' L' R2 D2 F'
U L F' L' R2 F' D
U L F' L' R2 F' D'
U L F' L' R2 F' D2
U L F' L' F R2 F'
U L F' L' F' R2 F'
U L F' L' F2 R2 F'
U L F' L2 R2 F' L
U L F' R2 L F' L2
U L F' R2 L' D F'
U L F' R2 L' D' F'
U L F' R2 L' D2 F'
U L F' R2 L' F' D
U L F' R2 L' F' D'
U L F' R2 L' F' D2
U L F' R2 L2 F' L
U L F' R2 D L' F'
U L F' R2 D' L' F'
U L F' R2 D2 L' F'
U L F2 R2 F L' F2
U' L B L' U2 L2 R2
U' L B L' U2 R2 L2
U' L B L2 U2 L' R2
U' L B L2 U2 R2 L'
U' L B R U2 L R
U' L B R U2 R L
U' L B R' U2 L R'
U' L B R' U2 R' L
U' L B U2 L R2 D
U' L B U2 L R2 D'
U' L B U2 L R2 D2
U' L B U2 R2 L D
U' L B U2 R2 L D'
U' L B U2 R2 L D2
U' L B U2 R2 D L
U' L B U2 R2 D' L
U' L B U2 R2 D2 L
U' L B D2 L2 U2 L'
U' L B' R' B2 L U2
U' L' R U2 R F' L'
U L' R' D R' F' L'
U L' R' D' R' F' L'
U L' R' D2 R' F' L'
U L' R' F' L' R' F'
U L' R' F' R' L' F'
U L' R2 D L F' L'
U L' R2 D L' F' L'
U L' R2 D L2 F' L'
U L' R2 D F' L' D
U L' R2 D F' L' D'
U L' R2 D F' L' D2
U L' R2 D F' D L'
U L' R2 D F' D' L'
U L' R2 D F' D2 L'
U L' R2 D' L F' L'
U L' R2 D' L' F' L'
U L' R2 D' L2 F' L'
U L' R2 D' F' L' D
U L' R2 D' F' L' D'
U L' R2 D' F' L' D2
U L' R2 D' F' D L'
U L' R2 D' F' D' L'
U L' R2 D' F' D2 L'
U L' R2 D2 L F' L'
U L' R2 D2 L' F' L'
U L' R2 D2 L2 F' L'
U L' R2 D2 F' L' D
U L' R2 D2 F' L' D'
U L' R2 D2 F' L' D2
U L' R2 D2 F' D L'
U L' R2 D2 F' D' L'
U L' R2 D2 F' D2 L'
U L' R2 F L F2 L'
U L' R2 F L' F2 L'
U L' R2 F L2 F2 L'
U L' R2 F' L2 D L
U L' R2 F' L2 D' L
U L' R2 F' L2 D2 L
U L' R2 F' D L' D
U L' R2 F' D L' D'
U L' R2 F' D L' D2
U L' R2 F' D' L' D
U L' R2 F' D' L' D'
U L' R2 F' D' L' D2
U L' R2 F' D2 L' D
U L' R2 F' D2 L' D'
U L' R2 F' D2 L' D2
U L' R2 F' B' L' B
U L' R2 F' B2 L' B2
U L' R2 B' F' L' B
U L' R2 B2 F' L' B2
U' L' U2 L R2 F' L'
U' L' U2 L' R2 F' L'
U' L' U2 L2 R2 F' L'
U' L' U2 R2 L F' L'
U' L' U2 R2 L' F' L'
U' L' U2 R2 L2 F' L'
U' L' U2 R2 D F' L'
U' L' U2 R2 D' F' L'
U' L' U2 R2 D2 F' L'
U' L' U2 R2 F' L' D
U' L' U2 R2 F' L' D'
U' L' U2 R2 F' L' D2
U' L' U2 R2 F' D L'
U' L' U2 R2 F' D' L'
U' L' U2 R2 F' D2 L'
U' L' U2 F' L' R2 F'
U' L' U2 F' R2 L' F'
U L' U2 B U2 L R2
U L' U2 B U2 R2 L
U' L' D2 L2 B U2 L
U' L' D2 B L2 U2 L'
U' L' F R2 F' B L
U' L' F R2 B L F'
U' L' F R2 B F' L
U L' F' L R2 F' L2
U L' F' L' R2 D F'
U L' F' L' R2 D' F'
U L' F' L' R2 D2 F'
U L' F' L' R2 F' D
U L' F' L' R2 F' D'
U L' F' L' R2 F' D2
U L' F' L' F R2 F'
U L' F' L' F' R2 F'
U L' F' L' F2 R2 F'
U L' F' L2 R2 F' L
U L' F' R2 L F' L2
U L' F' R2 L' D F'
U L' F' R2 L' D' F'
U L' F' R2 L' D2 F'
U L' F' R2 L' F' D
U L' F' R2 L' F' D'
U L' F' R2 L' F' D2
U L' F' R2 L2 F' L
U L' F' R2 D L' F'
U L' F' R2 D' L' F'
U L' F' R2 D2 L' F'
U L' F2 R2 F L' F2
U' L' B L' U2 L2 R2
U' L' B L' U2 R2 L2
U' L' B L2 U2 L' R2
U' L' B L2 U2 R2 L'
U' L' B R U2 L R
U' L' B R U2 R L
U' L' B R' U2 L R'
U' L' B R' U2 R' L
U' L' B U2 L R2 D
U' L' B U2 L R2 D'
U' L' B U2 L R2 D2
U' L' B U2 R2 L D
U' L' B U2 R2 L D'
U' L' B U2 R2 L D2
U' L' B U2 R2 D L
U' L' B U2 R2 D' L
U' L' B U2 R2 D2 L
U' L' B D2 L2 U2 L'
U' L' B' R' B2 L U2
U2 L' B' U B2 U2 R2
U2 L' B' U' R2 D2 F2
L2 R2 D' F L' F2 B2
L2 R2 D' F L' B2 F2
R2 L2 D' F L' F2 B2
R2 L2 D' F L' B2 F2
L2 R2 D' F B2 L' F2
R2 L2 D' F B2 L' F2
L2 R2 D' B2 F L' F2
U' L2 R U2 R F' L'
R2 L2 D' B2 F L' F2
U L2 R' D R' F' L'
U L2 R' D' R' F' L'
U L2 R' D2 R' F' L'
U L2 R' F' L' R' F'
U L2 R' F' R' L' F'
B2 L2 R2 D' F L' B2
B2 L2 R2 D' F B2 L'
B2 L2 R2 D' B2 F L'
U L2 R2 D L F' L'
U L2 R2 D L' F' L'
U L2 R2 D L2 F' L'
U L2 R2 D F' L' D
U L2 R2 D F' L' D'
U L2 R2 D F' L' D2
U L2 R2 D F' D L'
U L2 R2 D F' D' L'
U L2 R2 D F' D2 L'
U L2 R2 D' L F' L'
U L2 R2 D' L' F' L'
U L2 R2 D' L2 F' L'
U L2 R2 D' F' L' D
U L2 R2 D' F' L' D'
U L2 R2 D' F' L' D2
U L2 R2 D' F' D L'
U L2 R2 D' F' D' L'
U L2 R2 D' F' D2 L'
U L2 R2 D2 L F' L'
U L2 R2 D2 L' F' L'
U L2 R2 D2 L2 F' L'
U L2 R2 D2 F' L' D
U L2 R2 D2 F' L' D'
U L2 R2 D2 F' L' D2
U L2 R2 D2 F' D L'
U L2 R2 D2 F' D' L'
U L2 R2 D2 F' D2 L'
U L2 R2 F L F2 L'
U L2 R2 F L' F2 L'
U L2 R2 F L2 F2 L'
U L2 R2 F' L2 D L
U L2 R2 F' L2 D' L
U L2 R2 F' L2 D2 L
U L2 R2 F' D L' D
U L2 R2 F' D L' D'
U L2 R2 F' D L' D2
U L2 R2 F' D' L' D
U L2 R2 F' D' L' D'
U L2 R2 F' D' L' D2
U L2 R2 F' D2 L' D
U L2 R2 F' D2 L' D'
U L2 R2 F' D2 L' D2
U L2 R2 F' B' L' B
U L2 R2 F' B2 L' B2
U L2 R2 B' F' L' B
U L2 R2 B2 F' L' B2
L2 R2 F2 D' F L' B2
L2 R2 F2 D' F B2 L'
L2 R2 F2 D' B2 F L'
R2 L2 F2 D' F L' B2
R2 L2 F2 D' F B2 L'
R2 L2 F2 D' B2 F L'
U' L2 U2 L R2 F' L'
U' L2 U2 L' R2 F' L'
U' L2 U2 L2 R2 F' L'
U' L2 U2 R2 L F' L'
U' L2 U2 R2 L' F' L'
U' L2 U2 R2 L2 F' L'
U' L2 U2 R2 D F' L'
U' L2 U2 R2 D' F' L'
U' L2 U2 R2 D2 F' L'
U' L2 U2 R2 F' L' D
U' L2 U2 R2 F' L' D'
U' L2 U2 R2 F' L' D2
U' L2 U2 R2 F' D L'
U' L2 U2 R2 F' D' L'
U' L2 U2 R2 F' D2 L'
U' L2 U2 F' L' R2 F'
U' L2 U2 F' R2 L' F'
U L2 U2 B U2 L R2
U L2 U2 B U2 R2 L
U' L2 D2 L2 B U2 L
U' L2 D2 B L2 U2 L'
U' L2 F R2 F' B L
U' L2 F R2 B L F'
U' L2 F R2 B F' L
U L2 F' L R2 F' L2
U L2 F' L' R2 D F'
U L2 F' L' R2 D' F'
U L2 F' L' R2 D2 F'
U L2 F' L' R2 F' D
U L2 F' L' R2 F' D'
U L2 F' L' R2 F' D2
U L2 F' L' F R2 F'
U L2 F' L' F' R2 F'
U L2 F' L' F2 R2 F'
U L2 F' L2 R2 F' L
U L2 F' R2 L F' L2
U L2 F' R2 L' D F'
U L2 F' R2 L' D' F'
U L2 F' R2 L' D2 F'
U L2 F' R2 L' F' D
U L2 F' R2 L' F' D'
U L2 F' R2 L' F' D2
U L2 F' R2 L2 F' L
U L2 F' R2 D L' F'
U L2 F' R2 D' L' F'
U L2 F' R2 D2 L' F'
R U R D' F L' F2
R U R F2 D' F L'
U L2 F2 R2 F L' F2
U' L2 B L' U2 L2 R2
U' L2 B L' U2 R2 L2
U' L2 B L2 U2 L' R2
U' L2 B L2 U2 R2 L'
U' L2 B R U2 L R
U' L2 B R U2 R L
U' L2 B R' U2 L R'
U' L2 B R' U2 R' L
U' L2 B U2 L R2 D
U' L2 B U2 L R2 D'
U' L2 B U2 L R2 D2
U' L2 B U2 R2 L D
U' L2 B U2 R2 L D'
U' L2 B U2 R2 L D2
U' L2 B U2 R2 D L
U' L2 B U2 R2 D' L
U' L2 B U2 R2 D2 L
U' L2 B D2 L2 U2 L'
L' U R2 F' L' D' B2
L2 U R2 D' F' L' B2
L2 U R2 D' F' B2 L'
L2 U R2 D' B2 F' L'
U' L2 B' R' B2 L U2
L2 U R2 F' D' L' B2
L2 U R2 F' D' B2 L'
U' R L U2 R F' L'
U' R L' U2 R F' L'
R' U F R' D' L2 F2
R' U F R' D' F2 L2
U' R L2 U2 R F' L'
U' R U2 L R F' L'
U' R U2 L' R F' L'
U' R U2 L2 R F' L'
U' R U2 R L F' L'
U' R U2 R L' F' L'
U' R U2 R L2 F' L'
U' R U2 R D F' L'
U' R U2 R D' F' L'
U' R U2 R D2 F' L'
U' R U2 R F' L' D
U' R U2 R F' L' D'
U' R U2 R F' L' D2
U' R U2 R F' D L'
U' R U2 R F' D' L'
U' R U2 R F' D2 L'
R U B U' R F' B'
R U B U' R B' F'
R U B U' B' R F'
F' R U2 B U' R F'
F2 R U2 B U' R F'
F R U2 B U' R F'
B' R D' R2 F' U R'
U R D2 R F' L' F
U R D2 F' L' F R
U R F' L' F R F'
U R F' D2 L' F R
U' R B U2 L R F'
U' R B U2 R L F'
U' R B U2 R F' L
U R B R F' B' L'
U R B R B' F' L'
U' R B' R' U2 R2 F'
U' R B' R' B U2 R2
U R B2 R F' L' B2
U R B2 R F' B2 L'
U R B2 R B2 F' L'
U R' L D R' F' L'
U R' L D' R' F' L'
U R' L D2 R' F' L'
U R' L F' L' R' F'
U R' L F' R' L' F'
U R' L' D R' F' L'
U R' L' D' R' F' L'
U R' L' D2 R' F' L'
U R' L' F' L' R' F'
U R' L' F' R' L' F'
U R' L2 D R' F' L'
U R' L2 D' R' F' L'
U R' L2 D2 R' F' L'
U R' L2 F' L' R' F'
U R' L2 F' R' L' F'
U R' D L R' F' L'
U R' D L' R' F' L'
U R' D L2 R' F' L'
U R' D R' L F' L'
U R' D R' L' F' L'
U R' D R' L2 F' L'
U R' D R' D F' L'
U R' D R' D' F' L'
U R' D R' D2 F' L'
U R' D R' F' L' D
U R' D R' F' L' D'
U R' D R' F' L' D2
U R' D R' F' D L'
U R' D R' F' D' L'
U R' D R' F' D2 L'
U R' D F' L' R' F'
U R' D F' R' L' F'
B' R' D' F' R2 U R
U R' D' L R' F' L'
U R' D' L' R' F' L'
L' U2 L F U R2 F'
U R' D' L2 R' F' L'
U R' D' R' L F' L'
U R' D' R' L' F' L'
U R' D' R' L2 F' L'
U R' D' R' D F' L'
U R' D' R' D' F' L'
U R' D' R' D2 F' L'
U R' D' R' F' L' D
U R' D' R' F' L' D'
U R' D' R' F' L' D2
U R' D' R' F' D L'
U R' D' R' F' D' L'
U R' D' R' F' D2 L'
U R' D' F' L' R' F'
U R' D' F' R' L' F'
B' R' D2 F' U F' R'
U R' D2 L R' F' L'
U R' D2 L' R' F' L'
U R' D2 L2 R' F' L'
U R' D2 R' L F' L'
U R' D2 R' L' F' L'
U R' D2 R' L2 F' L'
U R' D2 R' D F' L'
U R' D2 R' D' F' L'
U R' D2 R' D2 F' L'
U R' D2 R' F' L' D
U R' D2 R' F' L' D'
U R' D2 R' F' L' D2
U R' D2 R' F' D L'
U R' D2 R' F' D' L'
U R' D2 R' F' D2 L'
R U2 L B U' R F'
U R' D2 F' L' R' F'
U R' D2 F' R' L' F'
F' R' F' R U R2 F'
U R' F R' D2 L2 F'
U R' F R' D2 F' L2
R U2 L' B U' R F'
U R' F R' F' D2 L2
F' R' F' R2 U R F'
B' R' F' U R' D2 F2
B' R' F' U D2 R' F2
B' R' F' U D2 F2 R'
B' R' F' U' B2 L U2
F2 R' F' R U R2 F'
F2 R' F' R2 U R F'
B' R' F' D' R2 U R
B' R' F' D2 U R' F2
B' R' F' D2 U F2 R'
D R' F' R' B2 U F'
U R' F' L R' F' L2
U R' F' L' R' D F'
U R' F' L' R' D' F'
U R' F' L' R' D2 F'
U R' F' L' R' F' D
U R' F' L' R' F' D'
U R' F' L' R' F' D2
U R' F' L' D R' F'
U R' F' L' D' R' F'
U R' F' L' D2 R' F'
U R' F' L' F R' F'
U R' F' L' F' R' F'
U R' F' L' F2 R' F'
F R' F' R U R2 F'
U R' F' L2 R' F' L
F R' F' R2 U R F'
U R' F' R' L F' L2
U R' F' R' L' D F'
U R' F' R' L' D' F'
U R' F' R' L' D2 F'
U R' F' R' L' F' D
U R' F' R' L' F' D'
U R' F' R' L' F' D2
U R' F' R' L2 F' L
R U2 L2 B U' R F'
U R' F' R' D L' F'
U R' F' R' D' L' F'
U R' F' R' D2 L' F'
D R' F' B2 R' U F'
U R' F' D L' R' F'
U R' F' D R' L' F'
U R' F' D' L' R' F'
U R' F' D' R' L' F'
U R' F' D2 L' R' F'
U R' F' D2 R' L' F'
U R' F2 R' F L' F2
U' R' B U2 L F R
D R' B2 F' R' U F'
U R2 L D L F' L'
U R2 L D L' F' L'
U R2 L D L2 F' L'
U R2 L D F' L' D
U R2 L D F' L' D'
U R2 L D F' L' D2
U R2 L D F' D L'
U R2 L D F' D' L'
U R2 L D F' D2 L'
U R2 L D' L F' L'
U R2 L D' L' F' L'
U R2 L D' L2 F' L'
U R2 L D' F' L' D
U R2 L D' F' L' D'
U R2 L D' F' L' D2
U R2 L D' F' D L'
U R2 L D' F' D' L'
U R2 L D' F' D2 L'
U R2 L D2 L F' L'
U R2 L D2 L' F' L'
U R2 L D2 L2 F' L'
U R2 L D2 F' L' D
U R2 L D2 F' L' D'
U R2 L D2 F' L' D2
U R2 L D2 F' D L'
U R2 L D2 F' D' L'
U R2 L D2 F' D2 L'
U R2 L F L F2 L'
U R2 L F L' F2 L'
U R2 L F L2 F2 L'
U R2 L F' L2 D L
U R2 L F' L2 D' L
U R2 L F' L2 D2 L
U R2 L F' D L' D
U R2 L F' D L' D'
U R2 L F' D L' D2
U R2 L F' D' L' D
U R2 L F' D' L' D'
U R2 L F' D' L' D2
U R2 L F' D2 L' D
U R2 L F' D2 L' D'
U R2 L F' D2 L' D2
U R2 L F' B' L' B
U R2 L F' B2 L' B2
U R2 L B' F' L' B
U R2 L B2 F' L' B2
U R2 L' D L F' L'
U R2 L' D L' F' L'
U R2 L' D L2 F' L'
U R2 L' D F' L' D
U R2 L' D F' L' D'
U R2 L' D F' L' D2
U R2 L' D F' D L'
U R2 L' D F' D' L'
U R2 L' D F' D2 L'
U R2 L' D' L F' L'
U R2 L' D' L' F' L'
U R2 L' D' L2 F' L'
U R2 L' D' F' L' D
U R2 L' D' F' L' D'
U R2 L' D' F' L' D2
U R2 L' D' F' D L'
U R2 L' D' F' D' L'
U R2 L' D' F' D2 L'
U R2 L' D2 L F' L'
B2 R2 L2 D' F L' B2
U R2 L' D2 L' F' L'
B2 R2 L2 D' F B2 L'
U R2 L' D2 L2 F' L'
B2 R2 L2 D' B2 F L'
U R2 L' D2 F' L' D
U R2 L' D2 F' L' D'
U R2 L' D2 F' L' D2
U R2 L' D2 F' D L'
U R2 L' D2 F' D' L'
U R2 L' D2 F' D2 L'
U R2 L' F L F2 L'
U R2 L' F L' F2 L'
U R2 L' F L2 F2 L'
U R2 L' F' L2 D L
U R2 L' F' L2 D' L
U R2 L' F' L2 D2 L
U R2 L' F' D L' D
U R2 L' F' D L' D'
U R2 L' F' D L' D2
U R2 L' F' D' L' D
U R2 L' F' D' L' D'
U R2 L' F' D' L' D2
U R2 L' F' D2 L' D
U R2 L' F' D2 L' D'
U R2 L' F' D2 L' D2
U R2 L' F' B' L' B
U R2 L' F' B2 L' B2
U R2 L' B' F' L' B
U R2 L' B2 F' L' B2
U R2 L2 D L F' L'
U R2 L2 D L' F' L'
U R2 L2 D L2 F' L'
U R2 L2 D F' L' D
U R2 L2 D F' L' D'
U R2 L2 D F' L' D2
U R2 L2 D F' D L'
U R2 L2 D F' D' L'
U R2 L2 D F' D2 L'
U R2 L2 D' L F' L'
U R2 L2 D' L' F' L'
U R2 L2 D' L2 F' L'
U R2 L2 D' F' L' D
U R2 L2 D' F' L' D'
U R2 L2 D' F' L' D2
U R2 L2 D' F' D L'
U R2 L2 D' F' D' L'
U R2 L2 D' F' D2 L'
U R2 L2 D2 L F' L'
U R2 L2 D2 L' F' L'
U R2 L2 D2 L2 F' L'
U R2 L2 D2 F' L' D
U R2 L2 D2 F' L' D'
U R2 L2 D2 F' L' D2
U R2 L2 D2 F' D L'
U R2 L2 D2 F' D' L'
U R2 L2 D2 F' D2 L'
U R2 L2 F L F2 L'
U R2 L2 F L' F2 L'
U R2 L2 F L2 F2 L'
U R2 L2 F' L2 D L
U R2 L2 F' L2 D' L
U R2 L2 F' L2 D2 L
U R2 L2 F' D L' D
U R2 L2 F' D L' D'
U R2 L2 F' D L' D2
U R2 L2 F' D' L' D
U R2 L2 F' D' L' D'
U R2 L2 F' D' L' D2
U R2 L2 F' D2 L' D
U R2 L2 F' D2 L' D'
U R2 L2 F' D2 L' D2
U R2 L2 F' B' L' B
U R2 L2 F' B2 L' B2
U R2 L2 B' F' L' B
U R2 L2 B2 F' L' B2
U R2 U L' B' U' F'
U R2 U B U' F' L'
U R2 U B' U' F' L'
U R2 U B2 U' F' L'
R U2 B L U' R F'
R U2 B L' U' R F'
R U2 B L2 U' R F'
R U2 B U' R D F'
R U2 B U' R D' F'
R U2 B U' R D2 F'
R U2 B U' R F' D
R U2 B U' R F' D'
R U2 B U' R F' D2
U R2 U2 R2 B U2 L
U R2 U2 B U2 L F'
U R2 U2 B U2 F' L
U R2 D L D F' L'
U R2 D L D' F' L'
