R U R2 D2 B' L
D2 R U R2 B' L
D2 R U B' L R2
D2 R U B' R2 L
D R F' U R2 B'
D R F' U B' R2
D' R' D' F2 B' L
D' R' D' B' L F2
D' R' D' B' F2 L
F R' D' B' L' F
D2 R' B' L D' F2
D2 R' B' D' L F2
D2 R' B' D' F2 L
F R' B' D' L' F
R' D' F2 D' B' L
R' D2 B' D L F2
R' D2 B' D F2 L
R F U R2 B' L'
R F U B' L' R2
R F U B' R2 L'
R' F D' B' L' F2
R' F B' L' D' F2
R' F B' D' L' F2
R' F' D' F2 B' L'
R' F' D' B' F2 L'
R' F' B' D' F2 L'
F D' R' B' L' F
R' B' F L' D' F2
R' B' F D' L' F2
R' B' F' D' F2 L'
R F B' R2 L' D' F2
R F B' R2 D' L' F2
R F B2 U L' B R2
R F B2 U B L' R2
R F B2 U B R2 L'
D2 F' U R' B' L F
D2 F' U' R' F' B' L
D2 F' U' R' B' L F'
D2 F' U' R' B' F' L
R F' U R2 B2 L B
R F' U B R2 B2 L
R F' U' R U2 R B'
R F' U' R U2 B' R
R' F' D' L F2 L' B'
R' F' D' F2 D B' L'
R' F' D' F2 D' B' L'
R' F' D' F2 D2 B' L'
R' F' D' F2 B L' B2
R' F' D' F2 B' L' D
R' F' D' F2 B' L' D'
R' F' D' F2 B' L' D2
R' F' D' F2 B' D L'
R' F' D' F2 B' D' L'
R' F' D' F2 B' D2 L'
R' F' D' F2 B2 L' B
R' F' D' B F2 L' B2
R' F' D' B' L F2 L'
R' F' D' B' L' F2 L'
R' F' D' B' L2 F2 L'
R' F' D' B' F2 L' D
R' F' D' B' F2 L' D'
R' F' D' B' F2 L' D2
R' F' D' B' F2 D L'
R' F' D' B' F2 D' L'
R' F' D' B' F2 D2 L'
F D' L' D2 R' F B
F D' L' D2 R' B F
F D' L' D2 F R' B
R' F' D' B2 F2 L' B
F D' L' F D2 R' B
R' F' D2 B' D F2 L'
R' F' B' L D' F2 L'
R' F' B' L' D' F2 L'
R' F' B' L2 D' F2 L'
F D' R B' L' R2 F
F D' R B' L' F R2
F D' R B' R2 L' F
R' F' B' D' L F2 L'
R' F' B' D' L' F2 L'
R' F' B' D' L2 F2 L'
R' F' B' D' F2 L' D
R' F' B' D' F2 L' D'
R' F' B' D' F2 L' D2
R' F' B' D' F2 D L'
R' F' B' D' F2 D' L'
R' F' B' D' F2 D2 L'
F D' R' B L' F B2
F D' R' B L' B2 F
F D' R' B' L' D F
F D' R' B' L' D' F
F D' R' B' L' D2 F
F D' R' B' L' F D
F D' R' B' L' F D'
F D' R' B' L' F D2
F D' R' B2 L' F B
F D' R' B2 L' B F
R' F' B2 D' F2 L' B
R' F' B2 D' F2 B L'
R' F' B2 D' B F2 L'
R F' B U R2 B2 L
F D' R2 B' L' R F
F D' R2 B' R L' F
F D' U R' B' L' F
F D' U' R' B' L' F
F D' U2 R' B' L' F
D2 F2 R' B' L D F2
R' F2 D' F' B' L' F'
R' F2 D' F2 D2 B' L
R' F2 D' B' F' L' F'
R' F2 B' D' F' L' F'
F D2 R' D B' L' F
F D2 R' B' L' D F2
R' B F L' B2 D' F2
R' B' L F L' D' F2
R' B' L F D' L' F2
R B F U L' R2 B2
R B F U L' B2 R2
R B F U R2 L' B2
R B F U R2 B2 L'
R B F U B2 L' R2
R B F U B2 R2 L'
R' B' L F' D' F2 L'
R B F' U R2 B2 L
R' B' L' F L' D' F2
R' B' L' F D' L' F2
R' B' L' F' D' F2 L'
R' B' L2 F L' D' F2
R' B' L2 F D' L' F2
R' B' L2 F' D' F2 L'
R2 B' R F D L' F
R' B' U' R2 F U L'
R' B' U' F R2 U L'
R B' R2 F L' D' F2
R B' R2 F D' L' F2
R B' R2 F' D' F2 L'
R' B' D' F D F L'
R' B' F L' U' R2 U
R' B' F L' D' F2 D
R' B' F L' D' F2 D'
R' B' F L' D' F2 D2
R' B' F L' F D' F2
R' B' F L' F' D' F2
R' B' F L' F2 D' F2
R' B' F L2 D' L F2
R' B' F L2 D' F2 L
R' B' F U' R2 U L'
R' B' F D L' D2 F2
R' B' F D' L F2 L2
R' B' F D' L' F2 D
R' B' F D' L' F2 D'
R' B' F D' L' F2 D2
R' B' F D' L2 F2 L
R' B' F' L D' F2 L'
R' B' F' L' D' F2 L'
R' B' F' L2 D' F2 L'
R' B' F' D' L F2 L'
R' B' F' D' L' F2 L'
R' B' F' D' L2 F2 L'
R' B' F' D' F2 L' D
R' B' F' D' F2 L' D'
R' B' F' D' F2 L' D2
R' B' F' D' F2 D L'
R' B' F' D' F2 D' L'
R' B' F' D' F2 D2 L'
R' B' F2 D' F' L' F'
R B' F L' R2 D' F2
R B' F R2 L' D' F2
R B' F R2 D' L' F2
R' B2 F L' D' F2 B
R' B2 F L' D' B F2
R' B2 F L' B D' F2
R' B2 F D' L' F2 B
R' B2 F D' L' B F2
R' B2 F D' B L' F2
R' B2 F' D' F2 L' B
R' B2 F' D' F2 B L'
R' B2 F' D' B F2 L'
R B2 F U L' B R2
R B2 F U B L' R2
R B2 F U B R2 L'
