B2 L' F2 U' L' B'
B L' F2 R' U' L'
L' F2 B R' U' L'
L' F2 B2 U' L' B'
L' B F2 R' U' L'
L' B2 F2 U' L' B'
L' B F2 D2 R' U' L'
L B F2 L2 R' U' L
L B F2 R' L2 U' L
L B' L2 F2 R U' L'
F2 B' U2 L R U L2
F2 B' U2 R L U L2
L' B' F2 U' L' D' B2
L' B' F2 U2 L U L2
U' B2 L' F2 U' L' B'
U2 B2 L' F2 U' L' B'
U B2 L' F2 U' L' B'
L B2 L2 F2 U' L' B'
B F2 R' U' L' D' F2
B F2 R' U' D' L' F2
B F2 R' U2 R2 U L'
B F2 R' D' U' L' F2
B F2 R' D2 L2 U' L
R B2 U' L' F2 U' B'
B' F2 U2 L R U L2
B' F2 U2 R L U L2
B2 F2 U2 R U L' B'
F2 B2 U2 R U L' B'
D2 B2 F2 R U L' B'
L' B2 F2 R U' L' B'
L' B2 F2 R' U' L' B'
L' B2 F2 R2 U' L' B'
L' B2 F2 U' L' D B'
L' B2 F2 U' L' D' B'
L' B2 F2 U' L' D2 B'
L' B2 F2 U' L' B' D
L' B2 F2 U' L' B' D'
L' B2 F2 U' L' B' D2
L' B2 F2 U' D L' B'
L' B2 F2 U' D' L' B'
L' B2 F2 U' D2 L' B'
L' B2 F2 U' B L' B'
L' B2 F2 U' B' L' B'
L' B2 F2 U' B2 L' B'
L' B2 F2 D U' L' B'
L' B2 F2 D' U' L' B'
L' B2 F2 D2 U' L' B'
