B2 U' R F B
B2 U' R B F
U' R D F L2 B
U' R D F B L2
U' R D B F L2
U' R F D L2 B
U' R F D B L2
U' D R F L2 B
U' D R F B L2
U' D R B F L2
D U' R F L2 B
D U' R F B L2
D U' R B F L2
B2 U' R D F B
B2 U' R D B F
B2 U' R D' F B
B2 U' R D' B F
B2 U' R D2 F B
B2 U' R D2 B F
B2 U' R F D B
B2 U' R F D' B
B2 U' R F D2 B
B2 U' R F B D
B2 U' R F B D'
B2 U' R F B D2
B2 U' R B D F
B2 U' R B D' F
B2 U' R B D2 F
B2 U' R B F D
B2 U' R B F D'
B2 U' R B F D2
B2 U' R2 F R' B
B2 U' D R F B
B2 U' D R B F
B2 U' D' R F B
B2 U' D' R B F
B2 U' D2 R F B
B2 U' D2 R B F
B2 U' B R F B
B2 U' B R B F
B2 U' B' R F B
B2 U' B' R B F
B2 U' B2 R F B
B2 U' B2 R B F
R2 F R' D L2 B2
R2 F R' D B2 L2
R F U R B2 U'
R F U B2 R U'
B2 D U' R F B
B2 D U' R B F
B2 D' U' R F B
B2 D' U' R B F
B2 D2 U' R F B
B2 D2 U' R B F
B2 U' D R B F D2
B2 U' D R2 F R' B
B2 U' D B R F B
B2 U' D B R B F
B2 U' D B' R F B
B2 U' D B' R B F
B2 U' D B2 R F B
B2 U' D B2 R B F
B2 U' D' R D F B
B2 U' D' R D B F
B2 U' D' R D' F B
B2 U' D' R D' B F
B2 U' D' R D2 F B
B2 U' D' R D2 B F
B2 U' D' R F D B
B2 U' D' R F D' B
B2 U' D' R F D2 B
B2 U' D' R F B D
B2 U' D' R F B D'
B2 U' D' R F B D2
B2 U' D' R B D F
B2 U' D' R B D' F
B2 U' D' R B D2 F
B2 U' D' R B F D
B2 U' D' R B F D'
B2 U' D' R B F D2
B2 U' D' R2 F R' B
B2 U' D' B R F B
B2 U' D' B R B F
B2 U' D' B' R F B
B2 U' D' B' R B F
D U' B R F L2 B
D U' B R F B L2
D U' B R B F L2
B2 U' D' B2 R F B
B2 U' D' B2 R B F
B2 U' D2 R D F B
B2 U' D2 R D B F
B2 U' D2 R D' F B
B2 U' D2 R D' B F
B2 U' D2 R D2 F B
B2 U' D2 R D2 B F
B2 U' D2 R F D B
B2 U' D2 R F D' B
B2 U' D2 R F D2 B
B2 U' D2 R F B D
B2 U' D2 R F B D'
B2 U' D2 R F B D2
B2 U' D2 R B D F
B2 U' D2 R B D' F
B2 U' D2 R B D2 F
B2 U' D2 R B F D
B2 U' D2 R B F D'
B2 U' D2 R B F D2
B2 U' D2 R2 F R' B
B2 U' D2 B R F B
B2 U' D2 B R B F
B2 U' D2 B' R F B
B2 U' D2 B' R B F
B2 U' D2 B2 R F B
B2 U' D2 B2 R B F
D U' B' R F L2 B
D U' B' R F B L2
D U' B' R B F L2
B2 U' F R D2 B R'
B2 U' F D2 R B R'
D U' B2 R F L2 B
D U' B2 R F B L2
D U' B2 R B F L2
B2 U' B R D F B
B2 U' B R D B F
B2 U' B R D' F B
B2 U' B R D' B F
B2 U' B R D2 F B
B2 U' B R D2 B F
B2 U' B R F D B
B2 U' B R F D' B
B2 U' B R F D2 B
B2 U' B R F B D
B2 U' B R F B D'
B2 U' B R F B D2
B2 U' B R B D F
B2 U' B R B D' F
B2 U' B R B D2 F
B2 U' B R B F D
B2 U' B R B F D'
B2 U' B R B F D2
B2 U' B R2 F R' B
B2 U' B D R F B
B2 U' B D R B F
B2 U' B D' R F B
B2 U' B D' R B F
B2 U' B D2 R F B
B2 U' B D2 R B F
U' D2 R D' F L2 B
U' D2 R D' F B L2
U' D2 R D' B F L2
B2 U' B' R D F B
B2 U' B' R D B F
B2 U' B' R D' F B
B2 U' B' R D' B F
B2 U' B' R D2 F B
B2 U' B' R D2 B F
B2 U' B' R F D B
B2 U' B' R F D' B
B2 U' B' R F D2 B
B2 U' B' R F B D
B2 U' B' R F B D'
B2 U' B' R F B D2
B2 U' B' R B D F
B2 U' B' R B D' F
B2 U' B' R B D2 F
B2 U' B' R B F D
B2 U' B' R B F D'
B2 U' B' R B F D2
U' D2 R B D' F L2
B2 U' B' R2 F R' B
B2 U' B' D R F B
B2 U' B' D R B F
B2 U' B' D' R F B
B2 U' B' D' R B F
B2 U' B' D2 R F B
B2 U' B' D2 R B F
B2 U' B2 R D F B
B2 U' B2 R D B F
B2 U' B2 R D' F B
B2 U' B2 R D' B F
B2 U' B2 R D2 F B
B2 U' B2 R D2 B F
B2 U' B2 R F D B
B2 U' B2 R F D' B
B2 U' B2 R F D2 B
B2 U' B2 R F B D
B2 U' B2 R F B D'
B2 U' B2 R F B D2
B2 U' B2 R B D F
B2 U' B2 R B D' F
B2 U' B2 R B D2 F
B2 U' B2 R B F D
B2 U' B2 R B F D'
B2 U' B2 R B F D2
B2 U' B2 R2 F R' B
B2 U' B2 D R F B
B2 U' B2 D R B F
B2 U' B2 D' R F B
B2 U' B2 D' R B F
B2 U' B2 D2 R F B
B2 U' B2 D2 R B F
R2 F L R' D L2 B2
R2 F L R' D B2 L2
R2 F L' R' D L2 B2
R2 F L' R' D B2 L2
R F L U R B2 U'
R F L U B2 R U'
R2 F L2 R' D L2 B2
R2 F L2 R' D B2 L2
R F L' U R B2 U'
R F L' U B2 R U'
R F L2 U R B2 U'
R F L2 U B2 R U'
R' F R' D L2 R' B2
R' F R' D R' L2 B2
R' F R' D R' B2 L2
R2 F R' L D L2 B2
R2 F R' L D B2 L2
R' F R2 U R' B2 U'
R2 F R' L' D L2 B2
R2 F R' L' D B2 L2
R2 F R' L2 D L2 B2
R2 F R' L2 D B2 L2
R2 F R' U R2 B2 U'
R2 F R' U B2 R2 U'
R2 F R' D L' B2 L'
R2 F R' D L2 B2 D
R2 F R' D L2 B2 D'
R2 F R' D L2 B2 D2
R2 F R' D B L2 B
R2 F R' D B2 L2 D
R2 F R' D B2 L2 D'
R2 F R' D B2 L2 D2
B' U2 B' R' U' R2 F
B' U2 B' R' U' F R2
R' F U R B2 U' R
R F R' D L2 R B2
R F R' D L2 B2 R
R F R' D R L2 B2
R F R' D R B2 L2
R F R' D B2 L2 R
R F R' D B2 R L2
R' F U B2 R U' R
R2 F U R B2 U' R2
R F U R U' D L2
R F U R D U' L2
R F U R B2 U' D
R F U R B2 U' D'
R F U R B2 U' D2
R F U R B2 D U'
R F U R B2 D' U'
R F U R B2 D2 U'
R F U R' B2 R2 U'
R F U D R U' L2
R F U B' R B' U'
R F U B2 R U' D
R F U B2 R U' D'
R F U B2 R U' D2
R F U B2 R D U'
R F U B2 R D' U'
R F U B2 R D2 U'
R F U B2 D R U'
R F U B2 D' R U'
R F U B2 D2 R U'
R F U' D2 F2 L' U
R2 F D L2 R' D B2
R2 F D R' L2 D B2
F2 D L2 F' B2 R' B
F2 D L2 B2 F' R' B
R F D L2 U R U'
F D L2 U R F' U'
R2 F D' R' D B2 L
R F D U R U' L2
F D R F' U' F L2
R F D2 U' F2 L' U
R F B U B R U'
B2 D U' R D F B
B2 D U' R D B F
B2 D U' R D' F B
B2 D U' R D' B F
B2 D U' R D2 F B
B2 D U' R D2 B F
B2 D U' R F D B
B2 D U' R F D' B
B2 D U' R F D2 B
B2 D U' R F B D
B2 D U' R F B D'
B2 D U' R F B D2
B2 D U' R B D F
B2 D U' R B D' F
B2 D U' R B D2 F
B2 D U' R B F D
B2 D U' R B F D'
B2 D U' R B F D2
B2 D U' R2 F R' B
B2 D U' B R F B
B2 D U' B R B F
R F B' U R B' U'
R F B' U B' R U'
B2 D U' B' R F B
B2 D U' B' R B F
F D U R F' U' L2
B2 D U' B2 R F B
B2 D U' B2 R B F
B' D B' U' R F B
B' D B' U' R B F
B D B U' R F B
B D B U' R B F
F2 D' L' R2 F B U2
F2 D' L' R2 B F U2
F2 D' L' F R2 U2 F2
F2 D' R2 L' F B U2
F2 D' R2 L' B F U2
F2 D' R2 B L' F U2
B2 D' U' R D F B
B2 D' U' R D B F
B2 D' U' R D' F B
B2 D' U' R D' B F
B2 D' U' R D2 F B
B2 D' U' R D2 B F
B2 D' U' R F D B
B2 D' U' R F D' B
B2 D' U' R F D2 B
B2 D' U' R F B D
B2 D' U' R F B D'
B2 D' U' R F B D2
B2 D' U' R B D F
B2 D' U' R B D' F
B2 D' U' R B D2 F
B2 D' U' R B F D
B2 D' U' R B F D'
B2 D' U' R B F D2
B2 D' U' R2 F R' B
B2 D' U' B R F B
B2 D' U' B R B F
B2 D' U' B' R F B
B2 D' U' B' R B F
B2 D' U' B2 R F B
B2 D' U' B2 R B F
B' D' B' U' R F B
B' D' B' U' R B F
B D' B U' R F B
B D' B U' R B F
R2 F2 D L2 F' R' B
R2 F2 D F' L2 R' B
R2 F2 D F' R' L2 B
R2 F2 D F' R' B L2
B2 D2 U' R D F B
B2 D2 U' R D B F
B2 D2 U' R D' F B
B2 D2 U' R D' B F
B2 D2 U' R D2 F B
B2 D2 U' R D2 B F
B2 D2 U' R F D B
B2 D2 U' R F D' B
B2 D2 U' R F D2 B
B2 D2 U' R F B D
B2 D2 U' R F B D'
B2 D2 U' R F B D2
B2 D2 U' R B D F
B2 D2 U' R B D' F
B2 D2 U' R B D2 F
B2 D2 U' R B F D
B2 D2 U' R B F D'
B2 D2 U' R B F D2
B2 D2 U' R2 F R' B
B2 D2 U' B R F B
B2 D2 U' B R B F
B2 D2 U' B' R F B
B2 D2 U' B' R B F
B2 D2 U' B2 R F B
B2 D2 U' B2 R B F
U' B R D' F L' B
U' B R D' F B L'
U' B R D' B F L'
U' B R B D' F L'
U B R D' F L' B'
B' D2 B' U' R F B
B' D2 B' U' R B F
B D2 B U' R F B
B D2 B U' R B F
D B U' R F L2 B
D B U' R F B L2
D B U' R B F L2
B2 F R F' U' R F
R B F U B R U'
B2 F D R F' U' F
U' B' R F B D L2
U' B' R B D F L2
U' B' R B F D L2
U2 B' R' B' U' R2 F
U2 B' R' B' U' F R2
D B' U' R F L2 B
D B' U' R F B L2
D B' U' R B F L2
L' B2 L U' R F B
L' B2 L U' R B F
R B' F U R B' U'
R B' F U B' R U'
R' B2 R U' R F B
R' B2 R U' R B F
L B2 L' U' R F B
L B2 L' U' R B F
U' B2 R' U' R2 F B
U' B2 R' U' R2 B F
U' B2 R2 U' R' F B
U' B2 R2 U' R' B F
U' B2 R2 U' F R' B
R B2 R' U' R F B
R B2 R' U' R B F
R' B2 U' R B R F
R' B2 U' F R B R
L2 B2 U B U2 R B
L2 B2 U' R2 F' R' B
F B2 R F' U' R F
D B2 U' R F L2 B
D B2 U' R F B L2
D B2 U' R B F L2
L B2 U' D2 R F' B
L B2 U' D2 R B F'
L B2 D2 U' R F' B
L B2 D2 U' R B F'
F B2 D R F' U' F
