L D R' B U2 B2
B2 R2 L D B' R F'
B2 R2 L B' D R F'
L2 D L' R' B U2 B2
L2 D R' L' B U2 B2
L2 D R' B L' U2 B'
L D R' U2 B' D2 F2
L D R' D B U2 B2
L D R' D' B U2 B2
L D R' D2 B U2 B2
L D R' F B U2 B2
L D R' F' B U2 B2
L D R' F2 B U2 B2
L D R' B U2 B2 D
L D R' B U2 B2 D'
L D R' B U2 B2 D2
L D R' B D2 F2 U2
L D R' B F U2 B2
L D R' B F' U2 B2
L D R' B F2 U2 B2
F2 U L R' U2 F B'
F2 U L R' U2 B' F
L D F R' B U2 B2
L D F' R' B U2 B2
F2 U R' L U2 F B'
F2 U R' L U2 B' F
L D F2 R' B U2 B2
R' D' L B' U L U
L2 D' L' R' U2 F B'
L2 D' L' R' U2 B' F
L2 D' R' L' U2 F B'
L2 D' R' L' U2 B' F
F2 U B2 L R' F B'
F2 U B2 L R' B' F
F2 U B2 L F R' B'
F2 U B2 R' L F B'
F2 U B2 R' L B' F
F2 U' L R' U2 F' B'
F2 U' L R' U2 B' F'
F2 U' R' L U2 F' B'
F2 U' R' L U2 B' F'
F2 U' B2 L R' F' B'
F2 U' B2 L R' B' F'
F2 U' B2 R' L F' B'
F2 U' B2 R' L B' F'
F2 U' B2 R' F' L B'
R' F L U2 D F2 B'
R' F L U2 D B' F2
R' F L U2 B' D F2
R' F L D U2 F2 B'
R' F L D U2 B' F2
R' F L D' B2 U2 B
L' F L2 R' U' L U'
L' F R' L2 U' L U'
R' F' L U R U B'
L F' R' U R2 U B'
L F' R' U2 D' F2 B'
L F' R' U2 D' B' F2
L F' R' U2 B' D' F2
L F' R' D B2 U2 B
L F' R' D' U2 F2 B'
L F' R' D' U2 B' F2
B2 F L R' D F2 B'
B2 F L R' D B' F2
B2 F L R' B' D F2
B2 F L D R' F2 B'
B2 F L D R' B' F2
B2 F L D F2 R' B'
B2 F L' U' L2 R' B'
B2 F L' U' R' L2 B'
B2 F R' L D F2 B'
B2 F R' L D B' F2
B2 F R' L B' D F2
B2 F' L R' D' F2 B'
B2 F' L R' D' B' F2
B2 F' L R' B' D' F2
B2 F' R U L R2 B'
B2 F' R U L B' R2
B2 F' R U R2 L B'
B2 F' R' L D' F2 B'
B2 F' R' L D' B' F2
B2 F' R' L B' D' F2
F' B2 L R' D' F2 B'
F' B2 L R' D' B' F2
F' B2 L R' B' D' F2
F B2 L R' D F2 B'
F B2 L R' D B' F2
F B2 L R' B' D F2
F B2 L D R' F2 B'
F B2 L D R' B' F2
F B2 L D F2 R' B'
F B2 L' U' L2 R' B'
F B2 L' U' R' L2 B'
D2 B2 U L R' F' B
D2 B2 U L R' B F'
F' B2 R U L R2 B'
F' B2 R U L B' R2
F' B2 R U R2 L B'
D2 B2 U R' L F' B
D2 B2 U R' L B F'
D2 B2 U R' F' L B
F' B2 R' L D' F2 B'
F' B2 R' L D' B' F2
F' B2 R' L B' D' F2
D2 B2 U' L R' F B
D2 B2 U' L R' B F
D2 B2 U' L F R' B
D2 B2 U' R' L F B
D2 B2 U' R' L B F
F B2 R' L D F2 B'
F B2 R' L D B' F2
F B2 R' L B' D F2
B2 F2 U L R' F B'
B2 F2 U L R' B' F
B2 F2 U L F R' B'
F2 B2 U L R' F B'
F2 B2 U L R' B' F
F2 B2 U L F R' B'
B2 F2 U R' L F B'
B2 F2 U R' L B' F
F2 B2 U R' L F B'
F2 B2 U R' L B' F
B2 F2 U' L R' F' B'
B2 F2 U' L R' B' F'
F2 B2 U' L R' F' B'
F2 B2 U' L R' B' F'
B2 F2 U' R' L F' B'
B2 F2 U' R' L B' F'
B2 F2 U' R' F' L B'
F2 B2 U' R' L F' B'
F2 B2 U' R' L B' F'
F2 B2 U' R' F' L B'
