U L' R' U2 F'
U R' L' U2 F'
U L' R B R2 U2
U L' R' U2 D F'
U L' R' U2 D' F'
U L' R' U2 D2 F'
U L' R' U2 F' D
U L' R' U2 F' D'
U L' R' U2 F' D2
U L' R' D U2 F'
U L' R' D' U2 F'
U L' R' D2 U2 F'
U' L' R' B' U2 B
U L' R' B U2 F'
U L' R' B' U2 F'
U L' R' B2 U2 F'
U L' D R' U2 F'
U L' D' R' U2 F'
U L' D2 R' U2 F'
U L' B2 U2 L F
L2 U L R' U2 F'
L U L2 R' U2 F'
L2 U R' L U2 F'
L U R' L2 U2 F'
U R L' B R2 U2
U R B L' R2 U2
U R B R2 L' U2
U' R' L' B' U2 B
U R' L' U2 D F'
U R' L' U2 D' F'
U R' L' U2 D2 F'
U R' L' U2 F' D
U R' L' U2 F' D'
U R' L' U2 F' D2
U R' L' D U2 F'
U R' L' D' U2 F'
U R' L' D2 U2 F'
U R' L' B U2 F'
U R' L' B' U2 F'
U R' L' B2 U2 F'
U R' U2 F2 R F
U R' D L' U2 F'
U R' D' L' U2 F'
U R' D2 L' U2 F'
U R' B L' U2 F'
U R' B' L' U2 F'
U R' B2 L' U2 F'
D2 U L' R' U2 F'
D' U L' R' U2 F'
U D L' R' U2 F'
D U L' R' U2 F'
F' U R' U2 F' R
D2 U R' L' U2 F'
D' U R' L' U2 F'
F2 U R' U2 F' R2
U D R' L' U2 F'
D U R' L' U2 F'
U D' L' R' U2 F'
U D' R' L' U2 F'
U D2 L' R' U2 F'
U D2 R' L' U2 F'
U D2 R' L' U2 F'
U R' D' L' U2 D2 F'
U R' D' L' U2 F' D
U R' D' L' U2 F' D'
U R' D' L' U2 F' D2
U R' D' L' D U2 F'
U R' D' L' D' U2 F'
U R' D' L' D2 U2 F'
U R' D' L' B U2 F'
U R' D' L' B' U2 F'
U R' D' L' B2 U2 F'
U' R' D2 L' B' U2 B
U R' D' U2 F2 R F
U R' D' B L' U2 F'
U R' D' B' L' U2 F'
U R' D' B2 L' U2 F'
U R' D2 L' U2 D F'
U R' D2 L' U2 D' F'
U R' D2 L' U2 D2 F'
U R' D2 L' U2 F' D
U R' D2 L' U2 F' D'
U R' D2 L' U2 F' D2
U R' D2 L' D U2 F'
U R' D2 L' D' U2 F'
U R' D2 L' D2 U2 F'
U R' D2 L' B U2 F'
U R' D2 L' B' U2 F'
U R' D2 L' B2 U2 F'
U R' D2 U2 F2 R F
U R' D2 B L' U2 F'
U R' D2 B' L' U2 F'
U R' D2 B2 L' U2 F'
U R' B L' U2 D F'
U R' B L' U2 D' F'
U R' B L' U2 D2 F'
U R' B L' U2 F' D
U R' B L' U2 F' D'
U R' B L' U2 F' D2
U R' B L' D U2 F'
U R' B L' D' U2 F'
U R' B L' D2 U2 F'
U R' B L' B U2 F'
U R' B L' B' U2 F'
U R' B L' B2 U2 F'
U' R' B' L' B' U2 B2
U R' B U2 F2 R F
U R' B D L' U2 F'
U R' B D' L' U2 F'
U R' B D2 L' U2 F'
U R' B' L' U2 D F'
U R' B' L' U2 D' F'
U R' B' L' U2 D2 F'
U R' B' L' U2 F' D
U R' B' L' U2 F' D'
U R' B' L' U2 F' D2
U R' B' L' D U2 F'
U R' B' L' D' U2 F'
U R' B' L' D2 U2 F'
U' R' B2 L' B' U2 B'
U R' B' L' B U2 F'
U R' B' L' B' U2 F'
U R' B' L' B2 U2 F'
U R' B' U2 F2 R F
U R' B' D L' U2 F'
U R' B' D' L' U2 F'
U R' B' D2 L' U2 F'
U R' B2 L' U2 D F'
U R' B2 L' U2 D' F'
U R' B2 L' U2 D2 F'
U R' B2 L' U2 F' D
U R' B2 L' U2 F' D'
U R' B2 L' U2 F' D2
U R' B2 L' D U2 F'
U R' B2 L' D' U2 F'
U R' B2 L' D2 U2 F'
U R' B2 L' B U2 F'
U R' B2 L' B' U2 F'
U R' B2 L' B2 U2 F'
U R' B2 U2 F2 R F
U R' B2 D L' U2 F'
U R' B2 D' L' U2 F'
U R' B2 D2 L' U2 F'
L U2 D' B2 U L F
U R2 L' B R U2 F'
U R2 L' B' R U2 F'
U R2 L' B2 R U2 F'
U2 R2 U' L' R B U2
U2 R2 U' R L' B U2
U2 R2 U' R B L' U2
U' R2 U2 L' R B U2
U' R2 U2 R L' B U2
U' R2 U2 R B L' U2
U R2 U2 F2 L' R F'
U R2 U2 F2 R L' F'
L2 U2 B2 U L R' F
L2 U2 B2 U L F R'
L2 U2 B2 U R' L F
U' R2 F L F L' R
U' R2 F L F R L'
U R2 D2 L' R U2 F
U R2 D2 R L' U2 F
U' R2 F2 L R F L2
U' R2 F2 R L F L2
U R2 B L' R U2 F'
U R2 B R L' U2 F'
L2 D U L R' U2 F'
U R2 B' L' R U2 F'
L2 D U R' L U2 F'
U R2 B' R L' U2 F'
F' U L R' U2 F' R
U R2 B2 L' R U2 F'
F2 U L R' U2 F' R2
U R2 B2 R L' U2 F'
D' U L' R B R2 U2
D' U L' R' U2 D F'
D' U L' R' U2 D' F'
D' U L' R' U2 D2 F'
D' U L' R' U2 F' D
D' U L' R' U2 F' D'
D' U L' R' U2 F' D2
D2 U L' R B R2 U2
D' U L' R' D U2 F'
D' U L' R' D' U2 F'
D' U L' R' D2 U2 F'
D2 U L' R' U2 D F'
D2 U L' R' U2 D' F'
D2 U L' R' U2 D2 F'
D2 U L' R' U2 F' D
D2 U L' R' U2 F' D'
D2 U L' R' U2 F' D2
D2 U L' R' D U2 F'
D' U L' R' B U2 F'
D2 U L' R' D' U2 F'
D' U L' R' B' U2 F'
D2 U L' R' D2 U2 F'
D' U L' R' B2 U2 F'
D2 U L' R' B U2 F'
D2 U L' R' B' U2 F'
D2 U L' R' B2 U2 F'
U' D L' R' B' U2 B
F' U L' R' U2 F' R
D' U L' D R' U2 F'
D2 U L' D R' U2 F'
D' U L' D' R' U2 F'
F2 U L' R' U2 F' R2
D2 U L' D' R' U2 F'
D' U L' D2 R' U2 F'
D2 U L' D2 R' U2 F'
D' U L' B2 U2 L F
D U L' R B R2 U2
D2 U L' B2 U2 L F
D U L' R' U2 D F'
D U L' R' U2 D' F'
D U L' R' U2 D2 F'
D U L' R' U2 F' D
D U L' R' U2 F' D'
D U L' R' U2 F' D2
D U L' R' D U2 F'
D U L' R' D' U2 F'
D U L' R' D2 U2 F'
D U L' R' B U2 F'
D U L' R' B' U2 F'
D U L' R' B2 U2 F'
F' U L2 R' U2 F' R
D U L' D R' U2 F'
D U L' D' R' U2 F'
U D L' R B R2 U2
U D L' R' U2 D F'
U D L' R' U2 D' F'
U D L' R' U2 D2 F'
U D L' R' U2 F' D
U D L' R' U2 F' D'
U D L' R' U2 F' D2
U D L' R' D U2 F'
U D L' R' D' U2 F'
U D L' R' D2 U2 F'
U D L' R' B U2 F'
D U L' D2 R' U2 F'
U D L' R' B' U2 F'
U D L' R' B2 U2 F'
F2 U L2 R' U2 F' R2
U D L' D R' U2 F'
U D L' D' R' U2 F'
U D L' D2 R' U2 F'
D U L' B2 U2 L F
D' U R L' B R2 U2
D2 U R L' B R2 U2
U D L' B2 U2 L F
D' U R B L' R2 U2
D' U R B R2 L' U2
D2 U R B L' R2 U2
D2 U R B R2 L' U2
D U R L' B R2 U2
D U R L' B R2 U2
D' U R' L' U2 D F'
D' U R' L' U2 D' F'
D' U R' L' U2 D2 F'
D' U R' L' U2 F' D
D' U R' L' U2 F' D'
D' U R' L' U2 F' D2
D' U R' L' D U2 F'
D' U R' L' D' U2 F'
D' U R' L' D2 U2 F'
D' U R' L' B U2 F'
D' U R' L' B' U2 F'
D' U R' L' B2 U2 F'
D2 U R' L' U2 D F'
D2 U R' L' U2 D' F'
D2 U R' L' U2 D2 F'
D2 U R' L' U2 F' D
D2 U R' L' U2 F' D'
D2 U R' L' U2 F' D2
D2 U R' L' D U2 F'
D2 U R' L' D' U2 F'
F' U R' L U2 F' R
D2 U R' L' D2 U2 F'
D2 U R' L' B U2 F'
D2 U R' L' B' U2 F'
D2 U R' L' B2 U2 F'
U' D R' L' B' U2 B
F' U R' L' U2 F' R
F2 U R B R2 U2 R2
F' U R' L2 U2 F' R
D' U R' U2 F2 R F
D' U R' D L' U2 F'
D2 U R' U2 F2 R F
D2 U R' D L' U2 F'
F2 U R' L U2 F' R2
D' U R' D' L' U2 F'
F' U R' U2 F' R D
F' U R' U2 F' R D'
F' U R' U2 F' R D2
F' U R' U2 F' D R
F' U R' U2 F' D' R
F' U R' U2 F' D2 R
U D R L' B R2 U2
F2 U R' L' U2 F' R2
D2 U R' D' L' U2 F'
D' U R' D2 L' U2 F'
F2 U R' L2 U2 F' R2
D2 U R' D2 L' U2 F'
D U R B L' R2 U2
F2 U R' U2 F R2 F2
D U R B R2 L' U2
F2 U R' U2 F' R2 D
F2 U R' U2 F' R2 D'
F2 U R' U2 F' R2 D2
F2 U R' U2 F2 R2 F
D' U R' B L' U2 F'
D2 U R' B L' U2 F'
D' U R' B' L' U2 F'
L D F2 U R' U2 F'
D2 U R' B' L' U2 F'
D' U R' B2 L' U2 F'
F' U R' B U2 F' R
F2 U R' D2 L2 U2 F'
D2 U R' B2 L' U2 F'
F' U R' B' U2 F' R
D U R' L' U2 D F'
D U R' L' U2 D' F'
D U R' L' U2 D2 F'
D U R' L' U2 F' D
D U R' L' U2 F' D'
D U R' L' U2 F' D2
D U R' L' D U2 F'
D U R' L' D' U2 F'
D U R' L' D2 U2 F'
D U R' L' B U2 F'
D U R' L' B' U2 F'
D U R' L' B2 U2 F'
F' U R' B2 U2 F' R
U D R B L' R2 U2
U D R B R2 L' U2
F2 U R' B U2 F' R2
D U R' U2 F2 R F
F2 U R' B' U2 F' R2
D U R' D L' U2 F'
F2 U R' B2 U2 F' R2
D U R' D' L' U2 F'
U D R' L' U2 D F'
U D R' L' U2 D' F'
U D R' L' U2 D2 F'
U D R' L' U2 F' D
U D R' L' U2 F' D'
U D R' L' U2 F' D2
U D R' L' D U2 F'
U D R' L' D' U2 F'
U D R' L' D2 U2 F'
U D R' L' B U2 F'
U D R' L' B' U2 F'
D U R' D2 L' U2 F'
U D R' L' B2 U2 F'
U D R' U2 F2 R F
D U R' B L' U2 F'
U D R' D L' U2 F'
U D R' D' L' U2 F'
D U R' B' L' U2 F'
U D R' D2 L' U2 F'
D U R' B2 L' U2 F'
U D R' B L' U2 F'
U D R' B' L' U2 F'
U D R' B2 L' U2 F'
B2 U D L' U2 F L2
F2 U D R' U2 F' R2
F2 U D' R' U2 F' R2
F2 U D2 R' U2 F' R2
U' D' L' R' B' U2 B
D' U' L' R' B' U2 B
D2 U' L' R' B' U2 B
L2 D' U L R' U2 F'
L2 D' U R' L U2 F'
D U' L' R' B' U2 B
U D' L' R B R2 U2
U D' L' R' U2 D F'
U D' L' R' U2 D' F'
U D' L' R' U2 D2 F'
U D' L' R' U2 F' D
U D' L' R' U2 F' D'
U D' L' R' U2 F' D2
F2 U B2 U2 L R F
U D' L' R' D U2 F'
U D' L' R' D' U2 F'
U D' L' R' D2 U2 F'
F2 U B2 U2 R L F
U D' L' R' B U2 F'
U D' L' R' B' U2 F'
U D' L' R' B2 U2 F'
U D' L' D R' U2 F'
U D' L' D' R' U2 F'
U D' L' D2 R' U2 F'
F2 U' L R D2 F L2
F2 U' L R F D2 L2
U D' L' B2 U2 L F
F2 U' L' R D2 L2 F
U' D' R' L' B' U2 B
D' U' R' L' B' U2 B
D2 U' R' L' B' U2 B
U D' R L' B R2 U2
L D' U2 B2 U L F
D U' R' L' B' U2 B
U D' R B L' R2 U2
