F2 L B' U B U
D2 R U F' B2 L
D2 R U B2 L F'
D2 R U B2 F' L
R' U' F2 U2 L' F
L F2 B' U B U
L B' F2 U B U
B2 L' F2 U2 F' D' R2
B2 L' F2 D L2 U2 F'
B L' F2 U2 D F' R
B2 L' F2 D' U2 F' R2
B L' F2 D U2 F' R
L R2 U' F2 R2 B' U2
L R2 U' F2 B' R2 U2
L R2 U' B' R2 F2 U2
L R2 U' B' F2 R2 U2
U L' F2 D' F' L2 B'
F2 L' B U B' U F
F2 L' B' U B U F
L R2 D' L2 F2 U F'
L' R2 D' F2 L2 U F'
F2 L' B2 U B2 U F
F2 L' B2 U2 D' R2 F
F2 L' B2 U2 D' F R2
F2 L' B2 U2 F D' R2
F2 L' B2 D L2 B' U2
F2 L' B2 D' U2 R2 F
F2 L' B2 D' U2 F R2
D2 L2 R U F' B2 L
D2 L2 R U B2 L F'
D2 L2 R U B2 F' L
L R2 D' F2 L2 U F
L' R2 D2 U F L2 B2
L' R2 D2 U F B2 L2
L' R2 D2 U B2 F L2
L R2 D2 U L2 F B2
L R2 D2 U L2 B2 F
F2 L2 U R U R' F'
F2 L2 U B' R' U R
D' L2 U2 B' L U' L'
R2 U L D2 L2 F B2
R2 U L D2 L2 B2 F
R2 U L' D2 F L2 B2
R2 U L' D2 F B2 L2
R2 U L' D2 B2 F L2
R2 U L' F D2 L2 B'
R U L' D2 F B2 L
R U L' D2 B2 F L
R U L2 D2 B2 L F
B L2 F2 U' F' L' U'
F2 L2 B U B' R' U
R U R' F2 L' U2 F
D2 R L U F' B2 L
D2 R L U B2 L F'
D2 R L U B2 F' L
D2 R L' U F' B2 L
D2 R L' U B2 L F'
D2 R L' U B2 F' L
R' U F L' F L' B'
D2 R L2 U F' B2 L
D2 R L2 U B2 L F'
D2 R L2 U B2 F' L
D2 R U L F' B2 L
D2 R U L B2 L F'
D2 R U L B2 F' L
D2 R U L' F' B2 L
D2 R U L' B2 L F'
D2 R U L' B2 F' L
D2 R U L2 F' B2 L
D2 R U L2 B2 L F'
D2 R U L2 B2 F' L
D2 R U F B2 L F2
D2 R U F' L B2 L
D2 R U F' L' B2 L
D2 R U F' L2 B2 L
D2 R U F' B2 L D
D2 R U F' B2 L D'
D2 R U F' B2 L D2
D2 R U F' B2 D L
D2 R U F' B2 D' L
D2 R U F' B2 D2 L
D2 R U B2 L D F'
D2 R U B2 L D' F'
D2 R U B2 L D2 F'
D2 R U B2 L F' D
D2 R U B2 L F' D'
D2 R U B2 L F' D2
D2 R U B2 L' F' L2
D2 R U B2 D L F'
D2 R U B2 D F' L
D2 R U B2 D' L F'
D2 R U B2 D' F' L
D2 R U B2 D2 L F'
D2 R U B2 D2 F' L
D2 R U B2 F L F2
D2 R U B2 F' L D
D2 R U B2 F' L D'
D2 R U B2 F' L D2
D2 R U B2 F' D L
D2 R U B2 F' D' L
D2 R U B2 F' D2 L
L' U F2 D' F' L2 B'
R U B2 L' F L2 B'
D2 R F U F2 B2 L
D2 R F U B2 L F2
D2 R F U B2 F2 L
D2 R F' B2 L D' R2
D2 R F' B2 D' L R2
D2 R F' B2 D' R2 L
D2 R F2 U F B2 L
D2 R F2 U B2 F L
R2 U' R F2 U2 L' F
D2 R B2 L D' F' R2
D2 R B2 L F' D' R2
R U' R2 F2 U2 L' F
D2 R B2 D' L F' R2
D2 R B2 D' F' L R2
D2 R B2 D' F' R2 L
D2 R B2 F' L D' R2
D2 R B2 F' D' L R2
D2 R B2 F' D' R2 L
R' U' D2 R U2 F' B2
R' U' D2 R U2 B2 F'
R U' D2 R' B U2 B
R' U' F2 R U2 L' F
R' U' F2 R' U2 L' F
R' U' F2 R2 U2 L' F
R' U' F2 U2 L' D F
R' U' F2 U2 L' D' F
R' U' F2 U2 L' D2 F
R' U' F2 U2 L' F D
R' U' F2 U2 L' F D'
R' U' F2 U2 L' F D2
R' U' F2 B U2 L' F
R' U' F2 B' U2 L' F
R' U' F2 B2 U2 L' F
U R' U D2 R F' B2
U R' U D2 R B2 F'
U R' U D2 B2 R F'
R U' F2 D2 R' B U2
L U' F2 B' U' B U'
R' U' B F2 U2 L' F
U R' U' F2 L' U2 F
R' U' B' F2 U2 L' F
R' U' B2 F2 U2 L' F
L U' B' F2 U' B U'
U R' D2 U R F' B2
U R' D2 U R B2 F'
U R' D2 U B2 R F'
L U2 L2 U' F L2 B'
D' U L2 B R' U R
D2 U R U F' R' B2
F2 U R' U D2 R F'
F2 U R' D2 U R F'
L D B' U' R2 F' U'
B' U D' L2 B R' U
B' U D' B L2 R' U
B' U D' B R' L2 U
F2 U D' B R' U R
F2 U D2 R U F' R'
D' U B L2 R' U R
D' U B R' L2 U R
F2 U' L U B' L' U2
U D' L2 B R' U R
L D' B' U L2 B U
L D' B' U B L2 U
U D' B L2 R' U R
U D' B R' L2 U R
L' D2 R U F B2 L
L' D2 R U B2 F L
R2 D2 R U L2 F' B2
R2 D2 R U L2 B2 F'
R2 D2 R U F' L2 B2
R2 D2 R U F' B2 L2
R2 D2 R U B2 L2 F'
R2 D2 R U B2 F' L2
R2 D2 R' U B2 L2 F
R' D2 U' R U2 F' B2
R' D2 U' R U2 B2 F'
U D2 R U F' R' B2
R D2 U' R' B U2 B
L D2 B' U B U B2
L D2 B' U2 B' D' R2
D2 F R U F' B2 L
D2 F R U B2 L F'
D2 F R U B2 F' L
R' F U L' F L' B'
R' F U' F U2 L' F
D F U2 L' R2 U' L
D F U2 R2 L' U' L
F' D F' U R U R'
D2 F' R U F' B2 L
D2 F' R U B2 L F'
D2 F' R U B2 F' L
L' F' U F2 D' L2 B'
D F' D R U B2 L
B' D' U L2 B R' U
B' D' U B L2 R' U
B' D' U B R' L2 U
F2 D' U B R' U R
L2 F2 L' B' U B U
D2 F2 R U F' B2 L
D2 F2 R U B2 L F'
D2 F2 R U B2 F' L
F2 D' B U R' B' U
L' F2 U R' U R F'
L' F2 U R2 U R2 F'
U' F2 U' L' U' F L
L2 F2 U R U R' F'
L2 F2 U B' R' U R
L' F2 U2 F' U F U'
L' F2 U2 F2 D R2 F
L' F2 U2 F2 D F R2
L F2 D B' U B U
L' F2 B U B' U F'
L F2 D' B' U B U
L2 F2 B U B' R' U
L' F2 B' U B U F'
L F2 D2 B' U B U
L' F2 B2 U B2 U F'
F2 D2 U R U F' R'
L' F2 B2 U2 D' F' R2
L' F2 B2 U2 F' D' R2
L' F2 B2 D L2 U2 F'
L' F2 B2 D' U2 F' R2
L F2 B' L U B U
L F2 B' L' U B U
L F2 B' L2 U B U
L F2 B' U D B U
L F2 B' U D' B U
L F2 B' U D2 B U
L F2 B' U B U D
L F2 B' U B U D'
L F2 B' U B U D2
L F2 B' U B D U
L F2 B' U B D' U
L F2 B' U B D2 U
L F2 B' D U B U
L F2 B' D' U B U
L F2 B' D2 U B U
L F2 B2 U2 D' R2 F'
L F2 B2 D L2 B U2
L F2 B2 D B L2 U2
L F2 B2 D' U2 R2 F'
L F2 B2 D' B U2 R2
D' B U R' B' L2 U
L' B F2 U B' U F'
L2 B F2 U B' R' U
L B' L F2 U B U
L B' L' F2 U B U
L B' L2 F2 U B U
F2 B' L B' U B2 U
F2 B' L B' U2 D' R2
F2 B' L B' D L2 U2
F2 B' L B' D' U2 R2
F2 B' L' U B U F
L B' U D' L2 B U
L B' U D' B L2 U
L B' U D2 B U B
L B' U B U D2 B2
L B' U B U' F2 U2
L B' U B D' L2 U
L B' U B D2 U B2
L B' U' D R2 F' U'
L B' D U' R2 F' U'
F2 B' U D' B R' U
L B' D' U L2 B U
L B' D' U B L2 U
L B' D2 U B U B
L' B' F2 U B U F'
L B' F2 L U B U
L B' F2 L' U B U
L B' F2 L2 U B U
F2 B' D' U B R' U
L B' F2 U D B U
L B' F2 U D' B U
L B' F2 U D2 B U
L B' F2 U B U D
L B' F2 U B U D'
L B' F2 U B U D2
L B' F2 U B D U
L B' F2 U B D' U
L B' F2 U B D2 U
L B' F2 D U B U
L B' F2 D' U B U
L B' F2 D2 U B U
B' F2 L B' U B2 U
B' F2 L B' U2 D' R2
B' F2 L B' D L2 U2
B' F2 L B' D' U2 R2
B2 F2 L D L2 U2 F
B2 F2 L D B' L2 U2
B2 F2 L D' B' U2 R2
F2 B2 L D L2 U2 F
B' F2 L' U B U F
F2 B2 L D B' L2 U2
F2 B2 L D' B' U2 R2
B2 F2 L B' U B' U
F2 B2 L B' U B' U
B2 F2 L' U B2 U F
B2 F2 L' U2 D' R2 F
B2 F2 L' U2 D' F R2
B2 F2 L' U2 F D' R2
F2 B2 L' U B2 U F
B2 F2 L' D L2 B' U2
B2 F2 L' D' U2 R2 F
B2 F2 L' D' U2 F R2
F2 B2 L' U2 D' R2 F
F2 B2 L' U2 D' F R2
F2 B2 L' U2 F D' R2
F2 B2 L' D L2 B' U2
F2 B2 L' D' U2 R2 F
F2 B2 L' D' U2 F R2
B' F2 U D' B R' U
B' F2 D' U B R' U
L' B2 F2 U B2 U F'
L' B2 F2 U2 D' F' R2
L' B2 F2 U2 F' D' R2
L' B2 F2 D L2 U2 F'
L' B2 F2 D' U2 F' R2
L B2 F2 U2 D' R2 F'
L B2 F2 D L2 B U2
L B2 F2 D B L2 U2
L B2 F2 D' U2 R2 F'
L B2 F2 D' B U2 R2
