R D' F' D' L2 B2
R D' F' D' B2 L2
R D2 F' B2 D' L2
R D2 B2 F' D' L2
R D2 F' B2 L2 D' L2
R D2 F' B2 U' F2 U
R D2 F' B2 D' L2 D
R D2 F' B2 D' L2 D'
R D2 F' B2 D' L2 D2
R D2 B F' D' L2 B
R D2 B F' D' B L2
R D2 B' F' D' B' L2
R D2 B2 U' F U F2
R D2 B2 D F' D' L2
R D2 B2 D' F' D' L2
R D2 B2 D2 F' D' L2
R D2 B2 F' L D' L2
R D2 B2 F' L' D' L2
R D2 B2 F' L2 D' L2
R D2 B2 F' U' F2 U
R D2 B2 F' D' L2 D
R D2 B2 F' D' L2 D'
R D2 B2 F' D' L2 D2
R' F L2 U R2 F' B'
R' F L2 U R2 B' F'
F2 U2 F2 R F' D' L2
R F L2 F2 D' B' L2
R F L2 F2 B' D' L2
R F L2 B' F2 D' L2
R' F U R2 F' D2 B2
R' F U F2 R2 F' B
R' F U F2 R2 B F'
R F R2 U F2 R2 B
R' F U' F U2 R2 F'
R' F U' F B U2 R2
R' F U' B F U2 R2
R F U F2 D R2 B
R' F' R2 D' L2 F' B
R' F' R2 D' L2 B F'
R' F' R2 D' F' L2 B
R' F' R2 D' F' B L2
R' F' R2 D' B L2 F'
R' F' R2 D' B F' L2
R' F' R2 B D' L2 F'
R' F' R2 B D' F' L2
R F' R2 B R2 D' L2
F2 D' L' U F' R U
R F' U' F2 L2 U B'
R F' U' F2 U' F U2
R F' U2 D R2 U2 B
R F' U2 D F' R2 U2
R F' U2 D' F' U2 L2
R F' U2 F' U F' U
R F' D U2 R2 U2 B
R F' D U2 F' R2 U2
R F' D' L2 R2 B R2
R F' D' L2 U2 F' U2
R F' D' R2 L2 B R2
R F' D' R2 B L2 R2
R F' D' R2 B R2 L2
R F' D' U2 F' U2 L2
R F' D' F2 L2 F2 B'
R F' D' F2 L2 B' F2
R' F2 U F' U R2 F'
F2 D2 L' U F' U F2
F2 D2 L' U2 F D' L2
R' F2 B U F' U R2
R B D' F' D' L2 B2
R B D' F' D' B2 L2
R' B F2 U F' U R2
R B D2 F' B2 D' L2
R B D2 B2 F' D' L2
L2 B' U' R D2 F' B2
L2 B' U' R D2 B2 F'
R B' D' F' D' L2 B2
R B' D' F' D' B2 L2
R B' D2 F' B2 D' L2
R B' D2 B2 F' D' L2
D2 B2 D2 R F' D' L2
R B2 D' F' D' L2 B2
R B2 D' F' D' B2 L2
R B2 D2 F' B2 D' L2
R B2 D2 B2 F' D' L2
