D2 R' F L2 B U
D2 R' F B L2 U
D2 R' B F L2 U
F R' B2 L B' U
D2 F L2 R' B U
D2 F R' L2 B U
D2 F R' B L2 U
R' F B2 L B' U
F D2 L2 R' B U
F D2 R' L2 B U
F D2 R' B L2 U
R' B2 F L B' U
F D2 R' L2 B U D'
F D2 R' L2 B U D2
F D2 R' L2 B D U
F D2 R' L2 B D' U
F D2 R' L2 B D2 U
R' F2 B2 L F' B' U
R' F2 B2 L B' F' U
F D2 R' D' B U B
F D2 R' B L2 U D
F D2 R' B L2 U D'
F D2 R' B L2 U D2
F D2 R' B L2 D U
F D2 R' B L2 D' U
F D2 R' B L2 D2 U
F D2 R' B U D' B2
F D2 R' B D' U B2
F D2 R' B' L2 B2 U
F2 D2 F' L2 R' B U
F2 D2 F' R' L2 B U
F2 D2 F' R' B L2 U
R' B' F L B' L U
R' B2 L D' B' U L
L2 B2 L F B R2 U'
L2 B2 L B R2 F U'
L2 B2 L B F R2 U'
L B2 L R2 F' B' U'
L B2 L R2 B' F' U'
L B2 R2 L F' B' U'
L B2 R2 L B' F' U'
L B2 R2 F' L B' U'
R' B2 F L D B' U
R' B2 F L D' B' U
R' B2 F L D2 B' U
R' B2 F L B' U D
R' B2 F L B' U D'
R' B2 F L B' U D2
R' B2 F L B' D U
R' B2 F L B' D' U
R' B2 F L B' D2 U
R' B2 F' L F2 B' U
R' B2 F' L B' F2 U
R' B2 F2 L F' B' U
R' B2 F2 L B' F' U
