R' L U' F U F'
R' L' U B' L2 U'
L' R' U B' L2 U'
L R' U' F U F'
R' U L B U' L
L U' F U F' R'
B' U B L R' F'
B' U B R' L F'
B' U B R' F' L
L' B' L2 U' B R'
R' U L B U' D2 L
R' U L B D U' L
R' U L B D' U' L
R' U L B D2 U' L
R' U L B' U R' U2
R2 U L B U' L R
R2 U L B U' R L
R U L B U' L R2
R U L B U' R2 L
L2 U L' U2 F U R'
R' U L' B L2 U' L'
L' U L2 U2 F U R'
R' U L2 B L' U' L2
R' U D L B U' L
R' U D' L B U' L
R' U D2 L B U' L
U2 R U' L B U' R2
R' U B' U R' U2 F'
L U' R F U F' R2
L U' R2 F U F' R
L U' D F U F' R'
D2 R' L U' F U F'
D' R' L U' F U F'
F' R' L U' F U F'
F2 R' L U' F U F'
L U' D' F U F' R'
D R' L U' F U F'
D2 R' L' U B' L2 U'
D' R' L' U B' L2 U'
F R' L U' F U F'
F' R' L' U B' L2 U'
F2 R' L' U B' L2 U'
L U' D2 F U F' R'
D R' L' U B' L2 U'
F R' L' U B' L2 U'
L U' F U D F' R'
L U' F U D' F' R'
L U' F U D2 F' R'
L U' F U F R' F2
L U' F U F' R' D
L U' F U F' R' D'
L U' F U F' R' D2
L U' F U F' D R'
L U' F U F' D' R'
L U' F U F' D2 R'
L U' F U F2 R' F
R' U' F' U L' D F2
R' U' F' U2 L U' L2
L U' F D U F' R'
L U' F D' U F' R'
D2 R' U L B U' L
D' R' U L B U' L
L U' F D2 U F' R'
F' R' U L B U' L
F2 R' U L B U' L
D R' U L B U' L
F R' U L B U' L
U R' U L R B U'
B2 R' U B L B R'
U R' U R L B U'
R' U2 R U' L B U'
B2 R' B U B L R'
B2 R' B U B R' L
L U2 F U R2 B R
L U2 F U' F' U2 R'
R' D L U' F U F'
R' D L' U B' L2 U'
L' D R' U B' U' F2
L' D R' F2 U B' U'
L D R' U' F U F'
R' D U L B U' L
B' U L B L R' F'
B' U L B R' L F'
B' U L B R' F' L
L D U' F U F' R'
B' U L' B L R' F'
B' U L' B R' L F'
B' U L' B R' F' L
B' U L2 B L R' F'
B' U L2 B R' L F'
B' U L2 B R' F' L
L' D F2 R' U B' U'
L' D B' U' F2 B R'
L' D B' U' B R' F2
L' D B' U' B F2 R'
R' D' L U' F U F'
R' D' L' U B' L2 U'
B' U F B L R' F'
B' U F B R' L F'
B' U F B R' F' L
B' U F' B L R' F'
B' U F' B R' L F'
B' U F' B R' F' L
B' U F2 B L R' F'
B' U F2 B R' L F'
B' U F2 B R' F' L
B' U B L R' D F'
B' U B L R' D' F'
B' U B L R' D2 F'
B' U B L R' F' D
B' U B L R' F' D'
B' U B L R' F' D2
B' U B L D R' F'
B' U B L D' R' F'
B' U B L D2 R' F'
B' U B L F R' F'
B' U B L F' R' F'
B' U B L F2 R' F'
B' U B L' R' F' L2
B' U B R' L D F'
B' U B R' L D' F'
B' U B R' L D2 F'
B' U B R' L F' D
B' U B R' L F' D'
B' U B R' L F' D2
B' U B R' L' F' L2
B' U B R' D L F'
B' U B R' D F' L
B' U B R' D' L F'
B' U B R' D' F' L
B' U B R' D2 L F'
B' U B R' D2 F' L
B' U B R' F L F2
B' U B R' F' L D
B' U B R' F' L D'
B' U B R' F' L D2
B' U B R' F' D L
B' U B R' F' D' L
B' U B R' F' D2 L
B' U B D L R' F'
B' U B D R' L F'
B' U B D R' F' L
B' U B D' L R' F'
B' U B D' R' L F'
B' U B D' R' F' L
B' U B D2 L R' F'
B' U B D2 R' L F'
B' U B D2 R' F' L
B' U B F L R' F'
B' U B F R' L F'
B' U B F R' F' L
B' U B F' L R' F'
B' U B F' R' L F'
B' U B F' R' F' L
B' U B F2 L R' F'
B' U B F2 R' L F'
B' U B F2 R' F' L
L D' R' U' F U F'
R' D' U L B U' L
L D' U' F U F' R'
R' D2 L U' F U F'
R' D2 L' U B' L2 U'
L2 D2 R' U L' B U'
L2 D2 R' U B L' U'
R' D2 U L B U' L
L D2 R' U' F U F'
L D2 U' F U F' R'
B2 U2 R' F' U B2 R'
R' F L U' F U F'
R' F L' U B' L2 U'
L' F R' U B' L2 U'
R' F U L B U' L
L' F B' L2 U' B R'
R' F' L U' F U F'
R' F' L' U B' L2 U'
L' F' R' U B' L2 U'
U' F' U L' R' D F2
U' F' U L' D R' F2
U' F' U L' D F2 R'
R' F' U L B U' L
U' F' U R' L' D F2
L F' R' U' F2 U F2
L F' R' D' L2 D F2
U' F' U2 L U' L2 R'
U' F' U2 L U' R' L2
L F' U' F2 U R' F2
L F' U' F2 U F2 R'
L F' D' L2 R' D F2
L F' D' L2 D R' F2
L F' D' L2 D F2 R'
L F' D' R' L2 D F2
L' F' B' L2 U' B R'
L F' D2 B2 U' B2 R'
R' F2 L U' F U F'
R' F2 L' U B' L2 U'
L' F2 R' U B' L2 U'
R' F2 U L B U' L
L F2 R2 B U' R B'
L F2 R2 B U' B' R
L F2 U' F' U R' F
L F2 U' F' U F R'
L' F2 B' L2 U' B R'
L' B D F2 B' L2 R'
L' B D F2 B' R' L2
L' B D B' L2 R' F2
L' B D B' L2 F2 R'
L' B D B' R' L2 F2
L' B D B' R' F2 L2
L' B D B' F2 L2 R'
L' B D B' F2 R' L2
L B U2 F U R B'
L B U2 F U B' R
B' F U B L R' F'
B' F U B R' L F'
B' F U B R' F' L
L' B' L2 U' B R' D
L' B' L2 U' B R' D'
L' B' L2 U' B R' D2
L' B' L2 U' B D R'
L' B' L2 U' B D' R'
L' B' L2 U' B D2 R'
L' B' L2 F U' B R'
L' B' L2 F' U' B R'
L' B' L2 F2 U' B R'
D2 B' U B L R' F'
D2 B' U B R' L F'
D2 B' U B R' F' L
D' B' U B L R' F'
D' B' U B R' L F'
D' B' U B R' F' L
L' B' U' B R' D F2
L' B' U' B D R' F2
L' B' U' B D F2 R'
D B' U B L R' F'
D B' U B R' L F'
D B' U B R' F' L
L B' U2 F U B R'
B' F' U B L R' F'
B' F' U B R' L F'
B' F' U B R' F' L
F' B' U B L R' F'
F' B' U B R' L F'
F' B' U B R' F' L
L' B' F L2 U' B R'
F2 B' U B L R' F'
F2 B' U B R' L F'
F2 B' U B R' F' L
L' B' F' L2 U' B R'
F B' U B L R' F'
F B' U B R' L F'
F B' U B R' F' L
L' B' F2 L2 U' B R'
B' F2 U B L R' F'
B' F2 U B R' L F'
B' F2 U B R' F' L
L B2 U2 F U B2 R'
