U B' L' U' B'
B' L' R' U' R B
U L' U' D' B' L
U L' D' U' B' L
B' L' F R U' R'
U R B' L' U' B'
B' R' L' U' R B
U R' B' L' U' B'
U R2 B' L' U' B'
U R2 B' L' U' B'
B2 U L' B U' B2
B U L' B2 U' B
D2 U B' L' U' B'
D' U B' L' U' B'
D U B' L' U' B'
U D B' L' U' B'
B2 U B L' U' B'
B U B2 L' U' B'
U D' B' L' U' B'
U D2 B' L' U' B'
U B L' B2 U' B
B' F R U' R' F'
R' B' L' U' R B
U B' L' R U' B'
U B' L' R' U' B'
U B' L' R2 U' B'
U B' L' U' D B'
U B' L' U' D' B'
U B' L' U' D2 B'
U B' L' U' B' D
U B' L' U' B' D'
U B' L' U' B' D2
U B' L' D U' B'
U B' L' D' U' B'
U B' L' D2 U' B'
U B' R L' U' B'
U B' R' L' U' B'
U B' R2 L' U' B'
F B' R U' R' F'
U B' D L' U' B'
U B' D' L' U' B'
U B' D2 L' U' B'
U B2 L' B U' B2
U B' L' U' R2 B' R2
U B' L' U' D B' D
U B' L' U' D B' D'
U B' L' U' D B' D2
U B' L' U' D' B' D
U B' L' U' D' B' D'
U B' L' U' D' B' D2
U B' L' U' D2 B' D
U B' L' U' D2 B' D'
U B' L' U' D2 B' D2
U B' L' U' B2 D B
U B' L' U' B2 D' B
U B' L' U' B2 D2 B
U B' L' D R U' B'
U B' L' D R' U' B'
U B' L' D R2 U' B'
U B' L' D U' B' D
U B' L' D U' B' D'
U B' L' D U' B' D2
U B' L' D' R U' B'
U B' L' D' R' U' B'
U B' L' D' R2 U' B'
U B' L' D' U' B' D
U B' L' D' U' B' D'
U B' L' D' U' B' D2
U B' L' D2 R U' B'
U B' L' D2 R' U' B'
U B' L' D2 R2 U' B'
U B' L' D2 U' B' D
U B' L' D2 U' B' D'
U B' L' D2 U' B' D2
R B' L' U' R B R'
D2 B' R' L' U' R B
B' F D2 R U' R' F'
D' B' R' L' U' R B
R2 B' R L' U' R B
U2 B' R' L' U L U2
U B' R L' U' D B'
U B' R L' U' D' B'
U B' R L' U' D2 B'
U B' R L' U' B' D
U B' R L' U' B' D'
U B' R L' U' B' D2
U B' R L' D U' B'
U B' R L' D' U' B'
U B' R L' D2 U' B'
U B' R D L' U' B'
D B' R' L' U' R B
U B' R D' L' U' B'
U B' R D2 L' U' B'
U B' R' L' U' D B'
U B' R' L' U' D' B'
U B' R' L' U' D2 B'
U B' R' L' U' B' D
U B' R' L' U' B' D'
U B' R' L' U' B' D2
U B' R' L' D U' B'
U B' R' L' D' U' B'
U B' R' L' D2 U' B'
U B' R' D L' U' B'
U B' R' D' L' U' B'
U B' R' D2 L' U' B'
F B' L R U' R' F'
U B' R2 L' U' D B'
U B' R2 L' U' D' B'
U B' R2 L' U' D2 B'
U B' R2 L' U' B' D
U B' R2 L' U' B' D'
U B' R2 L' U' B' D2
U B' R2 L' D U' B'
U B' R2 L' D' U' B'
U B' R2 L' D2 U' B'
U B' R2 D L' U' B'
U B' R2 D' L' U' B'
U B' R2 D2 L' U' B'
U2 B' U' L' R' U' L
F B' L' R U' R' F'
U2 B' U' R' L' U' L
R' B' D L' U' R B
F B' L2 R U' R' F'
R' B' D' L' U' R B
F B' R L U' R' F'
F B' R L' U' R' F'
F B' R L2 U' R' F'
F B' R U' R' D F'
F B' R U' R' D' F'
F B' R U' R' D2 F'
F B' R U' R' F' D
F B' R U' R' F' D'
F B' R U' R' F' D2
F B' R U' D R' F'
F B' R U' D' R' F'
F B' R U' D2 R' F'
F B' R U' F R' F'
F B' R U' F' R' F'
F B' R U' F2 R' F'
F B' R D U' R' F'
F B' R D' U' R' F'
F B' R D2 U' R' F'
F B' R F' L' U' R'
R' B' D2 L' U' R B
U B' D L' R U' B'
U B' D L' R' U' B'
U B' D L' R2 U' B'
U B' D L' U' D B'
U B' D L' U' D' B'
U B' D L' U' D2 B'
U B' D L' U' B' D
U B' D L' U' B' D'
U B' D L' U' B' D2
U B' D L' D U' B'
U B' D L' D' U' B'
U B' D L' D2 U' B'
U B' D R L' U' B'
U B' D R' L' U' B'
U B' D R2 L' U' B'
R B' D L' F R U'
D2 B' F R U' R' F'
D' B' F R U' R' F'
U B' D' L' R U' B'
U B' D' L' R' U' B'
U B' D' L' R2 U' B'
U B' D' L' U' D B'
U B' D' L' U' D' B'
U B' D' L' U' D2 B'
U B' D' L' U' B' D
U B' D' L' U' B' D'
U B' D' L' U' B' D2
U B' D' L' D U' B'
U B' D' L' D' U' B'
U B' D' L' D2 U' B'
U B' D' R L' U' B'
U B' D' R' L' U' B'
U B' D' R2 L' U' B'
U B' D2 L' R U' B'
U B' D2 L' R' U' B'
U B' D2 L' R2 U' B'
U B' D2 L' U' D B'
U B' D2 L' U' D' B'
U B' D2 L' U' D2 B'
U B' D2 L' U' B' D
U B' D2 L' U' B' D'
U B' D2 L' U' B' D2
U B' D2 L' D U' B'
U B' D2 L' D' U' B'
U B' D2 L' D2 U' B'
U B' D2 R L' U' B'
U B' D2 R' L' U' B'
U B' D2 R2 L' U' B'
D B' F R U' R' F'
R' B2 L' B U' R B
F B' D R U' R' F'
F B' D' R U' R' F'
U B2 L B L2 U' B'
U B2 L' U' B' D L2
U B2 L' D B U' B2
U B2 L' D' B U' B2
F B' D2 R U' R' F'
U B2 L' D2 B U' B2
U B2 L' B R U' B2
U B2 L' B R' U' B2
U B2 L' B R2 U' B2
U B2 L' B U' B2 D
U B2 L' B U' B2 D'
U B2 L' B U' B2 D2
U B2 L' B D' R2 U'
D2 B2 U L' B U' B2
D' B2 U L' B U' B2
D2 B2 U B L' U' B'
D' B2 U B L' U' B'
D B2 U L' B U' B2
U2 B2 U' L' B R' U'
D B2 U B L' U' B'
U2 B2 U' B L' R' U'
U2 B2 U' B R' L' U'
U B2 D L' B U' B2
U B2 D B L' U' B'
U B2 D' L' B U' B2
U B2 D' B L' U' B'
U B2 D2 L' B U' B2
U B2 D2 B L' U' B'
