D2 L U F' B' L'
D2 L U B' F' L'
F' R' F' U F B
F' R' F' U B F
F2 R' F' U F2 B
F2 R' F' U B F2
F R' F' U F' B
F R' F' U B F'
U R' B R F' L'
D2 U L F' B' L'
D2 U L B' F' L'
D2 U L2 F' L' B'
D2 U F' L B' L2
U D2 L F' B' L'
U D2 L B' F' L'
U D2 L2 F' L' B'
U D2 F' L B' L2
U F' L' R' B R
U F' L2 D2 L B'
U F' R' L' B R
U F' R' B L' R
U F' R' B R L'
U F' D2 L B' L2
U B F' R' B R L'
U B F' D2 L B' L2
D B' L B U F' L'
U' B' R2 B R U2 B
U B' R' B R F' L'
U' B' F R' U2 F2 B
U' B' F R' U2 B F2
U B' D2 L F' B' L'
U B' D2 L B' F' L'
U B' D2 L2 F' L' B'
U' B' F2 R' U2 F B
U' B' F2 R' U2 B F
U B' D2 F' L B' L2
U B' F' L' R' B R
U B' F' L2 D2 L B'
U B' F' R' L' B R
U B' F' R' B L' R
U B' F' R' B R L'
U B' F' D2 L B' L2
U' B2 R2 B R' F' U2
U B2 R' B R F' L'
U B2 D2 L F' B' L'
U B2 D2 L B' F' L'
U B2 D2 L2 F' L' B'
U B2 D2 F' L B' L2
U B2 F' L' R' B R
U B2 F' L2 D2 L B'
U B2 F' R' L' B R
U B2 F' R' B L' R
U B2 F' R' B R L'
U B2 F' D2 L B' L2
