B' L2 F U F'
U' B' L2 F U
B' L2 R F U F'
B' L2 R' F U F'
B' L2 R2 F U F'
U' L2 U2 F B2 U'
U' L2 U2 B2 F U'
B' L2 D F U F'
B' L2 D' F U F'
B' L2 D2 F U F'
B' L2 F U D F'
B' L2 F U D' F'
B' L2 F U D2 F'
B' L2 F U F' D
B' L2 F U F' D'
B' L2 F U F' D2
B' L2 F D U F'
B' L2 F D' U F'
B' L2 F D2 U F'
L2 U F B2 U' B2
B' R L2 F U F'
L2 U B2 F U' B2
B' R' L2 F U F'
R' U' B' L2 F U
R2 U' B' L2 F U
R U' B' L2 F U
B' R2 L2 F U F'
B2 U' L2 B U L2
B2 U' B L2 U L2
B U' B2 L2 F U
B2 U2 B L2 U F
U' F B' L2 F U
U' F' B' L2 F U
U' F2 B' L2 F U
B2 D2 R2 F' U' F
B' F L2 F U F2
R' B' L2 F U F'
U' B' L2 D F U
U' B' L2 D' F U
U' B' L2 D2 F U
U' B' L2 F U D
U' B' L2 F U D'
U' B' L2 F U D2
U' B' L2 F D U
U' B' L2 F D' U
U' B' L2 F D2 U
R2 B' L2 F U F'
R B' L2 F U F'
F2 B' L2 F U F
F B' L2 F U F2
U' B' F L2 F U
U' B' F' L2 F U
U' B' F2 L2 F U
B' F2 L2 F U F
U B2 U2 L2 B U
U B2 U2 B L2 U
U B2 D2 R2 F' U'
B' L2 F' D' U F L2
U' L2 F' D2 F2 B2 U
U' L2 F' D2 B2 F2 U
D L2 F' D R2 F B
D L2 F' D R2 B F
L2 U R F B2 U' B2
U' L2 F2 U2 F' B2 U'
U' L2 F2 U2 B2 F' U'
B' L2 F2 D F' R2 U
L2 U R B2 F U' B2
L2 U R' F B2 U' B2
U' L2 B U2 F B U'
U' L2 B U2 B F U'
L2 U R' B2 F U' B2
L2 U R2 F B2 U' B2
U' L2 B' U2 F B' U'
U' L2 B' U2 B' F U'
L2 U R2 B2 F U' B2
L2 U F R B2 U' B2
L2 U F R' B2 U' B2
L2 U F R2 B2 U' B2
B' R L2 D F U F'
B' R L2 D' F U F'
B' R L2 D2 F U F'
B' R L2 F U D F'
B' R L2 F U D' F'
B' R L2 F U D2 F'
B' R L2 F U F' D
B' R L2 F U F' D'
B' R L2 F U F' D2
B' R L2 F D U F'
B' R L2 F D' U F'
B' R L2 F D2 U F'
L2 U F B2 R U' B2
L2 U F B2 R' U' B2
L2 U F B2 R2 U' B2
L2 U F B2 U' B2 D
L2 U F B2 U' B2 D'
L2 U F B2 U' B2 D2
L2 U F B2 D' R2 U'
U2 R U B' L2 F U
D2 R U' F2 B' L' U
D2 R U' B' F2 L' U
U R U2 B' L2 F U
R' U B2 U2 L2 B U
R' U B2 U2 B L2 U
L2 U B2 R F U' B2
L2 U B2 R' F U' B2
R' U B2 D2 R2 F' U'
L2 U B2 R2 F U' B2
L2 U B2 D' R2 F U'
L2 U B2 D' F R2 U'
R2 U B2 U2 L2 B U
R2 U B2 U2 B L2 U
L2 U B2 F R U' B2
L2 U B2 F R' U' B2
L2 U B2 F R2 U' B2
L2 U B2 F U' B2 D
L2 U B2 F U' B2 D'
L2 U B2 F U' B2 D2
L2 U B2 F D' R2 U'
R2 U B2 D2 R2 F' U'
R U B2 U2 L2 B U
R U B2 U2 B L2 U
R U B2 D2 R2 F' U'
L' U' L B' L2 F U
L' U' L' U2 F B2 U'
L' U' L' U2 B2 F U'
B' R F L2 F U F2
R' U' L2 U2 F B2 U'
R' U' L2 U2 B2 F U'
R2 U' L2 U2 F B2 U'
R2 U' L2 U2 B2 F U'
R U' L2 U2 F B2 U'
R U' L2 U2 B2 F U'
B' R F2 L2 F U F
D2 R F2 B' L' U F2
F2 R B' L2 F U F
D2 R B' F2 L' U F2
U R B2 U2 L2 B U
U R B2 U2 B L2 U
U R B2 D2 R2 F' U'
R' U' F B' L2 F U
B' R' L2 D F U F'
B' R' L2 D' F U F'
B' R' L2 D2 F U F'
B' R' L2 F U D F'
B' R' L2 F U D' F'
B' R' L2 F U D2 F'
B' R' L2 F U F' D
B' R' L2 F U F' D'
B' R' L2 F U F' D2
B' R' L2 F D U F'
B' R' L2 F D' U F'
B' R' L2 F D2 U F'
R2 U' F B' L2 F U
R' U' F' B' L2 F U
R U' F B' L2 F U
R2 U' F' B' L2 F U
R' U' F2 B' L2 F U
U2 R' U B' L2 F U
R U' F' B' L2 F U
D' R' U' B' U B' L
R2 U' F2 B' L2 F U
R U' F2 B' L2 F U
R' U' B' L2 D F U
R' U' B' L2 D' F U
R' U' B' L2 D2 F U
R' U' B' L2 F U D
R' U' B' L2 F U D'
R' U' B' L2 F U D2
R' U' B' L2 F D U
R' U' B' L2 F D' U
R' U' B' L2 F D2 U
R' U' B' F L2 F U
R' U' B' F' L2 F U
R2 U' B' L2 D F U
R2 U' B' L2 D' F U
R2 U' B' L2 D2 F U
R2 U' B' L2 F U D
R2 U' B' L2 F U D'
R2 U' B' L2 F U D2
R2 U' B' L2 F D U
R2 U' B' L2 F D' U
R2 U' B' L2 F D2 U
R' U' B' F2 L2 F U
R U' B' L2 D F U
R U' B' L2 D' F U
R U' B' L2 D2 F U
R U' B' L2 F U D
R U' B' L2 F U D'
R U' B' L2 F U D2
R U' B' L2 F D U
R U' B' L2 F D' U
R U' B' L2 F D2 U
U R' U2 B' L2 F U
R2 U' B' F L2 F U
R2 U' B' F' L2 F U
R2 U' B' F2 L2 F U
R U' B' F L2 F U
R U' B' F' L2 F U
R U' B' F2 L2 F U
B' R' F L2 F U F2
B' R' F2 L2 F U F
D' R' B D' B L R2
D' R' B D' B R2 L
U' R' B' L2 R F U
U' R' B' R L2 F U
F2 R' B' L2 F U F
D' R' B2 L U' B U
U R' B2 U2 L2 B U
U R' B2 U2 B L2 U
U R' B2 D2 R2 F' U'
B' R2 L2 D F U F'
B' R2 L2 D' F U F'
B' R2 L2 D2 F U F'
B' R2 L2 F U D F'
B' R2 L2 F U D' F'
B' R2 L2 F U D2 F'
B' R2 L2 F U F' D
B' R2 L2 F U F' D'
B' R2 L2 F U F' D2
B' R2 L2 F D U F'
B' R2 L2 F D' U F'
B' R2 L2 F D2 U F'
L2 U2 F B2 U B2 U2
L2 U2 F B2 U' D2 F2
L2 U2 F B2 D L2 U'
L2 U2 F B2 D2 U' F2
B R2 L2 F' B2 U F
B R2 L2 B2 F' U F
U2 R2 U B' L2 F U
D2 R2 U' F2 B' U B
D2 R2 U' B' F2 U B
B R2 U' L2 F' B2 U
B R2 U' L2 B2 F' U
B R2 U' F' L2 B2 U
B R2 U' F' B2 L2 U
B R2 U' B2 L2 F' U
B R2 U' B2 F' L2 U
U R2 U2 B' L2 F U
L2 U2 B2 D F L2 U'
L2 U2 B2 D2 F U' F
L2 U2 B2 F U B2 U2
L2 U2 B2 F U' D2 F2
L2 U2 B2 F D L2 U'
L2 U2 B2 F D2 U' F2
B2 R2 D' F' U' F B2
B2 R2 D' F' U' B2 F
B2 R2 D2 F' R2 U' F
B' R2 F L2 F U F2
L2 D L2 U' B' L2 U
B2 R2 F' U' D' F B2
B2 R2 F' U' D' B2 F
B2 R2 F' U' F D' B2
L2 D L2 B D' R2 B2
L2 D L2 B D' B2 R2
B2 R2 F' D' U' F B2
B2 R2 F' D' U' B2 F
B2 R2 F' D2 R2 U' F
B' R2 F2 L2 F U F
U' R2 B' L2 R2 F U
U' R2 B' L2 F R2 U
U' R2 B' R2 L2 F U
F2 R2 B' L2 F U F
B R2 B2 L2 F' U F
U R2 B2 U2 L2 B U
U R2 B2 U2 B L2 U
U R2 B2 D2 R2 F' U'
L2 D F U' F' L2 B'
D2 U R2 U2 F2 B' U
D2 U R2 U2 B' F2 U
U' D F B' U L2 B'
B' U D2 R2 B' U' R2
B' U D2 B' R2 U' R2
B U D' B U' B R2
U2 D F2 U B' U L2
B U D2 F2 B R2 U'
B U D2 B R2 F2 U'
B U D2 B F2 R2 U'
U' D B' U L2 D2 B2
U' D B' U' F2 U2 L2
U' D B' F U L2 B'
B U B U2 L2 B U
F2 U B' L2 F U F
B U B U2 B L2 U
B' U B' D2 R2 U' R2
B U B D2 R2 F' U'
F U B' L2 F U F2
B' U' L2 D' F B2 U
B' U' L2 D' B2 F U
B' U' L2 D2 F U R2
B' U' L2 F U D2 R2
B' U' L2 F U' L2 U2
B' U' L2 F D' B2 U
B' U' L2 F D2 U R2
B2 U' L2 D F2 B U
B2 U' L2 D B F2 U
B2 U' L2 F B U L2
B2 U' L2 F' B U L2
B2 U' L2 F2 B U L2
B2 U' L2 B U L2 D
B2 U' L2 B U L2 D'
B2 U' L2 B U L2 D2
B2 U' L2 B D F2 U
B2 U' L2 B F U L2
B2 U' L2 B F' U L2
B2 U' L2 B F2 U L2
U2 D' R2 U B' U B'
B U' L2 B2 U2 B' U'
D U' F B' U L2 B'
D2 U' F2 D B' U B'
D2 U' F2 D2 B' L2 U
D2 U' F2 B' U D B2
D2 U' F2 B' U2 R2 U'
D2 U' F2 B' D U B2
D2 U' F2 B' D2 L2 U
U' D' B' U D2 B' L2
U' D' B' U B' D2 L2
D' U' B' U D2 B' L2
D' U' B' U B' D2 L2
U' D' B' U' R2 U2 B'
D' U' B' U' R2 U2 B'
U' D' B' D' F2 U B'
D' U' B' D' F2 U B'
U' D' B' D2 U B' L2
D' U' B' D2 U B' L2
D2 U' B' F2 U D B2
D2 U' B' F2 U2 R2 U'
D2 U' B' F2 D U B2
D2 U' B' F2 D2 L2 U
B2 U' F L2 B U L2
D U' B' U L2 D2 B2
D U' B' U' F2 U2 L2
D U' B' F U L2 B'
B2 U' F B L2 U L2
B2 U' F' L2 B U L2
B2 U' F' B L2 U L2
B U' F B2 L2 F U
B2 U' F2 L2 B U L2
B2 U' F2 B L2 U L2
B U' F' B2 L2 F U
B2 U' B L2 U L2 D
B2 U' B L2 U L2 D'
B2 U' B L2 U L2 D2
B2 U' B L2 D F2 U
B2 U' B L2 F U L2
B2 U' B L2 F' U L2
B2 U' B L2 F2 U L2
B2 U' B F L2 U L2
B U' F2 B2 L2 F U
B2 U' B F' L2 U L2
B2 U' B F2 L2 U L2
B2 U' B' L2 B2 U L2
F2 U' B' L2 F U F
F U' B' L2 F U F2
D' U2 R2 U B' U B'
B U' B2 L2 D F U
B U' B2 L2 D' F U
B U' B2 L2 D2 F U
B U' B2 L2 F U D
B U' B2 L2 F U D'
B U' B2 L2 F U D2
B U' B2 L2 F D U
B U' B2 L2 F D' U
B U' B2 L2 F D2 U
B U' B2 F L2 F U
B U' B2 F' L2 F U
B U' B2 F2 L2 F U
U D2 R2 U2 F2 B' U
U D2 R2 U2 B' F2 U
B2 U2 L2 B U' B' U2
U' D2 F2 D B' U B'
U' D2 F2 D2 B' L2 U
U' D2 F2 B' U D B2
U' D2 F2 B' U2 R2 U'
U' D2 F2 B' D U B2
U' D2 F2 B' D2 L2 U
L2 D2 F2 R2 B U F2
L2 D2 F2 U2 F' U' F'
L2 D2 F2 D R2 B U
D U2 F2 U B' U L2
U' D2 B' F2 U D B2
U' D2 B' F2 U2 R2 U'
U' D2 B' F2 D U B2
U' D2 B' F2 D2 L2 U
B' U2 D2 B' R2 U' F'
U' F L2 U2 F B2 U'
U' F L2 U2 B2 F U'
D F L2 F' D R2 B'
D F L2 F' D B' R2
D F L2 F' B' D R2
D F L2 B' F' D R2
B2 U2 B L2 R U F
B2 U2 B L2 R' U F
B2 U2 B L2 R2 U F
B2 U2 B L2 U D F
B2 U2 B L2 U D' F
B2 U2 B L2 U D2 F
B2 U2 B L2 U F D
B2 U2 B L2 U F D'
B2 U2 B L2 U F D2
B2 U2 B L2 D U F
B2 U2 B L2 D' U F
B2 U2 B L2 D2 U F
B2 U2 B R L2 U F
B2 U2 B R' L2 U F
B2 U2 B R2 L2 U F
F2 U2 B' L2 F U F
B' U2 B' D2 R2 U' F'
F U2 B' L2 F U F2
U2 F U B' L2 F U
L2 F U' D F' L2 B'
L2 F U' F' D L2 B'
L2 F D U' F' L2 B'
U F U2 B' L2 F U
F D L2 F' D R2 B
U' F B' L2 D F U
U' F B' L2 D' F U
U' F B' L2 D2 F U
U' F B' L2 F U D
U' F B' L2 F U D'
U' F B' L2 F U D2
U' F B' L2 F D U
U' F B' L2 F D' U
U' F B' L2 F D2 U
R' F B' L2 F U F2
R2 F B' L2 F U F2
D F B' U L2 F' B'
D F B' U L2 B' F'
R F B' L2 F U F2
U F B2 U2 L2 B U
U F B2 U2 B L2 U
U F B2 D2 R2 F' U'
U' F' L2 U2 F B2 U'
U' F' L2 U2 B2 F U'
F' D B' U F L2 B'
L2 F' U D R2 F L2
L2 F' U D F L2 R2
L2 F' U D F R2 L2
U2 F' U B' L2 F U
L2 F' U2 F2 B2 U' F'
L2 F' U2 B2 F2 U' F'
B' D' L2 F U F' B2
B' D' L2 F U B2 F'
L2 F' D U R2 F L2
L2 F' D U F L2 R2
L2 F' D U F R2 L2
U F' U2 B' L2 F U
L2 F' D2 F2 B2 U F'
U' F' B' L2 D F U
U' F' B' L2 D' F U
U' F' B' L2 D2 F U
U' F' B' L2 F U D
U' F' B' L2 F U D'
U' F' B' L2 F U D2
U' F' B' L2 F D U
U' F' B' L2 F D' U
U' F' B' L2 F D2 U
L2 F' D2 B2 F2 U F'
B2 D' R2 F' U' F B2
B2 D' R2 F' U' B2 F
B D' R2 U' F' U B2
B D' R2 B2 U' F' U
B D' U B U' B R2
L F' B2 R' U' F R
U F' B2 U2 L2 B U
U F' B2 U2 B L2 U
U F' B2 D2 R2 F' U'
U' F2 L2 U2 F B2 U'
U' F2 L2 U2 B2 F U'
B D' B' R2 D B' L2
U2 F2 U B' L2 F U
B2 D2 L R2 F' U' F
B D' B2 R2 U B' U'
D F2 U B' U L2 F2
D F2 U B' U F2 L2
B D' B2 U B' U' R2
B2 D2 L' R2 F' U' F
D2 F2 D R2 B' U B'
L2 F2 U2 F' B2 U' F'
L2 F2 U2 B2 F' U' F'
D2 F2 D B' R2 U B'
B2 D2 L2 R2 F' U' F
L2 F2 D R2 B U L2
U F2 U2 B' L2 F U
D2 F2 D2 B' L2 U F
U' F2 B' L2 D F U
U' F2 B' L2 D' F U
U' F2 B' L2 D2 F U
U' F2 B' L2 F U D
U' F2 B' L2 F U D'
U' F2 B' L2 F U D2
U' F2 B' L2 F D U
U' F2 B' L2 F D' U
U' F2 B' L2 F D2 U
R' F2 B' L2 F U F
B2 D2 R2 L F' U' F
B2 D2 R2 L' F' U' F
B2 D2 R2 L2 F' U' F
D2 F2 B' U F2 D B2
B2 D2 R2 D F' U' F
D2 F2 B' U2 R2 U' F2
B2 D2 R2 D' F' U' F
D2 F2 B' D R2 U B2
B2 D2 R2 D2 F' U' F
B2 D2 R2 F' U' D F
B2 D2 R2 F' U' D' F
B2 D2 R2 F' U' D2 F
B2 D2 R2 F' U' F D
B2 D2 R2 F' U' F D'
B2 D2 R2 F' U' F D2
B2 D2 R2 F' D U' F
B2 D2 R2 F' D' U' F
B2 D2 R2 F' D2 U' F
B' D2 U R2 B' U' R2
B' D2 U B' R2 U' R2
R2 F2 B' L2 F U F
R F2 B' L2 F U F
B D2 U F2 B R2 U'
B D2 U B R2 F2 U'
B D2 U B F2 R2 U'
B' D2 U2 B' R2 U' F'
U F2 B2 U2 L2 B U
U F2 B2 U2 B L2 U
U F2 B2 D2 R2 F' U'
U' B L2 B2 U2 B' U'
B2 D2 F' R2 F' U' F2
D B L2 D' R2 D' B2
D B L2 D2 B2 D R2
B2 D2 F2 R2 F' U' F'
B' D2 B' R2 F' U' F
B D2 F2 B R2 U' F2
B D2 B R2 F2 U' F2
B D2 B F2 R2 U' F2
L2 B U F B U' B'
B D2 B' D L2 R2 B2
B D2 B' D L2 B2 R2
B D2 B' D R2 L2 B2
B D2 B' D R2 B2 L2
B D2 B' D B2 L2 R2
B D2 B' D B2 R2 L2
L2 B U B F U' B'
R' B U' B2 L2 F U
R2 B U' B2 L2 F U
B' F L2 U F' D' L2
B' F L2 D F U F2
B' F L2 D' F U F2
B' F L2 D2 F U F2
D2 B D B2 D2 L2 R2
D2 B D B2 D2 R2 L2
B' F L2 F R U F2
B' F L2 F R' U F2
B' F L2 F R2 U F2
B' F L2 F U F2 D
B' F L2 F U F2 D'
B' F L2 F U F2 D2
B' F L2 F D R2 U
D2 B D' L2 R2 D2 B2
D2 B D' R2 L2 D2 B2
R B U' B2 L2 F U
D' B D' B R2 D' L2
U B U2 B2 L2 F U
D' B D2 L2 D B R2
D' B D2 L2 B D R2
D' B D2 B L2 D R2
U B D' B U' B R2
U B D2 F2 B R2 U'
U B D2 B R2 F2 U'
U B D2 B F2 R2 U'
U' B' L D L F U
U' B' L D' L F U
U' B' L D2 L F U
U' B' L F L F U
U' B' L F' L F U
U' B' L F2 L F U
B2 F U2 L2 B U F'
U' B' L2 R F R' U
U' B' L2 R2 F R2 U
R' B' L2 R F U F'
R' B' L2 R' F U F'
U' B' L2 D F U D
U' B' L2 D F U D'
U' B' L2 D F U D2
U' B' L2 D F D U
U' B' L2 D F D' U
U' B' L2 D F D2 U
R' B' L2 R2 F U F'
U' B' L2 D' F U D
U' B' L2 D' F U D'
U' B' L2 D' F U D2
U' B' L2 D' F D U
U' B' L2 D' F D' U
U' B' L2 D' F D2 U
U' B' L2 D2 F U D
U' B' L2 D2 F U D'
U' B' L2 D2 F U D2
U' B' L2 D2 F D U
U' B' L2 D2 F D' U
U' B' L2 D2 F D2 U
B2 F U2 B L2 U F'
U' B' L2 F' U D' L2
U' B' L2 F' D' U L2
R' B' L2 D F U F'
U' B' L2 F2 D F' U
U' B' L2 F2 D' F' U
R' B' L2 D' F U F'
U' B' L2 F2 D2 F' U
R' B' L2 D2 F U F'
R' B' L2 F U D F'
R' B' L2 F U D' F'
R' B' L2 F U D2 F'
R' B' L2 F U F' D
R' B' L2 F U F' D'
R' B' L2 F U F' D2
R' B' L2 F D U F'
R' B' L2 F D' U F'
R' B' L2 F D2 U F'
U' B' R L2 F R' U
U2 B' L2 R2 F U F2
R' B' R L2 F U F'
R2 B' L2 R F U F'
R2 B' L2 R' F U F'
U2 B' L2 F R2 U F'
U2 B' L2 F U' B U2
R2 B' L2 R2 F U F'
D2 B' R F2 L' U F2
R2 B' L2 D F U F'
R2 B' L2 D' F U F'
R2 B' L2 D2 F U F'
R2 B' L2 F U D F'
R2 B' L2 F U D' F'
R2 B' L2 F U D2 F'
R2 B' L2 F U F' D
R2 B' L2 F U F' D'
R2 B' L2 F U F' D2
R2 B' L2 F D U F'
R2 B' L2 F D' U F'
R2 B' L2 F D2 U F'
R' B' R' L2 F U F'
D B' L2 D2 B2 D' R2
R2 B' R L2 F U F'
U B' L2 U2 L2 B' U'
U B' L2 D F U F
R B' L2 R F U F'
U B' L2 D2 R2 F U
U B' L2 D2 F R2 U
R B' L2 R' F U F'
U B' L2 F U D F2
U' B' R2 L2 F R2 U
U B' L2 F U2 L2 U'
U B' L2 F D U F2
U B' L2 F D2 R2 U
R B' L2 R2 F U F'
R' B' R2 L2 F U F'
R B' L2 D F U F'
R B' L2 D' F U F'
R B' L2 D2 F U F'
R B' L2 F U D F'
R B' L2 F U D' F'
R B' L2 F U D2 F'
R B' L2 F U F' D
R B' L2 F U F' D'
R B' L2 F U F' D2
R B' L2 F D U F'
R B' L2 F D' U F'
R B' L2 F D2 U F'
R2 B' R' L2 F U F'
R B' R L2 F U F'
U2 B' R2 L2 F U F2
R2 B' R2 L2 F U F'
R B' R' L2 F U F'
L2 B' U F B' U' B
B' F' L2 F U' B' U2
F2 B' L2 R F U F
F2 B' L2 R' F U F
F2 B' L2 R2 F U F
L2 B' U B' F U' B
R B' R2 L2 F U F'
F' B' L2 F U' B' U2
F2 B' L2 D R2 F U
F2 B' L2 D F R2 U
U' B' U2 D' B' U' B'
U' B' U2 D2 R2 B' U'
F2 B' L2 F R U F
F2 B' L2 F R' U F
F2 B' L2 F R2 U F
U' B' U2 D2 B' R2 U'
F2 B' L2 F U D F
F2 B' L2 F U D' F
F2 B' L2 F U D2 F
F2 B' L2 F U F D
F2 B' L2 F U F D'
F2 B' L2 F U F D2
F2 B' L2 F D U F
F2 B' L2 F D' U F
F2 B' L2 F D2 U F
U' B' U2 B' U' D' B2
U' B' U2 B' U2 L2 U
U' B' U2 B' D' U' B2
U' B' U2 B' D2 R2 U'
F2 B' R L2 F U F
F B' L2 U F' D' L2
F B' L2 D F U F2
F B' L2 D' F U F2
F B' L2 D2 F U F2
F B' L2 F R U F2
F B' L2 F R' U F2
F B' L2 F R2 U F2
F B' L2 F U F2 D
F B' L2 F U F2 D'
F B' L2 F U F2 D2
F B' L2 F D R2 U
F2 B' R' L2 F U F
U' B' D' L2 F U B2
U' B' D' U2 B' U' B'
F2 B' R2 L2 F U F
D' B' D' F2 U F2 B'
D' B' D' F2 U B' F2
U' B' D2 U2 R2 B' U'
U' B' D2 U2 B' R2 U'
U' B' F L2 D F U
U' B' F L2 D' F U
U' B' F L2 D2 F U
U' B' F L2 F U D
U' B' F L2 F U D'
U' B' F L2 F U D2
U' B' F L2 F D U
U' B' F L2 F D' U
U' B' F L2 F D2 U
R' B' F L2 F U F2
U' B' F' L2 D F U
U' B' F' L2 D' F U
U' B' F' L2 D2 F U
U' B' F' L2 F U D
U' B' F' L2 F U D'
U' B' F' L2 F U D2
U' B' F' L2 F D U
