B R' D L2 F2 B
B R' D L2 B F2
B R' D F2 L2 B
B R' D F2 B L2
B R' D B L2 F2
B R' D B F2 L2
R' B R' D L2 F2
R' B R' D F2 L2
R' B D L2 R' F2
R' B D L2 F2 R'
R' B D R' L2 F2
R' B D R' F2 L2
R' B D F2 L2 R'
R' B D F2 R' L2
R' B D R' F2 L2 D2
L2 B U2 F U R' B
R' B D F R' F L2
R' B D F' L2 F' R'
R' B D F2 L2 R' D
R' B D F2 L2 R' D'
R' B D F2 L2 R' D2
R' B D F2 L2 D R'
R' B D F2 L2 D' R'
R' B D F2 L2 D2 R'
R' B D F2 R' L2 D
R' B D F2 R' L2 D'
R' B D F2 R' L2 D2
R2 B D R' F2 L2 B'
F' B R' D L2 F2 B
F' B R' D L2 B F2
F' B R' D F2 L2 B
F' B R' D F2 B L2
F' B R' D B L2 F2
F' B R' D B F2 L2
R' B F R' D L2 F2
R' B F R' D F2 L2
R B D F2 L2 R' B'
R B D F2 R' L2 B'
F2 B R' D L2 F2 B
F2 B R' D L2 B F2
F2 B R' D F2 L2 B
F2 B R' D F2 B L2
F2 B R' D B L2 F2
F2 B R' D B F2 L2
R' B F D L2 R' F2
R' B F D L2 F2 R'
R' B F D R' L2 F2
R' B F D R' F2 L2
R' B F D F2 L2 R'
R' B F D F2 R' L2
R' B F' R' D L2 F2
R' B F' R' D F2 L2
B F R' D L2 F2 B
B F R' D L2 B F2
B F R' D F2 L2 B
B F R' D F2 B L2
B F R' D B L2 F2
B F R' D B F2 L2
R' B F' D L2 R' F2
R' B F' D L2 F2 R'
R' B F' D R' L2 F2
R' B F' D R' F2 L2
R' B F' D F2 L2 R'
R' B F' D F2 R' L2
F B R' D L2 F2 B
F B R' D L2 B F2
F B R' D F2 L2 B
F B R' D F2 B L2
F B R' D B L2 F2
F B R' D B F2 L2
R' B F2 R' D L2 F2
R' B F2 R' D F2 L2
R' B F2 D L2 R' F2
R' B F2 D L2 F2 R'
R' B F2 D R' L2 F2
R' B F2 D R' F2 L2
R' B F2 D F2 L2 R'
R' B F2 D F2 R' L2
R' B' L2 U L' U2 B2
R' B' L2 F2 U' R B2
R' B' L2 F2 U' B2 R
R B' L2 U L' F' U2
R' B' U' B2 R' D F2
R' B' U' B2 D R' F2
R' B' U' B2 D F2 R'
D B' U2 L B' U F2
B F' R' D L2 F2 B
B F' R' D L2 B F2
B F' R' D F2 L2 B
B F' R' D F2 B L2
B F' R' D B L2 F2
B F' R' D B F2 L2
B F2 R' D L2 F2 B
B F2 R' D L2 B F2
B F2 R' D F2 L2 B
B F2 R' D F2 B L2
B F2 R' D B L2 F2
B F2 R' D B F2 L2
