U' F2 B U2 L R'
U' F2 B U2 R' L
U' B F2 U2 L R'
U' B F2 U2 R' L
U F' L' R2 B F' R'
U' F' R2 F' B L R'
U' F' R2 F' B R' L
U' F' R2 B L F' R'
U' F' R2 B F' L R'
U' F' R2 B F' R' L
U F' R2 L' F' B R'
U F' R2 L' B F' R'
U F' R2 B L' F' R'
U' F2 L B U2 L R'
U' F2 L B U2 R' L
U' F2 L' B U2 L R'
U' F2 L' B U2 R' L
U' F2 L2 B U2 L R'
U' F2 L2 B U2 R' L
U' F2 B L' U2 L2 R'
U' F2 B L' U2 R' L2
U' F2 B L2 U2 L' R'
U' F2 B L2 U2 R' L'
U' F2 B R U2 L R2
U' F2 B R U2 R2 L
U' F2 B R2 U2 L R
U' F2 B R2 U2 R L
U' F2 B U2 L R' D
U' F2 B U2 L R' D'
U' F2 B U2 L R' D2
U' F2 B U2 L D R'
U' F2 B U2 L D' R'
U' F2 B U2 L D2 R'
U' F2 B U2 R' L D
U' F2 B U2 R' L D'
U' F2 B U2 R' L D2
U' F2 B U2 R' D L
U' F2 B U2 R' D' L
U' F2 B U2 R' D2 L
U' F2 B U2 D L R'
U' F2 B U2 D R' L
U' F2 B U2 D' L R'
U' F2 B U2 D' R' L
U' F2 B U2 D2 L R'
U' F2 B U2 D2 R' L
U' F2 B D U2 L R'
U' F2 B D U2 R' L
U' F2 B D' U2 L R'
U' F2 B D' U2 R' L
U' F2 B D2 U2 L R'
U' F2 B D2 U2 R' L
U' F2 B' L R' B2 U2
U' F2 B' L B2 U2 L
U' F2 B' R' L B2 U2
U' F2 B' R' B2 U2 R'
U' B L' F2 U2 L2 R'
U' B L' F2 U2 R' L2
U' B L2 F2 R U2 R2
U' B R F2 U2 L R2
U' B R F2 U2 R2 L
U' B R2 F2 L' U2 L2
R B R U' F' R2 B
U' B U2 L R' D2 B2
U' B U2 L D2 R' B2
U' B U2 R' L D2 B2
U' B U2 R' D2 L B2
U' B U2 D2 L R' B2
U' B U2 D2 R' L B2
R B U' R F' R2 B
U' B D2 U2 L R' B2
U' B D2 U2 R' L B2
F2 B R U' B U' R2
U' B F2 L' U2 L2 R'
U' B F2 L' U2 R' L2
U' B F2 L2 U2 L' R'
U' B F2 L2 U2 R' L'
U' B F2 R U2 L R2
U' B F2 R U2 R2 L
U' B F2 R2 U2 L R
U' B F2 R2 U2 R L
U' B F2 U2 L R' D
U' B F2 U2 L R' D'
U' B F2 U2 L R' D2
U' B F2 U2 L D R'
U' B F2 U2 L D' R'
U' B F2 U2 L D2 R'
U' B F2 U2 R' L D
U' B F2 U2 R' L D'
U' B F2 U2 R' L D2
U' B F2 U2 R' D L
U' B F2 U2 R' D' L
U' B F2 U2 R' D2 L
U' B F2 U2 D L R'
U' B F2 U2 D R' L
U' B F2 U2 D' L R'
U' B F2 U2 D' R' L
U' B F2 U2 D2 L R'
U' B F2 U2 D2 R' L
U' B F2 D U2 L R'
U' B F2 D U2 R' L
U' B F2 D' U2 L R'
U' B F2 D' U2 R' L
U' B F2 D2 U2 L R'
U' B F2 D2 U2 R' L
U' B' L R' F2 B2 U2
U' B' L R' B2 F2 U2
U B F R F U2 R2
F2 B U F' U L' R'
F2 B U F' U R' L'
U' B' L F2 R' B2 U2
U' B' L F2 B2 U2 L
U' B' L B2 F2 U2 L
U' B' R' L F2 B2 U2
U' B' R' L B2 F2 U2
U' B' R' F2 L B2 U2
U' B' R' F2 B2 U2 R'
U' B' R' B2 F2 U2 R'
U' B' D2 F2 B2 L R'
U' B' D2 F2 B2 R' L
U' B' D2 B2 L R' F2
U' B' D2 B2 L F2 R'
U' B' D2 B2 R' L F2
U' B' D2 B2 R' F2 L
U' B' D2 B2 F2 L R'
U' B' D2 B2 F2 R' L
U' B' F2 L R' B2 U2
U' B' F2 L B2 U2 L
U' B' F2 R' L B2 U2
U' B' F2 R' B2 U2 R'
B F2 R U' B U' R2
B F2 U F' U L' R'
B F2 U F' U R' L'
