U' L U' L2 R2 U'
U' L U' R2 L2 U'
U' L U2 D F2 B2
U' L U2 D B2 F2
U' L D U2 F2 B2
U' L D U2 B2 F2
U' L D' F2 B2 U2
U' L D' B2 F2 U2
R2 L' U L2 U2 L2
U2 L' R2 U L2 U2
U2 L' R2 U' D2 R2
U2 L' R2 D F2 U'
U2 L' R2 D2 U' R2
U2 L' D F2 U' B2
L' R2 U L2 U2 L2
L U2 L2 R2 U' R2
L U2 R2 L2 U' R2
U2 R2 L' U L2 U2
U2 R2 L' U' D2 R2
U2 R2 L' D F2 U'
U2 R2 L' D2 U' R2
B2 U2 L' R2 U' R
B2 U2 R2 L' U' R
U' L' R2 D2 U' L2 R2
U' L' R2 D2 U' R2 L2
U L' R2 U' D2 L R2
U L' R2 U' D2 R2 L
U2 L' R2 D2 U' R2 D
U2 L' R2 D2 U' R2 D'
U2 L' R2 D2 U' R2 D2
U2 L' R2 D2 F U' R2
U2 L' R2 D2 F' U' R2
U2 L' R2 D2 F2 U' R2
U2 L' R2 F U L2 U2
U2 L' R2 F U' D2 R2
U2 L' R2 F D F2 U'
U2 L' R2 F D2 U' R2
U L' R2 D F2 U' L
U2 L' R2 F' U L2 U2
U2 L' R2 F' U' D2 R2
U2 L' R2 F' D F2 U'
U2 L' R2 F' D2 U' R2
U2 L' R2 F2 U L2 U2
U2 L' R2 F2 U' D2 R2
U2 L' R2 F2 D F2 U'
U L' R2 D2 U' L R2
U L' R2 D2 U' R2 L
U2 L' R2 F2 D2 U' R2
D' L' U L2 F2 U2 L2
U2 L' U L2 U' R2 U'
U2 L' U L2 U2 D B2
U2 L' U L2 D U2 B2
U2 L' U L2 D' F2 U2
D L' U L2 U2 L2 B2
D L' U L2 U2 B2 L2
R2 L' D2 U' R2 D2 L2
D' L' U F2 L2 U2 L2
D' L' U' L2 F2 U2 F2
D L' U B2 D2 R2 F2
D L' U B2 D2 F2 R2
U L' U' L D B2 R'
U2 L' U' D B2 D R2
U2 L' U' D2 R2 D' B2
D' L' U' F2 L2 U2 F2
U2 L' U2 D2 L2 U R2
U2 L' D R F2 U' B2
U2 L' D R' F2 U' B2
U2 L' D R2 F2 U' B2
U2 L' D U' B2 D R2
U2 L' D F2 R U' B2
U2 L' D F2 R' U' B2
U2 L' D F2 R2 U' B2
U2 L' D F2 U' B2 D
U2 L' D F2 U' B2 D'
U2 L' D F2 U' B2 D2
U2 L' D F2 D' R2 U'
R2 L' F2 D2 B2 U' R2
D2 L' D' L' B2 R' U
U L' D F2 U' L B2
R2 L' B U L2 U2 L2
R2 L' B' U L2 U2 L2
U2 L' D2 U' R2 D' B2
U2 L' D2 U2 L2 U R2
U2 L' F R2 U L2 U2
U2 L' F R2 U' D2 R2
U2 L' F R2 D F2 U'
U2 L' F R2 D2 U' R2
R2 L' B2 U L2 U2 L2
B2 L' F R2 B U' R
B L' F R2 B U' R'
U2 L' F D F2 U' B2
L' R2 U L2 R U2 L2
L' R2 U L2 R' U2 L2
L' R2 U L2 R2 U2 L2
L' R2 U L2 U2 L2 D
L' R2 U L2 U2 L2 D'
L' R2 U L2 U2 L2 D2
L' R2 U L2 D2 R2 U2
L' R2 U R L2 U2 L2
L' R2 U R' L2 U2 L2
L' R2 U R2 L2 U2 L2
U2 L' F' R2 U L2 U2
U2 L' F' R2 U' D2 R2
U2 L' F' R2 D F2 U'
U2 L' F' R2 D2 U' R2
U2 L' F' D F2 U' B2
L' R2 U' R2 D2 L2 R2
L' R2 U' R2 D2 R2 L2
L' R2 U' D2 R2 D2 L2
U2 L' F2 R2 U L2 U2
U2 L' F2 R2 U' D2 R2
U2 L' F2 R2 D F2 U'
U2 L' F2 R2 D2 U' R2
U2 L' F2 D F2 U' B2
L' R2 D F2 U' D' L2
L' R2 D F2 U2 F2 U
L' R2 D F2 D' U' L2
L' R2 D F2 D2 B2 U'
L' R2 D2 U' R2 D2 L2
F2 L2 R F2 L' U R
U2 L2 R2 F2 L U' R
D2 L2 U' L' U' L2 U'
D2 L2 U' L' U2 D F2
D2 L2 U' L' D U2 F2
D2 L2 U' L' D' B2 U2
L' R2 F2 D2 B2 U' R2
L' R2 B U L2 U2 L2
D2 L2 U2 L U L2 U2
D2 L2 U2 L U' D2 R2
D2 L2 U2 L D F2 U'
D2 L2 U2 L D2 U' R2
B2 L2 U2 L R2 U' R
B2 L2 U2 R2 L U' R
D2 L2 U2 F2 L U' R
L' R2 B' U L2 U2 L2
L' R2 B2 U L2 U2 L2
R2 U L U' L2 U' L
R2 U L U2 D L' F2
R2 U L D U2 L' F2
R2 U L D' B2 U2 L'
L' U L2 U' R2 U' L2
L' U L2 U2 L2 D B2
U2 L2 F2 L R2 U' R'
U2 L2 F2 R2 L U' R'
D2 L2 B' U' L' B' U2
D2 L2 B2 R' U' L' U2
L U D F2 B2 D' R2
L U D B2 F2 D' R2
L U D2 L2 R2 U L2
L U D2 R2 L2 U L2
U2 R L' D R F2 U'
U2 R L' D2 R U' R
F2 R L2 F2 L' U R
B2 R U2 L' R U' R
B2 R U2 R L' U' R
R' U' L U' L2 R' U'
R' U' L U' R' L2 U'
R2 U' L D' B2 U2 B2
R U' L U' L2 R U'
R U' L U' R L2 U'
L2 U' L' U' L2 R2 U'
L2 U' L' U' R2 L2 U'
L2 U' L' U2 D F2 B2
L2 U' L' U2 D B2 F2
L2 U' L' D U2 F2 B2
L2 U' L' D U2 B2 F2
L2 U' L' D' F2 B2 U2
L2 U' L' D' B2 F2 U2
L' U' L2 D' F2 U2 F2
L U' L2 R2 U R2 U2
L U' L2 R2 U' D2 L2
L U' L2 R2 D B2 U'
L U' L2 R2 D2 U' L2
F2 R F2 L' U D2 R2
F2 R F2 L' U' L2 U2
F2 R F2 L' D' B2 U
F2 R F2 L' D2 U R2
F2 R F2 B2 L' U R'
L U' R2 L2 U R2 U2
L U' R2 L2 U' D2 L2
L U' R2 L2 D B2 U'
L U' R2 L2 D2 U' L2
L U' R2 D B2 U' F2
F2 R B2 F2 L' U R'
U2 R' L' D R' F2 U'
U2 R' L' D F2 R' U'
U2 R' L' D2 R' U' R'
B2 R' U L' R' U' L
B2 R' U R' L' U' L
L2 U2 L R2 U L2 U2
L2 U2 L R2 U' D2 R2
L2 U2 L R2 D F2 U'
L2 U2 L R2 D2 U' R2
L2 U2 L D F2 U' B2
R' U2 L' R' U L2 U2
R' U2 L' R' U' D2 R2
R' U2 L' R' D F2 U'
R' U2 L' R' D2 U' R2
R' U2 L' D R' F2 U'
R' U2 L' D F2 R' U'
R' U2 L' D2 R' U' R'
R U2 L' R U L2 U2
R U2 L' R U' D2 R2
R U2 L' R D F2 U'
R U2 L' R D2 U' R2
R U2 L' D R F2 U'
R U2 L' D2 R U' R
L U2 L2 R2 U' R2 D
L U2 L2 R2 U' R2 D'
L U2 L2 R2 U' R2 D2
L U2 L2 R2 D' F2 U'
L U2 L2 R2 F U' R2
L U2 L2 R2 F' U' R2
L U2 L2 R2 F2 U' R2
L U2 L2 F R2 U' R2
L U2 L2 F' R2 U' R2
L U2 L2 F2 R2 U' R2
R' U2 R' L' U L2 U2
R' U2 R' L' U' D2 R2
R' U2 R' L' D F2 U'
R' U2 R' L' D2 U' R2
R U2 R L' U L2 U2
R U2 R L' U' D2 R2
R U2 R L' D F2 U'
R U2 R L' D2 U' R2
L2 U2 R2 L U L2 U2
L2 U2 R2 L U' D2 R2
L2 U2 R2 L D F2 U'
L2 U2 R2 L D2 U' R2
L' U2 R2 D2 L2 U' R2
L U2 R2 L2 U' R2 D
L U2 R2 L2 U' R2 D'
L U2 R2 L2 U' R2 D2
L U2 R2 L2 D' F2 U'
L U2 R2 L2 F U' R2
L U2 R2 L2 F' U' R2
L U2 R2 L2 F2 U' R2
L2 U2 R2 F2 L U' R
L U2 R2 U' R2 D F2
L U2 R2 F L2 U' R2
L U2 R2 F' L2 U' R2
L U2 R2 F2 L2 U' R2
L U2 D F2 B2 D L2
L U2 D B2 F2 D L2
U' R2 L' U L2 R2 U2
U' R2 L' U R2 L2 U2
U' R2 L' U' D2 L2 R2
U' R2 L' U' D2 R2 L2
U' R2 L' D F2 B2 U'
U' R2 L' D B2 F2 U'
U2 R2 L' U L2 U2 D
U2 R2 L' U L2 U2 D'
U2 R2 L' U L2 U2 D2
U2 R2 L' U L2 D U2
U2 R2 L' U L2 D' U2
U2 R2 L' U L2 D2 U2
U' R2 L' D2 U' L2 R2
U' R2 L' D2 U' R2 L2
U2 R2 L' U' R D2 R2
U2 R2 L' U' R' D2 R2
U2 R2 L' U' R2 D2 R2
U2 R2 L' U' D2 R2 D
U2 R2 L' U' D2 R2 D'
U2 R2 L' U' D2 R2 D2
U2 R2 L' U2 D' B2 U
U2 R2 L' D F2 U' D
U2 R2 L' D F2 U' D'
U2 R2 L' D F2 U' D2
U2 R2 L' D F2 D U'
U2 R2 L' D F2 D' U'
U2 R2 L' D F2 D2 U'
U2 R2 L' D' U2 B2 U
U2 R2 L' D2 U' R2 D
U2 R2 L' D2 U' R2 D'
U2 R2 L' D2 U' R2 D2
U2 R2 L' D2 F U' R2
U2 R2 L' D2 F' U' R2
U2 R2 L' D2 F2 U' R2
U2 R2 L' F U L2 U2
U2 R2 L' F U' D2 R2
U2 R2 L' F D F2 U'
U2 R2 L' F D2 U' R2
U2 R2 L' F' U L2 U2
U2 R2 L' F' U' D2 R2
U2 R2 L' F' D F2 U'
U2 R2 L' F' D2 U' R2
U2 R2 L' F2 U L2 U2
U2 R2 L' F2 U' D2 R2
U2 R2 L' F2 D F2 U'
U2 R2 L' F2 D2 U' R2
U R2 L' U L2 U2 L'
U R2 L' U' D2 L R2
U R2 L' U' D2 R2 L
L U2 F L2 R2 U' R2
U R2 L' D F2 U' L
U R2 L' D2 U' L R2
U R2 L' D2 U' R2 L
L U2 F R2 L2 U' R2
U2 R2 L2 F2 L U' R
U2 R2 U L U' L2 U'
U2 R2 U L U2 D F2
U2 R2 U L D U2 F2
U2 R2 U L D' B2 U2
L U2 F' L2 R2 U' R2
L U2 F' R2 L2 U' R2
L2 U2 F2 L R2 U' R'
L2 U2 F2 R2 L U' R'
L U2 F2 L2 R2 U' R2
L U2 F2 R2 L2 U' R2
U2 R2 D L' U L2 U2
U2 R2 D L' U' D2 R2
U2 R2 D L' D F2 U'
U2 R2 D L' D2 U' R2
U' R2 D B2 L' U' R'
U2 R2 D' L' U L2 U2
U2 R2 D' L' U' D2 R2
U2 R2 D' L' D F2 U'
U2 R2 D' L' D2 U' R2
L U2 B2 D L2 F2 B2
L U2 B2 D L2 B2 F2
L U2 B2 D F2 L2 B2
L U2 B2 D F2 B2 L2
L U2 B2 D B2 L2 F2
L U2 B2 D B2 F2 L2
U2 R2 D2 L' U L2 U2
U2 R2 D2 L' U' D2 R2
U2 R2 D2 L' D F2 U'
U2 R2 D2 L' D2 U' R2
L D L U F2 R B2
L D L U F2 B2 R
L D L U B2 F2 R
F2 R2 D2 B2 L U' R'
R2 D L' U L2 U2 L2
U2 R2 F U L U2 F
L D L' U F2 B2 R'
L D L' U B2 R' F2
L D L' U B2 F2 R'
U' D L U' L2 U' B2
U R2 B2 L' U' L R'
U R2 B2 L' U' R' L
U' D L U2 B2 D F2
L D U F2 B2 D' R2
L D U B2 F2 D' R2
B2 U L' R2 U' L R
B2 U L' R2 U' R L
U2 D L' U L2 U2 B2
U2 D L' U' B2 D2 R2
L D U2 F2 B2 D L2
D U L' U' L B2 R'
L D U2 B2 F2 D L2
U D L' U' L B2 R'
L' D F2 U' B2 D' L2
L' D F2 U2 F2 U B2
L' D F2 D' R2 U' L2
B2 U R' U L' R' U'
B2 U R' U R' L' U'
B2 U R2 L' U' L R
B2 U R2 L' U' R L
U2 D F U' B2 R' F'
R2 D' L' U L2 U2 L2
D U F2 B2 R' D' F2
U D F2 B2 R' D' F2
D U B2 R' U L' U'
D U B2 U L' U' R'
U D B2 R' U L' U'
D' U' L F2 U' L2 U'
D' U' L F2 U2 D F2
U' D' L F2 U' L2 U'
D' U' L F2 D U2 F2
U' D' L F2 U2 D F2
D' U' L F2 D' B2 U2
U' D' L F2 D U2 F2
U' D' L F2 D' B2 U2
U D B2 U L' U' R'
D U B2 F2 R' D' F2
D U' L U' L2 U' B2
U D B2 F2 R' D' F2
D U' L U2 B2 D F2
U2 D' L' U L2 F2 U2
U2 D' L' U F2 L2 U2
U2 D' L' U' D2 R2 B2
U2 D' L' U' D2 B2 R2
U2 D' L' D R2 F2 U'
U2 D' L' D F2 R2 U'
U2 D' L' D2 U' R2 B2
U2 D' L' D2 U' B2 R2
U' D' F2 L U R U
D' U' F2 L U R U
L D' F2 B2 U F2 U
L D' F2 B2 U2 D' L2
L D' F2 B2 D R2 U2
L D' F2 B2 D' U2 L2
L' D' B2 U' F2 U2 F2
L D' B2 F2 U F2 U
L D' B2 F2 U2 D' L2
L D' B2 F2 D R2 U2
L D' B2 F2 D' U2 L2
R2 D2 L' U L2 U2 L2
L' D2 L2 U R2 D F2
L' D2 L2 U2 L2 U' R2
L' D2 L2 D B2 U F2
D' U2 L' U L2 F2 U2
D' U2 L' U F2 L2 U2
D' U2 L' U' D2 R2 B2
D' U2 L' U' D2 B2 R2
D' U2 L' D R2 F2 U'
D' U2 L' D F2 R2 U'
L D2 L2 R2 U D2 R2
L D2 L2 R2 U' L2 U2
L D2 L2 R2 D' B2 U
L D2 L2 R2 D2 U R2
D' U2 L' D2 U' R2 B2
D' U2 L' D2 U' B2 R2
D2 U2 L' D F2 R U'
L D2 L2 D' B2 U F2
U2 D2 L' D F2 R U'
D U2 L' U L2 U2 B2
D U2 L' U' B2 D2 R2
L D2 R2 L2 U D2 R2
L D2 R2 L2 U' L2 U2
L D2 R2 L2 D' B2 U
L D2 R2 L2 D2 U R2
L D2 U L2 R2 U L2
L D2 U R2 L2 U L2
B' U2 L' R2 F U' R
B2 U2 L' R2 U' R D
B2 U2 L' R2 U' R D'
B2 U2 L' R2 U' R D2
B2 U2 L' R2 U' D R
B2 U2 L' R2 U' D' R
B2 U2 L' R2 U' D2 R
B2 U2 L' R2 D U' R
B2 U2 L' R2 D' U' R
B2 U2 L' R2 D2 U' R
B2 U2 L' U' D R' B2
B' U2 L' F R2 U' R'
B2 U2 L' D U' R' B2
B2 U2 L' F R2 U' R
B2 U2 L' F' R2 U' R
B2 U2 L' F2 R2 U' R
D U2 F U' B2 R' F'
B' U2 R2 L' F U' R
B2 U2 R2 L' U' R D
B2 U2 R2 L' U' R D'
B2 U2 R2 L' U' R D2
B2 U2 R2 L' U' D R
B2 U2 R2 L' U' D' R
B2 U2 R2 L' U' D2 R
B2 U2 R2 L' D U' R
B2 U2 R2 L' D' U' R
B2 U2 R2 L' D2 U' R
B2 U2 R2 D L' U' R
B2 U2 R2 D' L' U' R
B2 U2 R2 D2 L' U' R
B2 U2 D L' U' R' B2
B U2 R2 D L' F U'
B U2 D L' F U' B2
B' U2 F R2 U' R' F'
L' F R2 D F2 B U'
L' F R2 D B F2 U'
L' F R2 D2 B U' R2
U2 F R2 U L U2 F
L' F R2 B U L2 U2
L' F R2 B U' D2 R2
L' F R2 B D F2 U'
L' F R2 B D2 U' R2
U2 F U' D B2 R' F'
L F U' L2 R2 B U'
L F U' R2 L2 B U'
L F U' R2 B L2 U'
U2 F D U' B2 R' F'
B2 D U2 L' U' R' B2
B D U2 L' F U' B2
L F' U' L2 R2 B' U'
L F' U' L2 B' R2 U'
L F' U' R2 L2 B' U'
U' F' D' L F2 B' U2
U' F' D' L B' F2 U2
U' F' D' F2 L B' U2
U F' D R F' B2 R'
U F' D R B2 F' R'
U F' D R2 B2 R' F'
U F' D B2 R F' R2
D' F2 L U R F2 U
D2 F2 L2 R F2 U R
D2 F2 R L2 F2 U R
D F2 R F2 U B2 R'
L' F2 R2 D2 B2 U' R2
B2 D2 L2 U2 L U' R'
B' D2 L2 B' U R' F'
L F2 D R2 U2 F2 B2
L F2 D R2 U2 B2 F2
U F2 D B2 R' D' F2
L F2 D' F2 B2 U2 L2
L F2 D' B2 F2 U2 L2
D F2 B2 R' D' L2 F2
D F2 B2 R' D' F2 L2
L' B R2 U L2 U2 L2
D B U2 L' U' B R'
L B U2 L2 R2 U' R2
L B U2 R2 L2 U' R2
B F R2 B U' R' F'
F B R2 B U' R' F'
D2 B' L2 B' U R' F'
L' B' R2 U L2 U2 L2
L B' U2 L2 R2 U' R2
L B' U2 R2 L2 U' R2
R' B2 L U R' D F2
R' B2 L U D R' F2
R' B2 L U D F2 R'
R' B2 L U2 L2 U' R'
R' B2 L D U R' F2
R' B2 L D U F2 R'
R' B2 L D2 R2 U R
U2 B2 L' R2 B2 U' R
D2 B2 L2 U2 L U' R'
U B2 L' R2 U' L R
U B2 L' R2 U' R L
L' B2 R2 U L2 U2 L2
D B2 R' U L' U' L
U2 B2 R2 L' B2 U' R
U B2 R' U L' R' U'
U B2 R' U R' L' U'
U' B2 U' L' R2 U' R
B2 F2 R F2 L' U R2
U2 B2 R2 B2 L' U' R
F2 B2 R F2 L' U R2
U' B2 U' R2 L' U' R
U B2 R2 L' U' L R
U B2 R2 L' U' R L
D B2 U L' U' L R'
D B2 U L' U' R' L
U B2 U L' R2 U' R
U B2 U R2 L' U' R
L B2 U2 L2 R2 U' R2
L B2 U2 R2 L2 U' R2
R B2 U2 L' R U' R2
R B2 U2 R L' U' R2
D B2 F2 R' D' L2 F2
D B2 F2 R' D' F2 L2
