F' L' F2 U' B2
F U2 R U B2
F L U2 R U B2
F' L F2 L2 U' B2
F' L' R F2 U' B2
F' L' R' F2 U' B2
F' L' R2 F2 U' B2
F' L' U' B2 D R2
F L' U2 R U B2
F' L' F2 R U' B2
F' L' F2 R' U' B2
F' L' F2 R2 U' B2
F' L' F2 U' B2 D
F' L' F2 U' B2 D'
F' L' F2 U' B2 D2
F' L' F2 D' R2 U'
F L2 U2 R U B2
F' L2 F2 L U' B2
U2 L2 B' R' U B'
F' R L' F2 U' B2
F R U' B2 D2 F2
F' R' L' F2 U' B2
F R' U' B2 D' F2
F R' U2 R2 U B2
F R' D' R2 U' F2
U' R' F' B2 D R2
U' R' B2 F' D R2
F' R2 L' F2 U' B2
L2 U2 B' R' U B'
F R2 U2 R' U B2
D' R2 F U2 R U
D' R2 F' L' F2 U'
U2 D L2 B' R' U
D U2 L2 B' R' U
F U' B2 U' R U
F U2 L R U B2
F U2 L' R U B2
F U2 L2 R U B2
F U2 R L U B2
F U2 R L' U B2
F U2 R L2 U B2
F U2 R U B2 D
F U2 R U B2 D'
F U2 R U B2 D2
F U2 R D L2 U
F U2 D L2 R U
F U2 D R L2 U
D' F R2 U2 R' U
R' F U2 R U B2
R2 F U2 R U B2
D F U2 L2 R U
D F U2 R L2 U
R F U2 R U B2
R' F' L' F2 U' B2
D' F' L' R2 F2 U'
D' F' L' F2 R2 U'
R2 F' L' F2 U' B2
L F' L' F U' B2
F D U2 L2 R U
F D U2 R L2 U
D F' L' F2 R U'
R F' L' F2 U' B2
D' F' R2 L' F2 U'
F D' R2 U2 R' U
U' B2 R' F' D R2
F' L' R' F2 U' B2 D
F' L' R' F2 U' B2 D'
F' L' R' F2 U' B2 D2
F' L' R' F2 D' R2 U'
F' L' R2 U' B2 D R2
F L' R2 U2 R' U B2
F' L' R2 F2 R U' B2
F' L' R2 F2 R' U' B2
F' L' R2 F2 R2 U' B2
F' L' R2 F2 U' B2 D
F' L' R2 F2 U' B2 D'
F' L' R2 F2 U' B2 D2
F' L' R2 F2 D' R2 U'
U2 L' U B' R' F' B'
U2 L' U B' R' B' F'
F' L' U' R B2 D R2
F' L' U' R' B2 D R2
F' L' U' R2 B2 D R2
F' L' U' D R2 D' B2
F' L' U' B D B R2
F' L' U' B' D R2 B'
F' L' U' B' D B' R2
F' L' U' B2 R D R2
F' L' U' B2 R' D R2
F' L' U' B2 R2 D R2
F' L' U' B2 U F2 U'
F' L' U' B2 D R2 D
F' L' U' B2 D R2 D'
F' L' U' B2 D R2 D2
L R' F' L' F U' B2
F L' U' B2 U' R U
F L' U2 L R U B2
F L' U2 L' R U B2
F' L' U2 D L2 U R2
F L' U2 L2 R U B2
F L' U2 R L U B2
F L' U2 R L' U B2
F L' U2 R L2 U B2
F L' U2 R U B2 D
F L' U2 R U B2 D'
F L' U2 R U B2 D2
F L' U2 R D L2 U
F L' U2 D L2 R U
F L' U2 D R L2 U
F' L' D U' R2 D' B2
F' L' D U2 L2 U R2
F L' D U2 L2 R U
F L' D U2 R L2 U
F' L' D' R2 U L2 U2
F' L' D' R2 U' D2 R2
F' L' D' R2 D F2 U'
F' L' D' R2 D2 U' R2
F L' D' R2 U2 R' U
F2 L' F L' F2 U' B2
F' L' F R F U' B2
F' L' F R' F U' B2
F' L' F R2 F U' B2
F' L' F D' R2 F U'
F' L' F D' F R2 U'
F2 L' F' U2 R U B2
F' L' F' D' F' R2 U'
F' L' F2 R U' B2 D
F' L' F2 R U' B2 D'
F' L' F2 R U' B2 D2
F' L' F2 R D' R2 U'
F' L' F2 R' U' B2 D
F' L' F2 R' U' B2 D'
F' L' F2 R' U' B2 D2
F' L' F2 R' D' R2 U'
F' L' F2 R2 U' B2 D
F' L' F2 R2 U' B2 D'
F' L' F2 R2 U' B2 D2
F' L' F2 R2 D' R2 U'
F' L' F2 U D2 F2 U2
F' L' F2 U F U2 B2
F' L' F2 U F' U2 B2
F' L' F2 U F2 U2 B2
F' L' F2 U' L B2 L'
F' L' F2 U' L2 B2 L2
F' L' F2 U' R' B2 R
F' L' F2 U' R2 B2 R2
F L' F2 L' F2 U' B2
F' L' F2 U' B D B
F' L' F2 U' B D' B
F' L' F2 U' B D2 B
F' L' F2 U' B' D B'
F' L' F2 U' B' D' B'
F' L' F2 U' B' D2 B'
F' L' F2 U2 L U B2
F' L' F2 U2 L' U B2
F' L' F2 U2 L2 U B2
F' L' F2 U2 D L2 U
F' L' F2 D U2 L2 U
F' L' F2 D' R2 U' D
F' L' F2 D' R2 U' D'
F' L' F2 D' R2 U' D2
F' L' F2 D' R2 D U'
F' L' F2 D' R2 D' U'
F' L' F2 D' R2 D2 U'
F' L' F2 D2 U F2 U2
R' L2 U2 B' R' U B'
L2 R2 U2 B' R' U B'
R2 L2 U2 B' R' U B'
R L2 U2 B' R' U B'
U2 L' B' R' U B' R'
F' L2 R F2 L U' B2
F L2 R U' B2 D2 F2
U2 L2 R B' R' U B'
F' L2 R' F2 L U' B2
F L2 R' U' B2 D' F2
F L2 R' U2 R2 U B2
F L2 R' D' R2 U' F2
U2 L2 R' B' R' U B'
D' L2 R2 U2 B' R' U
F' L2 R2 F2 L U' B2
F L2 R2 U2 R' U B2
L R2 F' L' F U' B2
U2 L2 R2 B' R' U B'
F L2 U' B2 U' R U
F L2 U2 L R U B2
F L2 U2 L' R U B2
F L2 U2 L2 R U B2
F L2 U2 R L U B2
F L2 U2 R L' U B2
F L2 U2 R L2 U B2
F L2 U2 R U B2 D
F L2 U2 R U B2 D'
F L2 U2 R U B2 D2
F L2 U2 R D L2 U
F L2 U2 D L2 R U
F L2 U2 D R L2 U
F L2 D U2 L2 R U
F L2 D U2 R L2 U
U2 L2 D B' L2 R' U
U2 L2 D B' R' L2 U
L' U L U2 F R B2
L' U L U2 F B2 R
L' U L U2 B2 F R
F L2 D' R2 U2 R' U
L' U L' B' U2 R' B'
F2 L2 F L' F2 U' B2
F' L2 F' L F' U' B2
B L2 F B' R U B2
F2 L2 F' U2 R U B2
F' L2 F2 L R U' B2
F' L2 F2 L R' U' B2
F' L2 F2 L R2 U' B2
F' L2 F2 L U' B2 D
F' L2 F2 L U' B2 D'
F' L2 F2 L U' B2 D2
F' L2 F2 L D' R2 U'
F' L2 F2 R L U' B2
F' L2 F2 R' L U' B2
F' L2 F2 R2 L U' B2
F L2 F2 L' F2 U' B2
F' L2 F2 D' L R2 U'
F' L2 F2 D' R2 L U'
U2 L2 B' R' U D B'
U2 L2 B' R' U D' B'
U2 L2 B' R' U D2 B'
U2 L2 B' R' U B' D
U2 L2 B' R' U B' D'
U2 L2 B' R' U B' D2
U2 L2 B' R' D U B'
U2 L2 B' R' D' U B'
U2 L2 B' R' D2 U B'
U2 L2 B' D R' U B'
U2 L2 B' D' R' U B'
D L2 B' U2 B L U'
U2 L2 B' D2 R' U B'
B L2 B' F R U B2
F' R L F2 L2 U' B2
F R L U' B2 D2 F2
F' R L' U' B2 D R2
F' R L' F2 R U' B2
F' R L' F2 R' U' B2
F' R L' F2 R2 U' B2
F' R L' F2 U' B2 D
F' R L' F2 U' B2 D'
F' R L' F2 U' B2 D2
F' R L' F2 D' R2 U'
F R L' U' B2 D2 F2
F' R L2 F2 L U' B2
F R L2 U' B2 D2 F2
U2 R L2 B' R' U B'
F R U D2 F2 U2 F2
F R U F U2 F' B2
F R U F U2 B2 F'
F R U F' U2 F B2
F R U F' U2 B2 F
F R U F2 U2 F2 B2
F R U F2 U2 B2 F2
L' U B L U2 F B
L' U B L U2 B F
F R U' F B2 D2 F2
F R U' F' B2 D2 F2
F R U' F2 B2 D2 F2
D R U2 L2 B' R' U
F R U' B2 U2 B2 U2
F R U' B2 D2 F2 D
F R U' B2 D2 F2 D'
F R U' B2 D2 F2 D2
F R U' B2 F D2 F2
F R U' B2 F' D2 F2
F R U' B2 F2 D2 F2
L' U B' U2 R' F' B'
L' U B' U2 R' B' F'
U2 R D L2 B' R' U
F R D' R2 U' D' F2
F R D' R2 U2 R2 U
F R D' R2 D' U' F2
F R D' R2 D2 L2 U'
F R D2 U F2 U2 F2
D R F U2 L2 R U
D R F U2 R L2 U
D R F' L' F2 R U'
F' R F2 U2 R U B2
R' U' R' F' B2 D R2
L' U' R' F R F2 B2
L' U' R' F R B2 F2
L' U' R' F B2 R F2
R' U' R' B2 F' D R2
L' U' R' B2 F R F2
R2 U' R' F' B2 D R2
R2 U' R' B2 F' D R2
R U' R' F' B2 D R2
L' U' R2 F R F' B2
L' U' R2 F R B2 F'
L' U' R2 F B2 R F'
L U' R' B2 D F' R
R U' R' B2 F' D R2
L' U' R2 B2 F R F'
F' R' L F2 L2 U' B2
F R' L U' B2 D' F2
F R' L U2 R2 U B2
F' R' L' U' B2 D R2
F R' L D' R2 U' F2
L' U' F R' F' R2 B2
L' U' F R' F' B2 R2
L' U' F R' B2 F' R2
F' R' L' F2 R U' B2
F' R' L' F2 R' U' B2
F' R' L' F2 R2 U' B2
F' R' L' F2 U' B2 D
F' R' L' F2 U' B2 D'
F' R' L' F2 U' B2 D2
F' R' L' F2 D' R2 U'
F R' L' U' B2 D' F2
F R' L' U2 R2 U B2
L' U' F B2 R' F' R2
F R' L' D' R2 U' F2
F' R' L2 F2 L U' B2
F R' L2 U' B2 D' F2
F R' L2 U2 R2 U B2
U2 R' L2 B' R' U B'
F R' L2 D' R2 U' F2
U' R' U F U' F2 B2
U' R' U F U' B2 F2
L' U' F2 R' F' R B2
L' U' F2 R' F' B2 R
L' U' F2 R' B2 F' R
L' U' F2 B2 R' F' R
F R' U' D' F2 D B2
F R' U' F B2 D' F2
F R' U' F' B2 D' F2
F R' U' F2 B2 D' F2
F R' U' B D' F2 B
F R' U' B D' B F2
D R' U2 L2 B' R' U
F R' U' B' D' F2 B'
F R' U' B' D' B' F2
F R' U' B2 U' R2 U
F R' U' B2 D' F2 D
F R' U' B2 D' F2 D'
F R' U' B2 D' F2 D2
F R' U' B2 F D' F2
F R' U' B2 F' D' F2
F R' U' B2 F2 D' F2
F R' U2 L R2 U B2
F R' U2 L' R2 U B2
F R' U2 L2 R2 U B2
L U' B D' B R' F'
F R' U2 R2 L U B2
F R' U2 R2 L' U B2
F R' U2 R2 L2 U B2
F R' U2 R2 U B2 D
F R' U2 R2 U B2 D'
F R' U2 R2 U B2 D2
F R' U2 R2 D L2 U
U2 R' D L2 B' R' U
R' U' B2 R' F' D R2
L' U' B2 R' F R F2
L' U' B2 R2 F R F'
L' U' B2 F R' F' R2
R2 U' B2 R' F' D R2
L' U' B2 F2 R' F' R
L U' B2 R' D F' R
U' R' D' F' D R2 B2
U' R' D' F' D B2 R2
R U' B2 R' F' D R2
F R' D' L R2 U' F2
F R' D' L' R2 U' F2
L U' B2 D R' F' R
F R' D' L2 R2 U' F2
F R' D' R2 L U' F2
F R' D' R2 L' U' F2
F R' D' R2 L2 U' F2
F R' D' R2 U' F2 D
F R' D' R2 U' F2 D'
F R' D' R2 U' F2 D2
F R' D' R2 D' L2 U'
F R' D' U' F2 D B2
U' R' D2 F' D R2 B
F R' D2 L2 U F2 U2
F R' D2 L2 U' D2 B2
F R' D2 L2 D R2 U'
F R' D2 L2 D2 U' B2
D' R' F R' U' D' F2
D' R' F R' U2 R2 U
D' R' F R' D' U' F2
D' R' F R' D2 L2 U'
L U2 L B' R' U B'
D' R' F' L' R' F2 U'
D' R' F' L' F2 R' U'
D R' F U2 L2 R U
D R' F U2 R L2 U
R' U2 L2 B' R' U B'
D' R' F' R' L' F2 U'
U' R' F' R B2 D R2
U' R' F' R' B2 D R2
U' R' F' R2 B2 D R2
U' R' F' U F2 U' B2
U' R' F' D R2 D' B2
D R' F' L' F2 R U'
U' R' F' B D B R2
R2 U2 L2 B' R' U B'
U' R' F' B' D R2 B'
U' R' F' B' D B' R2
U' R' F' B2 R D R2
U' R' F' B2 R' D R2
U' R' F' B2 R2 D R2
U' R' F' B2 U F2 U'
U' R' F' B2 D R2 D
U' R' F' B2 D R2 D'
U' R' F' B2 D R2 D2
R U2 L2 B' R' U B'
F' R' F2 U2 R U B2
L2 U2 R B' R' U B'
L2 U2 R' B' R' U B'
U' R' B F' D B R2
R' U2 D L2 B' R' U
L2 U2 R2 B' R' U B'
U' R' B' F' D R2 B'
U' R' B' F' D B' R2
R2 U2 D L2 B' R' U
U' R' B2 U F U' F2
L2 U2 D B' L2 R' U
L2 U2 D B' R' L2 U
U' R' B2 D F' D R2
R U2 D L2 B' R' U
U' R' B2 D' F' D R2
U' R' B2 D2 F' D R2
U' R' B2 F' R D R2
U' R' B2 F' R' D R2
U' R' B2 F' R2 D R2
U' R' B2 F' U F2 U'
U' R' B2 F' D R2 D
U' R' B2 F' D R2 D'
U' R' B2 F' D R2 D2
D' R2 L F' L' F U'
F' R2 L F2 L2 U' B2
F' R2 L' U' B2 D R2
F R2 L U2 R' U B2
F' R2 L' F2 R U' B2
F' R2 L' F2 R' U' B2
F' R2 L' F2 R2 U' B2
F' R2 L' F2 U' B2 D
F' R2 L' F2 U' B2 D'
F' R2 L' F2 U' B2 D2
F' R2 L' F2 D' R2 U'
D' R2 L2 U2 B' R' U
F R2 L' U2 R' U B2
F' R2 L2 F2 L U' B2
U2 R2 L2 B' R' U B'
F R2 L2 U2 R' U B2
D' R2 U' R' F' D R2
D R2 U2 L2 B' R' U
F R2 U' B2 U L U'
F R2 U2 L R' U B2
F R2 U2 L' R' U B2
F R2 U2 L2 R' U B2
L2 U2 B' R' U D B'
L2 U2 B' R' U D' B'
L2 U2 B' R' U D2 B'
L2 U2 B' R' U B' D
L2 U2 B' R' U B' D'
L2 U2 B' R' U B' D2
L2 U2 B' R' D U B'
L2 U2 B' R' D' U B'
F R2 U2 R' L U B2
F R2 U2 R' L' U B2
L2 U2 B' R' D2 U B'
F R2 U2 R' L2 U B2
F R2 U2 R' U B2 D
F R2 U2 R' U B2 D'
F R2 U2 R' U B2 D2
F R2 U2 R' D L2 U
F R2 U2 D L2 R' U
F R2 U2 D R' L2 U
D' R2 D F U2 R U
U2 R2 D L2 B' R' U
L2 U2 B' D R' U B'
D' R2 D F' L' F2 U'
L2 U2 B' D' R' U B'
L2 U2 B' D2 R' U B'
F R2 D U2 L2 R' U
F R2 D U2 R' L2 U
D' R2 D' F U2 R U
D' R2 D' F' L' F2 U'
F R2 D' R2 U2 R U
D' R2 D2 F U2 R U
D' R2 D2 F' L' F2 U'
D' R2 F L U2 R U
D' R2 F L' U2 R U
D' R2 F L2 U2 R U
D' R2 F U2 R U D
D' R2 F U2 R U D'
D' R2 F U2 R U D2
D' R2 F U2 R D U
D' R2 F U2 R D' U
D' R2 F U2 R D2 U
D' R2 F U2 D R U
D' R2 F U2 D' R U
D' R2 F U2 D2 R U
D' R2 F D U2 R U
D' R2 F D' U2 R U
D' R2 F D2 U2 R U
D' R2 F' L F2 L2 U'
D' R2 F' L' U' D R2
D' R2 F' L' D U' R2
D' R2 F' L' F2 U' D
D' R2 F' L' F2 U' D'
D' R2 F' L' F2 U' D2
D' R2 F' L' F2 D U'
D' R2 F' L' F2 D' U'
D' R2 F' L' F2 D2 U'
D' R2 F' L2 F2 L U'
D R2 F U2 L2 R U
D R2 F U2 R L2 U
D' R2 F' D L' U' R2
D R2 F' L' F2 R U'
F' R2 F2 U2 R U B2
U' R2 B2 R F' D R2
R' D U2 L2 B' R' U
F R2 B2 L B2 U' B2
R2 D U2 L2 B' R' U
R' D F U2 L2 R U
R' D F U2 R L2 U
L2 D U2 B' L2 R' U
L2 D U2 B' R' L2 U
R D U2 L2 B' R' U
R' D F' L' F2 R U'
R2 D F U2 L2 R U
R2 D F U2 R L2 U
U2 D L2 R B' R' U
U2 D L2 R' B' R' U
U2 D L2 R2 B' R' U
R2 D F' L' F2 R U'
U2 D L2 D B' R' U
R D F U2 L2 R U
R D F U2 R L2 U
U2 D L2 D' B' R' U
U2 D L2 D2 B' R' U
U2 D L2 B' R' U D
U2 D L2 B' R' U D'
U2 D L2 B' R' U D2
U2 D L2 B' R' D U
U2 D L2 B' R' D' U
U2 D L2 B' R' D2 U
U2 D L2 B' D R' U
U2 D L2 B' D' R' U
U2 D L2 B' D2 R' U
R D F' L' F2 R U'
U2 D R L2 B' R' U
U2 D R' L2 B' R' U
U2 D R2 L2 B' R' U
D2 U F2 U' F' L' U'
B2 U F L B2 U' F
F U D2 F2 U' L' U'
B2 U F B2 L U' F
U2 D B' L2 R' B' U
U2 D B' R' L2 B' U
F U F2 U' L' U' B2
R' D' R2 F U2 R U
R' D' R2 F' L' F2 U'
L2 D' R2 U2 B' R' U
R2 D' R2 F U2 R U
R2 D' R2 F' L' F2 U'
R D' R2 F U2 R U
R D' R2 F' L' F2 U'
F U B' U R U B'
B2 U B2 F L U' F
R' D' F R2 U2 R' U
R' D' F' L' R2 F2 U'
F' U' L' F2 U' L B2
R' D' F' L' F2 R2 U'
R' D' F' R2 L' F2 U'
R2 D' F R2 U2 R' U
D2 U' R' F' D R2 B
R2 D' F' L' R2 F2 U'
R2 D' F' L' F2 R2 U'
R D' F R2 U2 R' U
R2 D' F' R2 L' F2 U'
R D' F' L' R2 F2 U'
R D' F' L' F2 R2 U'
R D' F' R2 L' F2 U'
U2 D' F R2 B L U'
F U' R' B2 D' R F2
F U' F2 U L' U' B2
D U2 L2 R B' R' U
D U2 L2 R' B' R' U
D U2 L2 R2 B' R' U
F U' F2 B2 U L' U'
D U2 L2 D B' R' U
D U2 L2 D' B' R' U
D U2 L2 D2 B' R' U
D U2 L2 B' R' U D
D U2 L2 B' R' U D'
D U2 L2 B' R' U D2
D U2 L2 B' R' D U
D U2 L2 B' R' D' U
D U2 L2 B' R' D2 U
D U2 L2 B' D R' U
D U2 L2 B' D' R' U
D U2 L2 B' D2 R' U
D U2 R L2 B' R' U
U' D2 R' F' D R2 B
F' U' B2 U L' F2 U'
F U' B' U' R U B'
D U2 R' L2 B' R' U
F U' B2 R' D' R F2
F U' B2 U' R U D
F U' B2 U' R U D'
F U' B2 U' R U D2
F U' B2 U' R D U
F U' B2 U' R D' U
F U' B2 U' R D2 U
F U' B2 U' D R U
F U' B2 U' D' R U
F U' B2 U' D2 R U
D' U2 F R2 B L U'
F U' B2 D U' R U
F U' B2 D' U' R U
D U2 R2 L2 B' R' U
F U' B2 D2 U' R U
F U' B2 F2 U L' U'
F U2 L R U B2 D
F U2 L R U B2 D'
F U2 L R U B2 D2
F U2 L R D L2 U
F U2 L D L2 R U
F U2 L D R L2 U
F U2 L' R U B2 D
F U2 L' R U B2 D'
F U2 L' R U B2 D2
F U2 L' R D L2 U
F U2 L' D L2 R U
F U2 L' D R L2 U
F U2 L2 R U B2 D
F U2 L2 R U B2 D'
F U2 L2 R U B2 D2
F U2 L2 R D L2 U
F U2 L2 D L2 R U
F U2 L2 D R L2 U
F U2 R L U B2 D
F U2 R L U B2 D'
F U2 R L U B2 D2
F U2 R L D L2 U
F U2 R L' U B2 D
F U2 R L' U B2 D'
F U2 R L' U B2 D2
F U2 R L' D L2 U
F U2 R L2 U B2 D
F U2 R L2 U B2 D'
F U2 R L2 U B2 D2
F U2 R L2 D L2 U
F U2 R U L B2 L'
F U2 R U L2 B2 L2
F U2 R U R' B2 R
F U2 R U R2 B2 R2
F U2 R U B D B
F U2 R U B D' B
F U2 R U B D2 B
F U2 R U B' D B'
F U2 R U B' D' B'
F U2 R U B' D2 B'
F U2 R U' D2 F2 U2
F U2 R U' F U2 B2
F U2 R U' F' U2 B2
F U2 R U' F2 U2 B2
F U2 R U2 R U' B2
F U2 R U2 R' U' B2
F U2 R U2 R2 U' B2
F U2 R U2 D' R2 U'
F U2 R D L2 U D
F U2 R D L2 U D'
F U2 R D L2 U D2
F U2 R D L2 D U
F U2 R D L2 D' U
F U2 R D L2 D2 U
F U2 R D' U2 R2 U'
U D2 F2 U' F' L' U'
F U2 R D2 U' F2 U2
F U2 R' U B2 D' F2
D U2 B' L2 R' B' U
D U2 B' R' L2 B' U
F U2 R2 D L2 R' U
F U2 R2 D R' L2 U
D' F L R2 U2 R' U
R' F L U2 R U B2
F U2 D L2 R U D
F U2 D L2 R U D'
F U2 D L2 R U D2
F U2 D L2 R D U
F U2 D L2 R D' U
F U2 D L2 R D2 U
F U2 D L2 D R U
F U2 D L2 D' R U
F U2 D L2 D2 R U
F U2 D R L2 U D
F U2 D R L2 U D'
F U2 D R L2 U D2
F U2 D R L2 D U
F U2 D R L2 D' U
F U2 D R L2 D2 U
F U2 D R U D' B2
F U2 D R D' U B2
D' F L' R2 U2 R' U
R' F L' U2 R U B2
R2 F L U2 R U B2
D2 F L' U2 R U B
D F L U2 L R U
D F L U2 R L U
F U2 D' R U2 R U'
D' F L2 R2 U2 R' U
R' F L2 U2 R U B2
R F L U2 R U B2
D2 F L2 U2 R U B'
R2 F L' U2 R U B2
B' U2 F B L U' B2
F U2 D2 R U D2 B2
F U2 D2 R U' F2 U2
F U2 D2 R D' L2 U
F U2 D2 R D2 U B2
D F L' U2 L' R U
D F L' U2 R L' U
R' F R U' B2 D2 F2
D2 F R U F U2 F'
R F L' U2 R U B2
R2 F L2 U2 R U B2
R' F R' U' B2 D' F2
R' F R' U2 R2 U B2
R F L2 U2 R U B2
R2 F R U' B2 D2 F2
R' F R' D' R2 U' F2
D' F R' D' R' U' F2
D' F R' D2 L2 R' U'
D' F R' D2 R' L2 U'
D2 F R' D2 L2 U' B'
D' F R2 L U2 R' U
D' F R2 L' U2 R' U
D' F R2 L2 U2 R' U
R' F R2 U2 R' U B2
D' F R2 U2 R' U D
D' F R2 U2 R' U D'
D' F R2 U2 R' U D2
D' F R2 U2 R' D U
D' F R2 U2 R' D' U
D' F R2 U2 R' D2 U
R F R U' B2 D2 F2
D' F R2 U2 D R' U
D' F R2 U2 D' R' U
D' F R2 U2 D2 R' U
B' U2 B F L U' B2
R2 F R' U' B2 D' F2
D' F R2 D U2 R' U
R2 F R' U2 R2 U B2
D' F R2 D' U2 R' U
D' F R2 D2 U2 R' U
R2 F R' D' R2 U' F2
D F R' U' D' F2 B2
D F R' U' D' B2 F2
D F R' U2 L2 R2 U
D F R' U2 R2 L2 U
D F R' D' U' F2 B2
D F R' D' U' B2 F2
D F R' D2 L2 R2 U'
D F R' D2 R2 L2 U'
D' F R2 B2 L B2 U'
R F R' U' B2 D' F2
R F R' U2 R2 U B2
R2 F R2 U2 R' U B2
R F R' D' R2 U' F2
U2 F R2 B L U' B
D F R2 U2 L2 R' U
D F R2 U2 R' L2 U
R F R2 U2 R' U B2
R' F U' B2 U' R U
R' F U2 L R U B2
R' F U2 L' R U B2
R' F U2 L2 R U B2
R' F U2 R L U B2
R' F U2 R L' U B2
R' F U2 R L2 U B2
R' F U2 R U B2 D
R' F U2 R U B2 D'
R' F U2 R U B2 D2
R' F U2 R D L2 U
D2 F U2 L2 R U B'
D' F U2 R U2 R U'
D2 F U2 R L2 U B'
D2 F U2 R U' F U2
R' F U2 D L2 R U
R' F U2 D R L2 U
D' F U2 D R U B2
F U2 B2 R B2 U B2
L' F U2 R B U B
D' F U2 D2 L2 R U
D' F U2 D2 R L2 U
L2 F U2 R B' U B'
R2 F U' B2 U' R U
F' D L' U2 L' U R2
R2 F U2 L R U B2
R2 F U2 L' R U B2
R2 F U2 L2 R U B2
F' D L' D' F2 R U'
R2 F U2 R L U B2
R2 F U2 R L' U B2
R2 F U2 R L2 U B2
R2 F U2 R U B2 D
R2 F U2 R U B2 D'
R2 F U2 R U B2 D2
R2 F U2 R D L2 U
R' F D U2 L2 R U
R' F D U2 R L2 U
F' D L' F2 R U' R
D F U2 L2 R U D
D F U2 L2 R U D'
D F U2 L2 R U D2
D F U2 L2 R D U
D F U2 L2 R D' U
D F U2 L2 R D2 U
F D L U2 L R U
F D L U2 R L U
D F U2 L2 D R U
D F U2 L2 D' R U
D' F D U2 R U B2
D F U2 L2 D2 R U
R2 F U2 D L2 R U
R2 F U2 D R L2 U
D F U2 R L2 U D
D F U2 R L2 U D'
D F U2 R L2 U D2
D F U2 R L2 D U
D F U2 R L2 D' U
