B D R F' L' R
B D R F' R L'
D' F' L' F B R'
D' F' L' B R' F
D' F' L' B F R'
D F' L' B R F'
B D F' L' R F'
B D F' R L' F'
D' F' B L' R' F
D' F' B L' F R'
D' F' B R' L' F
D F' B L' R F'
D F' B R L' F'
D' B R' F' L' F
D B R F' L' R
D B R F' R L'
D' B F' L' R' F
D' B F' L' F R'
D' B F' R' L' F
D B F' L' R F'
D B F' R L' F'
D F' L' B R F' D2
B2 D F' R B' L' F'
D F' L' B' R F' B2
D F' L' B' R B2 F'
D F' L' B2 R F' B'
D F' L' B2 R B' F'
B2 D F' B' L' R F'
B2 D F' B' R L' F'
B D F' L R F' L2
B D F' L' R D F'
B D F' L' R D' F'
B D F' L' R D2 F'
B D F' L' R F' D
B D F' L' R F' D'
B D F' L' R F' D2
B D F' L2 R F' L
B D F' R L F' L2
B D F' R L' D F'
B D F' R L' D' F'
B D F' R L' D2 F'
B D F' R L' F' D
B D F' R L' F' D'
B D F' R L' F' D2
B D F' R L2 F' L
B D F' R D L' F'
B D F' R D' L' F'
B D F' R D2 L' F'
B D F' D2 L' R F
B D F' D2 R L' F
D' F' U L' F B R'
D' F' U L' B R' F
D' F' U L' B F R'
B2 D B' R F' L' R
B2 D B' R F' R L'
D' F' U B L' R' F
D' F' U B L' F R'
B2 D B' F' L' R F'
D' F' U B R' L' F
B2 D B' F' R L' F'
D' F' U' L' F B R'
D' F' U' L' B R' F
D' F' U' L' B F R'
D F' U L' B R F'
D' F' U' B L' R' F
D' F' U' B L' F R'
D' F' U' B R' L' F
D' F' U2 L' F B R'
D' F' U2 L' B R' F
D' F' U2 L' B F R'
D F' U B L' R F'
D F' U B R L' F'
D F' U' L' B R F'
D' F' U2 B L' R' F
D' F' U2 B L' F R'
D' F' U2 B R' L' F
D2 F' D L' F B R'
D2 F' D L' B R' F
D2 F' D L' B F R'
D F' U' B L' R F'
D F' U' B R L' F'
D F' U2 L' B R F'
F' D' L' B R' D' F2
D2 F' D B L' R' F
D2 F' D B L' F R'
D2 F' D B R' L' F
D F' U2 B L' R F'
D F' U2 B R L' F'
D' F' B L' R F R2
D' F' B L' R' D F
D' F' B L' R' D' F
D' F' B L' R' D2 F
D' F' B L' R' F D
D' F' B L' R' F D'
D' F' B L' R' F D2
D' F' B L' D R' F
D' F' B L' D F R'
D' F' B L' D' R' F
D' F' B L' D' F R'
D' F' B L' D2 R' F
D' F' B L' D2 F R'
D' F' B L' F R' D
D' F' B L' F R' D'
D' F' B L' F R' D2
D' F' B L' F D R'
D' F' B L' F D' R'
D' F' B L' F D2 R'
D' F' B L' F' R' F2
D' F' B R L' F R2
D' F' B R' L' D F
D' F' B R' L' D' F
D' F' B R' L' D2 F
D' F' B R' L' F D
D' F' B R' L' F D'
D' F' B R' L' F D2
D F' D2 L' B R F
D F' D2 B L' R F
D F' D2 B R L' F
D F' B L R F' L2
D F' B L' R D F'
D F' B L' R D' F'
D F' B L' R D2 F'
D F' B L' R F' D
D F' B L' R F' D'
D F' B L' R F' D2
D F' B L2 R F' L
D F' B R L F' L2
D F' B R L' D F'
D F' B R L' D' F'
D F' B R L' D2 F'
D F' B R L' F' D
D F' B R L' F' D'
D F' B R L' F' D2
D F' B R L2 F' L
D F' B R D L' F'
D F' B R D' L' F'
D F' B R D2 L' F'
D F' B D2 L' R F
D F' B D2 R L' F
D F' B' L' R F' B2
D F' B' L' R B2 F'
D F' B' L' B2 R F'
D F' B' R L' F' B2
D F' B' R L' B2 F'
D F' B' R B2 L' F'
L F' B' R U L' B2
L F' B' R U B2 L'
D F' B2 R B' L' F'
D' F2 L' F L' B R'
D' F2 L' F B L' R'
D' F2 L' F B R' L'
D' F2 L' B R' F L'
D' F2 L' B F L' R'
D' F2 L' B F R' L'
F' D' B L' R' D' F2
F' D' B R' L' D' F2
F' D' B R' D' L' F2
D' F2 B L' R' F L'
D' F2 B L' F L' R'
D' F2 B L' F R' L'
D' F2 B R' L' F L'
D' F2 B R' F L' F
D' B L' R' F' L' F2
D B L R F' L' R
D B L R F' R L'
D' B L' F R' D2 L2
D' B L' F' L' R' F2
D' B L' F' L' F2 R'
D' B L' F' R' L' F2
D B L F' L' R F'
D B L F' R L' F'
D B L' R F' L' R
D B L' R F' R L'
D B L' F' L' R F'
D B L' F' R L' F'
D B L2 R F' L' R
D B L2 R F' R L'
D' B R F' L' R2 F
D' B R F' L' F R2
D' B R F' R2 L' F
D B L2 F' L' R F'
D' B R' L' F' L' F2
D B L2 F' R L' F'
D B R L F' L' R
D B R L F' R L'
D B R L' F' L' R
D B R L' F' R L'
D B R L2 F' L' R
D B R L2 F' R L'
D' B R' F' L' D F
D' B R' F' L' D' F
D' B R' F' L' D2 F
D' B R' F' L' F D
D' B R' F' L' F D'
D' B R' F' L' F D2
D' B R' F2 L' F L'
D B R F' L' R D
D B R F' L' R D'
D B R F' L' R D2
D B R F' L' D R
D B R F' L' D' R
D B R F' L' D2 R
D B R F' R L' D
D B R F' R L' D'
D B R F' R L' D2
D B R F' R D L'
D B R F' R D' L'
D B R F' R D2 L'
D B R F' D L' R
D B R F' D R L'
D B R F' D' L' R
D B R F' D' R L'
D B R F' D2 L' R
D B R F' D2 R L'
D' B R2 D2 R F' L'
D' B R2 F' L' F R
L' B U F L' B' U'
D2 B U' R' F' B U
D2 B U' R' B F' U
U2 B D L R F' R
U2 B D L F' R F'
U2 B D R L F' R
U2 B D R F' L R
U2 B D R F' R L
U2 B D F' L R F'
U2 B D F' R L F'
U2 B D F' R F' L
D' B D2 R F' L' R2
D' B D2 R F' R2 L'
L B D' R2 F' L' F
L B D' F' L' R2 F
L B D' F' L' F R2
L B D' F' R2 L' F
D' B F' L' R F R2
D' B F' L' R' D F
D' B F' L' R' D' F
D' B F' L' R' D2 F
D' B F' L' R' F D
D' B F' L' R' F D'
D' B F' L' R' F D2
D' B F' L' D R' F
D' B F' L' D F R'
D' B F' L' D' R' F
D' B F' L' D' F R'
D' B F' L' D2 R' F
D' B F' L' D2 F R'
D' B F' L' F R' D
D' B F' L' F R' D'
D' B F' L' F R' D2
D' B F' L' F D R'
D' B F' L' F D' R'
D' B F' L' F D2 R'
D' B F' L' F' R' F2
D' B F' R L' F R2
D' B F' R' L' D F
D' B F' R' L' D' F
D' B F' R' L' D2 F
D' B F' R' L' F D
D' B F' R' L' F D'
D' B F' R' L' F D2
D' B F2 L' R' F L'
D' B F2 L' F L' R'
D' B F2 L' F R' L'
D' B F2 R' L' F L'
D' B F2 R' F L' F
D B F' L R F' L2
D B F' L' R D F'
D B F' L' R D' F'
D B F' L' R D2 F'
D B F' L' R F' D
D B F' L' R F' D'
D B F' L' R F' D2
D B F' L2 R F' L
D B F' R L F' L2
D B F' R L' D F'
D B F' R L' D' F'
D B F' R L' D2 F'
D B F' R L' F' D
D B F' R L' F' D'
D B F' R L' F' D2
D B F' R L2 F' L
D B F' R D L' F'
D B F' R D' L' F'
D B F' R D2 L' F'
D B F' D2 L' R F
D B F' D2 R L' F
D B' R F' L' R B2
D B' R F' L' B2 R
D B' R F' R L' B2
D B' R F' R B2 L'
D B' R F' B2 L' R
D B' R F' B2 R L'
D B' R B2 F' L' R
D B' R B2 F' R L'
D B' F' L' R F' B2
D B' F' L' R B2 F'
D B' F' L' B2 R F'
D B' F' R L' F' B2
D B' F' R L' B2 F'
D B' F' R B2 L' F'
L B' F' R U L' B2
L B' F' R U B2 L'
D B2 R F' R B' L'
D B2 R F' B' L' R
D B2 R F' B' R L'
D B2 R B' F' L' R
D B2 R B' F' R L'
D B2 F' R B' L' F'
