U L R2 U R' F'
U L U R' F' R2
U L B' R' U R2
F2 L' U L2 U F
F2 L' D F2 B' U2
F2 L' D B' F2 U2
F2 L' D' B' U2 B'
F2 L' B' U L2 U
F2 L' B' U2 D' B2
F2 L' B' D F2 U2
F2 L' B' D' U2 B2
L' U L2 U R F
L2 U L' U R F
B2 R D B2 L F
U R2 L U R' F'
L' D F2 B' L' U2
L' D B' F2 L' U2
L' D' B' U2 R B'
L' D' B' U2 B' R
L' B' U L2 U R
L' B' U2 R D' B2
L' B' U2 D' R B2
L' B' U2 D' B2 R
L' B' D F2 L' U2
L' B' D' U2 R B2
L' B' D' U2 B2 R
F2 L' B' F' D' U2 B2
F2 L' B' F2 U L2 U
F2 L' B' F2 U2 D' B2
F2 L' B' F2 D F2 U2
F2 L' B' F2 D' U2 B2
F2 L' B2 D F2 B U2
F2 L' B2 D B F2 U2
F2 L' B2 D' B U2 B
L R2 D' F2 U F' R'
L R2 D2 U R' F L2
L R2 D2 U F L2 R'
L R2 D2 U F R' L2
D2 L2 U L' U R F
D' L2 U L' U R F
F' L2 U L' B' U F
D L2 U L' U R F
L2 U L' R' U R2 F
L2 U L' R' U F R2
L2 U L' R2 U R' F
L2 U L' R2 U F R'
L2 U L' U R D F
L2 U L' U R D' F
L2 U L' U R D2 F
L2 U L' U R F D
L2 U L' U R F D'
L2 U L' U R F D2
L2 U L' U R' F R2
L2 U L' U R2 F R'
L2 U L' U D R F
L2 U L' U D' R F
L2 U L' U D2 R F
L2 U L' D U R F
L2 U L' D' U R F
L2 U L' D2 U R F
L' U L2 R' U R2 F
L' U L2 R' U F R2
L' U L2 R2 U R' F
L' U L2 R2 U F R'
L' U L2 U R D F
L' U L2 U R D' F
L' U L2 U R D2 F
L' U L2 U R F D
L' U L2 U R F D'
L' U L2 U R F D2
L' U L2 U R' F R2
L' U L2 U R2 F R'
L' U L2 U D R F
L' U L2 U D' R F
L' U L2 U D2 R F
L2 U L' B U R F
L2 U L' B' U R F
L2 U L' B2 U R F
L' U L2 D U R F
L' U L2 D' U R F
L' U L2 D2 U R F
L' U L2 B U R F
L' U L2 B' U R F
L' U L2 B2 U R F
L' U R' L2 U R2 F
L' U R' L2 U F R2
L U R F U' F' U
L U R F2 D' L2 F'
L U R F2 D' F' L2
L2 U R' L' U R2 F
L2 U R' L' U F R2
L' U R2 L2 U R' F
L' U R2 L2 U F R'
L2 U R2 L' U R' F
L2 U R2 L' U F R'
U L2 B' L' R' U R2
U L2 B' R' L' U R2
B2 R L D F B2 L
B2 R L D B2 F L
L2 U D2 L' U R F'
B2 R L F D B2 L
U R L B' R' U R
L U F U' F' U R
U2 R U' L R2 U F'
U2 R U' L U' B U2
U2 R U' R2 L U F'
L2 U B L' U R F
L U B U R F B'
L U B U R B' F
L U B U B' R F
L2 U B' L' U R F
B2 R D L F B2 L
B2 R D L B2 F L
L U B' U B R F
B2 R D F B2 L F
B2 R D F' B2 L F
L2 U B2 L' U R F
B2 R D F2 B2 L F
B2 R D B2 L D F
B2 R D B2 L D' F
B2 R D B2 L D2 F
B2 R D B2 L F D
B2 R D B2 L F D'
B2 R D B2 L F D2
B2 R D B2 D L F
B2 R D B2 D' L F
B2 R D B2 D2 L F
B2 R D B2 F L F
B2 R D B2 F' L F
B2 R D B2 F2 L F
B R D B2 L F B'
B R D B2 L B' F
L U B2 U R F B2
L U B2 U R B2 F
L U B2 U B2 R F
R U' L U' R' U2 F'
B2 R F D B2 L F
B2 R F' D B2 L F
B2 R F2 D B2 L F
U R B' R' U R B
B2 R B2 L D F B2
B2 R B2 L D B2 F
B2 R B2 L F D B2
B' R B2 D L F B'
B' R B2 D L B' F
B2 R B2 D L F B2
B2 R B2 D L B2 F
U2 R' L U L' F' R2
U R' L U R' F' R'
U R' L B' R' U R'
U2 R' U' L U F' R2
L U2 L U' L' R F
L U2 L U' R L' F
L2 U2 L' U R F L
L' U2 L2 U R F L2
L U2 L2 U' L2 R F
L U2 L2 U' R L2 F
L' U2 R U' L2 U F
U2 R' F' R2 U' L U
U2 R' F' U' L U R2
L2 U2 R U' L' U F
L U2 R U R' U' F
L U2 R F U R' U'
R U2 R' U L U F'
L U2 R2 D R' F B2
L U2 R2 D R' B2 F
L U2 R2 D F R' B2
L U2 R2 F D R' B2
L' U2 D' R' B2 R2 F'
L' U2 D' B2 R2 F' R'
U R2 L U R' D F'
U R2 L U R' D' F'
U R2 L U R' D2 F'
U R2 L U R' F' D
U R2 L U R' F' D'
U R2 L U R' F' D2
U R2 L U D R' F'
U R2 L U D' R' F'
U R2 L U D2 R' F'
U R2 L U F R' F'
U R2 L U F' R' F'
U R2 L U F2 R' F'
U R2 L D U R' F'
U R2 L D' U R' F'
U R2 L D2 U R' F'
U' R2 U2 L U R' F'
U R2 D L U R' F'
U R2 D' L U R' F'
L' D L F2 L' B' U2
U R2 D2 L U R' F'
L' D L' F2 L' U2 F
L' D L2 F2 L' U2 F'
D' U L R2 U R' F'
D2 U L R2 U R' F'
D' U L U R' F' R2
D2 U L U R' F' R2
D' U L B' R' U R2
D2 U L B' R' U R2
D U L R2 U R' F'
D U L U R' F' R2
F U L U R' F' R
U D L R2 U R' F'
U D L U R' F' R2
D U L B' R' U R2
F' U L' B' L2 R' U
F' U L' B' R' L2 U
U D L B' R' U R2
L' D F2 D B' L' U2
L' D F2 D' B' L' U2
L' D F2 D2 B' L' U2
L' D F2 B L' B2 U2
L' D F2 B' L' U2 D
L' D F2 B' L' U2 D'
L' D F2 B' L' U2 D2
L' D F2 B' L' D U2
L' D F2 B' L' D' U2
L' D F2 B' L' D2 U2
L' D F2 B' D L' U2
L' D F2 B' D' L' U2
L' D F2 B' D2 L' U2
L' D F2 B2 L' B U2
D' U R2 L U R' F'
D2 U R2 L U R' F'
L' D B F2 L' B2 U2
L' D B' L F2 L' U2
L' D B' L' F2 L' U2
B' U R2 U R' F' B
B' U R2 U R' B F'
L' D B' L2 F2 L' U2
L' D B' U2 R D2 B2
L' D B' U2 D2 R B2
L' D B' U2 D2 B2 R
D U R2 L U R' F'
L' D B' D2 U2 R B2
L' D B' D2 U2 B2 R
L' D B' F2 L' U2 D
L' D B' F2 L' U2 D'
L' D B' F2 L' U2 D2
L' D B' F2 L' D U2
L' D B' F2 L' D' U2
L' D B' F2 L' D2 U2
L' D B' F2 D L' U2
L' D B' F2 D' L' U2
L' D B' F2 D2 L' U2
U D R2 L U R' F'
L' D B2 F2 L' B U2
L' D' L R B2 L F
F U D' L B' R' U
R2 D' L F2 U F' R'
L' D' L2 R F B2 L
L' D' L2 R B2 F L
L' D' L2 U2 R F B2
L' D' L2 U2 R B2 F
L' D' L2 U2 B2 R F
L' D' R L B2 L F
L' D' R L2 F B2 L
L' D' R L2 B2 F L
B' U B' R' U R2 B
U D' L R2 U R' F'
B U B' L R' U R2
U D' L U R' F' R2
B U B' R' L U R2
U D' L B' R' U R2
L' D' U2 R' B2 R2 F'
L' D' U2 B2 R2 F' R'
L' D' F' B' U2 B' R'
R2 D' F2 L U R' F
R2 D' F2 L U F R'
U D' R2 L U R' F'
B2 U' R' U' R' F' R'
B2 U' R' F' L' U' R2
L' D' B' L U2 R B
L' D' B' U2 R D B'
L' D' B' U2 R D' B'
L' D' B' U2 R D2 B'
L' D' B' U2 R B' D
L' D' B' U2 R B' D'
L' D' B' U2 R B' D2
L' D' B' U2 R' B' R2
L' D' B' U2 D R B'
L' D' B' U2 D B' R
L' D' B' U2 D' R B'
L' D' B' U2 D' B' R
L' D' B' U2 D2 R B'
L' D' B' U2 D2 B' R
L' D' B' U2 B R B2
L' D' B' U2 B' R D
L' D' B' U2 B' R D'
L' D' B' U2 B' R D2
L' D' B' U2 B' D R
L' D' B' U2 B' D' R
L' D' B' U2 B' D2 R
L' D' B' D U2 R B'
L' D' B' D U2 B' R
L' D' B' D' U2 R B'
L' D' B' D' U2 B' R
L' D' B' D2 U2 R B'
L' D' B' D2 U2 B' R
L' D' B' F' U2 B' R'
R2 D2 L U R' F L
R2 D2 L U F L R'
R2 D2 L U F R' L
U D2 L R2 U R' F'
U D2 L U R' F' R2
U D2 L B' R' U R2
L2 D2 U L' U R F'
U D2 R2 L U R' F'
B2 U2 R U R2 U' F'
B2 U2 R' F' R2 D B2
L' D2 B' U' R2 U' R'
L' D2 B' U2 D R B2
L' D2 B' U2 D B2 R
L' D2 B' D U2 R B2
L' D2 B' D U2 B2 R
L' D2 B' D' F2 L' U2
R' F L U R2 F L'
R' F L U F L' R2
R' F L U F R2 L'
B U2 D' R' F' B R2
B U2 D' R' B F' R2
B D L U2 R F B'
B D L U2 R B' F
B D L U2 B' R F
F2 D L' U L2 U F
F2 D L' D F2 B' U2
F2 D L' D B' F2 U2
F2 D L' D' B' U2 B'
F2 D L' B' U L2 U
F2 D L' B' U2 D' B2
F2 D L' B' D F2 U2
F2 D L' B' D' U2 B2
B2 D R D B2 L F
B D R B2 L F B'
B D R B2 L B' F
B D F2 L' F B' U2
B D F2 L' B' F U2
F2 D' L' U L2 U F
F2 D' L' D F2 B' U2
F2 D' L' D B' F2 U2
F2 D' L' D' B' U2 B'
F2 D' L' B' U L2 U
F2 D' L' B' U2 D' B2
F2 D' L' B' D F2 U2
F2 D' L' B' D' U2 B2
L' F' D' B' U2 B' R'
B2 D' R D B2 L F
R' F2 L U R2 F L2
R' F2 L U F L2 R2
R' F2 L U F R2 L2
F D' U L B' R' U
D2 F2 L' U L2 U F
D' F2 L' U L2 U F
L' F2 L' U L' U F
D2 F2 L' D F2 B' U2
D2 F2 L' D B' F2 U2
D' F2 L' D F2 B' U2
D' F2 L' D B' F2 U2
D2 F2 L' D' B' U2 B'
D' F2 L' D' B' U2 B'
D2 F2 L' B' U L2 U
D2 F2 L' B' U2 D' B2
D2 F2 L' B' D F2 U2
D2 F2 L' B' D' U2 B2
D' F2 L' B' U L2 U
D' F2 L' B' U2 D' B2
D' F2 L' B' D F2 U2
D' F2 L' B' D' U2 B2
L2 F2 L' U' R U' F
B D' U2 R' F' B R2
B D' U2 R' B F' R2
D F2 L' U L2 U F
D F2 L' D F2 B' U2
D F2 L' D B' F2 U2
D F2 L' D' B' U2 B'
L F2 L' U L U F'
D F2 L' B' U L2 U
D F2 L' B' U2 D' B2
D F2 L' B' D F2 U2
D F2 L' B' D' U2 B2
F2 D2 L' U L2 U F
F2 D2 L' D F2 B' U2
F2 D2 L' D B' F2 U2
F2 D2 L' D' B' U2 B'
L' F2 D F2 B' U2 R
F2 D2 L' B' U L2 U
F2 D2 L' B' U2 D' B2
F2 D2 L' B' D F2 U2
F2 D2 L' B' D' U2 B2
L' F2 D B' L' F2 U2
L' F2 D B' F2 U2 R
B2 D2 R D B2 L F
L' F2 B' L' U L' U
L' F2 B' D L' F2 U2
L' F2 B' D F2 U2 R
L' F2 B' D' L' U2 B2
L2 B U L' U R F
F2 B L' B' U L U
U2 B D' R' F' B R2
U2 B D' R' B F' R2
R B D B L F B'
R B D B L B' F
L' B' L U L U R
L' B' L' U L' U R
F2 B D L' F B' U2
F2 B D L' B' F U2
L' B' U L2 U R D
L' B' U L2 U R D'
L' B' U L2 U R D2
L' B' U L2 U D R
L' B' U L2 U D' R
L' B' U L2 U D2 R
L' B' U L2 D U R
L' B' U L2 D' U R
L' B' U L2 D2 U R
L' B' U L2 B U R
L' B' U L2 B' U R
U B' R' U R B R
L' B' U L2 B2 U R
L2 B' U L' U R F
L' B' U B L2 U R
U B' R' B L U R2
L' B' U B' L2 U R
L' B' U B2 L2 U R
F2 B' L' B' U' R' U'
L' B' U' D2 R2 U' R'
L' B' U2 R U' L2 U
L' B' U2 R D' B2 D
L' B' U2 R D' B2 D'
L' B' U2 R D' B2 D2
L' B' U2 R B D' B2
L' B' U2 R B' D' B2
L' B' U2 R B2 D' B2
U B' U R D' F2 B
U B' U R D' B F2
U B' U R B D' F2
L' B' U2 R2 D' R' B2
L' B' U2 D R D2 B2
L' B' U2 D' R B2 D
L' B' U2 D' R B2 D'
L' B' U2 D' R B2 D2
L' B' U2 D' R' B2 R2
L' B' U2 D' B' R B'
L' B' U2 D' B2 R D
L' B' U2 D' B2 R D'
L' B' U2 D' B2 R D2
L' B' U2 D' B2 D R
L' B' U2 D' B2 D' R
L' B' U2 D' B2 D2 R
L' B' U2 B R D' B2
L' B' U2 B D' R B2
L' B' U2 B D' B2 R
L' B' U2 B' R D' B2
L' B' U2 B' D' R B2
L' B' U2 B' D' B2 R
L' B' U2 B2 R D' B2
L' B' U2 B2 D' R B2
L' B' U2 B2 D' B2 R
L' B' D L F2 L' U2
L' B' D L' F2 L' U2
L' B' D L2 F2 L' U2
L' B' D U2 R D2 B2
L' B' D F2 L' U2 D
L' B' D F2 L' U2 D'
L' B' D F2 L' U2 D2
L' B' D F2 L' D U2
L' B' D F2 L' D' U2
L' B' D F2 L' D2 U2
L' B' D F2 D L' U2
L' B' D F2 D' L' U2
L' B' D F2 D2 L' U2
L' B' D' L U2 R B2
L' B' D' L U2 B2 R
L' B' D' L' U2 R B2
L' B' D' L' U2 B2 R
L' B' D' L2 U2 R B2
L' B' D' L2 U2 B2 R
L' B' D' U2 R B2 D
L' B' D' U2 R B2 D'
L' B' D' U2 R B2 D2
L' B' D' U2 R' B2 R2
L' B' D' U2 B' R B'
L' B' D' U2 B2 R D
L' B' D' U2 B2 R D'
L' B' D' U2 B2 R D2
L' B' D' U2 B2 D R
L' B' D' U2 B2 D' R
L' B' D' U2 B2 D2 R
L' B' D' F2 L' U2 B2
L' B' D2 U' R2 U' R'
B2 F' U' R' F' L' U'
L' B' F2 L' U L' U
L' B' F2 D L' F2 U2
L' B' F2 D F2 U2 R
L' B' F2 D' L' U2 B2
R B2 L U R' U' F
D2 B2 R D B2 L F
R B2 L F U R' U'
D' B2 R D B2 L F
U2 B2 R U R2 U' F'
B' F2 L' B' U' R' U'
D B2 R D B2 L F
U2 B2 R' F' R2 D B2
B F2 L' B' U L U
L2 B2 U L' U R F
R B2 U R' U' L F
L' B2 D F2 L' B U2
L' B2 D F2 B L' U2
L' B2 D B F2 L' U2
F' B2 U' R' F' L' U'
L' B2 D' B U2 B R
B F2 D L' F B' U2
B F2 D L' B' F U2
