F L U' F2 B' L2
F L U' B' L2 F2
F L U' B' F2 L2
F L' F2 D R2 B
F U' L F2 B' L2
F U' L B' L2 F2
F U' L B' F2 L2
F U' L B2 F2 L2 B
F U' L' R2 F2 R2 B
F U' L' U2 F U2 F
F U' L' F' D2 F' B2
F U' L' F' D2 B2 F'
F U' L' F2 R2 B R2
F U' L' F2 U2 F' U2
F U' L2 F2 L' B' L2
F U' R2 L' F2 R2 B
F U' B L F2 B' L2
F U' B L B' L2 F2
F U' B L B' F2 L2
F U' B' L F2 B' L2
F U' B' L B' L2 F2
F U' B' L B' F2 L2
F U' B2 L F2 B' L2
F U' B2 L B' L2 F2
F U' B2 L B' F2 L2
F U2 L U F2 B' L2
F U2 L U B' L2 F2
F U2 L U B' F2 L2
L D2 B' L D' F' R
U' F L U' F2 B' L2
U' F L U' B' L2 F2
U' F L U' B' F2 L2
L D2 B' D' L F' R
L D2 B' D' F' L R
L D2 B' D' F' R L
U2 F L U' F2 B' L2
U2 F L U' B' L2 F2
U2 F L U' B' F2 L2
U' F L' F2 D R2 B
U F L U' F2 B' L2
U F L U' B' L2 F2
U F L U' B' F2 L2
U2 F L' F2 D R2 B
U F L' F2 D R2 B
U' F U' L F2 B' L2
U' F U' L B' L2 F2
U' F U' L B' F2 L2
U2 F U' L F2 B' L2
U2 F U' L B' L2 F2
U2 F U' L B' F2 L2
U F U' L F2 B' L2
U F U' L B' L2 F2
U F U' L B' F2 L2
F' D R2 D' B2 L B'
F' D R2 B2 D' L B'
F2 D F' R U' L' F2
F D' L2 U' D L B'
F D' L2 D U' L B'
F D' B L2 R' U' L
F D' B R' L2 U' L
B' F L U' F2 B' L2
B' F L U' B' L2 F2
B' F L U' B' F2 L2
B2 F L U' F2 B' L2
B2 F L U' B' L2 F2
B2 F L U' B' F2 L2
B' F L' F2 D R2 B
B F L U' F2 B' L2
B F L U' B' L2 F2
B F L U' B' F2 L2
F B L U' F2 B' L2
F B L U' B' L2 F2
B2 F L' F2 D R2 B
F B L U' B' F2 L2
B F L' F2 D R2 B
F B L' F2 D R2 B
B' F U' L F2 B' L2
B' F U' L B' L2 F2
B' F U' L B' F2 L2
B2 F U' L F2 B' L2
B2 F U' L B' L2 F2
B2 F U' L B' F2 L2
B F U' L F2 B' L2
B F U' L B' L2 F2
B F U' L B' F2 L2
F B U' L F2 B' L2
F B U' L B' L2 F2
F B U' L B' F2 L2
F B' L U' F2 B' L2
F B' L U' B' L2 F2
F B' L U' B' F2 L2
F B' L' F2 D R2 B
F B' U' L F2 B' L2
F B' U' L B' L2 F2
F B' U' L B' F2 L2
F B2 L U' F2 B' L2
F B2 L U' B' L2 F2
F B2 L U' B' F2 L2
F B2 L' F2 D R2 B
F B2 U' L F2 B' L2
F B2 U' L B' L2 F2
F B2 U' L B' F2 L2
