D L F L' U' B
U L B' U2 R' B2
U2 L' U F B R
U2 L' U B F R
U L' U2 F B R
U L' U2 B F R
U' L' F L B R
L' U' F B D' R2
L' U' B D' R2 F
L' U' B D' F R2
L' U' B F D' R2
L' U2 B' U F B2
L' U2 B' U B2 F
D2 U' F B R F'
D2 U' B F R F'
U' D2 F B R F'
U' D2 B F R F'
L F L2 U' F B
L F L2 U' B F
L F U B' U2 B2
L F U' B D2 F2
U' F D2 B R F'
U' F B D2 R F'
U' B L' F L R
U' B L' F R L
U B L B' U2 B
U' B D2 F R F'
U' B F D2 R F'
U L' U2 B F R D'
U L' U2 B F R D2
U L' U2 B F D R
U L' U2 B F D' R
U L' U2 B F D2 R
U L' U2 B' F R B2
U L' U2 B2 F R B'
U2 L' D U F B R
U2 L' D U B F R
U' L' D F L B R
U L' D U2 F B R
U L' D U2 B F R
U2 L' D' U F B R
U2 L' D' U B F R
U' L' D' F L B R
U L' D' U2 F B R
U L' D' U2 B F R
U2 L' D2 U F B R
U2 L' D2 U B F R
U' L' D2 F L B R
U L' D2 U2 F B R
U L' D2 U2 B F R
U' L' F L D B R
U' L' F L D' B R
U' L' F L D2 B R
U' L' F L B R D
U' L' F L B R D'
U' L' F L B R D2
U' L' F L B D R
U' L' F L B D' R
U' L' F L B D2 R
U' L' F L B' R B2
U' L' F L B2 R B'
U' L' F L' B L2 R
U' L' F L' B R L2
U' L' F L2 B L' R
U' L' F L2 B R L'
U' L' F R D2 L B'
U' L' F D L B R
U' L' F D' L B R
U' L' F D2 L B R
U' L' F2 L F' B R
U' L' F2 L B F' R
U' L' B D2 F L' R
U' L' B D2 F R L'
U2 L' B' U F R B2
U2 L' B' U F B2 R
U2 L' B' U B2 F R
U L' B' U2 R' F B2
U L' B' U2 R' B2 F
U L' B' U2 F R' B2
U2 L' B2 U F R B'
U2 L' B2 U F B' R
U2 L' B2 U B' F R
L R2 F U F2 B' U2
L R2 F U B' F2 U2
R2 U L F' B' U2 R'
R2 U L B' F' U2 R'
R U L B' U2 R' B
D L2 F L' F U' B
U' L2 B L F L R
U' L2 B L F R L
U L2 B' U2 R' F' B2
U L2 B' U2 R' B2 F'
R2 U F' L B' U2 R'
R2 U F' L' U2 F R
R2 U F' B L B' U2
R2 U B L F' B' U2
R2 U B L B' F' U2
R2 U B F' L B' U2
L U B' U' F U' B2
L' U' D F B D' R2
L' U' D B D' R2 F
L' U' D B D' F R2
L' U' D B F D' R2
L' U' D' F B D' R2
L' U' D' B D' R2 F
L' U' D' B D' F R2
L' U' D' B F D' R2
L' U' D2 F B D' R2
L' U' D2 B D' R2 F
L' U' D2 B D' F R2
L' U' D2 B F D' R2
U' R' L' F L R B
U' R' L' F R L B
L' U' F U' B' U B2
L' U' F D B D' R2
L' U' F D' B D' R2
L' U' F D2 B D' R2
L' U' F B R D' R2
L' U' F B R' D' R2
L' U' F B R2 D' R2
L' U' F B U' B2 U
L' U' F B D' R2 D
L' U' F B D' R2 D'
L' U' F B D' R2 D2
R2 U' F D2 R F' B2
R2 U' F D2 R B2 F'
R2 U' F D2 B2 R F'
R2 U' F' L' U2 F L
L' U' F2 B D' F' R2
L' U' B R D' R2 F
L' U' B R D' F R2
L' U' B R F D' R2
L' U' B R' D' R2 F
L' U' B R' D' F R2
L' U' B R' F D' R2
L' U' B R2 D' R2 F
L' U' B R2 D' F R2
L' U' B R2 F D' R2
L' U' B U' B2 U F
L' U' B D F D2 R2
L' U' B D' R' F R'
L' U' B D' R2 D F
L' U' B D' R2 D' F
L' U' B D' R2 D2 F
L' U' B D' R2 F D
L' U' B D' R2 F D'
L' U' B D' R2 F D2
L' U' B D' F R2 D
L' U' B D' F R2 D'
L' U' B D' F R2 D2
L' U' B D' F' R2 F2
L' U' B F R D' R2
L' U' B F R' D' R2
L' U' B F R2 D' R2
L' U' B F U' B2 U
L' U' B F D' R2 D
L' U' B F D' R2 D'
L' U' B F D' R2 D2
L' U' B F2 D' F' R2
R' U2 L' U F R B'
R' U2 L' U F B' R
R' U2 L' U B' F R
U' R' D2 F R F' B
U' R' D2 F R B F'
U' R' F D2 R F' B
U' R' F D2 R B F'
L U2 L2 B' U F B2
L U2 L2 B' U B2 F
L' U2 D B' U F B2
L' U2 D B' U B2 F
L' U2 D' B' U F B2
L' U2 D' B' U B2 F
L' U2 D2 B' U F B2
L' U2 D2 B' U B2 F
L' U2 B' R U F B2
L' U2 B' R U B2 F
L' U2 B' R' U F B2
L' U2 B' R' U B2 F
L' U2 B' R2 U F B2
L' U2 B' R2 U B2 F
L' U2 B' U F B2 D
L' U2 B' U F B2 D'
L' U2 B' U F B2 D2
L' U2 B' U B2 D F
L' U2 B' U B2 D' F
L' U2 B' U B2 D2 F
L' U2 B' U B2 F D
L' U2 B' U B2 F D'
L' U2 B' U B2 F D2
U' R2 F D2 R F' B2
U' R2 F D2 R B2 F'
U' R2 F D2 B2 R F'
U' R2 F' L' U2 F L
L' D U' F B D' R2
L' D U' B D' R2 F
L' D U' B D' F R2
L' D U' B F D' R2
F' U L B' U2 R' B2
L' D U2 B' U F B2
L' D U2 B' U B2 F
F2 U L B' U2 R' B2
F' U L' U2 F B R
F' U L' U2 B F R
F2 U L' U2 F B R
F2 U L' U2 B F R
F U L B' U2 R' B2
L D F L2 U' F B
L D F L2 U' B F
F U L' U2 F B R
F U L' U2 B F R
L D F U B' U2 B2
L D F U' B D2 F2
L2 D' L U' F B R'
L2 D' L U' B R' F
L2 D' L U' B F R'
B U D' B' L U' R'
U' D B D F R F'
F' U B L B' U2 B
F2 U B L B' U2 B
F U B L B' U2 B
B U B' L' U' R' F
B U B' L' U' F R'
L' D' U' F B D' R2
L' D' U' B D' R2 F
L' D' U' B D' F R2
L' D' U' B F D' R2
L' D' U2 B' U F B2
L' D' U2 B' U B2 F
F' U' L' F L B R
U2 D' R B R' U B
F2 U' L' F L B R
L D' F L2 U' F B
L D' F L2 U' B F
L D' F U B' U2 B2
L D' F U' B D2 F2
F U' L' F L B R
D' U' F D' B R F'
U' D' F D' B R F'
D' U' F B R D' F2
U' D' F B R D' F2
D2 U' F B R D F'
D2 U' F B R D' F'
D2 U' F B R D2 F'
D2 U' F B R F' D
D2 U' F B R F' D'
D2 U' F B R F' D2
D2 U' F B' R F' B2
D2 U' F B' R B2 F'
D2 U' F B2 R F' B'
D2 U' F B2 R B' F'
D2 U' F2 B R F' R
D2 U' B R F R F2
U' D' B F R D' F2
D' U' B F R D' F2
D2 U' B F R D F'
D2 U' B F R D' F'
D2 U' B F R D2 F'
D2 U' B F R F' D
D2 U' B F R F' D'
D2 U' B F R F' D2
D2 U' B F2 R F' R
D U' B D F R F'
F' U' D2 F B R F'
D2 U' B' F R F' B2
D2 U' B' F R B2 F'
F' U' D2 B F R F'
F2 U' D2 F B R F'
F2 U' D2 B F R F'
D2 U' B2 F R F' B'
D2 U' B2 F R B' F'
F' U' F D2 B R F'
F' U' F B D2 R F'
F U' D2 F B R F'
F2 U' F D2 B R F'
F2 U' F B D2 R F'
F U' D2 B F R F'
F U' F D2 B R F'
F U' F B D2 R F'
F' U' B L' F L R
F' U' B L' F R L
F2 U' B L' F L R
F2 U' B L' F R L
F' U' B D2 F R F'
F' U' B F D2 R F'
F2 U' B D2 F R F'
F2 U' B F D2 R F'
D' U2 R B R' U B
F U' B L' F L R
F U' B L' F R L
F U' B D2 F R F'
F U' B F D2 R F'
L' D2 U' F B D' R2
L' D2 U' B D' R2 F
L' D2 U' B D' F R2
L' D2 U' B F D' R2
L' D2 U2 B' U F B2
L' D2 U2 B' U B2 F
F' U2 L' U F B R
F' U2 L' U B F R
U' D2 F B R D F'
U' D2 F B R D' F'
U' D2 F B R D2 F'
U' D2 F B R F' D
U' D2 F B R F' D'
U' D2 F B R F' D2
F2 U2 L' U F B R
F2 U2 L' U B F R
U' D2 F B' R F' B2
U' D2 F B' R B2 F'
U' D2 F B2 R F' B'
U' D2 F B2 R B' F'
F U2 L' U F B R
F U2 L' U B F R
L D2 F L2 U' F B
L D2 F L2 U' B F
L D2 F U B' U2 B2
L D2 F U' B D2 F2
U' D2 F2 B R F' R
U' D2 B R F R F2
U' D2 B F R D F'
U' D2 B F R D' F'
U' D2 B F R D2 F'
U' D2 B F R F' D
U' D2 B F R F' D'
U' D2 B F R F' D2
U' D2 B F2 R F' R
U' D2 B' F R F' B2
U' D2 B' F R B2 F'
U' D2 B2 F R F' B'
U' D2 B2 F R B' F'
D F L F L2 U' B
D F L' U' B D' R2
U F L B' U2 R' B2
D F L' U2 B' U B2
L' F L2 F U' F' B
L' F L2 F U' B F'
U F L' U2 F B R
U F L' U2 B F R
L F L2 U' D F B
L F L2 U' D B F
L F L2 U' D' F B
L F L2 U' D' B F
L F L2 U' D2 F B
L F L2 U' D2 B F
L F L2 U' F D B
L F L2 U' F D' B
L F L2 U' F D2 B
L F L2 U' F B D
L F L2 U' F B D'
L F L2 U' F B D2
L F L2 U' B D F
L F L2 U' B D' F
L F L2 U' B D2 F
L F L2 U' B F D
L F L2 U' B F D'
L F L2 U' B F D2
L F L2 D U' F B
L F L2 D U' B F
L F L2 D' U' F B
L F L2 D' U' B F
L F L2 D2 U' F B
L F L2 D2 U' B F
L F R2 U F' B' U2
L F R2 U B' F' U2
D2 F U' F B R F'
D2 F U' B F R F'
L F U D B' U2 B2
F' D L F L' U' B
L F U D' B' U2 B2
L F U D2 B' U2 B2
L F U F B' U2 B2
L F U F' B' U2 B2
F2 D L F L' U' B
L F U F2 B' U2 B2
L F U B' U2 B2 D
L F U B' U2 B2 D'
L F U B' U2 B2 D2
L F U B' D2 F2 U2
L F U B' F U2 B2
L F U B' F' U2 B2
L F U B' F2 U2 B2
L F U' L2 F L2 B
L F U' L2 F B L2
L F U' L2 B F L2
L F U' D B D2 F2
L F U' D' B D2 F2
L F U' D2 B D2 F2
L F U' F B D2 F2
L F U' F' B D2 F2
L F U' F2 B D2 F2
U' F D B D R F'
L F U' B U2 B2 U2
L F U' B D2 F2 D
L F U' B D2 F2 D'
L F U' B D2 F2 D2
L F U' B F D2 F2
L F U' B F' D2 F2
L F U' B F2 D2 F2
F D L F L' U' B
L F U2 L2 U F B
L F U2 L2 U B F
U' F D' B R D' F2
L F D L2 U' F B
L F D L2 U' B F
L F D U B' U2 B2
L F D U' B D2 F2
U' F D2 B R D F'
U' F D2 B R D' F'
U' F D2 B R D2 F'
U' F D2 B R F' D
U' F D2 B R F' D'
U' F D2 B R F' D2
U' F D2 B' R F' B2
U' F D2 B' R B2 F'
U' F D2 B2 R F' B'
U' F D2 B2 R B' F'
U' F B L' R F L
U' F B R L' F L
L F D' L2 U' F B
L F D' L2 U' B F
L F D' U B' U2 B2
L F D' U' B D2 F2
U' F B D2 R D F'
U' F B D2 R D' F'
U' F B D2 R D2 F'
U' F B D2 R F' D
U' F B D2 R F' D'
U' F B D2 R F' D2
L F D2 L2 U' F B
L F D2 L2 U' B F
L F D2 U B' U2 B2
L F D2 U' B D2 F2
U F B L B' U2 B
U' F B2 D2 R F' B'
U' F B2 D2 R B' F'
U' F B2 D2 B' R F'
U' F' L' U2 F L B
U F' L B' U2 R' B2
L' F' L2 F U' F B
L' F' L2 F U' B F
U F' L' U2 F B R
U F' L' U2 B F R
L F' L2 F2 U' F' B
L F' L2 F2 U' B F'
D2 F' U' F B R F'
U' F' U2 L' U2 F B
U' F' U2 L' U2 B F
D2 F' U' B F R F'
L' F' U' F2 B D' R2
L' F' U' B F2 D' R2
L' F' U2 B' U F2 B2
L' F' U2 B' U B2 F2
L' F' D' L2 F U' B
U' F' D2 F2 B R F'
U' F' D2 B F2 R F'
U' F' B U2 L' U2 F
U' F' B D2 F2 R F'
U F' B L B' U2 B
B D' U B' L U' R'
L' F2 L2 F U' F2 B
L' F2 L2 F U' B F2
U F2 L B' U2 R' B2
U F2 L' U2 F B R
U F2 L' U2 B F R
L F2 L2 F' U' F2 B
L F2 L2 F' U' B F2
B D' B' L F U' B
D2 F2 U' F B R F'
D2 F2 U' B F R F'
L' F2 U' F' B D' R2
L' F2 U' B D' F' R2
L' F2 U' B F' D' R2
L' F2 U2 B' U F' B2
L' F2 U2 B' U B2 F'
U' F2 D2 B R F' R2
U F2 B L B' U2 B
F' D2 U' F B R F'
U' B L' R F L R
U' B L' R F R L
F' D2 U' B F R F'
U' B L' R' F L R
U' B L' R' F R L
U' B L' R2 F L R
U' B L' R2 F R L
F2 D2 U' F B R F'
F2 D2 U' B F R F'
U' B L' D F L R
U' B L' D F R L
U' B L' D' F L R
U' B L' D' F R L
U' B L' D2 F L R
U' B L' D2 F R L
U' B L' F L R D
U' B L' F L R D'
U' B L' F L R D2
U' B L' F L D R
U' B L' F L D' R
U' B L' F L D2 R
U' B L' F R L D
U' B L' F R L D'
U' B L' F R L D2
U' B L' F R D L
U' B L' F R D' L
U' B L' F R D2 L
U' B L' F D L R
U' B L' F D R L
U' B L' F D' L R
U' B L' F D' R L
U' B L' F D2 L R
U' B L' F D2 R L
U' B L' F2 L F' R
F D2 U' F B R F'
F D2 U' B F R F'
U B L D B' U2 B
U B L D' B' U2 B
U B L D2 B' U2 B
U B L F B' U2 B
U' B R L' F L R
U' B R L' F R L
U B L F' B' U2 B
U B L F2 B' U2 B
U B L B' U2 D B
U B L B' U2 D' B
U B L B' U2 D2 B
U B L B' U2 B D
U B L B' U2 B D'
U B L B' U2 B D2
U B L B' D U2 B
U B L B' D' U2 B
U B L B' D2 U2 B
U B L B' F U2 B
U B L B' F' U2 B
U B L B' F2 U2 B
U' B R D2 F R F'
U' B R F D2 R F'
U' B R' L' F L R
U' B R' L' F R L
U' B R' D2 F R F'
U' B R' F D2 R F'
U' B R2 L' F L R
U' B R2 L' F R L
U' B R2 D2 F R F'
U' B R2 F D2 R F'
U' B U2 L B' U2 R'
U' B U2 L' U2 F R
U' B U2 B L B' U2
U B U2 L B' U2 L'
U' B D' F D' R F'
U' B D2 R F R F2
U' B D2 F R D F'
U' B D2 F R D' F'
U' B D2 F R D2 F'
U' B D2 F R F' D
U' B D2 F R F' D'
U' B D2 F R F' D2
U' B D2 F2 R F' R
U' B F L' R F L
U' B F R L' F L
U' B F D2 R D F'
U' B F D2 R D' F'
U' B F D2 R D2 F'
U' B F D2 R F' D
U' B F D2 R F' D'
U' B F D2 R F' D2
U' B F' U2 L' U2 F
U' B F' D2 F2 R F'
U B F L B' U2 B
U B F' L B' U2 B
D' B' L F B U' B
D' B' L B F U' B
U' B' L' F L R B2
U' B' L' F L B2 R
U' B' L' F R L B2
U B F2 L B' U2 B
U2 B' L' U F R B2
U2 B' L' U F B2 R
U2 B' L' U B2 F R
U B' L' U2 R' F B2
U B' L' U2 R' B2 F
U B' L' U2 F R' B2
U B' L2 U2 R' F' B2
U B' L2 U2 R' B2 F'
L' B' R2 F' U F2 B2
L' B' R2 F' U B2 F2
U B' R' F2 L' F B2
U B' R' F2 L' B2 F
U B' R' F2 B2 L' F
U B' R' B2 F2 L' F
L' B' U2 B U' F B
L' B' U2 B U' B F
L B' U' F B U' B
L B' U' B F U' B
U' B2 L' F L R B'
U' B2 L' F L B' R
U' B2 L' F R L B'
U B2 L B' L F U2
U' B2 D2 F R F' B'
U' B2 D2 F R B' F'
U' B2 D2 F B' R F'
U' B2 D2 B' F R F'
U' B2 F D2 R F' B'
U' B2 F D2 R B' F'
U' B2 F D2 B' R F'
