L2 F B' L' U
L2 B' F L' U
D2 L2 F B' L U
D2 L2 B' F L U
L2 D2 F B' L U
F' U2 R F2 B' U'
F' U2 R B' F2 U'
L' F L' F B' U
L' F L' B' F U
L2 D2 B' F L U
F2 U2 F' B' R' U'
F' U2 B' R F2 U'
F2 U2 B' F' R' U'
L2 F D B' L' U
L2 F D' B' L' U
L2 F D2 B' L' U
L2 F B L' B2 U
U2 F B' U2 L' U
L2 F B' L' U D
L2 F B' L' U D'
L2 F B' L' U D2
L2 F B' L' D U
L2 F B' L' D' U
L2 F B' L' D2 U
L2 F B' D L' U
L2 F B' D' L' U
L2 F B' D2 L' U
L2 F B2 L' B U
U2 F' R F2 B' U'
U2 F' R B' F2 U'
U2 F' B' R F2 U'
L2 B F L' B2 U
L2 B' F L' U D
L2 B' F L' U D'
L2 B' F L' U D2
L2 B' F L' D U
L2 B' F L' D' U
L2 B' F L' D2 U
U2 B' F U2 L' U
L2 B' F D L' U
L2 B' F D' L' U
L2 B' F D2 L' U
U2 B' F' R F2 U'
L2 B2 F L' B U
L2 F B' D2 L' D' U
L2 F B' D2 L' D2 U
U2 F B' D2 U2 L' U
L2 F B2 L B L2 U
R2 F B' U2 L' R2 U
R2 F B' U2 R2 L' U
L2 F B2 L' D B U
L2 F B2 L' D' B U
L2 F B2 L' D2 B U
L2 F B2 L' B U D
L2 F B2 L' B U D'
L2 F B2 L' B U D2
L2 F B2 L' B D U
L2 F B2 L' B D' U
L2 F B2 L' B D2 U
L2 F B2 D L' B U
L2 F B2 D B L' U
L2 F B2 D' L' B U
L2 F B2 D' B L' U
L2 F B2 D2 L' B U
U F B' U2 L' U F'
L2 F B2 D2 B L' U
F' D U2 R B' U' R
L2 F' L F2 L' B' U
F' D U2 B' R U' R
F2 D U2 F' B' R' U'
F2 D U2 B' F' R' U'
U2 F' R D B' U' R2
U2 F' R F2 D B' U'
U2 F' R F2 D' B' U'
U2 F' R F2 D2 B' U'
U2 F' R F2 B' U' D
U2 F' R F2 B' U' D'
U2 F' R F2 B' U' D2
U2 F' R F2 B' D U'
U2 F' R F2 B' D' U'
U2 F' R F2 B' D2 U'
U2 F' R B' U' D R2
U2 F' R B' D U' R2
U2 F' R B' F2 U' D
U2 F' R B' F2 U' D'
U2 F' R B' F2 U' D2
U2 F' R B' F2 D U'
U2 F' R B' F2 D' U'
U2 F' R B' F2 D2 U'
R2 F' R F2 B' L' U'
R2 F' R B' F2 L' U'
U2 F' R' F2 R2 B' U'
U2 F' R' F2 B' R2 U'
U F' R F2 B' U' F'
U2 F' R' B' R2 F2 U'
U2 F' R' B' F2 R2 U'
U F' R B' F2 U' F'
U2 F' R2 F2 R' B' U'
U' F' U' R F2 B' U'
U' F' U' R B' F2 U'
U' F' U' B' R F2 U'
U2 F' D R B' U' R
U2 F' D B' R U' R
U2 F' B R F2 B2 U'
U2 F' B R B2 F2 U'
L2 F' B' L F2 L' U
L2 F' B' L' F2 L' U
L2 F' B' L2 F2 L' U
U2 F' B' R U' D R2
U2 F' B' R D U' R2
U2 F' B' R F2 U' D
U2 F' B' R F2 U' D'
U2 F' B' R F2 U' D2
U2 F' B' R F2 D U'
U2 F' B' R F2 D' U'
U2 F' B' R F2 D2 U'
U2 F' B' R' F2 R2 U'
U2 F' B' R2 F2 R' U'
U2 F' B' D R U' R
R2 F' B' R F2 L' U'
U F' B' R F2 U' F'
L2 F2 L F' L' B' U
F2 D' U2 F' B' R' U'
F2 D' U2 B' F' R' U'
L2 F2 D F' B' L' U
L2 F2 D B' F' L' U
L2 F2 D' F' B' L' U
B D2 L2 F2 B' L U
L2 F2 D' B' F' L' U
B D2 L2 B' L F2 U
B D2 L2 B' F2 L U
L2 F2 D2 F' B' L' U
L2 F2 D2 B' F' L' U
L2 F2 B' L F' L' U
L2 F2 B' L' F' L' U
L2 F2 B' L2 F' L' U
L2 F2 B' D F' L' U
L2 F2 B' D' F' L' U
L2 F2 B' D2 F' L' U
B2 D2 U2 F B R' U'
B2 D2 U2 B R' F U'
B2 D2 U2 B F R' U'
F2 D2 U2 F' B' R' U'
L' B L' F B' L' U
F2 D2 U2 B' F' R' U'
L' B L' B' F L' U
L B L F B' L' U
L B L B' F L' U
F' D2 B2 U2 B R U'
D2 B U2 R' F B2 U'
D2 B U2 R' B2 F U'
D2 B U2 F R' B2 U'
B' F R U2 L' R' U
B' F R U2 R' L' U
F' B R F2 B2 L U'
F' B R B2 L F2 U'
B' F R' U2 L' R U
B' F R' U2 R L' U
F' B R B2 F2 L U'
L' B F L' F B' U
L' B F L' B' F U
B' F R2 U2 L' R2 U
B' F R2 U2 R2 L' U
L2 B F L B2 L2 U
L2 B F L' U D' R2
L2 B F L' D' U R2
L2 B F L' B2 U D
L2 B F L' B2 U D'
L2 B F L' B2 U D2
L2 B F L' B2 D U
L2 B F L' B2 D' U
L2 B F L' B2 D2 U
L2 B F D' L' U R2
U2 B F' R F2 B2 U'
U2 B F' R B2 F2 U'
B' F U2 L' U2 L U'
L2 B' L F L' F U
F' B U2 R F2 B2 U'
F' B U2 R B2 F2 U'
L' B' L' F B' L' U
L' B' L' B' F L' U
F' B U2 B2 R F2 U'
L B' L F B' L' U
L B' L B' F L' U
L2 B' R F L' R' U
L2 B' R F R' L' U
U2 B' R F U2 L' U
U2 B' R F' R F2 U'
F' B D2 F2 L' B2 U
F' B D2 F2 B2 L' U
F' B D2 B2 F2 L' U
U2 B' R' F U2 L' U
U2 B' R' F' R F2 U'
L2 B' R2 F L' R2 U
L2 B' R2 F R2 L' U
U2 B' R2 F U2 L' U
U2 B' R2 F' R F2 U'
B' F' R F2 U2 R' U
F' B' R F2 U2 R' U
B' F' R' F2 L' R2 U'
B' F' R' F2 R2 L' U'
F' B' R' F2 L' R2 U'
F' B' R' F2 R2 L' U'
U2 B' D R' F U' B
B F' R F2 B2 L U'
F B' R U2 L' R' U
F B' R U2 R' L' U
B F' R B2 L F2 U'
B F' R B2 F2 L U'
U2 B' D F R' U' B
F B' R' U2 L' R U
F B' R' U2 R L' U
L2 B' D' F L U B'
L' B' F L' F B' U
L' B' F L' B' F U
F B' R2 U2 L' R2 U
F B' R2 U2 R2 L' U
L2 B' F L U D' B2
L2 B' F L D' U B2
L2 B' F L2 D L U
L2 B' F L2 D' L U
L2 B' F L2 D2 L U
U2 B' F R U2 L' U
U2 B' F R' U2 L' U
U2 B' F R2 U2 L' U
U2 B' F U2 L' U D
U2 B' F U2 L' U D'
U2 B' F U2 L' U D2
U2 B' F U2 L' D U
U2 B' F U2 L' D' U
U2 B' F U2 L' D2 U
U2 B' F U2 D L' U
U2 B' F U2 D' L' U
U2 B' F U2 D2 L' U
L2 B' F D L' U D
L2 B' F D L' U D'
L2 B' F D L' U D2
L2 B' F D L' D U
L2 B' F D L' D' U
L2 B' F D L' D2 U
U2 B' F D U2 L' U
L2 B' F D' L' U D
L2 B' F D' L' U D'
L2 B' F D' L' U D2
L2 B' F D' L' D U
L2 B' F D' L' D' U
L2 B' F D' L' D2 U
L2 B' F D2 L' U D
L2 B' F D2 L' U D'
L2 B' F D2 L' U D2
U2 B' F D' U2 L' U
L2 B' F D2 L' D U
L2 B' F D2 L' D' U
L2 B' F D2 L' D2 U
U2 B' F D2 U2 L' U
L2 B' F' L F2 L' U
L2 B' F' L' F2 L' U
L2 B' F' L2 F2 L' U
U2 B' F' R U' D R2
U2 B' F' R D U' R2
R2 B' F U2 L' R2 U
U2 B' F' R F2 U' D
U2 B' F' R F2 U' D'
U2 B' F' R F2 U' D2
U2 B' F' R F2 D U'
U2 B' F' R F2 D' U'
U2 B' F' R F2 D2 U'
R2 B' F U2 R2 L' U
U2 B' F' R' F2 R2 U'
U2 B' F' R2 F2 R' U'
B2 F' U2 B R F2 U'
U2 B' F' D R U' R
R2 B' F' R F2 L' U'
L2 B' F2 L F' L' U
L2 B' F2 L' F' L' U
L2 B' F2 L2 F' L' U
B F' U2 R F2 B2 U'
B F' U2 R B2 F2 U'
U B' F U2 L' U F'
L2 B' F2 D F' L' U
F B' U2 L' U2 L U'
L2 B' F2 D' F' L' U
L2 B' F2 D2 F' L' U
U B' F' R F2 U' F'
B F' U2 B2 R F2 U'
L' B2 L' F B' L' U
L' B2 L' B' F L' U
L B2 L F B' L' U
L B2 L B' F L' U
B F' D2 F2 L' B2 U
B F' D2 F2 B2 L' U
B F' D2 B2 F2 L' U
D2 B2 U2 F B R U'
D2 B2 U2 B F R U'
F' B2 U2 B R F2 U'
L' B2 F L' F B' U
L' B2 F L' B' F U
U2 B2 D2 F B R' U'
U2 B2 D2 B R' F U'
U2 B2 D2 B F R' U'
L2 B2 F L B L2 U
L2 B2 F L' D B U
L2 B2 F L' D' B U
L2 B2 F L' D2 B U
L2 B2 F L' B U D
L2 B2 F L' B U D'
L2 B2 F L' B U D2
L2 B2 F L' B D U
L2 B2 F L' B D' U
L2 B2 F L' B D2 U
L2 B2 F D L' B U
L2 B2 F D B L' U
L2 B2 F D' L' B U
L2 B2 F D' B L' U
L2 B2 F D2 L' B U
L2 B2 F D2 B L' U
