D2 R F' U' F'
D2 L R F' U' F'
L R D L2 F U'
L' R D F L2 U'
R L D L2 F U'
L' R D2 F U' F
L' R F U B2 U2
L' R F U' D2 F2
L' R F D L2 U'
L' R F D2 U' F2
D2 L' R F' U' F'
R L' D F L2 U'
R L' D2 F U' F
R L' F U B2 U2
R L' F U' D2 F2
R L' F D L2 U'
R L' F D2 U' F2
D2 L2 R F' U' F'
D L2 R F' U' R
D L2 D R F' U'
D L2 F' U' R B
D2 R L F' U' F'
D2 R L' F' U' F'
D2 R L2 F' U' F'
D R L2 F' U' R
D2 R D' L2 F' U'
D2 R D' F' L2 U'
D2 R F' L U' F'
D2 R F' L' U' F'
D2 R F' L2 U' F'
D2 R F' U' D F'
D2 R F' U' D' F'
D2 R F' U' D2 F'
D2 R F' U' F' D
D2 R F' U' F' D'
D2 R F' U' F' D2
D2 R F' D U' F'
D2 R F' D' U' F'
D R F' L2 U' R
D2 R F' D2 U' F'
L' D R F L2 U'
L D L2 R F U'
L D R L2 F U'
R D L2 F' U' R
R D F' L2 U' R
L' D2 R F U' F
D F' L2 U' R B
R L' F D L2 U' D'
R L' F D L2 U' D2
R L' F D L2 D U'
R L' F D L2 D' U'
R L' F D L2 D2 U'
R2 L' F D2 R' U' F2
R L' F D' U2 R2 U
R L' F D2 L U' F2
R L' F D2 L' U' F2
R L' F D2 L2 U' F2
R L' F D2 U' F2 D
R L' F D2 U' F2 D'
R L' F D2 U' F2 D2
B2 L' U' B2 R F U'
R L' F' D L2 U' R2
D L' D L' R F' U'
D L' D R L' F' U'
F' L' D F L2 R U'
F' L' D F R L2 U'
R L' F2 D L2 F' U'
R L' F2 D F' L2 U'
R L' F2 D2 F' U' F'
D' L' D' R F' U' F'
D L' D' L' R F U'
D L' D' R L' F U'
F' L' D2 F R U' F
F' L' F R U B2 U2
F' L' F R U' D2 F2
F' L' F R D L2 U'
F' L' F R D2 U' F2
F2 L' F U B2 U2 B2
F' L' F D L2 R U'
F' L' F D R L2 U'
F' L' F D2 R U' F2
R L2 U B L B U2
R L2 U' D2 F R F
R L2 U' F R D2 F2
R L2 U' F D2 R F2
R L2 U' F' D2 F2 R
L' R2 D R' F L2 U'
L R2 D L2 R' F U'
L R2 D L2 F R' U'
L' R2 D F L2 R' U'
L' R2 D F R' L2 U'
R L2 D L F L U'
L R2 D R' L2 F U'
U L' B2 U' R F U'
L' R2 D2 R' F U' F
D2 L2 R D' L2 F' U'
D2 L2 R D' F' L2 U'
D2 L2 R F' L U' F'
D2 L2 R F' L' U' F'
D2 L2 R F' L2 U' F'
D L2 R U' F' R F
D2 L2 R F' U' D F'
D2 L2 R F' U' D' F'
D2 L2 R F' U' D2 F'
D2 L2 R F' U' F' D
D2 L2 R F' U' F' D'
D2 L2 R F' U' F' D2
D2 L2 R F' D U' F'
L' R2 D2 F R' U' F
D2 L2 R F' D' U' F'
D2 L2 R F' D2 U' F'
R L2 D2 L F U' F
D L2 R F U L' U2
D L2 R F' U' R D
D L2 R F' U' R D'
D L2 R F' U' R D2
D L2 R F' U' D R
D L2 R F' U' D' R
D L2 R F' U' D2 R
D L2 R F' D U' R
D L2 R F' D' U' R
D L2 R F' D2 U' R
R L2 D2 U' F R F
R L2 D2 F U' F R
L' R2 F R' U B2 U2
L' R2 F R' U' D2 F2
L' R2 F R' D L2 U'
L' R2 F R' D2 U' F2
L' R2 F D L2 R' U'
L' R2 F D R' L2 U'
L' R2 F D2 R' U' F2
D L2 R' F' R2 U' R'
D L2 R2 F' R' U' R2
D L2 D R D F' U'
D L2 D R D' F' U'
D L2 D R D2 F' U'
D L2 D R F' U' D
D L2 D R F' U' D'
D L2 D R F' U' D2
D L2 D R F' D U'
D L2 D R F' D' U'
D L2 D R F' D2 U'
D' L2 D' R F' U' F'
R U L B2 U B U
R U L' B2 U' F U'
D L2 F' U' R D B
D L2 F' U' R D' B
D L2 F' U' R D2 B
D L2 F' U' R B D
D L2 F' U' R B D'
D L2 F' U' R B D2
D L2 F' U' D R B
D L2 F' U' D' R B
D L2 F' U' D2 R B
D L2 F' U' B R B
D L2 F' U' B' R B
D L2 F' U' B2 R B
D L2 F' D U' R B
D L2 F' D' U' R B
D L2 F' D2 U' R B
B' L2 B R U' F R
D2 R L D' L2 F' U'
D2 R L D' F' L2 U'
D2 R L F' L U' F'
D2 R L F' L' U' F'
D2 R L F' L2 U' F'
D2 R L F' U' D F'
D2 R L F' U' D' F'
D2 R L F' U' D2 F'
D2 R L F' U' F' D
D2 R L F' U' F' D'
D2 R L F' U' F' D2
D2 R L F' D U' F'
D2 R L F' D' U' F'
D2 R L F' D2 U' F'
D R L F' L U' R
D2 R L' D' L2 F' U'
D2 R L' D' F' L2 U'
D2 R L' F' L U' F'
D2 R L' F' L' U' F'
D2 R L' F' L2 U' F'
D2 R L' F' U' D F'
D2 R L' F' U' D' F'
D2 R L' F' U' D2 F'
D2 R L' F' U' F' D
D2 R L' F' U' F' D'
D2 R L' F' U' F' D2
D2 R L' F' D U' F'
D2 R L' F' D' U' F'
D2 R L' F' D2 U' F'
D R L' D' L' F U'
D2 R L2 D' L2 F' U'
D2 R L2 D' F' L2 U'
D2 R L2 F' L U' F'
D2 R L2 F' L' U' F'
D2 R L2 F' L2 U' F'
D2 R L2 F' U' D F'
D2 R L2 F' U' D' F'
D2 R L2 F' U' D2 F'
D2 R L2 F' U' F' D
D2 R L2 F' U' F' D'
D2 R L2 F' U' F' D2
D2 R L2 F' D U' F'
D2 R L2 F' D' U' F'
D2 R L2 F' D2 U' F'
D R L2 U' F' R F
D R L2 F U L' U2
D R L2 F' U' R D
D R L2 F' U' R D'
D R L2 F' U' R D2
D R L2 F' U' D R
D R L2 F' U' D' R
D R L2 F' U' D2 R
D R L2 F' D U' R
D R L2 F' D' U' R
D R L2 F' D2 U' R
D2 R U' F D R2 F
D2 R U' F D F R2
D2 R U' F2 U F U'
D R U' F D F2 R
D R U' F' R D F2
D R U' F' D R F2
D' R U2 R B U R'
D2 R U2 R2 B U F2
D2 R U2 D R2 B U
D' R U2 B R U R2
R U B D' B U2 R'
D2 R D U2 R2 B U
D2 R D F' U' D' F2
D2 R D F' U2 R2 U
D2 R D F' D' U' F2
D2 R D F' D2 L2 U'
D' R D F2 L' F U'
D2 R D' L F' L U'
L' U B2 U' R F U'
R U B' D' B' L U2
D2 R D' L2 D F' U'
D2 R D' L2 D' F' U'
D2 R D' L2 D2 F' U'
D2 R D' L2 F' U' D
D2 R D' L2 F' U' D'
D2 R D' L2 F' U' D2
D2 R D' L2 F' D U'
D2 R D' L2 F' D' U'
D2 R D' L2 F' D2 U'
R U B2 L U B' U
R U B2 L' U' F U'
R2 U B2 U L B' U
D2 R D' F L2 F2 U'
D2 R D' F' L2 U' D
D2 R D' F' L2 U' D'
D2 R D' F' L2 U' D2
D2 R D' F' L2 D U'
D2 R D' F' L2 D' U'
D2 R D' F' L2 D2 U'
D2 R D' F' U' D F2
D2 R D' F' D U' F2
D2 R D2 F' U B2 U2
D2 R D2 F' U' D2 F2
D2 R D2 F' D L2 U'
D2 R D2 F' D2 U' F2
D2 R F U' D R2 F
D2 R F U' D F R2
D R F L2 U L U2
D2 R F D U' R2 F
D2 R F D U' F R2
D R F U' D F2 R
D2 R F' L U' D F'
D2 R F' L U' D' F'
D2 R F' L U' D2 F'
D2 R F' L U' F' D
D2 R F' L U' F' D'
D2 R F' L U' F' D2
D2 R F' L D U' F'
D2 R F' L D' U' F'
D2 R F' L D2 U' F'
D2 R F' L' U' D F'
D2 R F' L' U' D' F'
D2 R F' L' U' D2 F'
D2 R F' L' U' F' D
D2 R F' L' U' F' D'
D2 R F' L' U' F' D2
D2 R F' L' D U' F'
D2 R F' L' D' U' F'
D2 R F' L' D2 U' F'
D2 R F' L2 U' D F'
D2 R F' L2 U' D' F'
D2 R F' L2 U' D2 F'
D2 R F' L2 U' F' D
D2 R F' L2 U' F' D'
D2 R F' L2 U' F' D2
D R F D U' F2 R
D2 R F' L2 D U' F'
D2 R F' L2 D' U' F'
D2 R F' L2 D2 U' F'
D2 R F' U B U2 F'
D2 R F' U B' U2 F'
D2 R F' U B2 U2 F'
D2 R F' U' L' F' L
D2 R F' U' L2 F' L2
D2 R F' U' D F' D
D2 R F' U' D F' D'
D2 R F' U' D F' D2
D2 R F' U' D' F' D
D2 R F' U' D' F' D'
D2 R F' U' D' F' D2
D2 R F' U' D2 F' D
D2 R F' U' D2 F' D'
D2 R F' U' D2 F' D2
D2 R F' U' F2 D F
D2 R F' U' F2 D' F
D2 R F' U' F2 D2 F
D2 R F' D L U' F'
D2 R F' D L' U' F'
D2 R F' D L2 U' F'
D2 R F' D U' F' D
D2 R F' D U' F' D'
D2 R F' D U' F' D2
D R F' L2 U' R D
D R F' L2 U' R D'
D R F' L2 U' R D2
D R F' L2 U' D R
D R F' L2 U' D' R
D R F' L2 U' D2 R
D R F' L2 D U' R
D R F' L2 D' U' R
D R F' L2 D2 U' R
D2 R F' D' L U' F'
D2 R F' D' L' U' F'
D2 R F' D' L2 U' F'
D2 R F' D' U' F' D
D2 R F' D' U' F' D'
D2 R F' D' U' F' D2
D2 R F' D2 L U' F'
D2 R F' D2 L' U' F'
D2 R F' D2 L2 U' F'
D2 R F' D2 U' F' D
D2 R F' D2 U' F' D'
D2 R F' D2 U' F' D2
D R F' U' R D F2
D R F' U' D R F2
D R F' D U' R F2
D' R F2 D L' F U'
D2 R F2 D F U' F'
D R F2 L2 F U' R
D2 R F2 D' F U' F'
D2 R F2 D2 F U' F'
R U' D F D F2 R
R U' D F' R D F2
R U' D F' D R F2
R U' D2 F' D' F' R
D R' L2 F' R2 U' R'
D2 R' F R2 F' U' F2
D R' F' L2 R2 U' R'
D R' F' R2 L2 U' R'
D2 R' F2 R2 F' U' F
R U2 D' R2 B U R'
R U2 D' B R2 U R
R U2 D2 R' B U F2
D R2 L2 F' R' U' R2
D2 R2 D' L2 R' F' U'
D2 R2 D' R' L2 F' U'
D2 R2 D' R' F' L2 U'
L2 D L R F L U'
D2 R2 F R' F' U' F2
R D L F' L U' R
L' D L2 R U2 B' U
R' D L2 F' U' R B2
R' D L2 F' U' B2 R
R D L' D' L' F U'
R2 D L2 R' F' U' R
L2 D L2 D2 R F' U'
L' D R L2 U2 B' U
L D L2 R D F U'
L D L2 R D' F U'
L D L2 R D2 F U'
L D L2 R F U' D
L D L2 R F U' D'
L D L2 R F U' D2
L D L2 R F D U'
L D L2 R F D' U'
L D L2 R F D2 U'
L D L2 R' F R2 U'
L D L2 R2 F R' U'
R2 D L2 F' R' U' R2
D R2 F' L2 R' U' R2
L' D R D F U' F
R D L2 U' F' R F
L2 D R L F L U'
D R2 F' R' L2 U' R2
L D L2 D R F U'
L D L2 D' R F U'
L' D R F L2 U' D
L' D R F L2 U' D'
L' D R F L2 U' D2
L' D R F L2 D U'
L' D R F L2 D' U'
L' D R F L2 D2 U'
L' D R F U' D F2
L' D R F D U' F2
L D L2 D2 R F U'
L' D R F' L2 F2 U'
D2 R2 F2 R' F' U' F
L' D R F2 L2 F' U'
R D L2 F U L' U2
R D L2 F' U' R D
R D L2 F' U' R D'
R D L2 F' U' R D2
R D L2 F' U' D R
R D L2 F' U' D' R
R D L2 F' U' D2 R
R D L2 F' D U' R
R D L2 F' D' U' R
R D L2 F' D2 U' R
L D R L2 D F U'
L D R L2 D' F U'
L D R L2 D2 F U'
L D R L2 F U' D
L D R L2 F U' D'
L D R L2 F U' D2
L D R L2 F D U'
L D R L2 F D' U'
L D R L2 F D2 U'
L' D R' F L2 R2 U'
L' D R' F R2 L2 U'
L D R F L2 F U'
R2 D R' L2 F' U' R
L D R F' L2 F U'
L D R F2 L2 F U'
R2 D R' F' L2 U' R
L D R' L2 F R2 U'
L' D R2 F L2 R' U'
L' D R2 F R' L2 U'
L D R2 L2 F R' U'
R' D F L2 U' B2 R'
R D U' F D F2 R
R D U' F' R D F2
R D U' F' D R F2
R' D F' L2 U' R B2
R' D F' L2 U' B2 R
R D F L2 U L U2
R2 D F' L2 R' U' R2
R D F U' D F2 R
R2 D F' R' L2 U' R2
R D F D U' F2 R
L D F' L2 F R U'
R D F' L2 U' R D
R D F' L2 U' R D'
R D F' L2 U' R D2
R D F' L2 U' D R
R D F' L2 U' D' R
R D F' L2 U' D2 R
R D F' L2 D U' R
R D F' L2 D' U' R
R D F' L2 D2 U' R
R D F' U' R D F2
R D F' U' D R F2
R D F' D U' R F2
R D F2 L2 F U' R
L' D' R F2 L' F' U'
L2 D' R U2 R B U
L D' R U2 R B' U
L D' R U2 B' R U
R D' U2 R2 B U R'
R D' U2 B R2 U R
L2 D2 L R F U' F
L' D2 R D' F L2 U'
L D2 L2 R F U' F
L2 D2 R L F U' F
L' D2 R F U' D F
L' D2 R F U' D' F
L' D2 R F U' D2 F
L' D2 R F U' F D
L' D2 R F U' F D'
L' D2 R F U' F D2
L' D2 R F D U' F
L' D2 R F D' U' F
L' D2 R F D2 U' F
L2 D2 R U' F R F
L2 D2 R F U' F R
L' D2 R' F R2 U' F
L D2 R L2 F U' F
L D2 R U2 B' U F2
L D2 R D' L2 F U'
R2 D2 R' U2 B U F2
L' D2 R2 F R' U' F
B2 U' B2 D2 R F' U'
F2 U2 L B' L2 U F
R D2 U' F' D' F' R
R D2 U2 R' B U F2
R D2 F' U' D' F' R
R D2 F' D' U' F' R
R F L D L2 F U'
R F L' D F L2 U'
R F L' D2 F U' F
R F L' F U B2 U2
R F L' F U' D2 F2
R F L' F D L2 U'
R F L' F D2 U' F2
D2 F R F' R U' F2
L' F D L2 R' U' B
L' F D R' L2 U' B
R F D L2 F' U' R
R F D F' L2 U' R
R F' L D L2 F U'
R F' L' D F L2 U'
D F' L2 U' R D B
D F' L2 U' R D' B
D F' L2 U' R D2 B
D F' L2 U' R B D
D F' L2 U' R B D'
D F' L2 U' R B D2
D F' L2 U' D R B
D F' L2 U' D' R B
D F' L2 U' D2 R B
D F' L2 U' B R B
D F' L2 U' B' R B
D F' L2 U' B2 R B
R F' L' D2 F U' F
R F' L' F U B2 U2
R F' L' F U' D2 F2
R F' L' F D L2 U'
R F' L' F D2 U' F2
D F' L2 D U' R B
D F' L2 D' U' R B
D F' L2 D2 U' R B
D2 F' U' D' F' R B
D F' U' R D F2 B
D F' U' R D B F2
D F' U' R B D F2
D F' U' D R F2 B
D F' U' D R B F2
D2 F' D' U' F' R B
D F' D U' R F2 B
D F' D U' R B F2
L F' D L2 F R U'
R F' D L2 F' U' R
R F' D F' L2 U' R
R F2 L D L2 F U'
R F2 L' D F L2 U'
R F2 L' D2 F U' F
R F2 L' F U B2 U2
R F2 L' F U' D2 F2
R F2 L' F D L2 U'
R F2 L' F D2 U' F2
R F2 D L2 F' U' R
R F2 D F' L2 U' R
F' D2 F R F' U' F2
D2 B R F' B' U' F'
D2 B R B' F' U' F'
F2 D2 F2 R F' U' F
R B' L2 B U' F R
U B2 L' U' R F U'
D2 B2 R F' B2 U' F'
D2 B2 R B2 F' U' F'
L' B2 U' R F B2 U'
L' B2 U' R B2 F U'
L' B2 U' B2 R F U'
U B2 U' D2 R F' U'
U B2 D2 U' R F' U'
