U' L2 U2 L2 B' U
U' L2 D' F U' B2
U' L2 D2 R2 F U'
U' L2 D2 F R2 U'
U' L2 F U' D' B2
U' L2 F U2 L2 U
U' L2 F D' U' B2
U' L2 F D2 R2 U'
U L2 F U2 F' U
D2 U' B' R2 F' U
B' U2 L2 U' L2 B
B' U2 L2 U' B L2
U' D2 B' R2 F' U
B D L2 F U2 F
U F' L2 F B' U'
U F' L2 B' F U'
B D' B2 U2 B R2
U' B' U2 L2 B U'
U' B' U2 B L2 U'
U' B' D2 R2 F' U
D' B2 U B U B
F' U' B' D2 R2 F' U
F2 U' B' U2 L2 B U'
F2 U' B' U2 B L2 U'
F2 U' B' D2 R2 F' U
R2 D2 R2 B' U L2 B
R2 D2 R2 B' U B L2
F U' B' U2 L2 B U'
F U' B' U2 B L2 U'
F U' B' D2 R2 F' U
R2 D2 U' R2 B' U L2
U' D2 R2 B' U2 B U'
R2 D2 U' B' R2 U L2
U' D2 F B' R2 F' U
U D2 R2 D B' U B'
U D2 R2 D2 B' L2 U
B' U2 L2 U' L' B L'
B' U2 L2 U' L2 D B
B' U2 L2 U' L2 D' B
B' U2 L2 U' L2 D2 B
B' U2 L2 U' L2 B D
B' U2 L2 U' L2 B D'
B' U2 L2 U' L2 B D2
B' U2 L2 U' B L2 D
B' U2 L2 U' B L2 D'
B' U2 L2 U' B L2 D2
B' U2 L2 U' B' L2 B2
U D2 R2 B' U D B2
U D2 R2 B' U2 R2 U'
U D2 R2 B' D U B2
U D2 R2 B' D2 L2 U
B' U2 L2 D' B2 U' B'
U' D2 F' B' R2 F' U
B' U2 L2 B' U' L2 B2
B' U2 L2 B' U' B2 L2
B' U2 L2 B2 U' B' L2
U' D2 F2 B' R2 F' U
U' D2 B' R2 D F' U
U' D2 B' R2 D' F' U
U' D2 B' R2 D2 F' U
U' D2 B' R2 F' U D
U' D2 B' R2 F' U D'
U' D2 B' R2 F' U D2
U' D2 B' R2 F' D U
U' D2 B' R2 F' D' U
U' D2 B' R2 F' D2 U
U' D2 B' F R2 F' U
U' D2 B' F' R2 F' U
U' D2 B' F2 R2 F' U
B' U2 D F2 D B R2
B' U2 D F2 B D R2
B' U2 D B F2 D R2
U D2 B' R2 U D B2
U D2 B' R2 U2 R2 U'
U D2 B' R2 D U B2
U D2 B' R2 D2 L2 U
B U2 D F2 D2 R2 B'
B U2 D F2 D2 B' R2
B U2 D F2 B' D2 R2
B U2 D B' F2 D2 R2
B U2 D' R2 D2 F2 B'
B U2 D' R2 D2 B' F2
B U2 D' B R2 F' B2
B U2 D' B R2 B2 F'
U' F L2 U2 L2 B' U
U' F L2 D' F U' B2
U' F L2 D2 R2 F U'
U' F L2 D2 F R2 U'
U' F L2 F U' D' B2
U' F L2 F U2 L2 U
U' F L2 F D' U' B2
U' F L2 F D2 R2 U'
B' U2 F2 D F2 B R2
B' U2 F2 D B R2 F2
B' U2 F2 D B F2 R2
U F L2 F U' D' L2
U F L2 F U2 F2 U
U F L2 F D' U' L2
U F L2 F D2 B2 U'
B' U2 F2 B D R2 F2
B' U2 F2 B D F2 R2
L2 F R B2 U' L B2
B' U2 B D F2 D R2
B' U2 B F2 D R2 F2
B' U2 B F2 D F2 R2
B' U2 B' L2 U' L2 B2
B' U2 B' L2 U' B2 L2
R' F U L2 F U' L'
L2 F R2 D B2 U' B2
B' U2 B2 L2 U' L2 B'
B U2 B' U L2 F U'
B2 U2 B2 U L2 F U'
D2 F U' B' R2 F' U
B D L2 D2 F B2 U2
B D L2 D2 B2 F U2
B D L2 F U2 D F
B D L2 F U2 D' F
B D L2 F U2 D2 F
B D L2 F U2 F D
B D L2 F U2 F D'
B D L2 F U2 F D2
B D L2 F D U2 F
B D L2 F D' U2 F
B D L2 F D2 U2 F
B D L2 F B U2 F
B D L2 F B' U2 F
B D L2 F B2 U2 F
B D L2 B F U2 F
U' F D2 B' R2 F' U
B D L2 B' F U2 F
B D L2 B2 F U2 F
U' F B' U2 L2 B U'
U' F B' U2 B L2 U'
U' F B' D2 R2 F' U
B' D U F2 D' L2 B
B' D U F2 D' B L2
B' D U F2 B D' L2
B2 D U L2 B U F2
D' F B2 U B U B
B' D U B F2 D' L2
B2 D U B L2 U F2
L2 F B2 R U' B2 L
L2 F B2 U' B2 D L2
B' D U2 F2 D B R2
B' D U2 F2 B D R2
B' D U2 B F2 D R2
U' F' L2 U2 L2 B' U
U' F' L2 D' F U' B2
U' F' L2 D2 R2 F U'
U' F' L2 D2 F R2 U'
U' F' L2 F U' D' B2
U' F' L2 F U2 L2 U
U' F' L2 F D' U' B2
U' F' L2 F D2 R2 U'
B D U2 F2 D2 R2 B'
B D U2 F2 D2 B' R2
B D U2 F2 B' D2 R2
B D U2 B' F2 D2 R2
B D F L2 F B' U2
B D F L2 B' F U2
U2 F' L2 F U' B' L2
B D F' L2 F U2 F2
U F' L2 D F B' U'
U F' L2 D B' F U'
U F' L2 D' F B' U'
U F' L2 D' B' F U'
U F' L2 D2 F B' U'
U F' L2 D2 B' F U'
U F' L2 F D B' U'
U F' L2 F D' B' U'
U F' L2 F D2 B' U'
U F' L2 F B' U' D
U F' L2 F B' U' D'
U F' L2 F B' U' D2
U F' L2 F B' D U'
U F' L2 F B' D' U'
U F' L2 F B' D2 U'
U F' L2 B' D F U'
U F' L2 B' D' F U'
U F' L2 B' D2 F U'
U F' L2 B' F U' D
U F' L2 B' F U' D'
U F' L2 B' F U' D2
U F' L2 B' F D U'
U F' L2 B' F D' U'
U F' L2 B' F D2 U'
B D F2 L2 F U2 F'
B D B L2 U2 F2 B2
B D B L2 U2 B2 F2
U2 F' U L2 F U' B'
D2 F' U' B' R2 F' U
B D B2 L2 U2 F2 B
B D B2 L2 U2 B F2
B D' L2 F B2 U2 R2
U' F' D2 B' R2 F' U
B D' L2 B2 F U2 R2
U' F' B' U2 L2 B U'
U' F' B' U2 B L2 U'
U' F' B' D2 R2 F' U
D' F' B2 U B U B
B D' R2 D2 F2 B' L2
B D' R2 D2 B' L2 F2
B D' R2 D2 B' F2 L2
B D' R2 B' D2 L2 F
R' F2 L' U L' F U'
U' F2 L2 U2 L2 B' U
U' F2 L2 D' F U' B2
U' F2 L2 D2 R2 F U'
U' F2 L2 D2 F R2 U'
U' F2 L2 F U' D' B2
U' F2 L2 F U2 L2 U
U' F2 L2 F D' U' B2
U' F2 L2 F D2 R2 U'
B D' U2 R2 D2 F2 B'
B D' U2 R2 D2 B' F2
B D' U2 B R2 F' B2
B D' U2 B R2 B2 F'
U2 F2 L2 F U' L2 B'
B D' F B2 U2 B R2
U F2 L2 D' F U' L2
U F2 L2 D2 F B2 U'
U F2 L2 D2 B2 F U'
U F2 L2 F U2 F U
B D' F' B2 U2 B R2
B D' F2 B2 U2 B R2
R' F2 U L2 F U' L
B D' B U2 R2 F' B2
B D' B U2 R2 B2 F'
B' D' B2 U B2 U B
B' D' B2 U2 D' R2 B'
B' D' B2 U2 D' B' R2
B' D' B2 D L2 F U2
B' D' B2 D' U2 R2 B'
B' D' B2 D' U2 B' R2
F' D' B2 U B U B
B D' B' R2 D2 L2 F
F2 D' B2 U B U B
D2 F2 U' B' R2 F' U
B D' B2 L U2 B R2
B D' B2 L' U2 B R2
B D' B2 L2 U2 B R2
B D' B2 U2 B R2 D
B D' B2 U2 B R2 D'
B D' B2 U2 B R2 D2
B D' B2 U2 B' R2 B2
B D' B2 U2 B2 R2 B'
B D' B2 D2 L2 U2 B
B D' B2 F U2 B R2
B D' B2 F' U2 B R2
F D' B2 U B U B
B D' B2 F2 U2 B R2
D F2 U' B' U2 B U'
U' F2 D2 B' R2 F' U
B' D2 R2 U' R2 U2 B
B' D2 R2 U' F' R2 U2
U' F2 B' U2 L2 B U'
U' F2 B' U2 B L2 U'
U' F2 B' D2 R2 F' U
B' D2 U R2 U R2 B
D' F2 B2 U B U B
F' D2 U' B' R2 F' U
F2 D2 U' B' R2 F' U
F D2 U' B' R2 F' U
B2 D2 F2 U B R2 U
D2 B U R2 B2 U B
D B U B2 U F2 B
D B U B2 U B F2
D2 B U2 D' R2 F2 B'
D2 B U2 D' R2 B' F2
L2 B U' F U' F' B'
L2 B U' F U' B' F'
D2 B U2 D' F2 R2 B'
D2 B U2 D' F2 B' R2
D2 B U2 D' B' R2 F2
D2 B U2 D' B' F2 R2
D' B U2 D' R2 F' B'
D' B U2 D' R2 B' F'
U' B U2 B' L2 F U'
D2 B D L2 F B2 U2
D2 B D L2 B2 F U2
D' B D L2 F B U2
D' B D L2 B F U2
D' B D B L2 U2 B2
D2 B D B2 L2 U2 B
U2 B D L2 U2 L2 F2
U2 B D L2 U2 F2 L2
D B U2 F2 D' R2 B'
D B U2 F2 D' B' R2
D2 B D' U2 R2 F2 B'
D2 B D' U2 R2 B' F2
D2 B D' U2 F2 R2 B'
D2 B D' U2 F2 B' R2
D2 B D' U2 B' R2 F2
D2 B D' U2 B' F2 R2
D' B D' U2 R2 F' B'
D' B D' U2 R2 B' F'
U2 B D F2 D2 R2 B2
U2 B D F2 D2 B2 R2
D' B D' B U2 R2 B2
D' B D' B U2 B2 R2
B' F U2 L2 U' L2 B
B' F U2 L2 U' B L2
F' B D L2 F U2 F
F2 B D L2 F U2 F
B F D L2 F U2 F
F B D L2 F U2 F
F' B D' B2 U2 B R2
F2 B D' B2 U2 B R2
U' B' R2 D F' U F'
D2 B' R2 U' R2 U2 B
D2 B' R2 U' F' R2 U2
U' B' R2 D2 F' R2 U
U' B' R2 F' U D F2
U' B' R2 F' U2 L2 U'
U' B' R2 F' D U F2
U' B' R2 F' D2 R2 U
B F D' B2 U2 B R2
U B' R U2 L2 R' U'
U B' R U2 R' L2 U'
F B D' B2 U2 B R2
D2 B' U R2 U R2 B
R' B' U D F2 L' B
R' B' U D F2 B L'
R' B' U D B F2 L'
U B' R' U2 L2 R U'
U B' R' U2 R L2 U'
R' B' U B D F2 L'
L' B' U' L' F U' B
U B' R2 U D F2 B2
U B' R2 U D B2 F2
U B' R2 U2 L2 R2 U'
U B' R2 U2 R2 L2 U'
U B' R2 D U F2 B2
U B' R2 D U B2 F2
U B' R2 D2 L2 R2 U
U B' R2 D2 R2 L2 U
U' B' U2 L' B L' U'
U' B' U2 L2 D B U'
U' B' U2 L2 D' B U'
U' B' U2 L2 D2 B U'
U' B' U2 L2 B U' D
U' B' U2 L2 B U' D'
U' B' U2 L2 B U' D2
U' B' U2 L2 B D U'
U' B' U2 L2 B D' U'
U' B' U2 L2 B D2 U'
U' B' U2 D B U' F2
D B' U F2 D' L2 B
D B' U F2 D' B L2
D B' U F2 B D' L2
D B' U B F2 D' L2
U' B' U2 B L2 U' D
U' B' U2 B L2 U' D'
U' B' U2 B L2 U' D2
U' B' U2 B L2 D U'
U' B' U2 B L2 D' U'
U' B' U2 B L2 D2 U'
L2 B' U' F U' F' B
L2 B' U' F U' B F'
U' B' U2 B U' D F2
U' B' U2 B D U' F2
U' B' U2 B' L2 B2 U'
U B' U D F2 D2 B2
U' B' D R2 F' U F'
U' B' D U2 B U' F2
R' B' D U F2 L' B
R' B' D U F2 B L'
R' B' D U B F2 L'
U B' U' D' B2 U2 B2
D B' U2 F2 D B R2
D B' U2 F2 B D R2
U B' U2 L2 U' D' B2
U B' U2 L2 U2 L2 U
U B' U2 L2 D' U' B2
D B' U2 B F2 D R2
U B' U2 L2 D2 R2 U'
U' B' D2 R2 D F' U
U' B' D2 R2 D' F' U
U' B' D2 R2 D2 F' U
U' B' D2 R2 F' U D
U' B' D2 R2 F' U D'
U' B' D2 R2 F' U D2
U' B' D2 R2 F' D U
U' B' D2 R2 F' D' U
U' B' D2 R2 F' D2 U
U' B' D2 F R2 F' U
U' B' D2 F' R2 F' U
U' B' D2 F2 R2 F' U
U B' D U F2 D2 B2
U' B' F U2 L2 B U'
U' B' F U2 B L2 U'
U' B' F D2 R2 F' U
U B' D' U' B2 U2 B2
B' F' U2 L2 U' L2 B
B' F' U2 L2 U' B L2
U' B' F' U2 L2 B U'
U' B' F' U2 B L2 U'
U' B' F' D2 R2 F' U
F' B' U2 L2 U' L2 B
F' B' U2 L2 U' B L2
U B' D2 R2 U D B2
U B' D2 R2 U2 R2 U'
U B' D2 R2 D U B2
U B' D2 R2 D2 L2 U
F2 B' U2 L2 U' L2 B
F2 B' U2 L2 U' B L2
U' B' F2 U2 L2 B U'
U' B' F2 U2 B L2 U'
U' B' F2 D2 R2 F' U
D' B2 L U B U B
F B' U2 L2 U' L2 B
F B' U2 L2 U' B L2
B F' D L2 F U2 F
D' B2 L' U B U B
D' B2 L2 U B U B
B F' D' B2 U2 B R2
L2 B2 R F U' B2 L
D' B2 U L B U B
D' B2 U L' B U B
D' B2 U L2 B U B
D' B2 U D L2 B U
D' B2 U D B L2 U
D' B2 U B L U B
D' B2 U B L' U B
D' B2 U B L2 U B
D' B2 U B U D B
D' B2 U B U D' B
D' B2 U B U D2 B
D' B2 U B U B D
D' B2 U B U B D'
D' B2 U B U B D2
D' B2 U B D U B
D' B2 U B D' U B
D' B2 U B D2 U B
L' B2 U' L' F U' B2
D' B2 U' R2 F' U' B2
D' B2 U' D' R2 F' U'
D B2 U B U F2 B
D B2 U B U B F2
L2 B2 U' F U' F' B2
L2 B2 U' F U' B2 F'
U' B2 U2 B2 L2 F U'
D' B2 U2 B' D' R2 B'
D' B2 U2 B' D' B' R2
D' B2 U2 B2 U' B' U
U' B2 D B U L2 F2
U' B2 D B U F2 L2
D' B2 D U L2 B U
D' B2 D U B L2 U
B' F2 U2 L2 U' L2 B
B' F2 U2 L2 U' B L2
D' B2 D' U' R2 F' U'
U' B2 D2 F2 B R2 U
U' B2 D2 B R2 F2 U
U' B2 D2 B F2 R2 U
D' B2 D2 F2 U B U
D' B2 F U B U B
L2 B2 F R U' B2 L
B F2 D L2 F U2 F
L2 B2 F U' B2 D L2
D' B2 F' U B U B
D' B2 F2 U B U B
B F2 D' B2 U2 B R2
