B' L2 F L2 R U
B' L2 F R L2 U
F R D B' U L2
F R D2 F2 B' U
F R D2 B' F2 U
F R B' U2 B' U'
D2 F R F B' U
D2 F R B' F U
B' U2 B L B2 U'
D F R B' U L2
B' U2 B' U2 R' U
D2 F B' R F U
F D R B' U L2
D F B' R U L2
F D B' R U L2
F D2 R F2 B' U
F D2 R B' F2 U
F' D2 F2 R B' U
F' D2 F2 B' R U
F' D2 B' F2 R U
F D2 B' R F2 U
B' F R U2 B' U'
D B' U L F L
F B' R U2 B' U'
D2 B' F R F U
F' B' U2 B' L' U'
B' F' U2 B' L' U'
D B' F R U L2
U2 B2 U2 B R' U
R D2 B' F R F U
B' U2 D2 B L B2 U'
B' U2 D2 B' U2 R' U
B U2 D' B L U' R2
B U2 D2 F2 B L U'
B U2 D2 B L F2 U'
B U2 D2 B F2 L U'
R' F R D B' U L2
D2 F R D F B' U
D2 F R D B' F U
R' F R D2 F2 B' U
R' F R D2 B' F2 U
D2 F R D' F B' U
D2 F R D' B' F U
D2 F R D2 F B' U
D2 F R D2 B' F U
D2 F R F D B' U
D2 F R F D' B' U
D2 F R F D2 B' U
D2 F R F B' U D
D2 F R F B' U D'
D2 F R F B' U D2
D2 F R F B' D U
D2 F R F B' D' U
D2 F R F B' D2 U
D' F R F2 B' U L'
R' F R B' U2 B' U'
D' F R B' U' R U2
D' F R B' F2 U L'
D2 F R B' D F U
D2 F R B' D' F U
D2 F R B' D2 F U
D2 F R B' F U D
D2 F R B' F U D'
D2 F R B' F U D2
D2 F R B' F D U
D2 F R B' F D' U
D2 F R B' F D2 U
R2 F R D B' U L2
B' U2 B L U' D L2
B' U2 B L D U' L2
B' U2 B L B2 U' D
B' U2 B L B2 U' D'
B' U2 B L B2 U' D2
B' U2 B L B2 D U'
B' U2 B L B2 D' U'
B' U2 B L B2 D2 U'
R2 F R D2 F2 B' U
R2 F R D2 B' F2 U
D2 F R' F R2 B' U
B' U2 B L' B2 L2 U'
D2 F R' F B' R2 U
D F R D F2 B' U
B' U2 B L2 B2 L' U'
D F R D B' F2 U
D2 F R' B' R2 F U
D2 F R' B' F R2 U
D F R F B' U L2
R2 F R B' U2 B' U'
D F R F' B' U L2
D F R F2 B' U L2
B' U2 B D L U' L
D F R B' U L2 D
D F R B' U L2 D'
D F R B' U L2 D2
D F R B' D F2 U
D F R B' F U L2
D F R B' F' U L2
D F R B' F2 U L2
R F R D B' U L2
B' U2 B' L U2 R' U
R F R D2 F2 B' U
R F R D2 B' F2 U
B' U2 B' L' U2 R' U
D2 F R2 F R' B' U
B' U2 B' L2 U2 R' U
B U2 B L U2 B U
R F R B' U2 B' U'
B' U2 B' U2 R' U D
B' U2 B' U2 R' U D'
B' U2 B' U2 R' U D2
B' U2 B' U2 R' D U
B' U2 B' U2 R' D' U
B' U2 B' U2 R' D2 U
B' U2 B' U2 D R' U
B' U2 B' U2 D' R' U
B' U2 B' U2 D2 R' U
B' U2 B' D U2 R' U
D F R' B' R2 U L2
B' U2 B' D' U2 R' U
B' U2 B' D2 U2 R' U
F' U2 B2 L' U2 B U
F U2 B2 U2 B R U
R' F D R B' U L2
D2 F D R F B' U
D2 F D R B' F U
R' F D B' R U L2
D2 F D B' R F U
B' D L2 F L2 R U
B' D L2 F R L2 U
D' F D' R F2 B' U
D' F D' R B' F2 U
D2 F D' R F B' U
D2 F D' R B' F U
R2 F D R B' U L2
D F D R F2 B' U
D F D R B' F2 U
D' F D' B' R F2 U
D2 F D' B' R F U
R2 F D B' R U L2
R' F D2 R F2 B' U
R' F D2 R B' F2 U
D F D B' R F2 U
D' F D2 R B' U L2
D2 F D2 R F B' U
D2 F D2 R B' F U
R F D R B' U L2
R' F D2 B' R F2 U
D' F D2 B' R U L2
F2 D R B' U L2 F'
F2 D R B' U F' L2
D2 F D2 B' R F U
R F D B' R U L2
D2 F B R F B2 U
D2 F B R B2 F U
R2 F D2 R F2 B' U
R2 F D2 R B' F2 U
F D R D F2 B' U
F D R D B' F2 U
F D R F B' U L2
F D R F' B' U L2
R2 F D2 B' R F2 U
F D R F2 B' U L2
R' F B' R U2 B' U'
D' F B' R U' R U2
D2 F B' R D F U
D2 F B' R D' F U
D' F B' R F2 U L'
D2 F B' R D2 F U
D2 F B' R F U D
D2 F B' R F U D'
D2 F B' R F U D2
D2 F B' R F D U
D2 F B' R F D' U
D2 F B' R F D2 U
F D R B' U L2 D
F D R B' U L2 D'
F D R B' U L2 D2
F D R B' D F2 U
F D R B' F U L2
F D R B' F' U L2
F D R B' F2 U L2
D2 F B' R' F R2 U
D2 F B' R2 F R' U
R F D2 R F2 B' U
R F D2 R B' F2 U
D2 F B' D R F U
D' F B' D' R F2 U
D2 F B' D' R F U
D' F B' D2 R U L2
D2 F B' D2 R F U
D F B R B2 U L2
R F D2 B' R F2 U
F D R' B' R2 U L2
R2 F B' R U2 B' U'
D F B' R U L2 D
D F B' R U L2 D'
D F B' R U L2 D2
D F B' R D F2 U
D F B' R F U L2
D F B' R F' U L2
D F B' R F2 U L2
D F B' D R F2 U
L2 F B2 U2 L2 R U
L2 F B2 U2 R L2 U
U2 F B2 U2 B R' U
R F B' R U2 B' U'
B' D U2 B L B2 U'
B' D U2 B' U2 R' U
B' D F R U2 B' U'
L2 F' L' F2 R B2 U'
L2 F' L' F2 B2 R U'
L2 F' L' B2 F2 R U'
B' D F' U2 B' L' U'
F' D F2 R B' U L2
F' D F2 B' R U L2
F2 D B' R U L2 F'
F2 D B' R U F' L2
F' D B' U2 L' U' L'
F' D B' D F2 R U
F D B R B2 U L2
F' D B' F2 R U L2
F D B' R U L2 D
F D B' R U L2 D'
F D B' R U L2 D2
F D B' R D F2 U
F D B' R F U L2
F D B' R F' U L2
F D B' R F2 U L2
F D B' D R F2 U
B' D' L2 F L2 R U
B' D' L2 F R L2 U
D' F' D' F2 R B' U
D' F' D' F2 B' R U
D' F' D' B' F2 R U
D F' D F2 R B' U
D F' D F2 B' R U
D F' D B' F2 R U
R' F' D2 F2 R B' U
R' F' D2 F2 B' R U
R' F' D2 B' F2 R U
R2 F' D2 F2 R B' U
R2 F' D2 F2 B' R U
R2 F' D2 B' F2 R U
F D' R F2 B' U L'
F D' R B' U' R U2
F D' R B' F2 U L'
R' F' B' U2 B' L' U'
D' F' B' D' F2 R U
L' F' B2 L' R' F U'
L' F' B2 L' F R' U'
R F' D2 F2 R B' U
R F' D2 F2 B' R U
L' F' B2 R' L' F U'
R F' D2 B' F2 R U
L2 F' B2 L' F2 R U'
R2 F' B' U2 B' L' U'
D F' B' U2 L' U' L'
D F' B' D F2 R U
U2 F' B2 U2 B R' U
R F' B' U2 B' L' U'
B' D' U2 B L B2 U'
B' D' U2 B' U2 R' U
B' D' F R U2 B' U'
B D' U2 B L U' R2
B' D' F' U2 B' L' U'
F' D' B' D' F2 R U
F D' B' R U' R U2
F D' B' R F2 U L'
F D' B' D' R F2 U
F D' B' D2 R U L2
D2 F2 U2 L2 F L' U'
D2 F2 D R B' U F'
D2 F2 D B' R U F'
B' D2 L2 F L2 R U
B' D2 L2 F R L2 U
F' D2 R F2 R B' U
F' D2 R F2 B' R U
F' D2 R B' F2 R U
D2 F2 D2 B R' B2 U
D2 F2 D2 B' U2 L U'
F' D2 R' F2 R B' U
F' D2 R' F2 B' R U
F' D2 R' B' F2 R U
F D2 R D' B' U L2
F D2 R F2 D B' U
F D2 R F2 D' B' U
F D2 R F2 D2 B' U
F D2 R F2 B' U D
F D2 R F2 B' U D'
F D2 R F2 B' U D2
F D2 R F2 B' D U
F D2 R F2 B' D' U
F D2 R F2 B' D2 U
F D2 R B' U D' L2
F D2 R B' D' U L2
F D2 R B' F2 U D
F D2 R B' F2 U D'
F D2 R B' F2 U D2
F D2 R B' F2 D U
F D2 R B' F2 D' U
F D2 R B' F2 D2 U
D2 F2 B' D R U F'
F' D2 R2 F2 R B' U
F' D2 R2 F2 B' R U
F' D2 R2 B' F2 R U
F D2 R' F2 R2 B' U
F D2 R' F2 B' R2 U
F D2 R' B' R2 F2 U
F D2 R' B' F2 R2 U
D2 F2 B2 D2 B R' U
U2 F2 B2 U2 B R' U
F D2 R2 F2 R' B' U
B' D2 U2 B L B2 U'
U2 B L D' B U' R2
B' D2 U2 B' U2 R' U
U2 B L D2 F2 B U'
U2 B L D2 B F2 U'
B' D2 F R U2 B' U'
U2 B L B U2 B U
B D2 U2 F2 B L U'
B D2 U2 B L F2 U'
B D2 U2 B F2 L U'
B' D2 F' U2 B' L' U'
F' D2 F2 R D B' U
F' D2 F2 R D' B' U
F' D2 F2 R D2 B' U
F' D2 F2 R B' U D
F' D2 F2 R B' U D'
F' D2 F2 R B' U D2
F' D2 F2 R B' D U
F' D2 F2 R B' D' U
F' D2 F2 R B' D2 U
F' D2 F2 R' B' R2 U
F' D2 F2 D R B' U
F' D2 F2 D B' R U
F' D2 F2 D' R B' U
F' D2 F2 D' B' R U
F' D2 F2 D2 R B' U
F' D2 F2 D2 B' R U
F' D2 F2 B R B2 U
F' D2 F2 B' R U D
F' D2 F2 B' R U D'
F' D2 F2 B' R U D2
F' D2 F2 B' R D U
F' D2 F2 B' R D' U
F' D2 F2 B' R D2 U
F' D2 F2 B' D R U
F' D2 F2 B' D' R U
F' D2 F2 B' D2 R U
F2 D2 F2 B R' B2 U
F2 D2 F2 B' U2 L U'
D' B R' B2 U L F
F2 D2 B R' F2 B2 U
F2 D2 B R' B2 F2 U
F' D2 B F2 R B2 U
F' D2 B' R F2 R U
F' D2 B' R' F2 R U
F2 D2 B F2 R' B2 U
F' D2 B' R2 F2 R U
F D2 F2 B' U2 L' U'
F' D2 B' F2 R U D
F' D2 B' F2 R U D'
F' D2 B' F2 R U D2
F' D2 B' F2 R D U
F' D2 B' F2 R D' U
F' D2 B' F2 R D2 U
F D2 B R F2 B2 U
F' D2 B' F2 D R U
F D2 B R B2 F2 U
F' D2 B' F2 D' R U
F' D2 B' F2 D2 R U
F2 D2 B' F2 U2 L U'
F D2 B' R U D' L2
F D2 B' R D' U L2
F D2 B' R F2 U D
F D2 B' R F2 U D'
F D2 B' R F2 U D2
F D2 B' R F2 D U
F D2 B' R F2 D' U
F D2 B' R F2 D2 U
F D2 B' R' F2 R2 U
F D2 B' R2 F2 R' U
F D2 B' D' R U L2
F D2 B' F2 U2 L' U'
B' F L2 R F L2 U
B' F R L2 F L2 U
B' F R U2 D B' U'
B' F R U2 D' B' U'
B' F R U2 D2 B' U'
B' F R U2 B' U' D
B' F R U2 B' U' D'
B' F R U2 B' U' D2
B' F R U2 B' D U'
B' F R U2 B' D' U'
B' F R U2 B' D2 U'
B' F R D U2 B' U'
B' F R D' U2 B' U'
U2 B D' L B U' R2
B' F R D2 U2 B' U'
B' F R F U2 B' U'
B' F R F' U2 B' U'
B' F R F2 U2 B' U'
U2 B D2 L F2 B U'
U2 B D2 L B F2 U'
D2 B F R F B2 U
D2 B F R B2 F U
U2 B D2 F2 L B U'
F2 B R2 F' R B2 U
D B F R B2 U L2
F2 B R2 F' B2 R U
F2 B R2 B2 F' R U
B F R2 F' R' B2 U
F B R2 F' R' B2 U
B' F U2 B' U2 R U
B' F D R U2 B' U'
U B' L U F B L
U B' L U B F L
R' B' L2 F L2 R U
R' B' L2 F R L2 U
B' F D' R U2 B' U'
D' B' R U' R B U2
L2 B' L2 F R B' U
L2 B' L2 F B' R U
D2 B' R F R F U
L2 B' L2 B' F R U
R2 B' L2 F L2 R U
R2 B' L2 F R L2 U
B' F D2 R U2 B' U'
D' B' R' U' R' U2 F'
D2 B' R' F R F U
D B' R U L F L
D B' R F R U L2
U2 B' R' U2 R B' U'
U2 B' R' U2 B' R U'
R B' L2 F L2 R U
R B' L2 F R L2 U
D2 B' R2 F R F U
D B' R' U L F L
D2 B' U L D' F L2
D2 B' U L' D' L2 F
D' B' U L D2 F L2
D' B' U L F D2 L2
D B' R' F R U L2
D' B' U L' D2 L2 F
D2 B' U D' L F L
D' B' U D2 L F L
D B' R2 U L F L
B2 F' L' U2 L B U
D B' R2 F R U L2
D' B' U' R B R U2
D B' U L D F L
D B' U L D' F L
D B' U L D2 F L
D B' U L F L D
D B' U L F L D'
D B' U L F L D2
D B' U L F D L
D B' U L F D' L
D B' U L F D2 L
D B' U L F' L F2
D B' U L F2 L F'
D B' U F L F L
D B' U F' L F L
B' F' R U2 B' L' U'
D B' U F2 L F L
F' B' R U2 B' L' U'
R' B' U2 B L B2 U'
D B' U' R B U2 L2
R' B' U2 B' U2 R' U
D B' U' R' U2 L2 F'
D B' U' R' U2 F' L2
F B' L2 R F L2 U
B' F' R' U2 B' L' U'
D B' U2 L U' L F
F' B' R' U2 B' L' U'
F B' R L2 F L2 U
R2 B' U2 B L B2 U'
B' F' R2 U2 B' L' U'
R2 B' U2 B' U2 R' U
D2 B' D' U L F L
D B' U2 B L U' L
F B' R U2 D B' U'
F B' R U2 D' B' U'
F B' R U2 D2 B' U'
F B' R U2 B' U' D
F B' R U2 B' U' D'
F B' R U2 B' U' D2
F B' R U2 B' D U'
F B' R U2 B' D' U'
F B' R U2 B' D2 U'
F B' R D U2 B' U'
F B' R D' U2 B' U'
D2 B' D' F R U L2
F B' R D2 U2 B' U'
F' B' R2 U2 B' L' U'
F B' R F U2 B' U'
D' B' D' F R F U
F B' R F' U2 B' U'
F B' R F2 U2 B' U'
D B' D F R F U
D' B' D2 U L F L
R B' U2 B L B2 U'
R B' U2 B' U2 R' U
D' B' D2 F R U L2
R' B' F R U2 B' U'
D2 B' F R D F U
D2 B' F R D' F U
D2 B' F R D2 F U
D2 B' F R F U D
D2 B' F R F U D'
D2 B' F R F U D2
D2 B' F R F D U
D2 B' F R F D' U
D2 B' F R F D2 U
D2 B' F R' F R2 U
D2 B' F R2 F R' U
D' B' F R U' R U2
D' B' F R F2 U L'
D2 B' F D R F U
D2 B' F D' R F U
D2 B' F D2 R F U
D' B' F D' R F2 U
D' B' F D2 R U L2
B' F' U2 D B' L' U'
R' B' F' U2 B' L' U'
B' F' U2 D' B' L' U'
B' F' U2 D2 B' L' U'
R2 B' F R U2 B' U'
B' F' U2 B L' B2 U'
D' B' F' D' F2 R U
B' F' U2 B' L' U' D
B' F' U2 B' L' U' D'
B' F' U2 B' L' U' D2
B' F' U2 B' L' D U'
B' F' U2 B' L' D' U'
B' F' U2 B' L' D2 U'
B' F' U2 B' D L' U'
B' F' U2 B' D' L' U'
B' F' U2 B' D2 L' U'
F' B' U2 D B' L' U'
B' F' U2 B2 L' B U'
D B' F R U L2 D
D B' F R U L2 D'
D B' F R U L2 D2
D B' F R D F2 U
F' B' U2 D' B' L' U'
D B' F R F U L2
D B' F R F' U L2
D B' F R F2 U L2
F' B' U2 D2 B' L' U'
F' B' U2 B L' B2 U'
F' B' U2 B' L' U' D
F' B' U2 B' L' U' D'
F' B' U2 B' L' U' D2
F' B' U2 B' L' D U'
F' B' U2 B' L' D' U'
F' B' U2 B' L' D2 U'
F' B' U2 B' D L' U'
F' B' U2 B' D' L' U'
F2 B' U2 D2 B' L U'
F' B' U2 B' D2 L' U'
D2 B' F2 D R U F'
D B' F D R F2 U
F' B' U2 B2 L' B U'
B' F' D U2 B' L' U'
R2 B' F' U2 B' L' U'
F' B' D U2 B' L' U'
D B' F' U2 L' U' L'
R B' F R U2 B' U'
D B' F' D F2 R U
B' F' D' U2 B' L' U'
U2 B2 L U2 B R' U
F' B' D' U2 B' L' U'
F B' U2 B' U2 R U
R B' F' U2 B' L' U'
F B' D R U2 B' U'
B' F' D2 U2 B' L' U'
U2 B2 L' U2 B R' U
F' B' D2 U2 B' L' U'
F2 B' D2 U2 B' L U'
F B' D' R U2 B' U'
U2 B2 L2 U2 B R' U
F B' D2 R U2 B' U'
F' B2 L' U2 L B U
L' B2 R' F' L' F U'
L2 B2 U2 L2 B' R' U
B F2 R2 F' R B2 U
U2 B2 U2 B R' U D
U2 B2 U2 B R' U D'
U2 B2 U2 B R' U D2
U2 B2 U2 B R' D U
U2 B2 U2 B R' D' U
U2 B2 U2 B R' D2 U
B F2 R2 F' B2 R U
U2 B2 U2 B D R' U
U2 B2 U2 B D' R' U
U2 B2 U2 B D2 R' U
B F2 R2 B2 F' R U
B' F2 U2 D2 B' L U'
L' B2 F' L' R' F U'
L' B2 F' L' F R' U'
L' B2 F' R' L' F U'
L2 B2 F U2 L2 R U
L2 B2 F U2 R L2 U
U2 B2 F U2 B R' U
L2 B2 F' L' F2 R U'
B' F2 D2 U2 B' L U'
U2 B2 F' U2 B R' U
D2 B2 F2 D2 B R' U
U2 B2 F2 U2 B R' U
