L2 R2 F' U' L2 B'
R2 L2 F' U' L2 B'
U L2 U2 L2 B U
U L2 U2 B L2 U
U L2 D2 R2 F' U'
L2 U B U L2 F
R2 U' F' L2 B' U'
L2 U2 B U B' L2
R2 F D R2 F2 B
R2 F D R2 B F2
B' D L2 U2 L2 F2
B' D L2 U2 F2 L2
R2 F' L2 U' B' L2
B' D F2 D2 R2 B2
B' D F2 D2 B2 R2
U B U2 B' L2 U'
U' F' L2 B' D2 F2 U'
R2 F' L2 R U' B' L2
R2 F' L2 R' U' B' L2
R2 F' L2 R2 U' B' L2
R2 F' L2 U' B L2 B2
R2 F' L2 U' B' L2 D
R2 F' L2 U' B' L2 D'
R2 F' L2 U' B' L2 D2
R2 F' L2 U' B2 L2 B
R2 F' L2 D' B2 U' B
B' D F2 R D2 R2 B2
B' D F2 R D2 B2 R2
B' D F2 R' D2 R2 B2
B' D F2 R' D2 B2 R2
B' D F2 R2 D2 R2 B2
B' D F2 R2 D2 B2 R2
R2 F' L2 B U' L2 B2
R2 F' L2 B U' B2 L2
B' D F2 U2 L2 F2 U2
B' D F2 U2 F2 L2 U2
R2 F' L2 B2 U' L2 B
R2 F' L2 B2 U' B L2
U F' L2 U2 L2 B U
U F' L2 U2 B L2 U
B' D F2 D2 R B2 R
B' D F2 D2 R2 B2 D
B' D F2 D2 R2 B2 D'
B' D F2 D2 R2 B2 D2
R2 F' R L2 U' B' L2
B' D F2 D2 B' R2 B'
B' D F2 D2 B2 R2 D
B' D F2 D2 B2 R2 D'
B' D F2 D2 B2 R2 D2
B' D F2 B D2 R2 B2
B' D F2 B D2 B2 R2
U F' L2 D2 R2 F' U'
B' D F2 B' D2 R2 B2
B' D F2 B' D2 B2 R2
B' D F2 B2 D2 R2 B2
B' D F2 B2 D2 B2 R2
F2 D F2 U R2 F' U'
B' D B L2 U2 L2 F2
B' D B L2 U2 F2 L2
F' D F2 B' D' R2 B
L2 F' R' U' L2 B' R'
R2 F' R' L2 U' B' L2
B' D B F2 D2 R2 B2
B' D B F2 D2 B2 R2
B' D B' L2 U2 L2 F2
B' D B' L2 U2 F2 L2
B D F2 D2 B2 D' R2
R2 F' R2 L2 U' B' L2
B' D B' F2 D2 R2 B2
B' D B' F2 D2 B2 R2
B' D B2 L2 U2 L2 F2
B' D B2 L2 U2 F2 L2
F' D B' F2 D' R2 B
B' D B2 F2 D2 R2 B2
B' D B2 F2 D2 B2 R2
L2 F' U' L2 B' D' R2
B' D' L B2 U2 L' R2
B' D' L B2 U2 R2 L'
B' D' L' B2 R' U2 R'
L2 F' U2 B U L2 B'
B' D' L2 B2 U2 L2 R2
B' D' L2 B2 U2 R2 L2
R2 F' D F2 D R2 B
R F' D F2 R2 B R'
B' D' R' B2 L U2 L'
B' D' R2 U2 B2 U2 B2
B' D' R2 D2 F2 D2 B2
B' D' R2 F2 D2 F2 B2
B' D' R2 F2 D2 B2 F2
R2 F' B L2 U' B' L2
D2 F' B' D' F2 R2 B
U' F' B2 L2 F B' U'
U' F' B2 L2 B' F U'
R2 F' B' L2 U' B' L2
U F' B U2 B' L2 U'
R2 F' B2 L2 U' B' L2
B' D' U2 R2 D2 L2 F2
B' D' U2 R2 D2 F2 L2
B' D' U2 B2 U2 R2 B2
B' D' U2 B2 U2 B2 R2
B' D' F R2 D2 F2 B
B' D' F R2 D2 B F2
U' F2 L2 U2 F2 B U
U' F2 L2 U2 B F2 U
B' D' F B R2 F' B
B' D' F B R2 B F'
B' D' F2 R2 D2 F2 B2
B' D' F2 R2 D2 B2 F2
U F2 L2 U2 L2 B U
U F2 L2 U2 B L2 U
U F2 L2 D2 R2 F' U'
B' D' B F R2 F' B
B' D' B F R2 B F'
B' D' B2 L U2 L' R2
B' D' B2 L U2 R2 L'
B' D' B2 L' U2 L R2
B' D' B2 L' U2 R2 L
B' D' B2 L2 U2 L2 R2
B' D' B2 L2 U2 R2 L2
F2 D' B' D' B2 R2 F'
B' D' B2 U2 R2 D2 L2
B' D' B2 D2 L2 U2 L2
R2 F2 U F L2 U' B'
D F2 U D R2 F' U'
B D' B2 D L2 U2 L2
D F2 U' D' L2 B U
D F2 U' D' B L2 U
D F2 U' D2 B U B
D F2 U' B U D2 B2
D F2 U' B U' F2 U2
D F2 U' B D' L2 U
D F2 U' B D2 U B2
D F2 U2 F2 U B U
D F2 D U R2 F' U'
D F2 D' U' L2 B U
D F2 D' U' B L2 U
D F2 D' B' D' R2 B2
D F2 D' B' D' B2 R2
D F2 D2 U' B U B
D F2 D2 B' D' R2 B'
D F2 D2 B' D' B' R2
D F2 D2 B2 U' B' U
D F2 B D2 B2 D' R2
B2 D2 U B' R2 F' U
U F2 B U2 B' L2 U'
D F2 B' D' R2 D' B2
D F2 B' D2 B2 D R2
F D2 U' B R2 U B
U' B R U2 L2 R' U'
U' B R U2 R' L2 U'
R2 B L2 F' U' L2 B'
U' B R' U2 L2 R U'
U' B R' U2 R L2 U'
U' B R2 U D F2 B2
U' B R2 U D B2 F2
U' B R2 U2 L2 R2 U'
U' B R2 U2 R2 L2 U'
U' B R2 D U F2 B2
U' B R2 D U B2 F2
U' B R2 D2 L2 R2 U
U' B R2 D2 R2 L2 U
U B R U2 B' L2 U'
U' B U D F2 D2 B2
F' D2 B' D' F2 R2 B
U B R' U2 B' L2 U'
F2 D2 B' D' R2 F2 B'
F2 D2 B' D' R2 B' F2
F2 D2 B' D' F2 R2 B'
F2 D2 B' D' F2 B' R2
F2 D2 B' D' B' R2 F2
F2 D2 B' D' B' F2 R2
U' B U' D' B2 U2 B2
U B R2 U2 B' L2 U'
F2 D2 B2 U' R2 B' U
F2 D2 B2 U' B' R2 U
U' B U2 L2 U' D' B2
U' B U2 L2 U2 L2 U
U' B U2 L2 D' U' B2
U' B U2 L2 D2 R2 U'
F D2 B' D' R2 F2 B
F D2 B' D' R2 B F2
R2 B U' F' L2 B' U'
U2 B U2 L2 U' L2 B'
U' B D U F2 D2 B2
U' B D' U' B2 U2 B2
U B U2 L2 U2 F U
U B U2 D B' U' F2
U B U2 B L2 B2 U'
U B U2 B' L2 U' D
U B U2 B' L2 U' D'
U B U2 B' L2 U' D2
U B U2 B' L2 D U'
U B U2 B' L2 D' U'
U B U2 B' L2 D2 U'
U B U2 B' U' D F2
U B U2 B' D U' F2
U' B D2 R2 U D B2
U' B D2 R2 U2 R2 U'
U' B D2 R2 D U B2
U' B D2 R2 D2 L2 U
U B U2 B2 L2 B U'
U B D U2 B' U' F2
B' F R2 D' B R2 F'
U B D2 R2 U2 B' U'
R2 B F D R2 F2 B
R2 B F D R2 B F2
R2 B F' L2 U' B' L2
U B F U2 B' L2 U'
U B F' U2 B' L2 U'
D B F2 D2 B2 D' R2
U B F2 U2 B' L2 U'
B' F D' R2 D2 F2 B
B' F D' R2 D2 B F2
B' F D' B R2 F' B
B' F D' B R2 B F'
R2 B' L2 F' U' L2 B'
F2 B D2 B2 D' R2 F2
F2 B D2 B2 D' F2 R2
B2 F' L2 F U' B' L2
R2 B' U' F' L2 B' U'
D2 B' D L2 B2 U2 L2
D' B' D L2 U2 F L2
U2 B' U2 D' B R2 F'
L2 B' U2 B2 U L2 B2
L2 B' U2 B2 U B2 L2
D2 B' D B2 L2 U2 L2
D' B' D B' L2 U2 L2
U2 B' D L2 U2 F2 B
U2 B' D L2 U2 B F2
D2 B' D' R2 F2 D2 B2
D2 B' D' F R2 F B
D2 B' D' F R2 B F
D2 B' D' F2 R2 D2 B2
U2 B' D' U2 B R2 F'
B2 F' U L2 F U' B'
U2 B' D' B2 U2 R2 B'
U2 B' D' B2 U2 B' R2
F B' R2 D' B R2 F'
D2 B' F D' R2 F2 B
D2 B' F D' R2 B F2
D2 B' F' D' F2 R2 B
R2 B' F D R2 F2 B
R2 B' F D R2 B F2
D B' F D' R2 F B
D B' F D' R2 B F
R2 B' F' L2 U' B' L2
B' F' D F2 D2 R2 B
F' B' D F2 D2 R2 B
D B' F2 D' R2 D' B2
D B' F2 D2 B2 D R2
U' B2 L2 F U2 F' U
D' B2 L2 U' F U' L2
F B' D' R2 D2 F2 B
F B' D' R2 D2 B F2
F B' D' B R2 F' B
F B' D' B R2 B F'
R2 B2 L2 F' U' L2 B'
F' B2 L2 F U' B' L2
B2 F2 L2 F U' L2 B'
F2 B2 L2 F U' L2 B'
D2 B2 U B' R2 F' U
D' B2 U B' U2 B U'
U2 B2 U' L2 F U' B2
L B2 U R' B' U L'
F' B2 U L2 F U' B'
R2 B2 U' F' L2 B' U'
L2 B2 U2 B' U L2 B
L2 B2 U2 B' U B L2
U B2 U2 L2 F B2 U'
U B2 U2 L2 B2 F U'
U B2 D B' U L2 F2
U B2 D B' U F2 L2
U' B2 F' L2 F B' U'
U' B2 F' L2 B' F U'
U B2 D2 R2 F2 B' U
U B2 D2 R2 B' F2 U
R2 B2 F D R2 F2 B
R2 B2 F D R2 B F2
U B2 D2 F2 R2 B' U
U B2 D2 F2 B' R2 U
U B2 D2 B' R2 F2 U
U B2 D2 B' F2 R2 U
R2 B2 F' L2 U' B' L2
B F2 D2 B2 D' R2 F2
B F2 D2 B2 D' F2 R2
