B' F L' U' B'
F B' L' U' B'
F L' U' D' B' L
F L' D' U' B' L
B' R F L' U' B'
F R B' L' U' B'
B' R' F L' U' B'
F R' B' L' U' B'
B' R2 F L' U' B'
F R2 B' L' U' B'
F R2 B' L' U' B'
U' F R B' L' U'
R' F B' L' U' B'
U' F B' L' R U'
U' F B' R L' U'
R2 F B' L' U' B'
U F B' L' R' U'
U F B' R' L' U'
R F B' L' U' B'
F D B' L' U' B'
F D' B' L' U' B'
F D' B' L' U' B'
F D2 B' L' U' B'
B' F L' R U' B'
B' F L' R' U' B'
B' F L' R2 U' B'
B' F L' U' D B'
B' F L' U' D' B'
B' F L' U' D2 B'
B' F L' U' B' D
B' F L' U' B' D'
B' F L' U' B' D2
B' F L' D U' B'
B' F L' D' U' B'
B' F L' D2 U' B'
B2 F L' B U' B2
B' F R L' U' B'
B' F R' L' U' B'
B F L' B2 U' B
F B L' B2 U' B
B' F R2 L' U' B'
B' F D L' U' B'
B' F D' L' U' B'
B' F D2 L' U' B'
U B' R' F L' U'
F B' L' R U' B'
F B' L' R' U' B'
F B' L' R2 U' B'
F B' L' U' D B'
F B' L' U' D' B'
F B' L' U' D2 B'
F B' L' U' B' D
F B' L' U' B' D'
F B' L' U' B' D2
F B' L' D U' B'
F B' L' D' U' B'
F B' L' D2 U' B'
F B' R L' U' B'
R' B' F L' U' B'
F B' R' L' U' B'
U' B' F L' R U'
U' B' F R L' U'
F B' R2 L' U' B'
R2 B' F L' U' B'
U B' F L' R' U'
U B' F R' L' U'
R B' F L' U' B'
F B' D L' U' B'
F B' D' L' U' B'
F B' D2 L' U' B'
F B2 L' B U' B2
B' R' F L' R U' B'
B' R' F L' R' U' B'
B' R' F L' R2 U' B'
B' R' F L' U' D B'
B' R' F L' U' D' B'
B' R' F L' U' D2 B'
B' R' F L' U' B' D
B' R' F L' U' B' D'
B' R' F L' U' B' D2
B' R' F L' D U' B'
B' R' F L' D' U' B'
B' R' F L' D2 U' B'
B' R' F R L' U' B'
U' R' F R B' L' U'
B' R' F R' L' U' B'
B' R' F R2 L' U' B'
B' R' F D L' U' B'
B' R' F D' L' U' B'
B R' F L' B2 U' B
F R' D2 B' L' U' B'
B' R' F D2 L' U' B'
U' R' F B' L' R U'
U' R' F B' R L' U'
B R' F B2 L' U' B'
U R' F B' L' R' U'
U R' F B' R' L' U'
F R' B L' B2 U' B
U' R' B' F L' R U'
U' R' B' F R L' U'
F R' B' L' R U' B'
F R' B' L' R' U' B'
F R' B' L' R2 U' B'
F R' B' L' U' D B'
F R' B' L' U' D' B'
F R' B' L' U' D2 B'
F R' B' L' U' B' D
F R' B' L' U' B' D'
F R' B' L' U' B' D2
F R' B' L' D U' B'
F R' B' L' D' U' B'
F R' B' L' D2 U' B'
F R' B' R L' U' B'
F R' B' R' L' U' B'
F R' B' R2 L' U' B'
U R' B' R' F L' U'
F R' B' D L' U' B'
F R' B' D' L' U' B'
F R' B' D2 L' U' B'
U R' B' F L' R' U'
U R' B' F R' L' U'
F R' B2 L' B U' B2
B R' B2 F L' U' B'
F R2 L' U' D' B' L
F R2 L' D' U' B' L
F R2 D B' L' U' B'
F R2 D' B' L' U' B'
B' R2 F L' R U' B'
B' R2 F L' R' U' B'
B' R2 F L' R2 U' B'
B' R2 F L' U' D B'
B' R2 F L' U' D' B'
B' R2 F L' U' D2 B'
B' R2 F L' U' B' D
B' R2 F L' U' B' D'
B' R2 F L' U' B' D2
B' R2 F L' D U' B'
B' R2 F L' D' U' B'
B' R2 F L' D2 U' B'
B' R2 F R L' U' B'
U' R2 F R B' L' U'
B' R2 F R' L' U' B'
B' R2 F R2 L' U' B'
B' R2 F D L' U' B'
B' R2 F D' L' U' B'
B' R2 F D2 L' U' B'
B R2 F L' B2 U' B
F R2 D2 B' L' U' B'
U' R2 F B' L' R U'
U' R2 F B' R L' U'
B R2 F B2 L' U' B'
U R2 F B' L' R' U'
U R2 F B' R' L' U'
F R2 B L' B2 U' B
U' R2 B' F L' R U'
U' R2 B' F R L' U'
F R2 B' L' R U' B'
F R2 B' L' R' U' B'
F R2 B' L' R2 U' B'
F R2 B' L' U' D B'
F R2 B' L' U' D' B'
F R2 B' L' U' D2 B'
F R2 B' L' U' B' D
F R2 B' L' U' B' D'
F R2 B' L' U' B' D2
F R2 B' L' D U' B'
F R2 B' L' D' U' B'
F R2 B' L' D2 U' B'
F R2 B' R L' U' B'
F R2 B' R' L' U' B'
F R2 B' R2 L' U' B'
U R2 B' R' F L' U'
F R2 B' D L' U' B'
F R2 B' D' L' U' B'
F R2 B' D2 L' U' B'
U R2 B' F L' R' U'
U R2 B' F R' L' U'
F R2 B2 L' B U' B2
B R2 B2 F L' U' B'
U' D F R B' U' F'
U' D F B' R U' F'
D2 U F B' L R' U'
D2 U F B' R' L U'
D2 U B' R' F L U'
U' D B' F R U' F'
D2 U B' F L R' U'
D2 U B' F R' L U'
F' U F2 B' L' R' U'
F' U F2 B' R' L' U'
F' U B' F2 L' R' U'
F' U B' F2 R' L' U'
D2 U' F R B' L U'
D2 U' F B' L R U'
D2 U' F B' R L U'
D U' F R B' U' F'
D U' F B' R U' F'
D2 U' B' F L R U'
D2 U' B' F R L U'
B' U' F L' R U' L
B' U' F R L' U' L
B2 U' F L' B R U'
D U' B' F R U' F'
B2 U' F B L' R U'
B2 U' F B R L' U'
B U' F L' R B2 U'
B U' F L' B2 R U'
B U' F R L' B2 U'
B U' F R B2 L' U'
B U' F B2 L' R U'
B U' F B2 R L' U'
B2 U' B F L' R U'
B2 U' B F R L' U'
B U' B2 F L' R U'
B U' B2 F R L' U'
U' D2 F R B' L U'
U' D2 F B' L R U'
U' D2 F B' R L U'
U D2 F B' L R' U'
U D2 F B' R' L U'
U' D2 B' F L R U'
U' D2 B' F R L U'
U D2 B' R' F L U'
U D2 B' F L R' U'
U D2 B' F R' L U'
R' F L' U' D' B' L
R' F L' D' U' B' L
R2 F L' U' D' B' L
R2 F L' D' U' B' L
R F L' U' D' B' L
U' F R D B' L' U'
U' F R D' B' L' U'
U' F R D2 B' L' U'
R F L' D' U' B' L
U' F R B L' B2 U'
U' F R B' L' U' D
U' F R B' L' U' D'
U' F R B' L' U' D2
U' F R B' L' D U'
U' F R B' L' D' U'
U' F R B' L' D2 U'
U' F R B' D L' U'
U' F R B' D' L' U'
U' F R B' D2 L' U'
R' F R B' L' U' B'
U' F R B2 L' B U'
U2 F R B' L' U' B2
U' F R' B' L' R2 U'
U' F R' B' R2 L' U'
R' F R' B' L' U' B'
R2 F R B' L' U' B'
U F R B' L' R' U'
U F R B' R' L' U'
R' F R2 B' L' U' B'
R F R B' L' U' B'
R2 F R' B' L' U' B'
U F R' B' L' R' U'
U F R' B' R' L' U'
R F R' B' L' U' B'
R2 F R2 B' L' U' B'
U F R2 B' L' R' U'
U F R2 B' R' L' U'
R F R2 B' L' U' B'
U' F D R B' L' U'
U' F D B' L' R U'
U' F D B' R L' U'
R' F D B' L' U' B'
U' F D' R B' L' U'
F D L' U' D' B' L
U' F D' B' L' R U'
F D L' D' U' B' L
U' F D' B' R L' U'
R' F D' B' L' U' B'
R2 F D B' L' U' B'
U' F D2 R B' L' U'
U F D B' L' R' U'
U' F D2 B' L' R U'
U' F D2 B' R L' U'
U F D B' R' L' U'
R' F D2 B' L' U' B'
U' F B L' R B2 U'
U' F B L' B2 R U'
R F D B' L' U' B'
R2 F D' B' L' U' B'
U' F B R L' B2 U'
R' F B L' B2 U' B
U' F B R B2 L' U'
U F D' B' L' R' U'
U F D' B' R' L' U'
U' F B' L' R U' D
U' F B' L' R U' D'
U' F B' L' R U' D2
U' F B' L' R D U'
U' F B' L' R D' U'
U' F B' L' R D2 U'
U' F B' L' D R U'
U' F B' L' D' R U'
U' F B' L' D2 R U'
R' F B' L' R U' B'
R' F B' L' R' U' B'
R' F B' L' R2 U' B'
U' F B' R L' U' D
U' F B' R L' U' D'
U' F B' R L' U' D2
U' F B' R L' D U'
U' F B' R L' D' U'
U' F B' R L' D2 U'
D2 F B' L U F U2
R' F B' L' U' D B'
R' F B' L' U' D' B'
R' F B' L' U' D2 B'
R' F B' L' U' B' D
R' F B' L' U' B' D'
R' F B' L' U' B' D2
R' F B' L' D U' B'
U' F B' R D L' U'
R' F B' L' D' U' B'
U' F B' R D' L' U'
R' F B' L' D2 U' B'
U' F B' R D2 L' U'
D' F B' L' U' F B'
D' F B' L' U' B' F
R F D' B' L' U' B'
R2 F D2 B' L' U' B'
R' F B' R L' U' B'
R' F B' R' L' U' B'
F D R B' L' U' B'
R' F B' R2 L' U' B'
R2 F B L' B2 U' B
U' F B' D L' R U'
U' F B' D R L' U'
U' F B' D' L' R U'
U' F B' D' R L' U'
R' F B' D L' U' B'
U' F B' D2 L' R U'
U' F B' D2 R L' U'
R' F B' D' L' U' B'
R' F B' D2 L' U' B'
U' F B2 L' B R U'
U2 F B' L' R U' B
U F D2 B' L' R' U'
U F D2 B' R' L' U'
R' F B2 L' B U' B2
U2 F B' R L' U' B
R F D2 B' L' U' B'
R2 F B' L' R U' B'
R2 F B' L' R' U' B'
R2 F B' L' R2 U' B'
R2 F B' L' U' D B'
R2 F B' L' U' D' B'
R2 F B' L' U' D2 B'
R2 F B' L' U' B' D
R2 F B' L' U' B' D'
R2 F B' L' U' B' D2
R2 F B' L' D U' B'
R2 F B' L' D' U' B'
R2 F B' L' D2 U' B'
F D R' B' L' U' B'
R2 F B' R L' U' B'
R2 F B' R' L' U' B'
R F B L' B2 U' B
R2 F B' R2 L' U' B'
R2 F B' D L' U' B'
R2 F B' D' L' U' B'
R2 F B' D2 L' U' B'
U F B' L' R' U' D
U F B' L' R' U' D'
U F B' L' R' U' D2
U F B' L' R' D U'
U F B' L' R' D' U'
U F B' L' R' D2 U'
U F B' L' D R' U'
U F B' L' D' R' U'
U F B' L' D2 R' U'
R2 F B2 L' B U' B2
U F B' R' L' U' D
U F B' R' L' U' D'
U F B' R' L' U' D2
U F B' R' L' D U'
U F B' R' L' D' U'
U F B' R' L' D2 U'
U F B' R' D L' U'
U F B' R' D' L' U'
U F B' R' D2 L' U'
R F B' L' R U' B'
R F B' L' R' U' B'
R F B' L' R2 U' B'
R F B' L' U' D B'
R F B' L' U' D' B'
R F B' L' U' D2 B'
R F B' L' U' B' D
R F B' L' U' B' D'
R F B' L' U' B' D2
R F B' L' D U' B'
R F B' L' D' U' B'
R F B' L' D2 U' B'
F D R2 B' L' U' B'
R F B' R L' U' B'
R F B' R' L' U' B'
U F B' D L' R' U'
R F B' R2 L' U' B'
U F B' D R' L' U'
U F B' D' L' R' U'
U F B' D' R' L' U'
U F B' D2 L' R' U'
U F B' D2 R' L' U'
R F B' D L' U' B'
U F B2 L' B R' U'
R F B' D' L' U' B'
R F B' D2 L' U' B'
R F B2 L' B U' B2
F2 D F' B' L' U' B'
F D B L' B2 U' B
F2 D B' F' L' U' B'
F D B' L' R U' B'
F D B' L' R' U' B'
F D B' L' R2 U' B'
F D B' L' U' D B'
F D B' L' U' D' B'
F D B' L' U' D2 B'
F D B' L' U' B' D
F D B' L' U' B' D'
F D B' L' U' B' D2
F D B' L' D U' B'
F D B' L' D' U' B'
F D B' L' D2 U' B'
F D B' R L' U' B'
F D B' R' L' U' B'
F D B' R2 L' U' B'
F D B' D L' U' B'
F D B' D' L' U' B'
F D B' D2 L' U' B'
F D B2 L' B U' B2
B' D' L' U' F R B'
B' D' L' U' F B' R
B' D' L' U' B' F R
F D' L' U' D' B' L
F D' L' D' U' B' L
F D' R B' L' U' B'
F D' R' B' L' U' B'
F D' R2 B' L' U' B'
B' D' F L' U' F B'
B' D' F L' U' B' F
F2 D' F' B' L' U' B'
F D' B L' B2 U' B
F2 D' B' F' L' U' B'
F D' B' L' R U' B'
F D' B' L' R' U' B'
F D' B' L' R2 U' B'
F D' B' L' U' D B'
F D' B' L' U' D' B'
F D' B' L' U' D2 B'
F D' B' L' U' B' D
F D' B' L' U' B' D'
F D' B' L' U' B' D2
F D' B' L' D U' B'
F D' B' L' D' U' B'
F D' B' L' D2 U' B'
F D' B' R L' U' B'
F D' B' R' L' U' B'
F D' B' R2 L' U' B'
F D' B' D L' U' B'
F D' B' D' L' U' B'
F D' B' D2 L' U' B'
F D' B2 L' B U' B2
F D2 L' U' D' B' L
F D2 L' D' U' B' L
F D2 R B' L' U' B'
F D2 R' B' L' U' B'
F D2 R2 B' L' U' B'
F2 D2 F' B' L' U' B'
F D2 B L' B2 U' B
F2 D2 B' F' L' U' B'
F D2 B' L' R U' B'
F D2 B' L' R' U' B'
F D2 B' L' R2 U' B'
F D2 B' L' U' D B'
F D2 B' L' U' D' B'
F D2 B' L' U' D2 B'
F D2 B' L' U' B' D
F D2 B' L' U' B' D'
F D2 B' L' U' B' D2
F D2 B' L' D U' B'
F D2 B' L' D' U' B'
F D2 B' L' D2 U' B'
F D2 B' R L' U' B'
F D2 B' R' L' U' B'
F D2 B' R2 L' U' B'
F D2 B' D L' U' B'
F D2 B' D' L' U' B'
F D2 B' D2 L' U' B'
B' F L' R U' D B'
B' F L' R U' D' B'
B' F L' R U' D2 B'
B' F L' R U' B' D
B' F L' R U' B' D'
B' F L' R U' B' D2
B' F L' R D U' B'
B' F L' R D' U' B'
B' F L' R D2 U' B'
B' F L' R' U' D B'
B' F L' R' U' D' B'
B' F L' R' U' D2 B'
B' F L' R' U' B' D
B' F L' R' U' B' D'
B' F L' R' U' B' D2
B' F L' R' D U' B'
B' F L' R' D' U' B'
B' F L' R' D2 U' B'
B' F L' R2 U' D B'
B' F L' R2 U' D' B'
B' F L' R2 U' D2 B'
B' F L' R2 U' B' D
B' F L' R2 U' B' D'
B' F L' R2 U' B' D2
B' F L' R2 D U' B'
B' F L' R2 D' U' B'
B' F L' R2 D2 U' B'
F D2 B2 L' B U' B2
B' F L' U F U2 B'
B' F L' U F' U2 B'
B' F L' U F2 U2 B'
B' F L' U' R' B' R
B' F L' U' R2 B' R2
B' F L' U' D B' D
B' F L' U' D B' D'
B' F L' U' D B' D2
B' F L' U' D' B' D
B' F L' U' D' B' D'
B' F L' U' D' B' D2
B' F L' U' D2 B' D
B' F L' U' D2 B' D'
B' F L' U' D2 B' D2
B' F L' U' B2 D B
B' F L' U' B2 D' B
B' F L' U' B2 D2 B
B2 F L B L2 U' B'
B' F L' D R U' B'
B' F L' D R' U' B'
B' F L' D R2 U' B'
B' F L' D U' B' D
B' F L' D U' B' D'
B' F L' D U' B' D2
B' F L' D' R U' B'
B' F L' D' R' U' B'
B' F L' D' R2 U' B'
B' F L' D' U' B' D
B' F L' D' U' B' D'
B' F L' D' U' B' D2
B' F L' D2 R U' B'
B' F L' D2 R' U' B'
B' F L' D2 R2 U' B'
B' F L' D2 U' B' D
B' F L' D2 U' B' D'
B' F L' D2 U' B' D2
B2 F L' U' B' D L2
B2 F L' D B U' B2
B2 F L' D' B U' B2
B2 F L' D2 B U' B2
B2 F L' B R U' B2
B2 F L' B R' U' B2
B2 F L' B R2 U' B2
B2 F L' B U' B2 D
B2 F L' B U' B2 D'
B2 F L' B U' B2 D2
B2 F L' B D' R2 U'
B F L B2 L2 U' B'
B F L' R B2 U' B
B F L' R' B2 U' B
B F L' R2 B2 U' B
B F L' U' D B' L2
B F L' D U' B' L2
F B L B2 L2 U' B'
B' F R L' U' D B'
B' F R L' U' D' B'
B' F R L' U' D2 B'
B' F R L' U' B' D
B' F R L' U' B' D'
B' F R L' U' B' D2
B' F R L' D U' B'
B' F R L' D' U' B'
B' F R L' D2 U' B'
F B L' R B2 U' B
F B L' R' B2 U' B
F B L' R2 B2 U' B
F B L' U' D B' L2
B' F R D L' U' B'
B' F R D' L' U' B'
F B L' D U' B' L2
B F L' B2 U' D B
B F L' B2 U' D' B
B F L' B2 U' D2 B
B F L' B2 U' B D
B F L' B2 U' B D'
B F L' B2 U' B D2
B F L' B2 D U' B
B F L' B2 D' U' B
B F L' B2 D2 U' B
B' F R D2 L' U' B'
F B L' B2 U' D B
F B L' B2 U' D' B
F B L' B2 U' D2 B
F B L' B2 U' B D
F B L' B2 U' B D'
F B L' B2 U' B D2
F B L' B2 D U' B
F B L' B2 D' U' B
F B L' B2 D2 U' B
B' F R' L' U' D B'
B' F R' L' U' D' B'
B' F R' L' U' D2 B'
B' F R' L' U' B' D
B' F R' L' U' B' D'
B' F R' L' U' B' D2
B' F R' L' D U' B'
B' F R' L' D' U' B'
B' F R' L' D2 U' B'
B' F R' D L' U' B'
U' B F L' R B2 U'
B' F R' D' L' U' B'
U' B F L' B2 R U'
B' F R' D2 L' U' B'
U' B F R L' B2 U'
U' B F R B2 L' U'
B F R L' B2 U' B
R' B F L' B2 U' B
B' F R2 L' U' D B'
B' F R2 L' U' D' B'
B' F R2 L' U' D2 B'
B' F R2 L' U' B' D
B' F R2 L' U' B' D'
B' F R2 L' U' B' D2
B' F R2 L' D U' B'
B' F R2 L' D' U' B'
B' F R2 L' D2 U' B'
F B R L' B2 U' B
B' F R2 D L' U' B'
B' F R2 D' L' U' B'
B F R B2 L' U' B'
B' F R2 D2 L' U' B'
B F R' L' B2 U' B
F B R B2 L' U' B'
R2 B F L' B2 U' B
F B R' L' B2 U' B
B F R' B2 L' U' B'
B F R2 L' B2 U' B
F B R' B2 L' U' B'
F B R2 L' B2 U' B
R B F L' B2 U' B
B F R2 B2 L' U' B'
F B R2 B2 L' U' B'
D' B' L' U' F R B'
D' B' L' U' F B' R
D' B' L' U' B' F R
B' F D L' R U' B'
B' F D L' R' U' B'
B' F D L' R2 U' B'
B' F D L' U' D B'
B' F D L' U' D' B'
B' F D L' U' D2 B'
B' F D L' U' B' D
B' F D L' U' B' D'
B' F D L' U' B' D2
B' F D L' D U' B'
B' F D L' D' U' B'
B' F D L' D2 U' B'
B' F D R L' U' B'
B' F D R' L' U' B'
B' F D R2 L' U' B'
B2 F D L' B U' B2
B' F D' L' R U' B'
B' F D' L' R' U' B'
B' F D' L' R2 U' B'
B' F D' L' U' D B'
B' F D' L' U' D' B'
B' F D' L' U' D2 B'
B' F D' L' U' B' D
B' F D' L' U' B' D'
B' F D' L' U' B' D2
B' F D' L' D U' B'
B' F D' L' D' U' B'
B' F D' L' D2 U' B'
B' F D' R L' U' B'
B' F D' R' L' U' B'
B' F D' R2 L' U' B'
U' B' R F L' R U'
B2 F D B L' U' B'
U' B' R F R L' U'
B F D L' U' B' L'
R' B' R F L' U' B'
B2 F D' L' B U' B2
B' F D2 L' R U' B'
B' F D2 L' R' U' B'
B' F D2 L' R2 U' B'
B' F D2 L' U' D B'
B' F D2 L' U' D' B'
B' F D2 L' U' D2 B'
B' F D2 L' U' B' D
B' F D2 L' U' B' D'
B' F D2 L' U' B' D2
B' F D2 L' D U' B'
B' F D2 L' D' U' B'
B' F D2 L' D2 U' B'
F B D L' U' B' L'
B' F D2 R L' U' B'
B' F D2 R' L' U' B'
B' F D2 R2 L' U' B'
U' B' R' F L' R U'
B2 F D' B L' U' B'
U' B' R' F R L' U'
U2 B' R F L' U' B
R' B' R' F L' U' B'
B2 F D2 L' B U' B2
R2 B' R F L' U' B'
U' B' R2 F L' R U'
U' B' R2 F R L' U'
B2 F D2 B L' U' B'
R' B' R2 F L' U' B'
U B' R F L' R2 U'
U B' R F R2 L' U'
R2 B' R' F L' U' B'
R B' R F L' U' B'
U B' R' F L' U' D
U B' R' F L' U' D'
U B' R' F L' U' D2
U B' R' F L' D U'
U B' R' F L' D' U'
U B' R' F L' D2 U'
U B' R' F D L' U'
U B' R' F D' L' U'
U B' R' F D2 L' U'
R2 B' R2 F L' U' B'
R B' R' F L' U' B'
F B' L' R U' D B'
F B' L' R U' D' B'
F B' L' R U' D2 B'
F B' L' R U' B' D
F B' L' R U' B' D'
F B' L' R U' B' D2
F B' L' R D U' B'
F B' L' R D' U' B'
F B' L' R D2 U' B'
F B' L' R' U' D B'
F B' L' R' U' D' B'
F B' L' R' U' D2 B'
F B' L' R' U' B' D
F B' L' R' U' B' D'
F B' L' R' U' B' D2
F B' L' R' D U' B'
F B' L' R' D' U' B'
F B' L' R' D2 U' B'
F B' L' R2 U' D B'
F B' L' R2 U' D' B'
F B' L' R2 U' D2 B'
F B' L' R2 U' B' D
F B' L' R2 U' B' D'
F B' L' R2 U' B' D2
F B' L' R2 D U' B'
F B' L' R2 D' U' B'
F B' L' R2 D2 U' B'
F B' L' U F U2 B'
F B' L' U F' U2 B'
F B' L' U F2 U2 B'
F B' L' U' R' B' R
F B' L' U' R2 B' R2
F B' L' U' D B' D
F B' L' U' D B' D'
F B' L' U' D B' D2
F B' L' U' D' B' D
F B' L' U' D' B' D'
F B' L' U' D' B' D2
F B' L' U' D2 B' D
F B' L' U' D2 B' D'
F B' L' U' D2 B' D2
R B' R2 F L' U' B'
F B' L' U' B2 D B
F B' L' U' B2 D' B
F B' L' U' B2 D2 B
F B' L' D R U' B'
F B' L' D R' U' B'
F B' L' D R2 U' B'
F B' L' D U' B' D
F B' L' D U' B' D'
F B' L' D U' B' D2
F B' L' D' R U' B'
F B' L' D' R' U' B'
F B' L' D' R2 U' B'
F B' L' D' U' B' D
F B' L' D' U' B' D'
F B' L' D' U' B' D2
F B' L' D2 R U' B'
F B' L' D2 R' U' B'
F B' L' D2 R2 U' B'
F B' L' D2 U' B' D
F B' L' D2 U' B' D'
F B' L' D2 U' B' D2
U' B' D F R U' F'
D' B' D F L' U' B'
F B' R L' U' D B'
F B' R L' U' D' B'
F B' R L' U' D2 B'
F B' R L' U' B' D
F B' R L' U' B' D'
F B' R L' U' B' D2
F B' R L' D U' B'
F B' R L' D' U' B'
F B' R L' D2 U' B'
F B' R D L' U' B'
F B' R D' L' U' B'
F B' R D2 L' U' B'
F B' R' L' U' D B'
F B' R' L' U' D' B'
F B' R' L' U' D2 B'
F B' R' L' U' B' D
F B' R' L' U' B' D'
F B' R' L' U' B' D2
F B' R' L' D U' B'
F B' R' L' D' U' B'
F B' R' L' D2 U' B'
F B' R' D L' U' B'
F B' R' D' L' U' B'
F B' R' D2 L' U' B'
U' B' F L' R U' D
U' B' F L' R U' D'
U' B' F L' R U' D2
U' B' F L' R D U'
U' B' F L' R D' U'
U' B' F L' R D2 U'
U' B' F L' D R U'
U' B' F L' D' R U'
U' B' F L' D2 R U'
U' B' F R L' U' D
U' B' F R L' U' D'
U' B' F R L' U' D2
U' B' F R L' D U'
U' B' F R L' D' U'
U' B' F R L' D2 U'
U' B' F R D L' U'
U' B' F R D' L' U'
U' B' F R D2 L' U'
D2 B' F L U F U2
R' B' F L' R U' B'
R' B' F L' R' U' B'
R' B' F L' R2 U' B'
R' B' F L' U' D B'
R' B' F L' U' D' B'
R' B' F L' U' D2 B'
R' B' F L' U' B' D
R' B' F L' U' B' D'
R' B' F L' U' B' D2
R' B' F L' D U' B'
R' B' F L' D' U' B'
R' B' F L' D2 U' B'
F B' R2 L' U' D B'
F B' R2 L' U' D' B'
F B' R2 L' U' D2 B'
F B' R2 L' U' B' D
F B' R2 L' U' B' D'
F B' R2 L' U' B' D2
F B' R2 L' D U' B'
R' B' F R L' U' B'
F B' R2 L' D' U' B'
F B' R2 L' D2 U' B'
D B' D' F L' U' B'
D' B' F L' U' F B'
D' B' F L' U' B' F
