F' R F' B' U L'
F' R B' F' U L'
B' U D' F2 L' F
B' U' D R U2 F'
B' D U' R U2 F'
B' D' U F2 L' F
B' D' F2 U L' F
D' F2 B' U L' F
D' B' U F2 L' F
F' B' R F' U L'
B' F' R F' U L'
D B' U' R U2 F'
F2 B' U L F L2
D' B' F2 U L' F
B' F2 U L F L2
R2 F' R D' B' F2 U
R2 F' R D2 B' U L2
R2 F' R B' U D2 L2
R2 F' R B' U' R2 U2
R2 F' R B' D' F2 U
R2 F' R B' D2 U L2
B2 D B U' R U2 F'
F D F2 R F' B' U
F D F2 R B' F' U
F' D B' R F' U L'
F D F2 B' R F' U
F2 D B' U L F L2
F D B' F2 R F' U
R F' U R B' U B
R' F' D' R F2 B' U
R' F' D' R B' F2 U
R' F' D' B' R F2 U
R' F' D2 R B' U L2
F' D' R F' B' U L'
F' D' R B' F' U L'
R' F' D2 B' R U L2
R' F' B' R U' R U2
R' F' B' R F2 U L'
R' F' B' D' R F2 U
R' F' B' D2 R U L2
B' D' U L' F2 L' F'
B' D' U F L' F L'
B' D' U F2 L' D F
B' D' U F2 L' D' F
B' D' U F2 L' D2 F
B' D' U F2 L' F D
B' D' U F2 L' F D'
B' D' U F2 L' F D2
R F' B R B2 U L
R2 F' B' D' R F' U
R F' B' R U' R' U2
B D' U F2 L' R2 F
B D' U F2 L' F R2
B D' U F2 R2 L' F
B' D' F U L' F L'
B' D' F U F L' F
B' D' F2 R U L' F
B' D' F2 R' U L' F
B' D' F2 R2 U L' F
B' D' F2 U L' D F
B' D' F2 U L' D' F
B' D' F2 U L' D2 F
B' D' F2 U L' F D
B' D' F2 U L' F D'
B' D' F2 U L' F D2
D' F2 R B' U L' F
B2 D' F2 B U L' F
D' F2 R' B' U L' F
B D' F2 U L' R2 F
B D' F2 U L' F R2
D F2 R B' U L' F'
B D' F2 U R2 L' F
B2 D' B U F2 L' F
D' F2 R2 B' U L' F
B2 D' B F2 U L' F
F' D' B' R F' U L'
F2 D' B' U L F L2
U2 F2 U2 B' R' U L'
D2 F2 D B' U L' F
F' D2 R F' B' U L'
F' D2 R B' F' U L'
D2 F2 B R' B2 U L'
D' F2 B' R U L' F
D' F2 B' R' U L' F
D' F2 B' R2 U L' F
D2 F2 B' U L' D F2
D' F2 B' U L' D F
D' F2 B' U L' D' F
D' F2 B' U L' D2 F
D' F2 B' U L' F D
D' F2 B' U L' F D'
D' F2 B' U L' F D2
D F2 D2 B' U L' F
D2 F2 B' U2 L U' L2
B' D2 U F2 D L' F
D F2 B' R U L' F'
D F2 B' U D2 L' F
D F2 B' D2 U L' F
B' D2 F2 U D L' F
B' D2 F2 D U L' F
F D2 F B' U L F
D2 B R' D' F2 U R2
B2 D2 F2 B R' U L'
D2 B R' B2 U D2 L2
D2 B R' B2 U' R2 U2
D2 B R' B2 D' F2 U
D2 B R' B2 D2 U L2
B2 D2 B R' U D2 L2
B2 D2 B R' U' R2 U2
B2 D2 B R' D' F2 U
B2 D2 B R' D2 U L2
F D2 F2 R B' U L
B2 D2 B F2 R' U L'
D2 B R2 B2 R U L
F' D2 B' R F' U L'
F D2 F2 B' R U L
F2 D2 B' U L F L2
F D2 B' U L D F2
F D2 B' U2 L' U' L2
F D2 B' F U L F
F D2 B' F2 R U L
U' B D L2 R U2 F'
U' B D R L2 U2 F'
F' B R F' B2 U L'
F' B R B2 F' U L'
D2 B F2 R' B2 U L'
R B F' R B2 U L
B' F D F2 R F' U
D2 B' R U2 L U' L'
D B' R' U' R2 U2 F'
D B' R' U' B R2 U2
D2 B' U L' D F2 L'
D' B' U L' F2 L' F'
D2 B' U F2 L' D F2
D' B' U F L' F L'
D' B' U F2 L' D F
D' B' U F2 L' D' F
D' B' U F2 L' D2 F
D' B' U F2 L' F D
D' B' U F2 L' F D'
D' B' U F2 L' F D2
D2 B' U' R U' L U'
D' B' U' D2 R U2 F'
D2 B' U2 L U R U2
D B' U D2 F2 L' F
B' F' R U2 B U' L
B' F' R D F' U L'
D B' U F2 D2 L' F
B' F' R D' F' U L'
B' F' R D2 F' U L'
B' F' R F U' R U2
B' F' R F' U L' D
B' F' R F' U L' D'
B' F' R F' U L' D2
B' F' R F' U D L'
B' F' R F' U D' L'
B' F' R F' U D2 L'
B' F' R F' D U L'
B' F' R F' D' U L'
B' F' R F' D2 U L'
F' B' R U2 B U' L
F' B' R D F' U L'
D B' U' R U2 D F'
D B' U' R U2 D' F'
F2 B' R U L F L2
D B' U' R U2 D2 F'
D B' U' R U2 F' D
D B' U' R U2 F' D'
D B' U' R U2 F' D2
D B' U' R D U2 F'
F' B' R D' F' U L'
D B' U' R D' U2 F'
D B' U' R D2 U2 F'
D B' U' R B U2 F'
D B' U' R B' U2 F'
D B' U' R B2 U2 F'
F' B' R D2 F' U L'
D B' U' R' B R2 U2
F' B' R F U' R U2
F' B' R F' U L' D
F' B' R F' U L' D'
F' B' R F' U L' D2
F' B' R F' U D L'
F' B' R F' U D' L'
F' B' R F' U D2 L'
F' B' R F' D U L'
F' B' R F' D' U L'
F' B' R F' D2 U L'
D B' U' B R U2 F'
D B' U' B' R U2 F'
D B' U' B2 R U2 F'
B' F' R' F' R2 U L'
F2 B' R' U L F L2
F' B' R' F' R2 U L'
B F' R F' B2 U L'
B F' R B2 F' U L'
B' F' R2 F' R' U L'
F2 B' R2 U L F L2
F' B' R2 F' R' U L'
D' B' D2 U' R U2 F'
F2 B' U L F L2 D
F2 B' U L F L2 D'
F2 B' U L F L2 D2
F2 B' U L F' L2 F2
F2 B' U L F2 L2 F'
F2 B' U L' U2 B' U2
F2 B' U D L F L2
F2 B' U D' L F L2
F2 B' U D2 L F L2
F2 B' U F' L F L'
D' B' F U L' F L'
D' B' F U F L' F
R' B' F D' F2 R U
F2 B' U' R B U2 L'
F2 B' U' R' U2 L' F'
R' B' F' R U' R U2
R' B' F' R F2 U L'
D B' D2 U F2 L' F
D B' D2 F2 U L' F
R' B' F' D' R F2 U
R' B' F' D2 R U L2
F2 B' U2 L2 U' L F
D' B' F2 R U L' F
D2 B' F2 U L' D F2
D' B' F2 R' U L' F
B' F' D R F' U L'
D' B' F2 R2 U L' F
D2 B' F2 U2 L U' L2
D' B' F2 U L' D F
D' B' F2 U L' D' F
D' B' F2 U L' D2 F
D' B' F2 U L' F D
D' B' F2 U L' F D'
D' B' F2 U L' F D2
F2 B' U2 B L U' L2
F' B' D R F' U L'
R2 B' F' D' R F' U
F2 B' D U L F L2
B' F' D' R F' U L'
R B' F U2 L' U' L
D B' F2 R U L' F'
F' B' D' R F' U L'
D B' F2 U D2 L' F
R B' F' R U' R' U2
D B' F2 D2 U L' F
F2 B' D' U L F L2
B' F' D2 R F' U L'
F' B' D2 R F' U L'
F B' D F2 R F' U
F2 B' D2 U L F L2
B' F2 R U L F L2
B' F2 R' U L F L2
B' F2 R2 U L F L2
B' F2 U L F L2 D
B' F2 U L F L2 D'
B' F2 U L F L2 D2
B' F2 U L F' L2 F2
B' F2 U L F2 L2 F'
B' F2 U L' U2 B' U2
B' F2 U D L F L2
B' F2 U D' L F L2
B' F2 U D2 L F L2
B' F2 U F' L F L'
B' F2 U' R B U2 L'
B' F2 U' R' U2 L' F'
B' F2 U2 L2 U' L F
B' F2 U2 B L U' L2
B' F2 D U L F L2
R' B2 D2 B R' U L2
B' F2 D' U L F L2
B' F2 D2 U L F L2
