B2 L2 U' B' R' U2
F2 L2 B2 U F' L'
B2 R' F' L2 U F2
D' R2 B2 D' F L'
D' U F R2 B2 L
R2 D' R2 F L' B2
R2 D' R2 F B2 L'
R2 D' R2 B2 F L'
R2 D' F L' R2 B2
R2 D' F L' B2 R2
R2 D' F R2 L' B2
R2 D' F R2 B2 L'
R2 D' F B2 L' R2
R2 D' F B2 R2 L'
U D' F R2 B2 L
R2 D' B2 R2 F L'
R2 D' B2 F L' R2
R2 D' B2 F R2 L'
R' F D' L2 R2 B2
R' F D' L2 B2 R2
R' F D' R2 L2 B2
R' F D' R2 B2 L2
R' F D' B2 L2 R2
R' F D' B2 R2 L2
U F D' R2 B2 L
R' F' L2 B2 U F2
R' F' B2 L2 U F2
R' F' B2 L2 U F2
B2 F2 L2 U F' L'
F2 B2 L2 U F' L'
D' B2 R2 D' F L'
L2 B2 U' B U2 L
R' B2 F' L2 U F2
D' U F L2 R2 B2 L
D' U F R2 L B2 L
D' U F R2 L' B2 L
D' U F R2 L2 B2 L
D' U F R2 B2 L D
D' U F R2 B2 L D'
D' U F R2 B2 L D2
D' U F R2 B2 D L
D' U F R2 B2 D' L
D' U F R2 B2 D2 L
D' U F' L' R2 F2 B2
D' U F' L' R2 B2 F2
D' U F' L' F2 R2 B2
D' U F' L' F2 B2 R2
D' U F' L' B2 R2 F2
D' U F' L' B2 F2 R2
D' U F' R2 L' F2 B2
D' U F' R2 L' B2 F2
D' U F' R2 B2 L' F2
B2 U D' F' L' F2 B2
B2 U D' F' L' B2 F2
B2 U D' F' B2 L' F2
F2 U D' F' L' R2 B2
F2 U D' F' L' B2 R2
F2 U D' F' R2 L' B2
F2 U D' F' R2 B2 L'
F2 U D' F' B2 L' R2
F2 U D' F' B2 R2 L'
D' U F' B2 L' R2 F2
D' U F' B2 L' F2 R2
D' U F' B2 R2 L' F2
B2 U D' B2 F' L' F2
F2 U D' B2 F' L' R2
F2 U D' B2 F' R2 L'
U' D F2 L2 U2 F' L'
F2 U F' D' L' R2 B2
F2 U F' D' L' B2 R2
F2 U F' D' R2 L' B2
F2 U F' D' R2 B2 L'
F2 U F' D' B2 L' R2
F2 U F' D' B2 R2 L'
D' U B2 R2 F' L' F2
R2 D' R B2 R F L'
D' U B2 F' L' R2 F2
D' U B2 F' L' F2 R2
D' U B2 F' R2 L' F2
R2 D' R' F L' R' B2
R2 D' R' F R' L' B2
R2 D' R' F R' B2 L'
R2 D' R2 F L B2 L2
R2 D' R2 F L' B2 D
R2 D' R2 F L' B2 D'
R2 D' R2 F L' B2 D2
R2 D' R2 F B L' B
R2 D' R2 F B2 L' D
R2 D' R2 F B2 L' D'
R2 D' R2 F B2 L' D2
R2 D' R2 F B2 D L'
R2 D' R2 F B2 D' L'
R2 D' R2 F B2 D2 L'
R2 D' R2 B F L' B
R2 D' R2 B2 F L' D
R2 D' R2 B2 F L' D'
R2 D' R2 B2 F L' D2
R2 D' R2 B2 F D L'
R2 D' R2 B2 F D' L'
R2 D' R2 B2 F D2 L'
R2 D' U R2 F L' B2
R2 D' U R2 F B2 L'
R2 D' U R2 B2 F L'
R2 D' U F L' R2 B2
R2 D' U F L' B2 R2
R2 D' U F R2 L' B2
R2 D' U F R2 B2 L'
R D' R2 F B2 D' L2
R2 D' U F B2 L' R2
R2 D' U F B2 R2 L'
R D' R2 B2 F D' L2
R2 D' U B2 R2 F L'
R2 D' U B2 F L' R2
R2 D' U B2 F R2 L'
R2 D' U' R2 F L' B2
R2 D' U' R2 F B2 L'
R2 D' U' R2 B2 F L'
R2 D' U' F L' R2 B2
R2 D' U' F L' B2 R2
R2 D' U' F R2 L' B2
R2 D' U' F R2 B2 L'
R2 D' U' F B2 L' R2
R2 D' U' F B2 R2 L'
L2 D' U' B' R' U2 R'
R2 D' U' B2 R2 F L'
R2 D' U' B2 F L' R2
R2 D' U' B2 F R2 L'
R' D' F R2 B2 D' L2
D U' L2 F2 B' R' U2
R2 D' U2 R2 F L' B2
R2 D' U2 R2 F B2 L'
R2 D' U2 R2 B2 F L'
R2 D' U2 F L' R2 B2
R2 D' U2 F L' B2 R2
R2 D' U2 F R2 L' B2
R2 D' U2 F R2 B2 L'
D U' L2 B' R' F2 U2
R2 D' U2 F B2 L' R2
R2 D' U2 F B2 R2 L'
D U' L2 B' F2 R' U2
R2 D' U2 B2 R2 F L'
R' D' F B2 R2 D' L2
R2 D' U2 B2 F L' R2
R2 D' U2 B2 F R2 L'
R2 D' F L R2 B2 L2
U D' L2 B2 R2 F' L'
R2 D' F L B2 L2 R2
R2 D' F L B2 R2 L2
R2 D' F L' R B2 R
R2 D' F L' R2 B2 D
R2 D' F L' R2 B2 D'
R2 D' F L' R2 B2 D2
R2 D' F L' B' R2 B'
R2 D' F L' B2 R2 D
R2 D' F L' B2 R2 D'
R2 D' F L' B2 R2 D2
R2 D' F R L' B2 R
R2 D' F R B2 L' R
R2 D' F R B2 R L'
R2 D' F R2 L B2 L2
R2 D' F R2 L' B2 D
R2 D' F R2 L' B2 D'
R2 D' F R2 L' B2 D2
R2 D' F R2 B L' B
R2 D' F R2 B2 L' D
R2 D' F R2 B2 L' D'
R2 D' F R2 B2 L' D2
R2 D' F R2 B2 D L'
R2 D' F R2 B2 D' L'
R2 D' F R2 B2 D2 L'
R' D' F' U R2 F2 B2
R' D' F' U R2 B2 F2
R' D' F' U F2 R2 B2
R' D' F' U F2 B2 R2
R' D' F' U B2 R2 F2
R' D' F' U B2 F2 R2
R2 D' F B L' B R2
R2 D' F B' R2 B' L'
R2 D' F B2 L' R2 D
R2 D' F B2 L' R2 D'
R2 D' F B2 L' R2 D2
R2 D' F B2 R2 L' D
R2 D' F B2 R2 L' D'
R2 D' F B2 R2 L' D2
R2 D' F B2 R2 D L'
R2 D' F B2 R2 D' L'
R2 D' F B2 R2 D2 L'
D' U' R2 F B L B
U' D' R2 F B L B
U' D' R2 B F L B
D' U' R2 B F L B
R2 D' F' R2 F2 B2 L
R2 D' F' R2 B2 L F2
R2 D' F' R2 B2 F2 L
D' U' R2 B2 D2 F L'
U' D' R2 B2 D2 F L'
U' D' F R2 B L B
D' U' F R2 B L B
D' U' F B L B R2
U' D' F B L B R2
U D' R2 F' L' F2 B2
U D' R2 F' L' B2 F2
U D' R2 F' B2 L' F2
U D' R2 B2 F' L' F2
U D' F L R2 B2 L
U D' F L' R2 B2 L
U D' F L2 R2 B2 L
U D' F R2 L B2 L
U D' F R2 L' B2 L
U D' F R2 L2 B2 L
U D' F R2 B2 L D
U D' F R2 B2 L D'
U D' F R2 B2 L D2
U D' F R2 B2 D L
U D' F R2 B2 D' L
U D' F R2 B2 D2 L
R2 D' B F L' B R2
U D' F' L' R2 F2 B2
U D' F' L' R2 B2 F2
U D' F' L' F2 R2 B2
U D' F' L' F2 B2 R2
U D' F' L' B2 R2 F2
U D' F' L' B2 F2 R2
R D' B U' F B R2
R D' B U' B R2 F
R D' B U' B F R2
R2 D' B' R2 F B' L'
R2 D' B' R2 B' F L'
U D' F' R2 L' F2 B2
U D' F' R2 L' B2 F2
U D' F' R2 B2 L' F2
R' D' B2 F R2 D' L2
R2 D' B' F R2 B' L'
D U' F2 L2 U2 F' L'
B2 U' D F2 U2 F' L'
U D' F' B2 L' R2 F2
U D' F' B2 L' F2 R2
U D' F' B2 R2 L' F2
L2 D' B2 U R2 F' L'
U' D' B F L B R2
D' U' B F L B R2
R2 D' B2 R' F L' R'
R2 D' B2 R' F R' L'
R2 D' B2 R2 F L' D
R2 D' B2 R2 F L' D'
R2 D' B2 R2 F L' D2
R2 D' B2 R2 F D L'
R2 D' B2 R2 F D' L'
R2 D' B2 R2 F D2 L'
R2 D' B2 F L' R2 D
R2 D' B2 F L' R2 D'
R2 D' B2 F L' R2 D2
R2 D' B2 F R2 L' D
R2 D' B2 F R2 L' D'
R2 D' B2 F R2 L' D2
R2 D' B2 F R2 D L'
R2 D' B2 F R2 D' L'
R2 D' B2 F R2 D2 L'
D' U' B2 R2 D2 F L'
U' D' B2 R2 D2 F L'
U D' B2 R2 F' L' F2
U D' B2 F' L' R2 F2
U D' B2 F' L' F2 R2
U D' B2 F' R2 L' F2
R' D2 R2 F2 B U' F'
R' D2 R2 B F2 U' F'
F U' B L2 B U L'
D2 U2 R2 F2 U' F' L'
U2 D2 R2 F2 U' F' L'
R D2 B R2 F2 U' F'
R' F L2 F2 B2 U F2
R' F L2 B2 F2 U F2
R' F R D' L2 R2 B2
R' F R D' L2 B2 R2
R' F R D' R2 L2 B2
R' F R D' R2 B2 L2
R' F R D' B2 L2 R2
R' F R D' B2 R2 L2
R' F R' D' L2 R2 B2
R' F R' D' L2 B2 R2
R' F R' D' R2 L2 B2
R' F R' D' R2 B2 L2
R' F R' D' B2 L2 R2
R' F R' D' B2 R2 L2
R' F R2 D' L2 R2 B2
R' F R2 D' L2 B2 R2
R' F R2 D' R2 L2 B2
R' F R2 D' R2 B2 L2
R' F R2 D' B2 L2 R2
R' F R2 D' B2 R2 L2
D' F R2 B' D B' L
R' F U' L2 F2 B2 U
R' F U' L2 B2 F2 U
U F R2 D' B2 L R2
U F R2 D' B2 R2 L
R' F U' F2 L2 B2 U
R' F U' F2 B2 L2 U
R' F U' B2 L2 F2 U
R' F U' B2 F2 L2 U
R F U' B2 L2 F U
R' F D' L' R2 B2 L'
R' F D' L' B2 L' R2
R' F D' L' B2 R2 L'
R' F D' L2 R B2 R
R' F D' L2 R2 B2 D
R' F D' L2 R2 B2 D'
R' F D' L2 R2 B2 D2
R' F D' L2 B' R2 B'
R' F D' L2 B2 R2 D
R' F D' L2 B2 R2 D'
R' F D' L2 B2 R2 D2
R' F D' R L2 B2 R
R' F D' R B2 L2 R
R' F D' R B2 R L2
U' F D' R2 B L B
R' F D' R2 L' B2 L'
R' F D' R2 L2 B2 D
R' F D' R2 L2 B2 D'
R' F D' R2 L2 B2 D2
R' F D' R2 B L2 B
R' F D' R2 B2 L2 D
R' F D' R2 B2 L2 D'
R' F D' R2 B2 L2 D2
U' F D' B L B R2
R' F D' B L2 B R2
R' F D' B' R2 B' L2
R' F D' B2 L2 R2 D
R' F D' B2 L2 R2 D'
R' F D' B2 L2 R2 D2
R' F D' B2 R2 L2 D
R' F D' B2 R2 L2 D'
R' F D' B2 R2 L2 D2
U F D' L R2 B2 L
U F D' L' R2 B2 L
U F D' L2 R2 B2 L
U F D' R2 L B2 L
U F D' R2 L' B2 L
U F D' R2 L2 B2 L
U F D' R2 B2 L D
U F D' R2 B2 L D'
U F D' R2 B2 L D2
U F D' R2 B2 D L
U F D' R2 B2 D' L
U F D' R2 B2 D2 L
D' F B' R2 D B' L
R' F B2 L2 F2 U F2
L2 F B2 U' B U2 L
B2 D U' F2 U2 F' L'
R F B2 L2 F U F'
R' F' L' B2 L' U F2
R' F' L2 R B2 U F2
R' F' L2 R' B2 U F2
R' F' L2 R2 B2 U F2
R' F' L2 U F2 D' R2
R' F' L2 B2 R U F2
R' F' L2 B2 R' U F2
R' F' L2 B2 R2 U F2
R' F' L2 B2 U F2 D
R' F' L2 B2 U F2 D'
R' F' L2 B2 U F2 D2
R' F' L2 B2 D R2 U
R' F' R L2 B2 U F2
R' F' R B2 L2 U F2
R' F' R' L2 B2 U F2
R' F' R' B2 L2 U F2
R' F' R2 L2 B2 U F2
R' F' R2 B2 L2 U F2
R' F' U F2 D' R2 B2
R' F' U F2 D' B2 R2
R' F' B L2 B U F2
B2 D' R' F' U F2 B2
B2 D' R' F' U B2 F2
R' F' B2 L2 R U F2
R' F' B2 L2 R' U F2
R' F' B2 L2 R2 U F2
R' F' B2 L2 U F2 D
R' F' B2 L2 U F2 D'
R' F' B2 L2 U F2 D2
R' F' B2 L2 D R2 U
R' F' B2 R L2 U F2
R' F' B2 R' L2 U F2
R' F' B2 R2 L2 U F2
R' F' B2 U F2 D' B2
B2 D' U F' L' F2 B2
B2 D' U F' L' B2 F2
B2 D' U F' B2 L' F2
F2 D' U F' L' R2 B2
F2 D' U F' L' B2 R2
F2 D' U F' R2 L' B2
F2 D' U F' R2 B2 L'
F2 D' U F' B2 L' R2
F2 D' U F' B2 R2 L'
B2 D' U B2 F' L' F2
F2 D' U B2 F' L' R2
F2 D' U B2 F' R2 L'
L2 F' B2 U' B U2 L
F D' R2 B' D B' L
U F' B2 L2 U L F2
U F' B2 L2 U F2 L
R F' B2 L2 F U F
B2 D' F2 U F' L' B2
B2 D' F2 U F' B2 L'
B2 D' F2 U B2 F' L'
D' F2 U F' L' R2 B2
D' F2 U F' L' B2 R2
D' F2 U F' R2 L' B2
D' F2 U F' R2 B2 L'
D' F2 U F' B2 L' R2
D' F2 U F' B2 R2 L'
D' F2 U B2 F' L' R2
D' F2 U B2 F' R2 L'
F D' B' R2 D B' L
R2 F2 D' F' R2 B2 L
L2 F2 B2 U' B U2 L
R F2 B2 L2 F U F2
D' B U' F B L R2
D' B U' F B R2 L
D' B U' B R2 F L
D' B U' B F L R2
D' B U' B F R2 L
B2 F L2 R' F' U F
B2 F L2 F U F' L'
F2 B L2 B U F' L'
B2 F R' L2 F' U F
R' B F' L2 B U F2
R B D2 R2 F' U' F2
B F U' L2 B U L
F B U' L2 B U L
B F U' B L2 U L'
F B U' B L2 U L'
D' B' R2 D F B' L
D' B' R2 D B' F L
D' B' R2 D' F B' L'
D' B' R2 D' B' F L'
D' B' R2 F D B' L
D' B' R2 B' D' F L'
B2 F' L2 R' F' U F'
B2 F' L2 U F' L' F'
B2 F' L2 F' U F' L'
B2 F' R' L2 F' U F'
B2 F' R' F' L2 U F'
D' B' F R2 D B' L
L' B2 L' U' B' R' U2
U' B2 L2 U' B' U2 L
R' B2 L2 F' U' B' U2
D' B2 R' F R' D' L2
D' B2 R' F D' L2 R'
D' B2 R' F D' R' L2
F' B2 L2 R' F' U F'
F' B2 L2 U F' L' F'
R2 B2 R F' L2 U F2
B2 F2 L2 U L F' L'
B2 F2 L2 U L' F' L'
B2 F2 L2 U L2 F' L'
B2 F2 L2 U D F' L'
B2 F2 L2 U D' F' L'
B2 F2 L2 U D2 F' L'
B2 F2 L2 U F' L' D
B2 F2 L2 U F' L' D'
B2 F2 L2 U F' L' D2
B2 F2 L2 U F' D L'
B2 F2 L2 U F' D' L'
B2 F2 L2 U F' D2 L'
F2 B2 L2 U L F' L'
F2 B2 L2 U L' F' L'
F2 B2 L2 U L2 F' L'
F2 B2 L2 U D F' L'
F2 B2 L2 U D' F' L'
F2 B2 L2 U D2 F' L'
F2 B2 L2 U F' L' D
F2 B2 L2 U F' L' D'
F2 B2 L2 U F' L' D2
F2 B2 L2 U F' D L'
F2 B2 L2 U F' D' L'
F2 B2 L2 U F' D2 L'
B2 F2 L2 D U F' L'
R B2 L2 F U' B' U2
B2 F2 L2 D' U F' L'
F' B2 L2 F' U F' L'
L2 B2 R' F' R' U F'
B2 F2 L2 D2 U F' L'
F2 B2 L2 D U F' L'
D' B2 R2 D' F L' D
D' B2 R2 D' F L' D'
D' B2 R2 D' F L' D2
D' B2 R2 D' F D L'
D' B2 R2 D' F D' L'
D' B2 R2 D' F D2 L'
F2 B2 L2 D' U F' L'
F2 B2 L2 D2 U F' L'
R' B2 U F D' L2 B2
R' B2 U F D' B2 L2
F B2 L2 R' F' U F
B F2 L2 B U F' L'
F' B2 R' L2 F' U F'
L2 B2 U R2 F' L' R2
L2 B2 U R2 F' R2 L'
F B2 L2 F U F' L'
F' B2 R' F' L2 U F'
R2 B2 U D' F L' B2
R2 B2 U D' F B2 L'
R2 B2 U D' B2 F L'
L2 B2 U' R2 U2 F' L'
L2 B2 U' D B U2 L
L2 B2 U' D' B U2 L
L2 B2 U' D2 B U2 L
L2 B2 U' B R U2 L
L2 B2 U' B R' U2 L
L2 B2 U' B R2 U2 L
L2 B2 U' B U2 L D
L2 B2 U' B U2 L D'
L2 B2 U' B U2 L D2
L2 B2 U' B U2 D L
L2 B2 U' B U2 D' L
L2 B2 U' B U2 D2 L
L2 B2 U' B D U2 L
L2 B2 U' B D' U2 L
L2 B2 U' B D2 U2 L
L2 B2 U' B' R' B2 U2
F B2 R' L2 F' U F
B2 F2 U D' F' L' B2
B2 F2 U D' F' B2 L'
B2 F2 U D' B2 F' L'
F2 B2 U D' F' L' B2
F2 B2 U D' F' B2 L'
F2 B2 U D' B2 F' L'
B2 F2 U F' D' L' B2
B2 F2 U F' D' B2 L'
F2 B2 U F' D' L' B2
F2 B2 U F' D' B2 L'
L2 B2 D U' B U2 L
R' B2 D' F' U F2 B2
R' B2 D' F' U B2 F2
L2 B2 D' U' B U2 L
R2 B2 D' U F L' B2
R2 B2 D' U F B2 L'
R2 B2 D' U B2 F L'
R' B2 F L2 F2 U F2
L2 B2 D2 U' B U2 L
R' B2 F' L2 R U F2
R' B2 F' L2 R' U F2
R' B2 F' L2 R2 U F2
R' B2 F' L2 U F2 D
R' B2 F' L2 U F2 D'
R' B2 F' L2 U F2 D2
R' B2 F' L2 D R2 U
R' B2 F' R L2 U F2
R' B2 F' R' L2 U F2
R' B2 F' R2 L2 U F2
R' B2 F' U F2 D' B2
L2 B2 F U' B U2 L
B2 F2 D' U F' L' B2
B2 F2 D' U F' B2 L'
B2 F2 D' U B2 F' L'
F2 B2 D' U F' L' B2
F2 B2 D' U F' B2 L'
F2 B2 D' U B2 F' L'
L2 B2 F' U' B U2 L
L2 B2 F2 U' B U2 L
R B2 F L2 F U F'
U B2 F' L2 U L F2
U B2 F' L2 U F2 L
R B2 F' L2 F U F
R B2 F2 L2 F U F2
