B U R U2 R2 F'
B U R B U2 R2
F B U' R' L F L'
U B' L D' R U2 F'
B2 F D' L B' U' R'
U B' R D L B' U2
U B' D L R B' U2
U B' D L B' R U2
U B' D R L B' U2
R B' D L B2 U2 B
U B' D' L R U2 F'
U B' D' R L U2 F'
B2 F2 L B' U' L2 R'
B2 F2 L B' U' R' L2
F2 B2 L B' U' L2 R'
F2 B2 L B' U' R' L2
U B2 R U' L F U'
B F2 L2 U' L R' F
B F2 L2 U' L F R'
B F2 L2 U' R' L F
B F2 U' L R' F L2
B F2 U' L F L2 R'
B F2 U' L F R' L2
B F2 U' R' L F L2
F B2 D' L B' U' R'
