D2 L' F U' B2
L' R D F' R2 U'
L' R D2 F' U' B2
L' R F' R2 U' B
L' R F' U F' U2
R' L' D R2 F' U'
L' R' D R2 F' U'
D2 L' R F U' B2
D2 L' R' F U' B2
R L' D F' R2 U'
D2 L' R2 F U' B2
R L' D2 F' U' B2
R L' F' R2 U' B
R L' F' U F' U2
D2 L' D' R2 F U'
D2 L' D' F R2 U'
D2 L' F R U' B2
D2 L' F R' U' B2
D2 L' F R2 U' B2
D2 L' F U' B2 D
D2 L' F U' B2 D'
D2 L' F U' B2 D2
D2 L' F D' R2 U'
D2 R L' F U' B2
D2 R' L' F U' B2
D2 R2 L' F U' B2
D R2 D L' F U'
R' D L' R2 F' U'
R D L' F' R2 U'
R' D R2 L' F' U'
R D2 L' F' U' B2
R L' D F' R2 U' D2
R L' D F' R2 D U'
R L' D F' R2 D' U'
R L' D F' R2 D2 U'
R L' D F' U' D B2
R L' D F' D U' B2
R L' D F2 R2 F U'
R' L' D' U2 L2 B U
D2 L' R2 D' R2 F U'
R' L' D' U2 B L2 U
D2 L' R2 D' F R2 U'
L' R' D' U2 L2 B U
L' R' D' U2 B L2 U
D L' R2 U' B R' B'
D2 L' R2 F R U' B2
D2 L' R2 F R' U' B2
D2 L' R2 F R2 U' B2
D L' R2 U2 B U R'
D2 L' R2 F U' B2 D
D2 L' R2 F U' B2 D'
D2 L' R2 F U' B2 D2
D2 L' R2 F D' R2 U'
D L' R2 D2 F' U' R
R L' D' F' U' D' B2
R L' D' F' U2 L2 U
R L' D' F' D' U' B2
R L' D' F' D2 R2 U'
R' L' D2 R2 F' U' B2
L' R' D2 R2 F' U' B2
R' L' D2 U2 B U B
R2 L' D2 R' F' U' B2
L' R' D2 U2 B U B
R2 L' D2 U' B' R' B'
R L' D2 F' R U' B2
R L' D2 F' R' U' B2
R L' D2 F' R2 U' B2
R L' D2 F' U' B2 D
R L' D2 F' U' B2 D'
R L' D2 F' U' B2 D2
R L' D2 F' D' R2 U'
R2 L' F U F U2 R
D2 L' U' B2 U F U'
D L' U' B D R' B2
D L' U' B' D B2 R'
D2 L' U2 L2 B' U B'
R' L' F' R2 F' U' B
L' R' F' R2 F' U' B
D2 L' U2 D L2 B' U
R2 L' F' U F' L' U2
R L' F' R2 U' D B
R L' F' R2 U' D' B
R L' F' R2 U' D2 B
R L' F' R2 U' B D
R L' F' R2 U' B D'
R L' F' R2 U' B D2
R L' F' R2 D U' B
R L' F' R2 D' U' B
R L' F' R2 D2 U' B
R L' F' U D F' U2
R L' F' U D' F' U2
R L' F' U D2 F' U2
R L' F' U F' U2 D
R L' F' U F' U2 D'
R L' F' U F' U2 D2
R L' F' U F' D U2
R L' F' U F' D' U2
R L' F' U F' D2 U2
R L' F' U' R2 B R2
R L' F' D R2 U' B
R L' F' D U F' U2
R L' F' D' R2 U' B
R L' F' D' U F' U2
R L' F' D2 R2 U' B
R L' F' D2 U F' U2
R' L' F2 U2 B U B'
L' R' F2 U2 B U B'
D2 L' D U2 L2 B' U
D2 L' D F U' D' B2
D2 L' D F U2 L2 U
D2 L' D F D' U' B2
D2 L' D F D2 R2 U'
D' L' D F2 R F' U'
B' L' D B R2 U' R
D2 L' D' R' F R' U'
D2 L' D' R2 D F U'
D2 L' D' R2 D' F U'
D2 L' D' R2 D2 F U'
D2 L' D' R2 F U' D
D2 L' D' R2 F U' D'
D2 L' D' R2 F U' D2
D2 L' D' R2 F D U'
D2 L' D' R2 F D' U'
D2 L' D' R2 F D2 U'
D2 L' D' F R2 U' D
D2 L' D' F R2 U' D'
D2 L' D' F R2 U' D2
D2 L' D' F R2 D U'
D2 L' D' F R2 D' U'
D2 L' D' F R2 D2 U'
D2 L' D' F U' D B2
D2 L' D' F D U' B2
D2 L' D' F' R2 F2 U'
D2 L' D2 F U F U2
D2 L' F R U' B2 D
D2 L' F R U' B2 D'
D2 L' F R U' B2 D2
D2 L' F R D' R2 U'
D2 L' F R' U' B2 D
D2 L' F R' U' B2 D'
D2 L' F R' U' B2 D2
D2 L' F R' D' R2 U'
D2 L' F R2 U' B2 D
D2 L' F R2 U' B2 D'
D2 L' F R2 U' B2 D2
D2 L' F R2 D' R2 U'
D' L' F U L' U2 B'
D2 L' F U D2 F2 U2
D2 L' F U F U2 B2
D2 L' F U F' U2 B2
D2 L' F U F2 U2 B2
D2 L' F U' L B2 L'
D2 L' F U' L2 B2 L2
D2 L' F U' R' B2 R
D2 L' F U' R2 B2 R2
D2 L' F U' B D B
D2 L' F U' B D' B
D2 L' F U' B D2 B
D2 L' F U' B' D B'
D2 L' F U' B' D' B'
D2 L' F U' B' D2 B'
D2 L' F U2 L U B2
D2 L' F U2 L' U B2
D2 L' F U2 L2 U B2
D2 L' F U2 D L2 U
D2 L' F D U2 L2 U
D2 L' F D' R2 U' D
D2 L' F D' R2 U' D'
D2 L' F D' R2 U' D2
D2 L' F D' R2 D U'
D2 L' F D' R2 D' U'
D2 L' F D' R2 D2 U'
D2 L' F D2 U F2 U2
D2 L' F' R F2 U' B2
D2 L' F' R' F2 U' B2
D2 L' F' R2 F2 U' B2
D2 L' F' U' B2 D R2
L' R2 U F' L' F' U2
D' L' F2 R F U' R
L' R2 U' D2 B' R' B'
D2 L' F2 D' F' R2 U'
L' R2 U' B D2 B2 R'
L' R2 U' B' R' D2 B2
L' R2 U' B' D2 R' B2
D L' B R2 B' U' R
R' L2 D L R2 F' U'
R' L2 D R2 L F' U'
L' R2 D R' F' R' U'
R' L2 D R2 F' L U'
R L2 D L F' R2 U'
R L2 D F' L R2 U'
R L2 D F' R2 L U'
L' R2 D2 R' F' U' B2
L' R2 D2 U' B' R' B'
R L2 D2 L F' U' B2
R L2 D2 F' L U' B2
L' R2 F U F U2 R
L R2 F L2 U' B' R'
F L2 R2 U' B' R' F'
L' R2 F' U F' L' U2
R L2 F' L R2 U' B
R L2 F' L U F' U2
R L2 F' R2 L U' B
D2 L2 D' L R2 F U'
D2 L2 D' L F R2 U'
D2 L2 D' R2 L F U'
D2 L2 F L F U' B2
D2 L2 F' L F U' B2
D2 L2 F2 L F U' B2
D2 R L' D' R2 F U'
D2 R L' D' F R2 U'
D2 R L' F R U' B2
D2 R L' F R' U' B2
D2 R L' F R2 U' B2
D2 R L' F U' B2 D
D2 R L' F U' B2 D'
D2 R L' F U' B2 D2
D2 R L' F D' R2 U'
D R L' D' R F' U'
L' U F D' F L' U2
F R L' F' L' U' B'
L' U F' D' F' U2 R
R' U F2 U B R U
D R D L' R F U'
D R D R L' F U'
D' R D' L' F U' B2
D R D' L' R F' U'
D R D' R L' F' U'
F2 R F' U F U2 F'
F R F' L' U F2 U2
F R F' L' U' D2 B2
F R F' L' D R2 U'
F R F' L' D2 U' B2
F R F' D L' R2 U'
F R F' D R2 L' U'
F R F' D2 L' U' B2
L' U' D B D R' B2
L' U' D B' D B2 R'
L' U' D2 B D' B R'
D2 R' L' D' R2 F U'
D2 R' L' D' F R2 U'
D2 R' L' F R U' B2
D2 R' L' F R' U' B2
D2 R' L' F R2 U' B2
D2 R' L' F U' B2 D
D2 R' L' F U' B2 D'
D2 R' L' F U' B2 D2
D2 R' L' F D' R2 U'
F2 R' U2 B R2 U B'
D R' D L' R' F U'
D R' D L' F R' U'
D R' D R' L' F U'
D' R' D' L' F U' B2
L' U2 D2 L B' U B'
D2 R2 L' D' R2 F U'
D2 R2 L' D' F R2 U'
D2 R2 L' F R U' B2
D2 R2 L' F R' U' B2
D2 R2 L' F R2 U' B2
D2 R2 L' F U' B2 D
D2 R2 L' F U' B2 D'
D2 R2 L' F U' B2 D2
D2 R2 L' F D' R2 U'
D R2 L' U' B R' B'
D R2 L' U2 B U R'
D R2 L' D2 F' U' R
F R2 L2 U' B' R' F'
D R2 D L' D F U'
D R2 D L' D' F U'
D R2 D L' D2 F U'
D R2 D L' F U' D
D R2 D L' F U' D'
D R2 D L' F U' D2
D R2 D L' F D U'
D R2 D L' F D' U'
D R2 D L' F D2 U'
D' R2 D' L' F U' B2
R' D L R2 F' L2 U'
R' D L' R2 D F' U'
R' D L' R2 D' F' U'
R' D L' R2 D2 F' U'
R' D L' R2 F' U' D
R' D L' R2 F' U' D'
R' D L' R2 F' U' D2
R' D L' R2 F' D U'
R' D L' R2 F' D' U'
R' D L' R2 F' D2 U'
D R2 D2 L' F' U' R
R' D L' F R2 F' U'
R' D L' F' R2 F' U'
R' D L' F2 R2 F' U'
R2 D L' R' F' R' U'
R D L F' L2 R2 U'
R D L F' R2 L2 U'
R' D L2 R2 F' L U'
R D L' R2 U2 B U
R D L' D F' U' B2
R D L' F R2 F2 U'
R D L' F' R2 U' D
R D L' F' R2 U' D'
R D L' F' R2 U' D2
R D L' F' R2 D U'
R D L' F' R2 D' U'
R D L' F' R2 D2 U'
R D L' F' U' D B2
R D L' F' D U' B2
R D L' F2 R2 F U'
L' D R D' R F' U'
R D L2 F' L R2 U'
R D L2 F' R2 L U'
R2 D R' L' F' R' U'
R' D R2 L F' L2 U'
R' D R2 L' D F' U'
R' D R2 L' D' F' U'
R' D R2 L' D2 F' U'
R' D R2 L' F' U' D
R' D R2 L' F' U' D'
R' D R2 L' F' U' D2
R' D R2 L' F' D U'
R' D R2 L' F' D' U'
R' D R2 L' F' D2 U'
R' D R2 L2 F' L U'
R' D R2 D L' F' U'
R' D R2 D' L' F' U'
R' D R2 D2 L' F' U'
L' D R2 U' B R' B'
L' D R2 U2 B U R'
L' D R2 D2 F' U' R
R2 D R2 D2 L' F U'
R D R2 L' U2 B U
L' D U' B D R' B2
L' D U' B' D B2 R'
R' D F R2 F' L' U'
L' D B R2 B' U' R
R' D' L' U2 L' B U
R' D' L' U2 B L' U
F U D' F L' B' U2
R2 D' L' U2 L' B' U
R D' L' F2 R F U'
D2 U' L' F U' L B2
L' D' F' U' R D' B2
L' D' F' U' D' R B2
L' D' F' U' D' B2 R
L' D' F' U2 L2 U R
L' D' F' D' U' R B2
L' D' F' D' U' B2 R
L' D' F' D2 R2 U' R'
F' U' D R2 B R' F'
R' D2 L' R2 F' U' B2
L2 D2 L U2 B' U B'
R' D2 L' U2 B U B
R' D2 L' D' R2 F' U'
L' D2 L' F L U' B2
D2 U' B2 U L' F U'
R2 D2 L' R' F' U' B2
R2 D2 L' U' B' R' B'
L2 D2 L' F L2 U' B2
R D2 L F' L2 U' B2
R D2 L' D' F' R2 U'
R D2 L' F' R U' B2
R D2 L' F' R' U' B2
R D2 L' F' R2 U' B2
R D2 L' F' U' B2 D
R D2 L' F' U' B2 D'
R D2 L' F' U' B2 D2
R D2 L' F' D' R2 U'
U' D2 L' F U' L B2
R D2 L2 F' L U' B2
R' D2 R2 L' F' U' B2
R2 D2 R' L' F' U' B2
L' D2 U' B D' B R'
L' D2 U2 L B' U B'
F2 U2 R' B R2 U B'
U' D2 B2 U L' F U'
R2 F L2 U' B' R' F'
L F L2 R F' U' B'
L' F R F' U F2 U2
L' F R F' U' D2 B2
L' F R F' D R2 U'
L' F R F' D2 U' B2
L F L2 R2 U' B' R'
L F R L2 F' U' B'
L' F R2 U F U2 R
L' F U D' F L' U2
L F R2 L2 U' B' R'
B' D L' B R2 U' R
L' F D' U F L' U2
F' D U' R2 B R' F'
D2 F' L' F L' U' B2
L' F' R F' R U' B
B' D B L' R2 U' R
B' D B R2 L' U' R
L' F' R2 U' B' R' B2
L' F' U D' F' U2 R
L' F' U' D R2 B R'
R F' U F' U R U
U' F' D R2 B R' F'
L' F' D R2 U' B R'
L' F' D U' R2 B R'
L' F' D' U F' U2 R
F D' U F L' B' U2
L' F2 R F' U F U2
L' F2 R' U2 B U B'
L F2 R F' L2 U' B'
U F2 U R U2 F' U'
U F2 U R' B R2 U
R' F2 U2 B R U B'
B' D2 L' F B U' B
B' D2 L' B F U' B
B' D2 B L' F U' B
D B R2 B' L' U' R
L' B' D B R2 U' R
D2 B2 L' F B2 U' B2
D2 B2 L' B2 F U' B2
D2 B2 U L' F B2 U'
D2 B2 U L' B2 F U'
D2 B2 U B2 L' F U'
